,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,q13_density difference,q13_ buoyancy,q13_rise airflow,q13_evaporation,q13_molecular motion,q13_temperature,q13_air temperature
418,"As the temperature rises, the volume of air increases, and the mass decreases compared to the relatively same volume, making it lighter than the surrounding air, so that a hot air balloon rises.",,,,,,,
419,"As the temperature increases, molecules in the air become more active",,,,,,,
420,"When heat is applied to the gas, the motion of the gas molecules increases and the volume increases. As the volume of the gas increases in this way, the density decreases. As the density becomes lower than that of the external air, the hot air balloon rises into the air due to the difference in density.",,,,,,,
421,"When the air gets hot, it goes up. And the cold air goes down.",,,,,,,
422,"When the air is heated, the molecules in the hot air balloon move faster. Then it becomes lighter than the outside air and goes up.",,,,,,,
423,action reaction,,,,,,,
424,Ankimchi. (Ankimchi in Korean),,,,,,,
425,This is because the density decreases as the temperature of the gas moves,,,,,,,
426,This is because gas rises when the temperature rises,,,,,,,
427,Because hot air goes up and cold air goes down,,,,,,,
428,Warm air goes up and cold air goes down,,,,,,,
429,It's because the warm air goes up,,,,,,,
430,The hot air balloon goes up because the warm air goes up and the cold air goes down.,,,,,,,
431,"High-temperature air goes up, so a hot air balloon seems to go up into the sky.",,,,,,,
432,"Air with high temperature goes up, so hot air balloons can go up",,,,,,,
433,Warm air goes up,,,,,,,
434,Warm air goes up,,,,,,,
435,Because the hot air goes up,,,,,,,
436,"Warm air rises and cold air falls, so a relatively hot air balloon rises",,,,,,,
437,Hot air heats the air with fire because it floats up,,,,,,,
438,"This is because if you heat the air in a hot air balloon with fire, the warm air goes up and the cold air goes down",,,,,,,
439,"Because cold air goes down and hot air goes up, hot air balloons go up into the sky.",,,,,,,
440,There needs to be hot heat to get hot,,,,,,,
441,"A hot air balloon fills the balloon with air and heats it up into the air, which increases the particle motion when heated to the gas. In addition, as the density is lower than that of the outside air, the hot air balloon rises due to the difference in density between the inside and the inside.",,,,,,,
442,Because the top is hot and the bottom is cold.,,,,,,,
443,Hot air molecules become less dense and float upward. Hot air balloons float in the sky because they heat the air inside the hot air balloon with fire,,,,,,,
444,Because warm air goes up and cold air goes down,,,,,,,
445,It makes air with hot heat and jumps to the ground,,,,,,,
446,The hot air is about to go up.,,,,,,,
447,"Since the heat of the fire comes into contact with oxygen,",,,,,,,
448,This is because air with high temperature rises upward.,,,,,,,
449,Because it goes up when the temperature is high,,,,,,,
450,"The hotter the gas is, the lighter it is",,,,,,,
451,Hot air goes up because it floats up.,,,,,,,
452,The hot air balloon is pushed to float.,,,,,,,
453,Because the fire burns the gas and it floats,,,,,,,
454,"When the gas is heated, it becomes lighter",,,,,,,
455,Because the air with higher temperatures decreases in volume and becomes lighter and goes up,,,,,,,
456,"As the temperature rises, molecular motion becomes active and increases in volume, so it flies up into the sky.",,,,,,,
457,It's because the volume gets bigger and bigger,,,,,,,
458,Hot air goes up,,,,,,,
459,Gas rises when it gets hot,,,,,,,
460,"This is because when the air is heated, the volume increases and the density decreases by PV=nRT.",,,,,,,
461,"When the air gets warm, it becomes lighter and goes up So a hot air balloon can fly into the sky.",,,,,,,
462,It gets lighter when the temperature goes up.,,,,,,,
463,This is because hot air goes up through the circulation of the air,,,,,,,
464,The air rises when the temperature is high.,,,,,,,
465,Air rises when the temperature is high,,,,,,,
466,Hot air rises and floats using its power,,,,,,,
467,It is heated and the density of the air decreases and rises.,,,,,,,
468,The hot air becomes less dense and goes up,,,,,,,
469,jackpot,,,,,,,
470,"It heats up the balloon, expands, activates the exercise, and then goes up",,,,,,,
471,"As the temperature rises, the volume of the gas increases and the hot air balloon rises into the sky",,,,,,,
472,"When the air is heated, the movement is actively carried out, so that the hot air balloon floats.",,,,,,,
473,Air expansion due to higher temperature pressure,,,,,,,
474,sorry,,,,,,,
475,"This is because if the temperature is high, the distance between gases and the movement becomes faster.",,,,,,,
476,due to rising air currents,,,,,,,
477,This is because the air becomes lighter as the temperature goes up.,,,,,,,
478,This is because gases with high temperatures have convection going up.,,,,,,,
479,Pressure difference with temperature,,,,,,,
480,"If the temperature is high, the gas volume increases and the mass decreases according to the unit volume, so it can float.",,,,,,,
481,This is because gases become lighter when the temperature increases.,,,,,,,
482,Because I had a pretty dream of flying in a balloon.,,,,,,,
483,Hot air floats hot air balloons using its upward properties.,,,,,,,
484,"This is because when a yellow balloon flies in the sky, it reminds me of beautiful memories in my heart.",,,,,,,
485,"Increasing the temperature speeds up the molecular motion, which expands the volume of air. Eventually, the density of air decreases, so hot air balloons can go up into the sky.",,,,,,,
486,"When the temperature rises, the volume expands, so the density is smaller than that of the surrounding air, so it rises.",,,,,,,
487,"""As the temperature increases, the gas expands according to Charles' law, although the total number of particles in the gas does not change. Instead, the density decreases as the volume increases.",,,,,,,
488,"The reduced density of air goes up, and the hot air balloon goes up along with the air.""",,,,,,,
489,Hot air is lighter than cold air,,,,,,,
490,Lalalalalalalalalalalalalalalalalalalalalalalalalalalal,,,,,,,
491,Heat travels through the hot air balloon,,,,,,,
492,Because it evaporates,,,,,,,
493,ãã353566 77ã ,,,,,,,
494,"If you use fire to heat the surrounding air, the hot air goes up because it goes upWhen the gas gets hot, it becomes lighter and flies high, like a hot air balloon",,,,,,,
495,The hot air goes up,,,,,,,
496,Helium is lighter than air,,,,,,,
497,All right.,,,,,,,
498,"If it's hot, it'll go up!",,,,,,,
499,This is because warm air goes up and cold air goes down.,,,,,,,
500,Warm air goes up,,,,,,,
501,Because hot air goes up,,,,,,,
502,Gases from the fire go up,,,,,,,
503,the principle of air,,,,,,,
504,Hot air balloons fly well.,,,,,,,
505,Hot heat rises in the balloon,,,,,,,
506,Hot air balloons use force on fire.,,,,,,,
507,"If it's cold, the people inside are cold",,,,,,,
508,I don't know.,,,,,,,
509,Don't know,,,,,,,
510,I don't know,,,,,,,
511,Because hot air goes up,,,,,,,
512,"The higher the temperature, the more active it becomes.",,,,,,,
513,I don't know. I forgot.,,,,,,,
514,Yes.,,,,,,,
515,Don't know,,,,,,,
516,The warm air goes up,,,,,,,
517,The warm air goes up,,,,,,,
518,The air is light,,,,,,,
519,.,,,,,,,
520,"Gas goes up when it gets hot, so hot air balloons go up together.",,,,,,,
521,"When the air gets warm, it goes up into the sky",,,,,,,
522,I don't know,,,,,,,
523,The heat is generated to make the hot air balloon float.,,,,,,,
524,"Hot air goes up and cold air goes down, so it heats up the air and the hot air balloon flies into the sky",,,,,,,
525,"It goes down when it's cold, and it goes up when it's hot",,,,,,,
526,I don't know,,,,,,,
527,"When the air gets warm, it uses the rising property. That is, when the gas is heated, a hot air balloon can be mounted due to the nature of going up to the sky.",,,,,,,
528,"Since hot heat rises upward, hot heat is applied to the balloon of the hot air balloon, which rises due to the nature of heat.",,,,,,,
529,"Heat has the property of rising up, which made a hot air balloon.",,,,,,,
530,diffusion of gas,,,,,,,
531,"This principle allows hot air balloons to rise into the sky because air moves as it moves because high temperatures are filled with particles of air, while low temperatures are less than high temperatures, just as wind blows from the hot sand to the cold sea during the day.",,,,,,,
532,Don't know,,,,,,,
533,The hot air goes up,,,,,,,
534,The air is heated up,,,,,,,
535,"If it's warm, it gets lighter",,,,,,,
536,The air gets lighter and it flies away,,,,,,,
537,The hot wind goes up and the cold wind goes down,,,,,,,
538,The heat goes up and the hot air balloon goes up,,,,,,,
539,"Cold air has the property of sinking, and hot air has the property of rising up, so when you warm the inside of a hot air balloon, the hot air balloon rises.",,,,,,,
540,Because the gas goes up,,,,,,,
541,I don't know,,,,,,,
542,"If you keep it warm when the wind blows, it goes up well",,,,,,,
543,"The hot air goes up and down to the cold air isne Are. Using this principle, the hot air balloon floats with warm air raised by fire.",,,,,,,
544,"As the temperature of the gas increases, the weight of the air becomes lighter, so it can go up into the sky.",,,,,,,
545,I don't know.,,,,,,,
546,It is because the air is burned to a level,,,,,,,
547,This is because hot air has the property of going up and cold air has the property of going down.,,,,,,,
548,"When heated by fire, it floats under the weight of the gas that the fire creates",,,,,,,
549,"Because warm air is above, it is pushed up by cold air.",,,,,,,
550,"When you heat the gas, it goes up (?",,,,,,,
551,"As far as I know, the warmer it is, the higher it goes up, and the colder it gets, the lower it goes down",,,,,,,
552,"When the air is hot, it becomes light and rises above it, and when it is cold, it becomes heavy and sinks below.",,,,,,,
553,I think it became a hot air balloon by blowing a balloon with hot heat,,,,,,,
554,"It is heated and made into an underwater machine, so the underwater machine is climbed by means of climbing.",,,,,,,
555,"""Table tennis balls shrink when immersed in cold water and swell again when immersed in hot water, and like that, hot air balloons rise up when they meet hot heat.",,,,,,,
556,"So the hot air balloon uses heatThat's why it's a hot air balloon. """,,,,,,,
557,I don't know,,,,,,,
558,I don't know.,,,,,,,
559,We used the characteristics of air that decreases density when the temperature is high,,,,,,,
560,I don't know.,,,,,,,
561,"When the gas is heated, it expands and rises.",,,,,,,
562,"The higher the temperature, the lighter.",,,,,,,
563,"When the characteristics of air are applied with heat, the movement of the molecules becomes increasingly active, and there is a characteristic ááµ to go up. That's why when you heat a hot air balloon, it goes up.",,,,,,,
564,"The driver of ""To Go"" in Paris!",,,,,,,
565,"When you make a fire, the air around you gets hot and the hot air goes up, so hot air can go up into the sky.",,,,,,,
566,Warm meat goes up,,,,,,,
567,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up. I think it's because air with high temperature is low density.",,,,,,,
568,Isn't it because the temperature inside the hot air balloon is higher than the surrounding air?,,,,,,,
569,I don't know.,,,,,,,
570,"This is because the temperature rises above, and when air is heated in the hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air.",,,,,,,
571,This is because warm air has the property of going up.,,,,,,,
572,Hot heat tends to go up,,,,,,,
573,Hot air goes up,,,,,,,
574,This is because air expands when heated and becomes relatively lighter than unheated air as it expands.,,,,,,,
575,"When air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. Hot air balloons go up because high-temperature air has the property of going up.",,,,,,,
576,The temperature rises well because it gets hot,,,,,,,
577,"The hot wind is supposed to go up to the sky, so it's a fascinating nature.",,,,,,,
578,This is because the temperature inside the hot air balloon is higher than that of the surrounding airAir with high temperature goes up,,,,,,,
579,"This is because when you heat the air inside the balloon, the temperature inside the balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up.",,,,,,,
580,"""",,,,,,,
581,"Warm air has the property of trying to go up, so the air heated by the fire rises, and the hot air balloon rises to the sky.",,,,,,,
582,This is because air with high temperature floats high into the sky.,,,,,,,
583,This is because air with high temperature has the property of rising up.,,,,,,,
584,"As the temperature increases, the energy of the particles constituting the material increases, and thus the distance between particles may become greater. In the case of a gas, the distance between particles becomes greater due to heat, and when the gases are gathered in a limited space, the mass of the collected gas remains but the density decreases. As a result, the air, which becomes smaller than the density of the surrounding air, rises upward, and a hot air balloon is used.",,,,,,,
585,I don't know.,,,,,,,
586,f,,,,,,,
587,"Since there is a principle of gas that floats to the sky when the temperature is high, it can heat the air in the hot air balloon and fly to the sky.",,,,,,,
588,"When air obtains thermal energy, molecular motion becomes active, and when ãáá§á« increases in volume and decreases in density. When the density is lower than the outside air, it rises upward.",,,,,,,
589,This is because warm air is lighter than cold air and goes up.,,,,,,,
590,I don't know,,,,,,,
591,"The hot air rises when the temperature is hot, so using that principle, a hot air balloon floats",,,,,,,
592,How do I know this...............,,,,,,,
593,Hot gases are lighter than cold gasesBecause of the temperature,,,,,,,
594,This is because hot air goes up.,,,,,,,
595,The hot air goes up,,,,,,,
596,I have no idea.,,,,,,,
597,This is because gases have the property of rising up when heated.,,,,,,,
598,I don't know,,,,,,,
599,I don't know!,,,,,,,
600,"Hot air goes up and cold air goes down The representative thing is the sea breeze, and the hot air fills the hot air balloon and goes up",,,,,,,
601,Because the hot air goes up because it's light,,,,,,,
602,Heat heats the air and lightens it up.,,,,,,,
603,I don't know.,,,,,,,
604,"This is because when the air becomes warm, the air becomes lighter and floats upward.",,,,,,,
605,I don't know,,,,,,,
606,Because the air gets hot and evaporates into the sky,,,,,,,
607,The hot air goes up,,,,,,,
608,Hot makes light.,,,,,,,
609,the principle of water vapor,,,,,,,
610,I don't know,,,,,,,
611,Because hot air has the characteristic of going up,,,,,,,
612,"This is because the higher the temperature, the higher the density of the gas",,,,,,,
613,"If you heat it, the air expands",,,,,,,
614,Heating activates the movement of gas molecules,,,,,,,
615,"When the temperature goes up, the cold air goes down and the hot air goes up.",,,,,,,
616,"When the gas is heated, the activity rises and the pressure rises and expands. So the weight per volume is lighter than usual, so a hot air balloon comes to mind.",,,,,,,
617,Hot air goes up and cold air goes down,,,,,,,
618,The air circulates inside the hot air balloon and rises with warm air,,,,,,,
619,"When the temperature is increased, the movement of the air molecules in the air bag in the pouch is increased, the space between the molecules is widened, and the volume is increased, so the density of the air is decreased.",,,,,,,
620,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",,,,,,,
621,It's because gases with high temperatures have the properties of going up;,,,,,,,
622,"As the temperature rises, the pressure rises, which increases in volume and decreases in weight and floats into the sky.",,,,,,,
623,"As the temperature increases, the air molecules in the pocket move faster, the distance between the molecules increases, and the volume increases, and the density of the air in the pocket decreases",,,,,,,
624,The air got warm,,,,,,,
625,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",,,,,,,
626,Gas rises when it gets hot.,,,,,,,
627,"""Cold air goes down because it's heavy and hot air goes up because it's light.",,,,,,,
628,"The reason why the air conditioner is located above and the stove is located below is also to take advantage of this phenomenon to cause convection and improve heat circulation. Therefore, when the air in the hot air balloon is heated, it rises upward.""",,,,,,,
629,Hot gases tend to go up,,,,,,,
630,I even know that it goes up into the sky through heat,,,,,,,
631,"If the temperature of the gas is high, there is a property of going up, and if the temperature is low, there is a property of going down. (Convection phenomenon)",,,,,,,
632,"Balloons usually float, but they seem to float more by heating them up",,,,,,,
633,"As the temperature increases, the volume of the gas increases at a constant rate.",,,,,,,
634,"""The air inside is more than the air in the sky.""",,,,,,,
635,"""It's too high. It's going up",,,,,,,
636,"""Because the warm air goes up,",,,,,,,
637,"""Put the hot air balloon up""",,,,,,,
638,"If you fill it with hot air, it goes up",,,,,,,
639,Hot air goes up together because it goes up,,,,,,,
640,The warm air goes up,,,,,,,
641,"Warm air goes up, so it heats the air in a balloon-shaped balloon.",,,,,,,
642,"This is because if the temperature is high, it tries to go up.",,,,,,,
643,A hot air balloon is a balloon that can climb high in the sky using the heated air that bloomed as the fire burned.,,,,,,,
644,A hot air balloon is a balloon that can climb high into the sky using the heated air that blooms as the fire burns,,,,,,,
645,Heat the air in a hot air balloon Hot air can rise high in the sky because it has a rising property,,,,,,,
646,Because the air with increased kinetic energy is active due to heat,,,,,,,
647,"When the air gets warm, the air goes up, so the air inside the balloon goes up",,,,,,,
648,"""If you increase the temperature, the air molecules in your pocket will move faster, and the distance between the molecules will widen and increase in volume. As the volume increases, some air escapes, and the density of air in the pocket is lower than the first time",,,,,,,
649,,,,,,,,
650,"Then, because the density of the air in the pouch is small, the pouch floats upward, and a less dense material rises above a more dense material",,,,,,,
651,,,,,,,,
652,,,,,,,,
653,"""",,,,,,,
654,"Since the air that has increased the kinetic energy is active due to the heat,",,,,,,,
655,"Because the heated air goes up,",,,,,,,
656,"The higher the temperature, the higher the temperature, the higher the temperature, so it can go up gradually when heated.",,,,,,,
657,"The higher the temperature, the faster the movement of the gas particles, so they can go up into the sky.",,,,,,,
658,"Since the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature.",,,,,,,
659,Hot air particles go up,,,,,,,
660,"As the temperature rises, the particle movement of the air becomes active, so hot air balloons can go up into the sky.",,,,,,,
661,"When the temperature goes up, the particles in the gas go up",,,,,,,
662,"When the temperature goes up, the particles in the áá¦áá´ shape get faster",,,,,,,
663,"When the temperature goes up, the motion of the gas goes down quickly, and the gas that goes up goes up",,,,,,,
664,I don't know.,,,,,,,
665,I don't know,,,,,,,
666,M and D,,,,,,,
667,I don't understand.,,,,,,,
668,M and D,,,,,,,
669,"""",,,,,,,
670,I don't understand.,,,,,,,
671,"""",,,,,,,
672,(Playing the guitar sound,,,,,,,
673,M and D,,,,,,,
674,I don't understand.,,,,,,,
675,Mall,,,,,,,
676,I don't know,,,,,,,
677,I don't understand.,,,,,,,
678,I don't understand.,,,,,,,
679,M and D,,,,,,,
680,I don't understand.,,,,,,,
681,I don't know.,,,,,,,
682,This is because hot air has the property of going up.,,,,,,,
683,The hot air is floating up,,,,,,,
684,M and D,,,,,,,
685,I don't know,,,,,,,
686,I don't understand.,,,,,,,
687,Warm air floats in the sky because of its light weight,,,,,,,
688,Charles Law,,,,,,,
689,"The gas has the property of going up as it gets warmer, and it's used",,,,,,,
690,"Hot heat has the property of rising up, and as the fire burns, it exerts hot heat and can float a hot air balloon.",,,,,,,
691,"When the temperature of a gas particle rises, it becomes lighter than the cold air and floats upward",,,,,,,
692,.Mr,,,,,,,
693,I don't know.,,,,,,,
694,The gas light.,,,,,,,
695,The heat rising above the properties.,,,,,,,
696,"The air is heated, the balloon rises above because properties that go up.",,,,,,,
697,Oxygen,,,,,,,
698,Warm air rises and hot air balloon rose up.,,,,,,,
699,In and warm air is to have the qualities that go up.,,,,,,,
700,Hot air is it goes up.,,,,,,,
701,Warm air is lighter than cold air.,,,,,,,
702,"When you light a fire under the balloon, because hot air is up with balloons because becomes more and makes the balloon, balloon rose to mind heat.",,,,,,,
703,Temperature is high.,,,,,,,
704,"Is lighter, carrying the air in the hot air balloon than air.",,,,,,,
705,Light than other objects.,,,,,,,
706,"I don't know what I know, and gesseo. ããããããããããããããã",,,,,,,
707,Warm air rises.,,,,,,,
708,ãããããã,,,,,,,
709,Biting,,,,,,,
710,"If it's too dark,",,,,,,,
711,Hot air has the property of wanting to go up.,,,,,,,
712,Warm air goes down,,,,,,,
713,This is because dark air has the property of rising up and cold air has the property of falling down.,,,,,,,
714,The air got lighter,,,,,,,
715,Warm air goes up and cold air goes down,,,,,,,
716,"If you make a fire, it creates a fire?",,,,,,,
717,go up when the air is warm,,,,,,,
718,"The higher the heat, the higher the air goes up",,,,,,,
719,It's your nature to go up when you light a balloon,,,,,,,
720,"""?>",,,,,,,
721,,,,,,,,
722,">?""",,,,,,,
723,Because cold air goes down and hot air goes up.,,,,,,,
724,Warm air goes up.,,,,,,,
725,This is because cold air goes down and hot air goes up,,,,,,,
726,The hot air goes up well,,,,,,,
727,"When the air meets cold substances, it goes down and when it meets hot substances, the air moves upward. So when you heat the air in a hot air balloon, the air goes up and fills the balloon, so the hot air balloon can go up.",,,,,,,
728,"Warming the air in a hot air balloon makes it warm, so the warm air goes up",,,,,,,
729,"Warm air goes up, so hot air balloons go up into the sky.",,,,,,,
730,"If you add heat and volume inside, it will swell quickly, so it goes up",,,,,,,
731,It's light enough to go up in the sky,,,,,,,
732,It's time to go up to the fire,,,,,,,
733,The air got lighter,,,,,,,
734,convection phenomenon,,,,,,,
735,I don't know,,,,,,,
736,convection phenomenon,,,,,,,
737,I don't know.,,,,,,,
738,PASS,,,,,,,
739,I don't understand.,,,,,,,
740,It's done by heating up the heat,,,,,,,
741,"Hot air goes up and cold air goes down, so hot air is pumped up to make hot air balloon.",,,,,,,
742,"When the light is on, the warmth rises and goes into the balloon and unfolds",,,,,,,
743,"As the gas heats up, the atoms in the gas have the property of moving quickly, which makes the gas lighter in weight Eventually, the lighter gas jumps the property of going up, which causes the hot air balloon to go up.",,,,,,,
744,"As the temperature increases, the volume increases and the density decreases and goes up.",,,,,,,
745,"Due to the increase in temperature, the density decreases due to the increase in volume, so it rises above the dense air.",,,,,,,
746,"As the temperature increases, the volume increases, so it can go up into the sky.",,,,,,,
747,"As the temperature of the gas increases, the volume of the gas increases, and the density of the gas decreases, so that the hot air balloon floats.",,,,,,,
748,by convection,,,,,,,
749,1234,,,,,,,
750,The air is light,,,,,,,
751,Because of the smoke of fire,,,,,,,
752,123,,,,,,,
753,123,,,,,,,
754,"Yes, it is",,,,,,,
755,12345678910,,,,,,,
756,Fire and air meet to create an underwater plane,,,,,,,
757,"The gas, which is the wind, generates heat",,,,,,,
758,I'm going to make steam,,,,,,,
759,Using the phenomenon of water vapor rising up,,,,,,,
760,"""Smoke is the principle of going up to the sky",,,,,,,
761,"""If you trap smoke in a balloon and it fills up a lot, the balloon will float with the power of smoke.""",,,,,,,
762,"There is a lot of air and steam, but it floats in the sky",,,,,,,
763,Mora,,,,,,,
764,"There is a lot of air and steam, but it floats in the sky",,,,,,,
765,It's light,,,,,,,
766,Don't know the principle 123,,,,,,,
767,I don't know.,,,,,,,
768,The air is full and floats above the sky,,,,,,,
769,I don't know.,,,,,,,
770,This is because the air swells up and rises lightly and warms up inside the fire.,,,,,,,
771,have helium gas properties,,,,,,,
772,It's the principle of rising to steam,,,,,,,
773,"When you heat up the air, it becomes steam and rises into the sky, so hot air balloons come up",,,,,,,
774,Hot air balloons need hot air to fly into the sky,,,,,,,
775,I don't know.,,,,,,,
776,The warm air goes up,,,,,,,
777,yes,,,,,,,
778,Hot air meets cold air and floats as water vapor,,,,,,,
779,........,,,,,,,
780,The property of warm air going up,,,,,,,
781,The temperature rises as it rises into the sky.,,,,,,,
782,I don't understand.,,,,,,,
783,I don't understand.,,,,,,,
784,I don't know,,,,,,,
785,..................,,,,,,,
786,The heat rises up,,,,,,,
787,Wind and heat meet and float a hot air balloon.,,,,,,,
788,"If the air is hot, it goes up.",,,,,,,
789,"The hotter the gas gets, the higher it's going up.",,,,,,,
790,This is because the air gets warm and there is more gas.,,,,,,,
791,It can go up high because the heat heats up.This is because hot air goes up.,,,,,,,
792,I don't know.,,,,,,,
793,"As the temperature increases, the volume of the gas increases and the density decreases, so it goes up into the sky (Charles' Law)",,,,,,,
794,Higher temperatures increase volume and reduce density.,,,,,,,
795,Volume increases with temperature. Density Reduction,,,,,,,
796,The volume of the gas molecules increases and the density decreases.,,,,,,,
797,"When equilibrium is achieved with external pressure (maintaining constant pressure), when the temperature increases, the volume increases and the buoyancy increases.",,,,,,,
798,"High temperatures increase the volume of air. Since the volume increases at the same mass, the density decreases and floats upward than the surrounding air.",,,,,,,
799,"When heated, the volume increases and the density decreases.",,,,,,,
800,"As the temperature increases, the volume increases, so the pressure decreases and goes up into the sky.",,,,,,,
801,The density becomes smaller and floats by buoyancy.,,,,,,,
802,The temperature rises and the density decreases.,,,,,,,
803,Volume increases as temperature rises. (PV=nRT),,,,,,,
804,"When the pressure is constant according to PM=dRT, the temperature and density are inversely proportional",,,,,,,
805,"According to the ideal gas state equation, when the temperature rises, the volume increases, and at this time, the density decreases and the hot air balloon rises.",,,,,,,
806,warm,,,,,,,
807,The heated air tends to go up,,,,,,,
808,"The warmer the air, the lighter it becomes and you can go up.",,,,,,,
809,"As the temperature rises, the gas expands",,,,,,,
810,"The cold air goes up and the warm air goes down, so when you light a balloon, the warm air created by fire goes up and creates the power to float the balloon",,,,,,,
811,"Because warm gases go up and cold gases go down, hot air balloons can go up into the sky because of the nature of warm gases trying to go up.",,,,,,,
812,The gas will heat up and go up,,,,,,,
813,I don't know,,,,,,,
814,Because hot gases rise into the sky,,,,,,,
815,I don't know,,,,,,,
816,Hot air rises due to convection,,,,,,,
817,I think it's because it floats when the fever is high.,,,,,,,
818,Hot air can go up into the sky because of its active particle movement.,,,,,,,
819,...,,,,,,,
820,I don't know,,,,,,,
821,"As the air cools in the balloon, a hot air balloon floats.",,,,,,,
822,It is because hot air goes up,,,,,,,
823,Because air goes into the balloon,,,,,,,
824,This is because gases in the air expand as the temperature rises,,,,,,,
825,This is because warm air has the property of going up.,,,,,,,
826,"When heat heats the air, the air expands and becomes lighter",,,,,,,
827,"Warm temperatures go up, so if you heat the air and block the sides go up",,,,,,,
828,It has the property of trying to go up when the air temperature rises.,,,,,,,
829,"Gas varies in volume and weight depending on temperature, so it floats up when it is warm.",,,,,,,
830,They told me that it expands because of 10,,,,,,,
831,"Gas is affected by the same kind and density, but atmospheric gases have the characteristics of gases that want to rise as the temperature increases, so they trap air from hot air balloons to rise as they want to.",,,,,,,
832,This is because the air rises above the cold one.,,,,,,,
833,"The fire is heated upward, and the heat can be raised to the sky due to the convection phenomenon of the heat.",,,,,,,
834,be due to convection of air,,,,,,,
835,?,,,,,,,
836,The balloon rises as the air expands,,,,,,,
837,The balloon is energized by the fire and floats up.,,,,,,,
838,"When the gas is cold, it goes down and when the gas is hot, it goes up because of the movement of the particles according to temperature.",,,,,,,
839,It's to float,,,,,,,
840,"The air goes up the hot and the cold goes down, so don't drink the fumes in the event of a fire But when you heat the air, it gets hot, so the air floats Since it is exposed, even hot air balloons can float.",,,,,,,
841,It's round,,,,,,,
842,Mathematical principles,,,,,,,
843,Heat it up and use,,,,,,,
844,It floats because it is lighter than air.,,,,,,,
845,"When you heat the fire, the air gets hot, but the hot air rises up and the cold air sinks down, making the hot air heavier.",,,,,,,
846,"To remove, make, float, or lower oxygen by fire",,,,,,,
847,"""",,,,,,,
848,"When heated, the volume increases, causing the particles to move actively, reminding them of hot air balloons.""",,,,,,,
849,"It is the same principle as a balloon, but when burning a fire, the smoke has the same properties as helium.",,,,,,,
850,Hot air goes up to the sky when it is hot because it has the property of trying to go up in reverse to cold air.,,,,,,,
851,This is because the volume of the gas increases as the temperature increases.,,,,,,,
852,"The higher the temperature, the lighter the weight of the air, so it rises",,,,,,,
853,"The higher the temperature, the lighter the weight of the air, so it rises",,,,,,,
854,"When the temperature of the gas increases, air moves by convection, and air with high temperature faces upward.",,,,,,,
855,"The higher the temperature, the lower the gas density. At this time, the gas floats by buoyancy, and if the buoyancy by the gas is sufficiently large, other objects float together.",,,,,,,
856,"As the temperature rises, the motion of the gas molecules increases and the volume increases, so if you heat under the hot air balloon with a hot fire, you can go up to the sky.",,,,,,,
857,"As the temperature rises, the motion of the gas molecules increases and the volume increases, so if you heat under the hot air balloon with a hot fire, you can go up to the sky.",,,,,,,
858,"Warm air is light, so when you heat the air in the hot air balloon, it goes up to the sky.",,,,,,,
859,This is because it rises when the temperature of the gas is increased.,,,,,,,
860,This is because heated air is trying to rise up.,,,,,,,
861,"At high temperatures, gases expand, so hot air balloons go up into the sky.",,,,,,,
862,"As the temperature rises, the motion of the gas becomes active and the distance between molecules becomes distant. Therefore, when the hot air balloon is heated by fire, the hot air balloon floats upward.",,,,,,,
863,I don't know,,,,,,,
864,This is because gases become more active as the temperature increases.,,,,,,,
865,"As the temperature of the gas increases, the motion of the gas increases and the distance between the gas molecules increases. Some of the bulky air escapes outside and the density of the air in the pocket is lower than at the beginning.",,,,,,,
866,I don't know,,,,,,,
867,"As the temperature increases, the motion of the solid becomes active, and the volume of the gas increases and the density becomes lower than that of the surrounding air, so it rises. Hot air balloons can go up into the sky due to the phenomenon that the warm and light air goes up.",,,,,,,
868,expansion of gas,,,,,,,
869,a mother's mother's mother,,,,,,,
870,Because the hot air is light (that is why the heater is installed on the floor),,,,,,,
871,"When heat is applied to the air, it expands. And the air moves from warm to cold, and the surface is relatively warmer than the sky, so it can go up. After passing just a certain point, the sky gets hotter than the ground.",,,,,,,
872,"As the temperature rises, the motion of the gas becomes more active, making the gap between the particles distant and with the hot air balloon.The number of collisions increases. Also, hot air can float because it tries to go up.",,,,,,,
873,"When heated, the thermal movement of air becomes more active, and with the same logic as the previous question, the density decreases and the volume increases. It now has the power to rise up and can go up into the sky.",,,,,,,
874,This is because hot air pushes the hot air up by using the principle of rising upward.,,,,,,,
875,I don't know,,,,,,,
876,"The higher the altitude, the lower the temperature, and the more likely it is to move from hot to cold.Therefore, heating air causes air movement from bottom to top, so hot air balloons can go up into the sky.",,,,,,,
877,"As the temperature rises, the volume increases, and at the same time, the gas movement rises due to buoyancy",,,,,,,
878,I don't know,,,,,,,
