,"5. On a hot summer day, when your body temperature rises, you naturally sweat. Your body temperature decreases after sweating, why? Let's explain in detail using the knowledge of changes in the state of matter and thermal energy.",homogeneity,heat of vaporization
519,"Heat is required for the liquid to vaporize, and the liquid absorbs heat of vaporization when evaporated. Therefore, the body temperature decreases because sweat absorbs body temperature as it evaporates.",0,1
520,This is because sweat vaporizes and takes away the heat of vaporization from the body.,0,1
521,I don't know,0,0
522,It's because sweat releases heat,0,0
523,"Sweat is a control to maintain our human natural temperature of 36 degrees Celsius, so when you sweat, your body temperature decreases for a while.",0,0
524,"Because if you sweat, the heat goes out together",0,0
525,"Sweat is liquid, so my body shakes and my body temperature drops",0,0
526,"There is heat in sweat, so when sweat is released, heat is also released.",0,0
527,It's because the heat energy escapes out,0,0
528,Because water vaporizes,0,0
529,This is because sweat vaporizes and takes the heat around it.,0,0
530,This is because the body gets cold because of sweat.,0,0
531,It's because sweat is created to keep the body warm,0,0
532,be characteristic of water,0,0
533,It releases heat and cools down the sweat,0,0
534,My body temperature decreases as my sweat cools,0,0
535,Sweat vaporizes and lowers the temperature around you,0,0
536,"Because water evaporates into the air, sweating lowers the temperature inside the body.",0,0
537,Kim Young Chul,0,0
538,h,0,0
539,My sweat is cold,0,0
540,Haha,0,0
541,M and D,0,0
542,by h,0,0
543,"As the sweat cools down, it gets cold",0,0
544,The body temperature decreases because sweat evaporates and takes heat from the body.,0,0
545,This is because it absorbs heat around it.,0,0
546,1,0,0
547,The body temperature decreases because sweat evaporates and takes heat from the body,0,0
548,1,0,0
549,Ha Min has a lot of sweat on his hands,0,0
550,66?ã´44,0,0
551,I don't know,0,0
552,Because of the vaporization,0,0
553,be vaporized,0,0
554,This is because sweat dries up and takes away heat.,0,0
555,Heat emission,0,0
556,I don't know,0,0
557,This is because liquid sweat evaporates and takes away heat.,0,0
558,vaporization,0,0
559,This is because the temperature of the surrounding area decreases due to the heat of vaporization as the sweat vaporizes into the air.,0,1
560,This is because the heat of vaporization is absorbed into the air.,0,1
561,"After sweat is discharged to the skin, the body temperature is lowered because the sweat absorbs and evaporates the thermal energy of the skin surface to evaporate to change the state.",0,0
562,"The reason is that sweat comes from the body, and as the sweat cools, moisture escapes from the body, and heat escapes from the body in that situation, and the body temperature drops.",0,0
563,I don't know,0,0
564,Sweat releases heat from your body out of your body,0,0
565,"When I sweat, I feel like my body is too hot and I feel like it'",0,0
566,He took heat and water out of his body,0,0
567,"When the body gets hot, a liquid called sweat escapes from the body, making the body's body temperature normal, but if there is not enough moisture, you can get heatstroke in a hot state due to lack of sweat.",0,0
568,I washed it with cold water in the hot weather,0,0
569,I don't know.,0,0
570,I was sweating and washed with cold water because it was hot,0,0
571,I took out foreign objects from my body,0,0
572,Sweat cools you down,0,0
573,It is because sweat is cold.,0,0
574,...,0,0
575,It's because the water is drained from the body,0,0
576,My sweat is cold,0,0
577,"The water in our bodies gets hot, and the water in our house gets on our backs",0,0
578,It's because the sweat cools down and gets cold,0,0
579,The body temperature goes down because of the heat,0,0
580,Sweat the heat in your bodyI'm going to make it's my birthday,0,0
581,I don't know.,0,0
582,It is because a few percent of the body is drained by sweat.,0,0
583,"This is because when you sweat, your body's heat naturally escapes and your body temperature can gradually decrease.",0,0
584,Because I sweated,0,0
585,I'm turning it off,0,0
586,The sweat glands start to open as I get a lot of heat,0,0
587,"Because when you sweat, the moisture in your body is gone",0,0
588,The sweat glands start to open as you know the heat,0,0
589,Because the moisture evaporates with heat,0,0
590,It's because the moisture changes faster,0,0
591,I sweat to lower my body temperature,0,0
592,This is because sweat releases unnecessary ingredients or hot heat to our bodies.,0,0
593,It's because the sweat cools down and takes away the heat from our bodiesThis is because sweat dries up and reduces heat.,0,0
594,This is because the body's heat is put into sweat and released outside.,0,0
595,"Due to heat conduction,",0,0
596,"Because of the heat conduction,",0,0
597,It evaporates in sweat and takes away the heat,0,0
598,It's getting cold,0,0
599,Moisture is because the temperature changes faster,0,0
600,Tom helps get rid of heat by shedding to maintain body temperature,0,0
601,"Sweat is liquid, so if it stays on our skin, the liquid cools and so does our body",0,0
602,"The temperature in sweat is released out of the body, which lowers the temperature of a person.",0,0
603,It's because it cools down after sweating.,0,0
604,It gets cold when the body loses warm moisture and temperature.,0,0
605,"As your body dries out, your body naturally loses its basic temperature",0,0
606,"When sweat is discharged from the body, the body temperature is lowered because sweat is discharged with heat.",0,0
607,"As the sweat cools down, it takes away the temperature of your body",0,0
608,My sweat is cold,0,0
609,Sweat turns into gas and takes your body temperature,0,0
610,It's also the reason why you catch a cold when your body is wet because of sweat,0,0
611,"If you get some air while sweating, it gets cold",0,0
612,Sweat turns into gas and takes your body temperature,0,0
613,"It releases heat and lowers heat energy, lowering body temperature.",0,0
614,"When heat is released, energy is lowered in heat, which lowers body temperature.",0,0
615,"When heat is released, the energy of heat is lowered and the body temperature is lowered.",0,0
616,"When heat is released, the energy of the heat decreases and the body temperature decreases",0,0
617,"If you release heat, the heat energy around you decreases",0,0
618,"If you release heat, the heat energy around you decreases",0,0
619,"If you release heat, the heat energy around you decreases",0,0
620,Sweat cools down and turns into a gas,0,0
621,The body's temperature drops as sweat vaporizes,0,0
622,This is because sweat vaporizes and absorbs heat from the surroundings,0,0
623,This is because sweat evaporates and takes away heat.,0,0
624,Because it smells,0,0
625,It's like our body's heat goes out!,0,0
626,This is because sweat absorbs heat as it evaporates.,0,0
627,"When water evaporates, it takes heat.",0,0
628,I don't know.,0,0
629,"This is because if sweat evaporates and takes away heat, the body temperature decreases.",0,0
630,This is because unnecessary temperatures are released outside to meet the body temperature of 36 degrees.,0,0
631,"As sweat evaporates, it absorbs body temperature and lowers the body temperature.",0,0
632,It's because the body mass decreases,0,0
633,"This is because sweat vaporizes, absorbs heat of vaporization, absorbs body temperature of the human body, and flies away as water vapor.",0,1
634,"It releases sweat and causes heat of vaporization due to sweat. Through vaporization, the state of sweat flies into the air and absorbs heat energy, while the body naturally loses heat. That's because you're not in good shape",0,1
635,This is because sweat absorbs heat as it evaporates.,0,0
636,This is because sweat absorbs heat energy from the body as it evaporates.,0,0
637,This is because sweat evaporates and takes away heat from the body due to the absorption of vaporization heat.,0,0
638,I don't know,0,0
639,This is because sweat vaporizes and takes body temperature.,0,0
640,"When sweat cools, water takes heat while vaporizing, so it can release as much heat.",0,0
641,Sweat evaporates and takes away body temperature.,0,0
642,Sweat such as liquid water evaporates from the body and takes away heat energy from the body. This lowers our body temperature.,0,0
643,absorption of heat of vaporization,0,1
644,I'm going to take the heat away,0,0
645,I don't know.,0,0
646,"As sweat evaporates, it evaporates with the heat in your body",0,0
647,This is because the temperature around the sweat decreases in the process of evaporating.,0,0
648,"Because when sweat evaporates, it lowers the heat",0,0
649,This is because sweat absorbs heat as it evaporates.,0,0
650,"Heat of vaporization is needed when water evaporates. Therefore, as sweat evaporates on the surface of the skin, the body temperature decreases because it takes away the heat around it, that is, body temperature.",0,0
651,"It evaporates after sweat is discharged, and as the liquid becomes gas, it absorbs vaporization heat and lowers the temperature around it, lowering the body temperature.",0,0
652,My sweat is cold,0,0
653,Sweat makes your body lose heat,0,0
654,have no idea,0,0
655,It's because the sun goes down,0,0
656,Sweat has a feverIt comes out of your body together,0,0
657,"When the sweat cools down, it gets cold, but when it's on the body, it lowers the body and warmth",0,0
658,"As the sweat goes out, it cools down your body's heat",0,0
659,"When a liquid called sweat blows, the wind cools and the body temperature drops due to the sweat",0,0
660,"If there's even a little bit of wind while sweating, it gets cold as if you're using your wet hands",0,0
661,Sweat flows to make body temperature normal,0,0
662,"When the sweat in the body goes out, the body temperature decreases as the hot water goes out.",0,0
663,I don't know,0,0
664,"As the sweat goes out, the sweat that increases the heat goes out, too",0,0
665,The sun is moving,0,0
666,"If you take the hot heat out of your body, the hot heat goes down",0,0
667,I don't know.,0,0
668,It's suddenly hot and then cold,0,0
669,My body has a lot of heat and I'm sweating to cool off,0,0
670,"As the sweat cools down, the body temperature decreases because it cools down",0,0
671,The sweat hole opens and the heat escapes through the hole,0,0
672,"""Sweat is something that can release harmful substances to our bodies.",0,0
673,"Bad substances come out of our bodies and our body temperature decreases.""",0,0
674,Because sweat has a lot of heat,0,0
675,"Sweat takes away the body temperature, so the body temperature decreases after sweating.",0,0
676,"If you sweat, if you sweat, sweat will take away your body temperature, so soccer players are wearing long padding to keep their body temperature while sitting on the bench after the first half",0,0
677,This is because sweat absorbs heat as it evaporates.,0,0
678,Because my sweat is cold,0,0
679,"When the body temperature rises, the body sends out sweat to lower the heat, and the body temperature decreases because the sweat meets the relatively low-temperature air on the hot body and cools down.",0,0
680,This is because sweat is one of the ways the body releases heat.,0,0
681,This is because sweat cools down and takes away the heat from the body.,0,0
682,This is because sweat takes away the body's heat when it evaporates.,0,0
683,This is because the temperature of the skin surface decreases by releasing heat of evaporation as sweat evaporates.,0,0
684,The temperature is lowered because the liquid sweat vaporizes into the gas and absorbs the heat around it.,0,0
685,"As sweat evaporates, it turns into a gas, and in this process, the body temperature decreases because it absorbs surrounding heat to increase the temperature of the gas.",0,0
686,"The state of sweat when sweat occurs as body temperature increases is liquid. However, if sweat is left still in a liquid state, it evaporates into the air, which causes a change in state from liquid to gas and loses heat, which lowers body temperature.",0,0
687,"After sweating, heat is released and the body temperature decreases (as the liquid turns into gas).",0,0
688,"As sweat evaporates, it absorbs heat from the body to change the condition",0,0
689,"Water on the skin surface evaporates over time after sweating. Since a liquid absorbs heat energy in the process of becoming a gas, it absorbs surrounding heat during the evaporation of water. The body temperature is lowered because heat is absorbed.",0,0
690,"Sweat releases waste from our bodies and lowers our body temperature. The molecular structure of a substance is relatively free, that is, energy is needed to dismantle the bonds it forms, which are absorbed from the outside. The sweat that we sweat changes from liquid to gas as it vaporizes and absorbs the heat energy that exists in our bodies. Therefore, our bodies, deprived of heat energy, lower body temperature.",0,0
691,This is because the sweat in the liquid state evaporates into the gaseous state and takes heat from our bodies.,0,0
692,"Sweat is water, and because of its high specific heat, it requires a lot of heat energy from the surroundings to increase the temperature. Therefore, as sweat evaporates, it absorbs heat from the surroundings, that is, our body temperature decreases.Sweat evaporates when it is formed. Evaporation, however, changes from a liquid state to a gaseous state, during which the material absorbs the surrounding heat energy. When water absorbs the heat energy around the body, the heat energy around the body decreases, so the body temperature decreases.",0,0
693,"Since water vapor releases heat and water droplets have the property of absorbing heat, sweat droplets absorb heat and lower body temperature.",0,0
694,"When body temperature rises, our bodies try to release heat out of the body to maintain body temperature. This phenomenon is the phenomenon that releases sweat, and at this time, sweat evaporates from the surface of the body and absorbs vaporization heat, making us feel cool and lower body temperature.",0,0
695,"The phenomenon in which the movement of the molecules forming a liquid becomes active and turns into gases is called vaporization. When a liquid vaporizes, the movement speed of molecules increases, so energy is required, and at this time, the surrounding heat energy is absorbed, and the heat absorbed is called vaporization heat. Therefore, the body temperature decreases as the sweat dries up and absorbs the heat of vaporization.",0,1
696,"Sweat is a phenomenon that releases moisture and waste from the body. It contains blood and nutrients in the water and wastes that are released.  Therefore, when you sweat, heat energy is released and your body temperature is lowered.",0,0
697,?,0,0
698,Umm,0,0
699,I don't know.,0,0
700,It opens up your body temperature and escapes into the air,0,0
701,It was so hot and it ended like a youth,0,0
702,I don't know~??702.0,0,0
703,Sweat evaporates and absorbs heat energy,0,0
704,The heat is released with sweat,0,0
705,To match the temperature outside,0,0
706,yes,0,0
707,Sweat evaporates and takes away your body temperature,0,0
708,This is because sweat evaporates and absorbs heat from the surrounding area to deprive the body of heat.,0,0
709,"As the heat cools down,",0,0
710,The temperature of my sweat has gone down,0,0
711,.,0,0
712,Sweat on the body evaporates and touches the skin,0,0
713,"This is because when the liquid dries, it takes away the heat around it and becomes gas.",0,0
714,Sweat evaporates and takes out heat from your body,0,0
715,"Due to the nature of returning to the original temperature, when the body temperature increases, sweat is released to lower the body temperature.",0,0
716,Because the water evaporates and takes away the heat from the surroundings.,0,0
717,Because evaporation takes away the heat,0,0
718,The liquid evaporates and takes away heat. It's heat of vaporization.,0,1
719,It's because sweat evaporates and takes away heat,0,0
720,I don't understand.,0,0
721,"Since moisture absorbs heat as it evaporates, the surrounding temperature decreases and the body temperature decreases.",0,0
722,This is because the heat is taken away as the sweat cools.,0,0
723,"This is because when you sweat, the heat in your body escapes.",0,0
724,"As sweat evaporates, it absorbs heat of vaporization, which is an endothermic reaction in which the amount of enthalpy change increases, and this phenomenon lowers the temperature.",0,1
725,There is always a break to keep the body temperature from rising to maintain sex.,0,0
726,It's because the water evaporates and the temperature goes down,0,0
727,M and D,0,0
728,"Yes, yes, yes",0,0
729,Mall,0,0
730,I don't understand.,0,0
731,I don't know. I don't know,0,0
732,I don't know.,0,0
733,I don't know,0,0
734,M and D,0,0
735,I don't understand.,0,0
736,I don't understand.,0,0
737,I don't understand.,0,0
738,I don't understand.,0,0
739,Because of the sweat?,0,0
740,I don't know.,0,0
741,I don't know,0,0
742,I don't understand.,0,0
743,I don't understand.,0,0
744,M and D,0,0
745,I don't know,0,0
746,Hot,0,0
747,.,0,0
748,I don't understand.,0,0
749,Unknowingness,0,0
750,Mr,0,0
751,I don't know.,0,0
752,.,0,0
753,"In your body temperature, perspiration to evaporate aja doem store.",0,0
754,And get out of water in his body.,0,0
755,""" First, find out what is sweat.",0,0
756,,0,0
757,No sweat : a liquid that is excreted from the [æ±èº] sweat glands from humans or animals.,0,0
758,,0,0
759,And inform you that the function of the sweat.,0,0
760,,0,0
761,"Fiji with skin dryness, and the surface of the sweat evaporation heat, while maintaining a normal level, defense by the regulating body temperature. Sweat secretion rate of 600 to 700 a day m per liter, but summer or exercise even when 10 liters. Thermal sweating in accordance with the cause is sweating and identified as psychogenic sweating. ?¨ì´??ë°í?? ì²´ì¨ì¡°ì ??ê´??¬í?????¼ë¡?? ê¸°ì¨???ì ?ë ê·¼ì¡?´ë???í´ ?´ì´ ë§ì´ ???ì ?ê¸´?? The sweat of palms and soles other than the body. Psychogenic sweating, armpits and soles of the palm of your hand only, as sweating that happens when emotion shown. When they feel tension, means the word ?the hand squirt him??mental sweating. ?´ë¤ ?ì???????ì ì¹¨ì ì¹ í???µê????ë?? ?´ì? ë§ì°¬ê°?ì§?ë¡??ì ??ë°í?? ?ë°?¥Â·ë°ë°ë¥???µê¸°ë¥?ì£¼ì´, ?ì¡±????ì§ì???©ì´?ê² ?ë¤???ë¬¼?ì ???ë?ê°? ?ë¤.",0,0
762,,0,0
763,And I sweat because it's hot. It gets cool when I go to a cool place.,0,0
764,,0,0
765,That's because sweat evaporates and takes away the heat from our bodies.,0,0
766,,0,0
767,Then our hot bodies can come back to normal.,0,0
768,,0,0
769,"I hope it helps.^^ """,0,0
770,"""When a substance in a liquid becomes a gas, it needs energy",0,0
771,Sweat from the body also needs energy when it becomes a gas,0,0
772,That energy is taken from our body temperature,0,0
773,"""",0,0
774,"""",0,0
775,,0,0
776,Sweat: Liquid secreted from sweat glands in humans and animals.,0,0
777,,0,0
778,And I'll show you the function of sweat.,0,0
779,,0,0
780,"Sweat prevents the skin from drying along with sebum, maintains the surface normal, and regulates the body temperature by dissipating evaporation heat. The secretion of sweat is 600~700m?áµ?áµ?á¡??per day, but it can be up to 10?á¡?áµ?á© during summer or exercise. Fever is classified into warm and psychotic sweating according to its cause. Thermal sweating is sweat that is involved in body temperature control, which occurs when the temperature is high or when a lot of heat is generated by muscle exercise. This cold comes from the whole body other than the palm and sole of the foot. Mental sweating is perspiration that occurs when you are moved, and appears only in the palm, soles of your feet, and armpits. When you're nervous, the word ""sweat in your hand"" means mental sweating. There is a habit of painting saliva on the hands when performing certain movements, and similarly, mental sweating has a biological meaning that it facilitates the movement of the hands and feet by moisturizing the palms and feet.",0,0
781,,0,0
782,And I sweat because it's hot. It gets cool when I go to a cool place.,0,0
783,,0,0
784,That's because sweat evaporates and takes away the heat from our bodies.,0,0
785,,0,0
786,Then our hot bodies can come back to normal.,0,0
787,,0,0
788,,0,0
789,"""",0,0
790,"Sweat needs heat to evaporate, because it absorbs heat from our bodies and evaporates.",0,0
791,"""The heat energy in your body is absorbed by sweatIt's a decrease in body temperature """,0,0
792,"Sweat vaporizes and takes away body temperature with vaporizing heat, which seems to lower body temperature",0,0
793,"""",0,0
794,Sweat from the body also needs energy to become a gas,0,0
795,We'll take that energy out of our body temperature,0,0
796,That's why your body temperature goes down,0,0
797,The reason why people sweat when they have a lot of heat is because they want to cool down,0,0
798,"Because your body releases sweat.""",0,0
799,Sweat changes your condition and takes away your body's heat energy,0,0
800,"As the sweat cools, the body temperature decreases.",0,0
801,"When sweat absorbs heat energy, the temperature around it decreases.",0,0
802,"It's like when you put alcohol on your skin, your skin gets cold. This is the same as when alcohol evaporates, it takes a lot of heat from around it and vaporizes it. Using the properties of taking heat away from surrounding objects when a liquid is converted into a gas",0,0
803,Sweat takes away the heat energy from your body,0,0
804,"After sweating due to increased body temperature, the liquid sweat takes away heat energy to vaporize, and in the process, the body temperature is also taken away and the body temperature is lowered.",0,0
805,"As the sweat vaporizes, it takes away the heat from the body and lowers the body temperature",0,0
806,Sweat evaporates and absorbs heat from your body,0,0
807,It's because sweat takes the heat from my body while sweating,0,0
808,Because heat energy escapes as it vaporizes.,0,0
809,It's because sweat takes the energy of the body undergoing ecological changes,0,0
810,"Liquid sweat vaporizes and takes heat away from the body, which lowers body temperature",0,0
811,The body temperature decreases because the sweat absorbs heat as it dries.,0,0
812,"""Because the summer rainy season in our country is hot and humid.",0,0
813,"""Because there's already a lot of moisture in the air, even if you sweat, it doesn't evaporate well or slowly.""",0,0
814,This is because sweat takes the body's energy as the condition changes.,0,0
815,This is because sweat takes the body's energy as the condition changes.,0,0
816,It's because sweat heats up,0,0
817,absorption of heat of vaporization of water,0,1
818,Because the heat goes away with sweat,0,0
819,The sweat evaporates and absorbs the heat around the sweat,0,0
820,The heat went out of my sweat,0,0
821,"Sweat vaporizes and absorbs heat, reducing body temperature.",0,0
822,Heat from moving,0,0
823,"""It's cold because I get wet when I sweat",0,0
824,"""",0,0
825,Let's get the heat out,0,0
826,Because my body temperature is drained by sweat.,0,0
827,The heat from your body goes away with sweat,0,0
828,It's so hot that our bodies evaporate,0,0
829,How do I know?,0,0
830,"If you sweat, it means you have a lot of moisture, but if you don't, your body temperature decreases",0,0
831,"When I sweat and cool down, I rest",0,0
832,"Because moisture is generated, the heat cools down a little.",0,0
833,"Sweat is water stored in our body, but as the water comes out of our body, time goes by and the body gets cold because of the sweat",0,0
834,"When you sweat, the sweat cools down and the temperature of your body decreases, which is why it is cold.",0,0
835,This is because sweat vaporizes and absorbs heat of vaporization.,0,1
836,It can be converted to kinetic energy,0,0
837,"When you sweat, the sweat cools down and your body temperature drops",0,0
838,"""Since it's summer, sweat...""",0,0
839,"""It's me""",0,0
840,Because sweat flies away with heat,0,0
841,"Sweat is moisture in us, because it feels cool when it is drained.",0,0
842,Sweat drained my heat,0,0
843,I don't know.,0,0
844,It is because sweat is cold.,0,0
845,"If you sweat, the temperature will go down",0,0
846,Because I take out all the heat from my body.,0,0
847,the condition of the water vaporizing and cooling,0,0
848,It's because it's hot,0,0
849,This is because sweat evaporates.,0,0
850,"When sweating, enthalpy increases and heat entry must occur to do so.",0,0
851,This is because sweat evaporates and the heat of vaporization is absorbed.,0,1
852,Because of the heat of vaporization,0,1
853,"As sweat evaporates, the body temperature decreases because it takes away the heat of vaporization from our bodies.",0,1
854,"When sweat vaporizes, heat absorption occurs and the body temperature decreases.",0,0
855,"As the ground vaporizes, it absorbs heat of vaporization, which lowers the body temperature.",0,1
856,The body temperature decreases because sweat evaporates and takes away the heat of vaporization.,0,1
857,Sweat absorbs heat and becomes a gas.,0,0
858,Evaporative heat absorption,0,0
859,It absorbs heat of vaporization,0,1
860,heat of vaporization,0,1
861,It's because sweat evaporates and absorbs heat from vaporization,0,0
862,"As sweat evaporates, it absorbs body temperature and feels cool.",0,0
863,My sweat is dry,0,0
864,"Oh, I don't know. I'm curious",0,0
865,It gets cold when the sweat dries,0,0
866,Sweat vaporizes and takes heat from your body,0,0
867,It's because the water in the body is drained by sweat,0,0
868,This is because sweat absorbs heat from the surroundings as it dries.,0,0
869,It's released with heat,0,0
870,"Heat energy moves from high temperature to low temperature. The temperature of sweat after exercise is lower than the body temperature, so the body temperature is lowered because the heat energy of the body temperature is lost.",0,0
871,The body temperature drops as moisture escapes from the body.,0,0
872,Sweat cools down and flies away with heat,0,0
873,I sweat a lot and take away the heat,0,0
874,Sweat evaporates and takes away your body temperature,0,0
875,Sweat from the body vaporizes and lowers the temperature inside the body,0,0
876,I'm sweating because it's hot,0,0
877,Take heat,0,0
878,My sweat is cold,0,0
879,Our body releases c-dam to control the temperature,0,0
880,"As the sweat cools, the body cools.",0,0
881,This is because the sweat disappeared as it was absorbed by the body.,0,0
882,"Sweating means that our body's moisture escapes, and as moisture escapes, our body temperature decreases.",0,0
883,"As the sweat evaporates, it cools down because it also takes the heat from my body.",0,0
884,I'm running out of water,0,0
885,I don't know.,0,0
886,This is because sweat evaporates and takes away heat.,0,0
887,"The body temperature is high, so sweat is released to cool down",0,0
888,The temperature changed,0,0
889,The reason why you release the heat from your body is because you lose the heat from your sweat,0,0
890,"It's because sweat evaporates and takes heatWhen the body temperature rises, the body temperature decreases by sweating to lower the temperature.",0,0
891,It's because the energy is drained by sweat.,0,0
892,"When you sweat, the wind blows and cools, and your body temperature decreases?",0,0
893,It's the same thing as water on your body,0,0
894,To heat up your body,0,0
895,"Sweat changes the body temperature, so it cools down in the process of trying to get it back to its original state.",0,0
896,.,0,0
897,Moisture escapes from the mong and the body temperature drops,0,0
898,It's because my body is cold,0,0
899,Sweat evaporates with body temperature.,0,0
900,This is because sweat releases heat.,0,0
901,"As the sweat evaporates, the body temperature decreases due to heat of vaporization or release",0,1
902,Well.,0,0
903,Sweat evaporates and takes away the temperature,0,0
904,in order to release heat,0,0
905,Because I'm taking out water to lower my elevated body temperature... It lowers your body temperature.,0,0
906,"Because water has a large specific heat, the moisture in the sweat vaporizes and takes away a lot of heat from the body",0,0
907,d,0,0
908,"As the moisture comes out of your body, it's going to shoot!",0,0
909,heat of vaporization,0,1
910,This is because sweat vaporizes and takes away heat from the body.,0,0
911,"When water vaporizes, it absorbs surrounding heat due to an endothermic reaction.",0,0
912,"Because sweat releases heat and waste from the body, body temperature decreases after sweating",0,0
913,"There is heat in the body in sweat, which releases heat.",0,0
914,I'd love to.,0,0
915,"This is because when a substance evaporates, it absorbs heat and takes away my body temperature.",0,0
916,This is because sweat absorbs heat of vaporization as it evaporates.,0,1
917,It's for maintaining homeostasis.,0,0
918,"When the body temperature increases, the blood flow increases, and when the blood flow increases, the osmotic pressure increases, which lowers the osmotic pressure by discharging sweat to maintain homeostasis.",0,0
919,"Sweat is liquid. Therefore, when sweat evaporates, the body temperature decreases due to the heat of vaporization.",0,1
920,"When sweat evaporates by vaporization heat absorption, the surrounding heat energy is absorbed.",0,0
921,"When a liquid becomes a gas, it absorbs the thermal energy around it and changes its state, and sweat acts as this liquid and takes away body temperature and evaporates.",0,0
922,I don't know.,0,0
923,"When sweat evaporates from your skin, it absorbs energy from your surroundings",0,0
924,This is because it absorbs the heat energy around it after sweating.,0,0
925,"When sweat evaporates, it becomes gas, which takes away heat and lowers body temperature.",0,0
926,The body temperature decreases because sweat generated from the body vaporizes and takes away the heat around it.,0,0
927,"Thermal energy is involved in the phase shift of matter.It absorbs heat energy when it changes from solid to liquid and from liquid to gas, and vice versa. Since sweat is mostly liquid, which is water, when heated on a hot day, it absorbs heat energy and lowers body temperature when it turns into a gas.",0,0
928,The body temperature is lowered because the liquid vaporizes into a gas and takes away heat from the skin.,0,0
929,The body temperature is lowered because the liquid vaporizes into a gas and takes away heat from the skin.,0,0
930,"It absorbs heat of vaporization in the process of liquid turning into gas. As sweat evaporates, the body temperature decreases because it absorbs heat from the body.",0,1
931,"Sweat is a liquid that absorbs the heat around it when a phase change occurs into a gas. Therefore, absorbing heat from the human body lowers body temperature.",0,0
932,The sweat evaporated and the heat went out,0,0
933,The body temperature decreases because sweat evaporates and takes away heat.,0,0
934,"As sweat, which is a liquid, evaporates and becomes a gas, it takes away the heat from your body temperature and lowers your body temperature.",0,0
935,I don't know,0,0
936,The body temperature decreases because the heat of vaporization goes out as the sweat from the body vaporizes.,0,1
937,"Sweat is a liquid, and vaporization occurs in the process of drying after sweating. Energy must be absorbed in order for a liquid with a low energy state to vaporize into a gas with a high energy state. That is, since the heat energy of the skin is absorbed in the process of vaporizing sweat, the body temperature is lowered.",0,0
938,out of heat,0,0
939,"Sweat on the skin evaporates from a liquid state to a gaseous state, which takes the energy needed to change the state from our skin temperature, which lowers the body temperature.",0,0
940,It is easy to control body temperature by taking away existing heat due to opportunity heat.,0,0
941,Sweat vaporizes and absorbs heat It absorbs body heat. It lowers body temperature,0,0
942,The liquid vaporizes and absorbs heat,0,0
943,"Sweat is liquid. The reason why the body sweats is to lower the body temperature, but the body cools down because the sweat vaporizes and takes away the heat of vaporization.",0,1
944,"The sweat evaporates and flies away from the skin's surface, and when this phenomenon occurs, heat absorption occurs that absorbs heat from the surrounding area. Therefore, lowering the body temperature is a phenomenon that occurs because the vaporization phenomenon is an endothermic reaction.",0,0
945,The liquid sweat evaporates and an endothermic reaction occurs. Why do we need this heat absorption energy? It happens because it weakens the attraction between particles in a liquid state and makes them into gas states that are far from each other. So to absorb the heat from our bodies.The body temperature drops.,0,0
946,Most of the sweat is made up of water. This water uses heat energy when it evaporates. The use of heat energy lowers the body temperature.,0,0
947,"The sweat holes in the body become bigger, and as you sweat, the body's heat escapes and the body temperature decreases. The evaporation of sweat is the vaporization of a liquid into a gas, and it is an endothermic reaction.",0,0
948,"As sweat vaporizes from the liquid, it absorbs heat from the body, which lowers body temperature.",0,0
949,Sweat vaporizes and takes away heat from the body according to the change in the condition of the substance,0,0
950,"Sweat is a liquid, but as the liquid vaporizes, it becomes cool to carry heat together.",0,0
951,"The liquid vaporizes into a gas and takes away the surrounding heat energy. Therefore, sweat and sweat vaporize, depriving the body of heat, lowering body temperature.",0,0
952,"The liquid sweat evaporates into the air over time and disappears. The change of a liquid substance into a gaseous state is called vaporization. Since gaseous substances have more energy than liquid substances, liquid substances need to absorb heat from their surroundings to obtain energy to become gaseous substances. In other words, when sweat evaporates, it absorbs heat and evaporates, which lowers body temperature.",0,0
953,Sweat is produced and it dries up and absorbs heat,0,0
954,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0
