,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,density difference,buoyancy,rise airflow,evaporation,molecular motion,temperature,air temperature
354,Hot air goes up and cold air goes down,0,0,0,0,0,0,0
355,I don't know.,0,0,0,0,0,0,0
356,Hot air has the property of going up and cold air down,0,0,0,0,0,0,0
357,Gas has the property of rising when the temperature is high.,0,0,0,0,0,1,0
358,"The warmer it is, the higher it goes",0,0,0,0,0,0,0
359,Warm air goes up,0,0,0,0,0,0,0
360,It heats up the air and generates energy,0,0,0,0,0,0,0
361,Air with high temperature goes up,0,0,0,0,0,1,0
362,"Because the air is heavy,",0,0,0,0,0,0,0
363,I don't know.,0,0,0,0,0,0,0
364,Carbon dioxide is generated from the fire because the balloon swells up and goes up.,0,0,0,0,0,0,0
365,"The air becomes lighter when heated, so it becomes lighter than the air outside and goes up",0,0,0,0,0,0,0
366,Warm air will go up because of the nature of the gas that goes up.,0,0,0,0,0,0,0
367,"If the temperature goes up, the density goes down",0,0,0,0,0,1,0
368,on fire,0,0,0,0,0,0,0
369,The hot air goes up,0,0,0,0,0,0,0
370,"This is because when the temperature rises, the gas tends to rise.",0,0,0,0,0,1,0
371,by burning oxygen,0,0,0,0,0,0,0
372,Hot air floats up because it is lighter than cold air.,0,0,0,0,0,0,0
373,This is because gases have the property of going up when the temperature rises.,0,0,0,0,0,1,0
374,"As the temperature rises, the density of the gas decreases and becomes lighter, so it goes up",0,0,0,0,0,1,0
375,This is because the temperature rises and the volume expands.,0,0,0,0,0,1,0
376,"The air is hot, and the air is cold, because convection occurs.",0,0,0,0,0,0,0
377,Because of the smoke,0,0,0,0,0,0,0
378,"As the temperature rises, the gas evaporates",0,0,0,0,0,1,0
379,Warm temperatures go up because they are lighter.,0,0,0,0,0,1,0
380,The gas heats up the cold gas by using hot gas as it rises and cold gas as it descends,0,0,0,0,0,0,0
381,Because the hot air rises up,0,0,0,0,0,0,0
382,This is because the temperature moves from low to high.,0,0,0,0,0,1,0
383,"Hot air balloons use helium gas, which is lighter than air, so if you heat the air in the hot air balloon, you can go up to the sky",0,0,0,0,0,0,0
384,Increase the temperature of the air in the hot air balloon and use the air pressure difference from the surrounding air to rise,0,0,0,0,0,1,0
385,"When you're heated, it goes up",0,0,0,0,0,0,0
386,"When you heat the air, it turns into helium",0,0,0,0,0,0,0
387,"As the temperature rises, the gas expands, so run a hot air balloon using light helium.",0,0,0,0,0,1,0
388,"As the temperature rises, the gas expands, so it uses light helium and runs a hot air balloon.",0,0,0,0,0,1,0
389,"Hot air is due to its upward nature. When the air is heated, the volume increases and the density decreases. Therefore, it becomes light and rises to the sky.",0,0,0,0,0,0,0
390,"When the air is heated, it is lightly transformed into an underwater machine and goes up. It's using this principle.",0,0,0,0,0,0,0
391,"Air molecules become active when heated. As a result, the density decreases and the lighter air rises. Therefore, when the air in the hot air balloon is heated, the air in the hot air balloon becomes relatively lighter than the outside air and rises.",0,0,0,0,0,0,0
392,Hot heat goes up because of course,0,0,0,0,0,0,0
393,"Hot air goes up, so hot air balloons go up",0,0,0,0,0,0,0
394,I don't know,0,0,0,0,0,0,0
395,"It is because warm air goes upWarm air is lighter than cold air, so it floats up",0,0,0,0,0,0,0
396,I don't know ^^,0,0,0,0,0,0,0
397,Because the hot air goes up,0,0,0,0,0,0,0
398,Hot air can go up into the sky because it has the property of going up,0,0,0,0,0,0,0
399,This is because the air expands by heat.,0,0,0,0,0,0,0
400,Fire in the air and the hot air balloon,0,0,0,0,0,0,0
401,"Since the hot air is directed upward, the air in the hot air balloon is constantly heated and the hot air balloon is raised",0,0,0,0,0,0,0
402,"This is because as the temperature rises, the movement of the molecule becomes more active and as it gets hotter, it goes up.",0,0,0,0,0,1,0
403,Because the air in the balloon is lighter than the air outside.,0,0,0,0,0,0,0
404,"When heat is applied to the gas, the molecular motion becomes relatively active, making it lighter in mass than cold air, so it floats",0,0,0,0,1,0,0
405,This is because hot air goes up and the air expands,0,0,0,0,0,0,0
406,"When the air is heated, it becomes lighter and goes up, and relatively cold air is heavy, causing convection that goes down, so the hot air balloon goes up.",0,0,0,0,0,0,0
407,"When the air is heated, the movement of the air becomes active and the density of the air decreases and rises.",0,0,0,0,0,0,0
408,"As the temperature rises, the gas becomes lighter. Therefore, when the air is heated in a hot air balloon, the air goes up and can go up into the sky.",0,0,0,0,0,1,0
409,This is because warm air goes up.,0,0,0,0,0,0,0
410,This is because the warm air goes up as the air circulates,0,0,0,0,0,0,0
411,"As the temperature rises, the gap between molecules widens, and then the weight of the gas within a certain volume becomes lighter. Therefore, the air in the balloon is lighter than the outside atmosphere, so a hot air balloon rises.",0,0,0,0,0,1,0
412,"When cold air and hot air are compared, hot air is relatively low in density, so hot air rises. When this is applied to a hot air balloon, the fire in the balloon makes the air in the balloon hotter, which is lower in density than the outside air and floats upward.",0,0,0,0,0,0,0
413,"As the temperature rises, the distance between gas molecules increases, which reduces the density. The difference in density from the air goes up further.",0,0,0,0,0,1,0
414,"When the temperature is high, the molecule's movement becomes active and it goes up into the sky because it has the property of trying to rise above the surrounding air.",0,0,0,0,0,1,0
415,"When the air is heated, molecular activity becomes active, expanding in volume and decreasing density, causing the air to rise. So, if you heat the air just below the balloon part above the hot air balloon, the density of the air part decreases and goes up, and the tooth pushes the balloon part and can go up into the sky.",0,0,0,0,0,0,0
416,"When the gas is heated, the volume of the gas expands, but the density decreases because the mass is constant. Accordingly, the density of air in the hot air balloon is lower than the density of the surrounding air, and the hot air balloon rises into the sky.",0,0,0,0,0,0,0
417,"The density of the gas varies depending on the temperature. When the temperature increases, the molecular motion of the gas becomes active, and thus the density per unit space decreases, and when the temperature decreases, the density per unit space increases. Hot air balloons lower the density of the gas by heating the air. Then, the mass per unit of air with reduced density floats upward because it is lighter than the surrounding air.",0,0,0,0,1,1,0
418,"As the temperature rises, the volume of air increases, and the mass decreases compared to the relatively same volume, making it lighter than the surrounding air, so that a hot air balloon rises.",0,0,0,0,0,1,0
419,"As the temperature increases, molecules in the air become more active",0,0,0,0,0,1,0
420,"When heat is applied to the gas, the motion of the gas molecules increases and the volume increases. As the volume of the gas increases in this way, the density decreases. As the density becomes lower than that of the external air, the hot air balloon rises into the air due to the difference in density.",0,0,0,0,0,0,0
421,"When the air gets hot, it goes up. And the cold air goes down.",0,0,0,0,0,0,0
422,"When the air is heated, the molecules in the hot air balloon move faster. Then it becomes lighter than the outside air and goes up.",0,0,0,0,0,0,0
423,action reaction,0,0,0,0,0,0,0
424,Ankimchi. (Ankimchi in Korean),0,0,0,0,0,0,0
425,This is because the density decreases as the temperature of the gas moves,0,0,0,0,0,1,0
426,This is because gas rises when the temperature rises,0,0,0,0,0,1,0
427,Because hot air goes up and cold air goes down,0,0,0,0,0,0,0
428,Warm air goes up and cold air goes down,0,0,0,0,0,0,0
429,It's because the warm air goes up,0,0,0,0,0,0,0
430,The hot air balloon goes up because the warm air goes up and the cold air goes down.,0,0,0,0,0,0,0
431,"High-temperature air goes up, so a hot air balloon seems to go up into the sky.",0,0,0,0,0,1,0
432,"Air with high temperature goes up, so hot air balloons can go up",0,0,0,0,0,1,0
433,Warm air goes up,0,0,0,0,0,0,0
434,Warm air goes up,0,0,0,0,0,0,0
435,Because the hot air goes up,0,0,0,0,0,0,0
436,"Warm air rises and cold air falls, so a relatively hot air balloon rises",0,0,0,0,0,0,0
437,Hot air heats the air with fire because it floats up,0,0,0,0,0,0,0
438,"This is because if you heat the air in a hot air balloon with fire, the warm air goes up and the cold air goes down",0,0,0,0,0,0,0
439,"Because cold air goes down and hot air goes up, hot air balloons go up into the sky.",0,0,0,0,0,0,0
440,There needs to be hot heat to get hot,0,0,0,0,0,0,0
441,"A hot air balloon fills the balloon with air and heats it up into the air, which increases the particle motion when heated to the gas. In addition, as the density is lower than that of the outside air, the hot air balloon rises due to the difference in density between the inside and the inside.",0,0,0,0,0,0,0
442,Because the top is hot and the bottom is cold.,0,0,0,0,0,0,0
443,Hot air molecules become less dense and float upward. Hot air balloons float in the sky because they heat the air inside the hot air balloon with fire,0,0,0,0,0,0,0
444,Because warm air goes up and cold air goes down,0,0,0,0,0,0,0
445,It makes air with hot heat and jumps to the ground,0,0,0,0,0,0,0
446,The hot air is about to go up.,0,0,0,0,0,0,0
447,"Since the heat of the fire comes into contact with oxygen,",0,0,0,0,0,0,0
448,This is because air with high temperature rises upward.,0,0,0,0,0,1,0
449,Because it goes up when the temperature is high,0,0,0,0,0,1,0
450,"The hotter the gas is, the lighter it is",0,0,0,0,0,0,0
451,Hot air goes up because it floats up.,0,0,0,0,0,0,0
452,The hot air balloon is pushed to float.,0,0,0,0,0,0,0
453,Because the fire burns the gas and it floats,0,0,0,0,0,0,0
454,"When the gas is heated, it becomes lighter",0,0,0,0,0,0,0
455,Because the air with higher temperatures decreases in volume and becomes lighter and goes up,0,0,0,0,0,1,0
456,"As the temperature rises, molecular motion becomes active and increases in volume, so it flies up into the sky.",0,0,0,0,1,1,0
457,It's because the volume gets bigger and bigger,0,0,0,0,0,0,0
458,Hot air goes up,0,0,0,0,0,0,0
459,Gas rises when it gets hot,0,0,0,0,0,0,0
460,"This is because when the air is heated, the volume increases and the density decreases by PV=nRT.",0,0,0,0,0,0,0
461,"When the air gets warm, it becomes lighter and goes up So a hot air balloon can fly into the sky.",0,0,0,0,0,0,0
462,It gets lighter when the temperature goes up.,0,0,0,0,0,1,0
463,This is because hot air goes up through the circulation of the air,0,0,0,0,0,0,0
464,The air rises when the temperature is high.,0,0,0,0,0,1,0
465,Air rises when the temperature is high,0,0,0,0,0,1,0
466,Hot air rises and floats using its power,0,0,0,0,0,0,0
467,It is heated and the density of the air decreases and rises.,0,0,0,0,0,0,0
468,The hot air becomes less dense and goes up,0,0,0,0,0,0,0
469,jackpot,0,0,0,0,0,0,0
470,"It heats up the balloon, expands, activates the exercise, and then goes up",0,0,0,0,0,0,0
471,"As the temperature rises, the volume of the gas increases and the hot air balloon rises into the sky",0,0,0,0,0,1,0
472,"When the air is heated, the movement is actively carried out, so that the hot air balloon floats.",0,0,0,0,0,0,0
473,Air expansion due to higher temperature pressure,0,0,0,0,0,1,0
474,sorry,0,0,0,0,0,0,0
475,"This is because if the temperature is high, the distance between gases and the movement becomes faster.",0,0,0,0,0,1,0
476,due to rising air currents,0,0,0,0,0,0,0
477,This is because the air becomes lighter as the temperature goes up.,0,0,0,0,0,1,0
478,This is because gases with high temperatures have convection going up.,0,0,0,0,0,1,0
479,Pressure difference with temperature,0,0,0,0,0,1,0
480,"If the temperature is high, the gas volume increases and the mass decreases according to the unit volume, so it can float.",0,0,0,0,0,1,0
481,This is because gases become lighter when the temperature increases.,0,0,0,0,0,1,0
482,Because I had a pretty dream of flying in a balloon.,0,0,0,0,0,0,0
483,Hot air floats hot air balloons using its upward properties.,0,0,0,0,0,0,0
484,"This is because when a yellow balloon flies in the sky, it reminds me of beautiful memories in my heart.",0,0,0,0,0,0,0
485,"Increasing the temperature speeds up the molecular motion, which expands the volume of air. Eventually, the density of air decreases, so hot air balloons can go up into the sky.",0,0,0,0,1,1,0
486,"When the temperature rises, the volume expands, so the density is smaller than that of the surrounding air, so it rises.",0,0,0,0,0,1,0
487,"""As the temperature increases, the gas expands according to Charles' law, although the total number of particles in the gas does not change. Instead, the density decreases as the volume increases.",0,0,0,0,0,1,0
488,"The reduced density of air goes up, and the hot air balloon goes up along with the air.""",0,0,0,0,0,0,0
489,Hot air is lighter than cold air,0,0,0,0,0,0,0
490,Lalalalalalalalalalalalalalalalalalalalalalalalalalalal,0,0,0,0,0,0,0
491,Heat travels through the hot air balloon,0,0,0,0,0,0,0
492,Because it evaporates,0,0,0,0,0,0,0
493,ãã353566 77ã ,0,0,0,0,0,0,0
494,"If you use fire to heat the surrounding air, the hot air goes up because it goes upWhen the gas gets hot, it becomes lighter and flies high, like a hot air balloon",0,0,0,0,0,0,0
495,The hot air goes up,0,0,0,0,0,0,0
496,Helium is lighter than air,0,0,0,0,0,0,0
497,All right.,0,0,0,0,0,0,0
498,"If it's hot, it'll go up!",0,0,0,0,0,0,0
499,This is because warm air goes up and cold air goes down.,0,0,0,0,0,0,0
500,Warm air goes up,0,0,0,0,0,0,0
501,Because hot air goes up,0,0,0,0,0,0,0
502,Gases from the fire go up,0,0,0,0,0,0,0
503,the principle of air,0,0,0,0,0,0,0
504,Hot air balloons fly well.,0,0,0,0,0,0,0
505,Hot heat rises in the balloon,0,0,0,0,0,0,0
506,Hot air balloons use force on fire.,0,0,0,0,0,0,0
507,"If it's cold, the people inside are cold",0,0,0,0,0,0,0
508,I don't know.,0,0,0,0,0,0,0
509,Don't know,0,0,0,0,0,0,0
510,I don't know,0,0,0,0,0,0,0
511,Because hot air goes up,0,0,0,0,0,0,0
512,"The higher the temperature, the more active it becomes.",0,0,0,0,0,1,0
513,I don't know. I forgot.,0,0,0,0,0,0,0
514,Yes.,0,0,0,0,0,0,0
515,Don't know,0,0,0,0,0,0,0
516,The warm air goes up,0,0,0,0,0,0,0
517,The warm air goes up,0,0,0,0,0,0,0
518,The air is light,0,0,0,0,0,0,0
519,.,0,0,0,0,0,0,0
520,"Gas goes up when it gets hot, so hot air balloons go up together.",0,0,0,0,0,0,0
521,"When the air gets warm, it goes up into the sky",0,0,0,0,0,0,0
522,I don't know,0,0,0,0,0,0,0
523,The heat is generated to make the hot air balloon float.,0,0,0,0,0,0,0
524,"Hot air goes up and cold air goes down, so it heats up the air and the hot air balloon flies into the sky",0,0,0,0,0,0,0
525,"It goes down when it's cold, and it goes up when it's hot",0,0,0,0,0,0,0
526,I don't know,0,0,0,0,0,0,0
527,"When the air gets warm, it uses the rising property. That is, when the gas is heated, a hot air balloon can be mounted due to the nature of going up to the sky.",0,0,0,0,0,0,0
528,"Since hot heat rises upward, hot heat is applied to the balloon of the hot air balloon, which rises due to the nature of heat.",0,0,0,0,0,0,0
529,"Heat has the property of rising up, which made a hot air balloon.",0,0,0,0,0,0,0
530,diffusion of gas,0,0,0,0,0,0,0
531,"This principle allows hot air balloons to rise into the sky because air moves as it moves because high temperatures are filled with particles of air, while low temperatures are less than high temperatures, just as wind blows from the hot sand to the cold sea during the day.",0,0,0,0,0,1,0
532,Don't know,0,0,0,0,0,0,0
533,The hot air goes up,0,0,0,0,0,0,0
534,The air is heated up,0,0,0,0,0,0,0
535,"If it's warm, it gets lighter",0,0,0,0,0,0,0
536,The air gets lighter and it flies away,0,0,0,0,0,0,0
537,The hot wind goes up and the cold wind goes down,0,0,0,0,0,0,0
538,The heat goes up and the hot air balloon goes up,0,0,0,0,0,0,0
539,"Cold air has the property of sinking, and hot air has the property of rising up, so when you warm the inside of a hot air balloon, the hot air balloon rises.",0,0,0,0,0,0,0
540,Because the gas goes up,0,0,0,0,0,0,0
541,I don't know,0,0,0,0,0,0,0
542,"If you keep it warm when the wind blows, it goes up well",0,0,0,0,0,0,0
543,"The hot air goes up and down to the cold air isne Are. Using this principle, the hot air balloon floats with warm air raised by fire.",0,0,0,0,0,0,0
544,"As the temperature of the gas increases, the weight of the air becomes lighter, so it can go up into the sky.",0,0,0,0,0,1,0
545,I don't know.,0,0,0,0,0,0,0
546,It is because the air is burned to a level,0,0,0,0,0,0,0
547,This is because hot air has the property of going up and cold air has the property of going down.,0,0,0,0,0,0,0
548,"When heated by fire, it floats under the weight of the gas that the fire creates",0,0,0,0,0,0,0
549,"Because warm air is above, it is pushed up by cold air.",0,0,0,0,0,0,0
550,"When you heat the gas, it goes up (?",0,0,0,0,0,0,0
551,"As far as I know, the warmer it is, the higher it goes up, and the colder it gets, the lower it goes down",0,0,0,0,0,0,0
552,"When the air is hot, it becomes light and rises above it, and when it is cold, it becomes heavy and sinks below.",0,0,0,0,0,0,0
553,I think it became a hot air balloon by blowing a balloon with hot heat,0,0,0,0,0,0,0
554,"It is heated and made into an underwater machine, so the underwater machine is climbed by means of climbing.",0,0,0,0,0,0,0
555,"""Table tennis balls shrink when immersed in cold water and swell again when immersed in hot water, and like that, hot air balloons rise up when they meet hot heat.",0,0,0,0,0,0,0
556,"So the hot air balloon uses heatThat's why it's a hot air balloon. """,0,0,0,0,0,0,0
557,I don't know,0,0,0,0,0,0,0
558,I don't know.,0,0,0,0,0,0,0
559,We used the characteristics of air that decreases density when the temperature is high,0,0,0,0,0,1,0
560,I don't know.,0,0,0,0,0,0,0
561,"When the gas is heated, it expands and rises.",0,0,0,0,0,0,0
562,"The higher the temperature, the lighter.",0,0,0,0,0,1,0
563,"When the characteristics of air are applied with heat, the movement of the molecules becomes increasingly active, and there is a characteristic ááµ to go up. That's why when you heat a hot air balloon, it goes up.",0,0,0,0,0,0,0
564,"The driver of ""To Go"" in Paris!",0,0,0,0,0,0,0
565,"When you make a fire, the air around you gets hot and the hot air goes up, so hot air can go up into the sky.",0,0,0,0,0,0,0
566,Warm meat goes up,0,0,0,0,0,0,0
567,"This is because when air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up. I think it's because air with high temperature is low density.",0,0,0,0,0,1,0
568,Isn't it because the temperature inside the hot air balloon is higher than the surrounding air?,0,0,0,0,0,1,0
569,I don't know.,0,0,0,0,0,0,0
570,"This is because the temperature rises above, and when air is heated in the hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air.",0,0,0,0,0,1,0
571,This is because warm air has the property of going up.,0,0,0,0,0,0,0
572,Hot heat tends to go up,0,0,0,0,0,0,0
573,Hot air goes up,0,0,0,0,0,0,0
574,This is because air expands when heated and becomes relatively lighter than unheated air as it expands.,0,0,0,0,0,0,0
575,"When air is heated in a hot air balloon, the temperature inside the hot air balloon is higher than that of the surrounding air. Hot air balloons go up because high-temperature air has the property of going up.",0,0,0,0,0,1,0
576,The temperature rises well because it gets hot,0,0,0,0,0,1,0
577,"The hot wind is supposed to go up to the sky, so it's a fascinating nature.",0,0,0,0,0,0,0
578,This is because the temperature inside the hot air balloon is higher than that of the surrounding airAir with high temperature goes up,0,0,0,0,0,1,0
579,"This is because when you heat the air inside the balloon, the temperature inside the balloon is higher than that of the surrounding air. This is because air with high temperature has the property of rising up.",0,0,0,0,0,1,0
580,"""",0,0,0,0,0,0,0
581,"Warm air has the property of trying to go up, so the air heated by the fire rises, and the hot air balloon rises to the sky.",0,0,0,0,0,0,0
582,This is because air with high temperature floats high into the sky.,0,0,0,0,0,1,0
583,This is because air with high temperature has the property of rising up.,0,0,0,0,0,1,0
584,"As the temperature increases, the energy of the particles constituting the material increases, and thus the distance between particles may become greater. In the case of a gas, the distance between particles becomes greater due to heat, and when the gases are gathered in a limited space, the mass of the collected gas remains but the density decreases. As a result, the air, which becomes smaller than the density of the surrounding air, rises upward, and a hot air balloon is used.",0,0,0,0,0,1,0
585,I don't know.,0,0,0,0,0,0,0
586,f,0,0,0,0,0,0,0
587,"Since there is a principle of gas that floats to the sky when the temperature is high, it can heat the air in the hot air balloon and fly to the sky.",0,0,0,0,0,1,0
588,"When air obtains thermal energy, molecular motion becomes active, and when ãáá§á« increases in volume and decreases in density. When the density is lower than the outside air, it rises upward.",0,0,0,0,1,0,0
589,This is because warm air is lighter than cold air and goes up.,0,0,0,0,0,0,0
590,I don't know,0,0,0,0,0,0,0
591,"The hot air rises when the temperature is hot, so using that principle, a hot air balloon floats",0,0,0,0,0,1,0
592,How do I know this...............,0,0,0,0,0,0,0
593,Hot gases are lighter than cold gasesBecause of the temperature,0,0,0,0,0,1,0
594,This is because hot air goes up.,0,0,0,0,0,0,0
595,The hot air goes up,0,0,0,0,0,0,0
596,I have no idea.,0,0,0,0,0,0,0
597,This is because gases have the property of rising up when heated.,0,0,0,0,0,0,0
598,I don't know,0,0,0,0,0,0,0
599,I don't know!,0,0,0,0,0,0,0
600,"Hot air goes up and cold air goes down The representative thing is the sea breeze, and the hot air fills the hot air balloon and goes up",0,0,0,0,0,0,0
601,Because the hot air goes up because it's light,0,0,0,0,0,0,0
602,Heat heats the air and lightens it up.,0,0,0,0,0,0,0
603,I don't know.,0,0,0,0,0,0,0
604,"This is because when the air becomes warm, the air becomes lighter and floats upward.",0,0,0,0,0,0,0
605,I don't know,0,0,0,0,0,0,0
606,Because the air gets hot and evaporates into the sky,0,0,0,0,0,0,0
607,The hot air goes up,0,0,0,0,0,0,0
608,Hot makes light.,0,0,0,0,0,0,0
609,the principle of water vapor,0,0,0,0,0,0,0
610,I don't know,0,0,0,0,0,0,0
611,Because hot air has the characteristic of going up,0,0,0,0,0,0,0
612,"This is because the higher the temperature, the higher the density of the gas",0,0,0,0,0,1,0
613,"If you heat it, the air expands",0,0,0,0,0,0,0
614,Heating activates the movement of gas molecules,0,0,0,0,0,0,0
615,"When the temperature goes up, the cold air goes down and the hot air goes up.",0,0,0,0,0,1,0
616,"When the gas is heated, the activity rises and the pressure rises and expands. So the weight per volume is lighter than usual, so a hot air balloon comes to mind.",0,0,0,0,0,0,0
617,Hot air goes up and cold air goes down,0,0,0,0,0,0,0
618,The air circulates inside the hot air balloon and rises with warm air,0,0,0,0,0,0,0
619,"When the temperature is increased, the movement of the air molecules in the air bag in the pouch is increased, the space between the molecules is widened, and the volume is increased, so the density of the air is decreased.",0,0,0,0,0,1,0
620,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",0,0,0,0,0,0,0
621,It's because gases with high temperatures have the properties of going up;,0,0,0,0,0,1,0
622,"As the temperature rises, the pressure rises, which increases in volume and decreases in weight and floats into the sky.",0,0,0,0,0,1,0
623,"As the temperature increases, the air molecules in the pocket move faster, the distance between the molecules increases, and the volume increases, and the density of the air in the pocket decreases",0,0,0,0,0,1,0
624,The air got warm,0,0,0,0,0,0,0
625,"Warm air has the property of going up. Because of this, the hot air balloon goes up.",0,0,0,0,0,0,0
626,Gas rises when it gets hot.,0,0,0,0,0,0,0
627,"""Cold air goes down because it's heavy and hot air goes up because it's light.",0,0,0,0,0,0,0
628,"The reason why the air conditioner is located above and the stove is located below is also to take advantage of this phenomenon to cause convection and improve heat circulation. Therefore, when the air in the hot air balloon is heated, it rises upward.""",0,0,0,0,0,0,0
629,Hot gases tend to go up,0,0,0,0,0,0,0
630,I even know that it goes up into the sky through heat,0,0,0,0,0,0,0
631,"If the temperature of the gas is high, there is a property of going up, and if the temperature is low, there is a property of going down. (Convection phenomenon)",0,0,0,0,0,1,0
632,"Balloons usually float, but they seem to float more by heating them up",0,0,0,0,0,0,0
633,"As the temperature increases, the volume of the gas increases at a constant rate.",0,0,0,0,0,1,0
634,"""The air inside is more than the air in the sky.""",0,0,0,0,0,0,0
635,"""It's too high. It's going up",0,0,0,0,0,0,0
636,"""Because the warm air goes up,",0,0,0,0,0,0,0
637,"""Put the hot air balloon up""",0,0,0,0,0,0,0
638,"If you fill it with hot air, it goes up",0,0,0,0,0,0,0
639,Hot air goes up together because it goes up,0,0,0,0,0,0,0
640,The warm air goes up,0,0,0,0,0,0,0
641,"Warm air goes up, so it heats the air in a balloon-shaped balloon.",0,0,0,0,0,0,0
642,"This is because if the temperature is high, it tries to go up.",0,0,0,0,0,1,0
643,A hot air balloon is a balloon that can climb high in the sky using the heated air that bloomed as the fire burned.,0,0,0,0,0,0,0
644,A hot air balloon is a balloon that can climb high into the sky using the heated air that blooms as the fire burns,0,0,0,0,0,0,0
645,Heat the air in a hot air balloon Hot air can rise high in the sky because it has a rising property,0,0,0,0,0,0,0
646,Because the air with increased kinetic energy is active due to heat,0,0,0,0,0,0,0
647,"When the air gets warm, the air goes up, so the air inside the balloon goes up",0,0,0,0,0,0,0
648,"""If you increase the temperature, the air molecules in your pocket will move faster, and the distance between the molecules will widen and increase in volume. As the volume increases, some air escapes, and the density of air in the pocket is lower than the first time",0,0,0,0,0,1,0
649,,0,0,0,0,0,0,0
650,"Then, because the density of the air in the pouch is small, the pouch floats upward, and a less dense material rises above a more dense material",0,0,0,0,0,0,0
651,,0,0,0,0,0,0,0
652,,0,0,0,0,0,0,0
653,"""",0,0,0,0,0,0,0
654,"Since the air that has increased the kinetic energy is active due to the heat,",0,0,0,0,0,0,0
655,"Because the heated air goes up,",0,0,0,0,0,0,0
656,"The higher the temperature, the higher the temperature, the higher the temperature, so it can go up gradually when heated.",0,0,0,0,0,1,0
657,"The higher the temperature, the faster the movement of the gas particles, so they can go up into the sky.",0,0,0,0,0,1,0
658,"Since the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature, the higher the temperature.",0,0,0,0,0,1,0
659,Hot air particles go up,0,0,0,0,0,0,0
660,"As the temperature rises, the particle movement of the air becomes active, so hot air balloons can go up into the sky.",0,0,0,0,0,1,0
661,"When the temperature goes up, the particles in the gas go up",0,0,0,0,0,1,0
662,"When the temperature goes up, the particles in the áá¦áá´ shape get faster",0,0,0,0,0,1,0
663,"When the temperature goes up, the motion of the gas goes down quickly, and the gas that goes up goes up",0,0,0,0,0,1,0
664,I don't know.,0,0,0,0,0,0,0
665,I don't know,0,0,0,0,0,0,0
666,M and D,0,0,0,0,0,0,0
667,I don't understand.,0,0,0,0,0,0,0
668,M and D,0,0,0,0,0,0,0
669,"""",0,0,0,0,0,0,0
670,I don't understand.,0,0,0,0,0,0,0
671,"""",0,0,0,0,0,0,0
672,(Playing the guitar sound,0,0,0,0,0,0,0
673,M and D,0,0,0,0,0,0,0
674,I don't understand.,0,0,0,0,0,0,0
675,Mall,0,0,0,0,0,0,0
676,I don't know,0,0,0,0,0,0,0
677,I don't understand.,0,0,0,0,0,0,0
678,I don't understand.,0,0,0,0,0,0,0
679,M and D,0,0,0,0,0,0,0
680,I don't understand.,0,0,0,0,0,0,0
681,I don't know.,0,0,0,0,0,0,0
682,This is because hot air has the property of going up.,0,0,0,0,0,0,0
683,The hot air is floating up,0,0,0,0,0,0,0
684,M and D,0,0,0,0,0,0,0
685,I don't know,0,0,0,0,0,0,0
686,I don't understand.,0,0,0,0,0,0,0
687,Warm air floats in the sky because of its light weight,0,0,0,0,0,0,0
688,Charles Law,0,0,0,0,0,0,0
689,"The gas has the property of going up as it gets warmer, and it's used",0,0,0,0,0,0,0
690,"Hot heat has the property of rising up, and as the fire burns, it exerts hot heat and can float a hot air balloon.",0,0,0,0,0,0,0
691,"When the temperature of a gas particle rises, it becomes lighter than the cold air and floats upward",0,0,0,0,0,1,0
692,.Mr,0,0,0,0,0,0,0
693,I don't know.,0,0,0,0,0,0,0
694,The gas light.,0,0,0,0,0,0,0
695,The heat rising above the properties.,0,0,0,0,0,0,0
696,"The air is heated, the balloon rises above because properties that go up.",0,0,0,0,0,0,0
697,Oxygen,0,0,0,0,0,0,0
698,Warm air rises and hot air balloon rose up.,0,0,0,0,0,0,0
699,In and warm air is to have the qualities that go up.,0,0,0,0,0,0,0
700,Hot air is it goes up.,0,0,0,0,0,0,0
701,Warm air is lighter than cold air.,0,0,0,0,0,0,0
702,"When you light a fire under the balloon, because hot air is up with balloons because becomes more and makes the balloon, balloon rose to mind heat.",0,0,0,0,0,0,0
703,Temperature is high.,0,0,0,0,0,0,0
704,"Is lighter, carrying the air in the hot air balloon than air.",0,0,0,0,0,0,0
705,Light than other objects.,0,0,0,0,0,0,0
706,"I don't know what I know, and gesseo. ããããããããããããããã",0,0,0,0,0,0,0
707,Warm air rises.,0,0,0,0,0,0,0
708,ãããããã,0,0,0,0,0,0,0
709,Biting,0,0,0,0,0,0,0
710,"If it's too dark,",0,0,0,0,0,0,0
711,Hot air has the property of wanting to go up.,0,0,0,0,0,0,0
712,Warm air goes down,0,0,0,0,0,0,0
713,This is because dark air has the property of rising up and cold air has the property of falling down.,0,0,0,0,0,0,0
714,The air got lighter,0,0,0,0,0,0,0
715,Warm air goes up and cold air goes down,0,0,0,0,0,0,0
