,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",acid-based adaptation,equivalent ratio,loss of properties,conflict properties
425,Neutralization reaction when you meet the mountains and the base. Neutral in the process closer to the original acidic and basic as they get weaker.,0,0,0,0
426,Becoming a neutral phenomenon to becoming acidic and basic.,0,0,0,0
427,"""ì°ì±ì? ìì ì´ì¨ì¼ë¡ ì¸í´ ì°ì±ì ë ê² ëê³ , ì¼ê¸°ì±ì?  ìì°í ì´ì¨ì¼ë¡ ì¸í´ ì¼ê¸°ì±ì ë ê² ëëë° ì´ ë¬¼ì§ë¤ì´ ìì´ê² ëë©´ ìì ì´ì¨ê³¼ ìì°í ì´ì¨ì´ ê²°í©íì¬ ë¬¼ì´ ëì´ ë ì±ì§ì´ ëª¨ë ì½í´ì§?ê¸°",0,0,0,0
428,,0,0,0,0
429,"The side. """,0,0,0,0
430,"Crack crack crack crack crack interpret material damage, interpret material substance material substance material substance material haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljilhaedongmuljil haedongmuljilhaedongmuljilhaedongmuljirida.",0,0,0,0
431,Angistri to Mochi,0,0,0,0
432,Hydroxide ion is in the hydrogen ions and an alkaline solution in the acid into water.,0,0,0,0
433,Blended into China with each other.,0,0,0,0
434,Mountains and properly when they meet the base to be neutralized.,0,0,0,0
435,This is because acids and bases are neutralized when they meet properly.,0,0,0,0
436,It's because it's weaker than acid,0,0,0,0
437,Neutralization occurs and weakens.,0,0,0,0
438,"This is because when acidity and basicity meet at similar rates, a neutralization reaction occurs.",0,0,0,0
439,It's because they're different,0,0,0,0
440,I got tired of fighting,0,0,0,0
441,I got tired of fighting,0,0,0,0
442,Because of the neutralization reaction,0,0,0,0
443,"It's because when things that are opposed to buying meet, a neutralization reaction occurs",0,0,0,0
444,"When the acidic solution is mixed with the basic solution, it becomes neutral, weakening the acidity and, conversely, weakening the basicity",0,0,0,0
445,"When an acid meets a base, a neutralization reaction occurs that produces water and salt",0,0,0,0
446,"As the acid and base meet, they become neutral, so the acid and base become weaker.",0,0,0,0
447,It mixes up and becomes a different substance,0,0,0,0
448,"When an acid and a base meet, hydrogen ions and hydroxide ions meet and neutralize. Therefore, it is natural that the acid and the base meet and weaken.",0,0,0,0
449,I don't know.,0,0,0,0
450,Because of the neutral reaction,0,0,0,0
451,"When acid and base meet, hydrogen ions and hydroxide ions meet and neutralize, which weakens the acid and base.",0,0,0,0
452,"""Basically, chlorine bleach is caused by the redox reaction",0,0,0,0
453,Chlorine gas is produced every time bleach is used,0,0,0,0
454,by weakening the acid and weakening the acid,0,0,0,0
455,Because the solutions are different from each other.,0,0,0,0
456,"This is because if acidity is basic and mala, it approaches neutrality.",0,0,0,0
457,Because acids and bases are not strong,0,0,0,0
458,I don't understand.,0,0,0,0
459,"This is because water is created as the two are synthesized, weakening their properties.",0,0,0,0
460,"When H+ and OH- are combined, they become water.",0,0,0,0
461,It's because the ingredients are different,0,0,0,0
462,I don't understand.,0,0,0,0
463,It's because acidity and basicity make water,0,0,0,0
464,I don't understand.,0,0,0,0
465,"H+ OH- If you combine them, it becomes water, and if you add water, it becomes everythingthe degree of heat",0,0,0,0
466,Water is made,0,0,0,0
467,Acids and bases meet to neutralize,0,0,0,0
468,This is because hydronium ions of the acid and hydroxide ions of the base meet to form water and neutralize it.,0,0,0,0
469,I don't know.,0,0,0,0
470,Hydrogen ions and hydroxide ions meet to become water.,0,0,0,0
471,I don't know this either,0,0,0,0
472,"When an acid meets a base, it becomes water",0,0,0,0
473,"When the acid base meets, it becomes water.",0,0,0,0
474,This is because acids and bases become neutral when they meet.,0,0,0,0
475,"Phenolphthalein is acidic, neutral to colorless, and basic to red, while thymorphthalein is acidic to blue, and neutral to colorless to basic.",0,0,0,0
476,Hydroxides and hydrogen ions meet to make water and become neutralized,0,0,0,0
477,MooMoo's red,0,0,0,0
478,I don't know,0,0,0,0
479,Acid and base are opposite to each other,0,0,0,0
480,Acid and basicity weaken because water is produced when acids and bases meet.,0,0,0,0
481,Don't know,0,0,0,0
482,Chinese jam,0,0,0,0
483,It is because it is neutralized.,0,0,0,0
484,I don't know,0,0,0,0
485,"When the acid and base are neutralized and there are more acids, the base weakens, and when there are more bases, the acid weakens.",0,0,0,0
486,This is because acidity and basicity react to neutralize.,0,0,0,0
487,"Acid has acidic properties because of hydrogen ions and basic properties because of hydroxide ions, so if you mix the two, hydrogen ions and hydroxide ions meet to make water, which weakens the acidity and basic properties.",0,0,0,0
488,A neutralization reaction takes place.,0,0,0,0
489,"Since acid and base ions meet to produce water, the number of ions decreases and weakens.",0,0,0,0
490,This is because neutralization occurs when basic and acidic meet.,0,0,0,0
491,Unknown.,0,0,0,0
492,It's neutralized.,0,0,0,0
493,"Acid means hydrogen ions are contained in the aqueous solution, and basic means hydroxide ions are contained in the aqueous solution. In this case, when hydrogen ions and hydroxide ions meet each other, the liquid property of the aqueous solution is made close to neutral by reacting at a ratio of 1:1 to generate water.",0,0,0,0
494,"Since hydrogen ions and hydroxide ions combine to form water molecules, mixing acids and bases creates water and weakens acidity and basicity. This is called a neutralization reaction.",0,0,0,0
495,"According to Arenius's definition of acid and base, acid is a substance that dissolves in water to release hydrogen ions, and base dissolves in water to release hydroxide ions. When hydroxide ions and hydrogen ions meet, they become water, and since water is neutral, the two properties gradually weaken when acids and bases meet.neutralized",0,0,0,0
496,ããíããë¸ë©°ì²í¸ë¨,0,0,0,0
497,Hmm... I don't know!,0,0,0,0
498,"Acid is red, base is blue",0,0,0,0
499,áá³d ádiot 5ããã66-ã66,0,0,0,0
500,Acid and basic are completely opposite,0,0,0,0
501,"When basic and acidic meet, their properties disappear very elegantly",0,0,0,0
502,intermingled with each other,0,0,0,0
503,It's acidic,0,0,0,0
504,I don't know.,0,0,0,0
505,"What happens when an acid and a base meet? The answer is ""very well""...",0,0,0,0
506,This is because acidity and basicity are the opposite of each other.,0,0,0,0
507,I don't remember,0,0,0,0
508,"When acidity and basicity meet, they become more and more neutral",0,0,0,0
509,"When acids and bases meet, they are neutralized, weakening their properties.",0,0,0,0
510,It's weak,0,0,0,0
511,I don't remember,0,0,0,0
512,Surprising.,0,0,0,0
513,Red cabbage are various indicator neoeoseo made.,0,0,0,0
514,Mwon ;;;;;;;;;; be more than I can't hit you? it if!^,0,0,0,0
515,I do.,0,0,0,0
516,"Acidic and basic silver poles apart, so we have.",0,0,0,0
517,I don't know.,0,0,0,0
518,"Neutral, indicator of cabbage.",0,0,0,0
519,Because it's the median value to meet is acidic and basic.,0,0,0,0
520,That I don't know.,0,0,0,0
521,Don't know,0,0,0,0
522,Acidic and basic properties that are opposed to each other because they have neutralized each other.,0,0,0,0
523,The nature of the opposition and each other.,0,0,0,0
524,Is a component of the opposition and each other.,0,0,0,0
525,Two different house each other.,0,0,0,0
526,.,0,0,0,0
527,398+700=1098,0,0,0,0
528,Acidic and alkaline mix.,0,0,0,0
529,Don't know,0,0,0,0
530,Mountains and base becomes weak when they meet each other.,0,0,0,0
531,"Acidic and basic when you see each other, opposite a frame because that China.",0,0,0,0
532,Remember ...,0,0,0,0
533,I don't remember.,0,0,0,0
534,"Acid has bitter properties, and basic properties have divine properties, so the properties of the two are opposite, so when they meet, the properties of acidity and basicity weaken.",0,0,0,0
535,I don't know.,0,0,0,0
536,Um... I don't remember...,0,0,0,0
537,"This is because acidity and base are different substances, so both weaken when contacted.",0,0,0,0
538,"Because they have different properties, I think strong and weak properties meet and neutral and two properties combine. This is because if you have the same things, you get stronger and if you have different things, you get weaker.",0,0,0,0
539,Don't know,0,0,0,0
540,a stone language,0,0,0,0
541,?,0,0,0,0
542,I don't know.,0,0,0,0
543,I don't like acidity and basicity,0,0,0,0
544,I have no idea.,0,0,0,0
545,Basic and acidic are natural enemies,0,0,0,0
546,Don't know,0,0,0,0
547,"If you add a lot of acidity, it becomes more acidic, and if you add a lot of basicity, it becomes more basic",0,0,0,0
548,I don't know,0,0,0,0
549,I don't know,0,0,0,0
550,M and D,0,0,0,0
551,I don't know,0,0,0,0
552,I don't know.,0,0,0,0
553,It's because the acid removes the basicity,0,0,0,0
554,"This is because when acidity and basicity are mixed, they become neutral.",0,0,0,0
555,"Acid and base have opposite colors and properties, so it can be considered water and oil",0,0,0,0
556,I don't know.,0,0,0,0
557,"""When a base is concentrated, acid is added to the base and the component is reduced. For example, if a base is 10 and an acid is added, the base is dropped to 8.""",0,0,0,0
558,"""",0,0,0,0
559,I don't know,0,0,0,0
560,"Acid and basic properties are opposite, and when the substance meets, it becomes neutral, weakening or disappearing.",0,0,0,0
561,"When you soak red cabbage in hot water, there is a change in color in cabbage, water in cabbage turns red, and cabbage turns blue.",0,0,0,0
562,I don't know.,0,0,0,0
563,I don't know.,0,0,0,0
564,I don't know.,0,0,0,0
565,"When acidity and basicity meet, they become neutralized, which weakens.",0,0,0,0
566,A neutralization reaction occurs.,0,0,0,0
567,I don't know.,0,0,0,0
568,"When an acidic substance and a basic substance meet, hydrogen ions of the acid and hydroxide ions of the base react to form water, so acidity and basicity are weakened.",0,0,0,0
569,This is because hydrogen ions and chloride ions combine to become neutral at a one-to-one ratio,0,0,0,0
570,"When an acid and a base meet, the properties of the two are the opposite, so they merge into intermediate acids It is neutral that exists in the middle, but when basic and acidic meet, they change to neutral, and their properties gradually weaken",0,0,0,0
571,I can't!,0,0,0,0
572,This is because acids and bases are mixed to cause a neutralization reaction.,0,0,0,0
573,This is because acidic and basic substances match each other in a mixed solution and lose their properties,0,0,0,0
574,This is because acidity and basicity meet and their properties gradually decrease.,0,0,0,0
575,I don't know.,0,0,0,0
576,I don't know.,0,0,0,0
577,"When acidity and basicity meet, hydrogen ions and hydroxide ions cause a neutralization reaction to generate water, weakening the acidity and basicity.",0,0,0,0
578,Acid and basicity are combined in the bath solution and both weaken.,0,0,0,0
579,"Since basic and acidic objects eliminate each other's components,",0,0,0,0
580,"This is because when acidic substances and basic substances match each other, they lose each other's components.",0,0,0,0
581,"Since acidity and basicity are opposite to each other, the proportion of others seems to decrease relatively as one is added more.",0,0,0,0
582,This is because a neutralization reaction occurs in which acidic and basic substances meet in a solution and lose their properties.,0,0,0,0
583,I don't know...,0,0,0,0
584,"Hmm, sorry, I don't know",0,0,0,0
585,"In the mixed solution, acidic and basic substances pair up and lose their respective properties",0,0,0,0
586,It loses its properties as acidic and basic substances pair up in a mixed solution,0,0,0,0
587,"When an acid meets a basic star, each other's power weakens.",0,0,0,0
588,"If the proportion of basic solutions is less than that of acidic solutions, of course, the basicity is weakened, and if the proportion of acidic solutions is less than that of basic solutions, of course, the acidity is weakened^6^",0,0,0,0
589,"If you add more acidity, of course, the acidity will be stronger, and if you add more basicity, won't it be more basic?",0,0,0,0
590,"Since the acidic material releases hydrogen ions in the aqueous solution, and the basic material releases hydroxide ions in the aqueous solution, when the acid and the base meet, hydrogen ions and hydroxide ions combine to change into water and the temperature rises.",0,0,0,0
591,I don't know.,0,0,0,0
592,f,0,0,0,0
593,This is because different substances that are basic and acidic meet in the mixed solution and lose their properties.,0,0,0,0
594,"The common property of an acid is hydrogen ion, and the common property of a base is hydroxide ion. However, hydrogen ions and hydroxide ions form water through ionic bonds, so when an acid and a base meet, both properties weaken.Acids and bases are opposite properties, so when mixed, their properties weaken.",0,0,0,0
595,I don't know,0,0,0,0
596,"Acids and bases are mutually compatible, so they weaken each other",0,0,0,0
597,Forgot.,0,0,0,0
598,The acid and base are different,0,0,0,0
599,???,0,0,0,0
600,This is because they fight among themselves when acidity and basicity meet.,0,0,0,0
601,"""I don't know",0,0,0,0
602,"""",0,0,0,0
603,I have no idea.,0,0,0,0
604,"The opposite property becomes stronger, so the original property weakens.",0,0,0,0
605,I don't know.,0,0,0,0
606,I don't know,0,0,0,0
607,"Because acidity and basicity have different properties, they mix and weaken each other when they meet",0,0,0,0
608,I don't know,0,0,0,0
609,I don't know.,0,0,0,0
610,I don't know.,0,0,0,0
611,This is because the combined acidity and basicity weakens the power of parasitism and basicity,0,0,0,0
612,I don't know,0,0,0,0
613,You could say that it's neutral right in the middle of the kaleidoscope and the acid.,0,0,0,0
614,I don't know.,0,0,0,0
615,This is because acidity and basicity have opposite properties.,0,0,0,0
616,I don't know,0,0,0,0
617,I don't know,0,0,0,0
618,"When acidity dissolves in water, hydrogen ions are generated, and basicity receives hydrogen ions when dissolved in water, so neutrality is maintained.",0,0,0,0
619,I don't know.,0,0,0,0
620,This is because basicity and acidity are different in the first place.,0,0,0,0
621,Because the opposite properties of each other override each other's concentration,0,0,0,0
622,Neutralization reaction lol,0,0,0,0
623,"They have opposite properties, so when mixed, they cancel each other out.",0,0,0,0
624,It's because of the neutralization reaction,0,0,0,0
625,It neutralizes the skin and makes it neutral,0,0,0,0
626,"As acidity and basicity neutralize each other, either side weakens when they meet each other",0,0,0,0
627,It is because of the neutralization phenomenon.,0,0,0,0
628,This is due to the neutralization of acid hydrogen ions and base hydroxide ions that meet and become water.,0,0,0,0
629,Weakened by neutralization.,0,0,0,0
630,Acids and bases neutralize each other,0,0,0,0
631,neutralization,0,0,0,0
632,It is because of the neutralization phenomenon.,0,0,0,0
633,Acids and bases relieve each other when they meet.,0,0,0,0
634,"When an acid meets a base, both the acid and the base concentration are weakened through neutralization of the acid carboxyl group and the amino group of the base react to produce water.",0,0,0,0
635,I guess it's neutralizing,0,0,0,0
636,Acids and bases become neutral and weaken when they meet,0,0,0,0
637,Neutral effects occur,0,0,0,0
638,I don't know.,0,0,0,0
639,"The reaction takes place and becomes neutral, with no properties of both acidic and basic",0,0,0,0
640,The ingredients are different,0,0,0,0
641,The ingredients are different,0,0,0,0
642,"When acidity and basicity are combined, a neutralization reaction occurs",0,0,0,0
643,"I think it's because when acidity and basicity are combined, a neutralization reaction occurs!ââââ",0,0,0,0
644,"This is because when acidity and basicity meet, a neutralization reaction occurs.",0,0,0,0
645,"As an acid base reagent, the color of the acid base reagent varies depending on the pH (hydrogen ion index). The acid base reagent itself is a weak acid or weak base. If you drop one or two drops of an indicator, which is a weak acid, in an acidic solution, hydrogen attached to the indicator does not come off easily. This is because there are already many hydrogen ions in the solution. However, if a basic substance is added to the solution little by little, the concentration of hydrogen ions in the solution decreases, so that the hydrogen attached to the indicator is dissociated and the number of molecules present in an ionic state increases. As the acidity of the solution changes, the number of indicator molecules whose molecular structure changes increases, and the color of the molecule changes as the molecular structure changes. By observing the color that appears, you can find the approximate pH and find the neutralization point. The range of pH, which gradually changes the color of the indicator, is called the discoloration range, which varies from indicator to indicator.",0,0,0,0
646,"This is because when acidity and basicity meet, a neutralization reaction occurs.",0,0,0,0
647,Neutralization occurs when acidity and basicity meet,0,0,0,0
648,This is because neutralization occurs when acidity and astigmatism meet.,0,0,0,0
649,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",0,0,0,0
650,It's because acidity and basicity meet and neutralization occurs,0,0,0,0
651,"Acid and basic are the opposite components, so they weaken when they meet",0,0,0,0
652,"I'm sorry, I don't know. I'm sorry",0,0,0,0
653,Acid and basic meet and neutralize,0,0,0,0
654,"When acidity and basicity meet, a neutralization reaction occurs and no conditions appear",0,0,0,0
655,Neutralization occurs when acidity and basicity meet,0,0,0,0
656,"When acidity and basicity meet, a neutralization reaction occurs, so acidity and basicity weaken.",0,0,0,0
657,"This is because when acidity and basicity meet, a neutralization reaction occurs.",0,0,0,0
658,"When acidity and basicity meet, neutralization occurs, so there is no properties",0,0,0,0
659,"Since acidity and basicity are opposite components, they weaken when acidity and basicity meet.",0,0,0,0
660,This is because a neutralization reaction occurs when an acidity and a basicity meet,0,0,0,0
661,Neutralization occurs when acidity and basicity meet,0,0,0,0
662,"When acidity and basicity meet, a neutralization reaction occurs, resulting in no properties",0,0,0,0
663,I don't know.,0,0,0,0
664,I don't know,0,0,0,0
665,M and D,0,0,0,0
666,I don't understand.,0,0,0,0
667,M and D,0,0,0,0
668,"""",0,0,0,0
669,I don't understand.,0,0,0,0
670,"""",0,0,0,0
671,(Playing with words),0,0,0,0
672,M and D,0,0,0,0
673,I don't understand.,0,0,0,0
674,Mall,0,0,0,0
675,I don't know,0,0,0,0
676,I don't understand.,0,0,0,0
677,I don't understand.,0,0,0,0
678,M and D,0,0,0,0
679,I don't understand.,0,0,0,0
680,I do.,0,0,0,0
681,I don't know,0,0,0,0
682,I don't know.,0,0,0,0
683,M and D,0,0,0,0
684,I don't know,0,0,0,0
685,I don't understand.,0,0,0,0
686,It's because acidity and basicity are neutralized,0,0,0,0
687,I don't know.,0,0,0,0
688,"This is because when an acidic solution is mixed with a basic solution, the acidic and basic substances are paired together",0,0,0,0
689,"This is because when acidic and basic meet, these acidic and basic components are mixed and neutralized.",0,0,0,0
690,"When acidity and basicity meet, a neutralization reaction occurs, resulting in a state of no properties",0,0,0,0
691,.,0,0,0,0
692,M and D,0,0,0,0
693,I don't know.It neutralizes when it's acidic and basic,0,0,0,0
694,Neutralized,0,0,0,0
695,I don't know,0,0,0,0
696,The color changes.,0,0,0,0
697,"I did it when I was in 5th grade, but I don't remember",0,0,0,0
698,Don't know,0,0,0,0
699,I don't know,0,0,0,0
700,"Since the contents are reversed,",0,0,0,0
701,I don't know...,0,0,0,0
702,It's because the two have different characteristics.,0,0,0,0
703,You two are mixed,0,0,0,0
704,I don't know.,0,0,0,0
705,Because they're the opposite,0,0,0,0
706,?,0,0,0,0
707,The red cabbage is...,0,0,0,0
708,Because they are different things.,0,0,0,0
709,It's because it's different,0,0,0,0
710,Basic and acidic properties are different.,0,0,0,0
711,I forgot.,0,0,0,0
712,"Because acidity and basicity are different properties, when they meet, their properties are reversed and weakened",0,0,0,0
713,There are components that weaken each other,0,0,0,0
714,I guess it's neutral,0,0,0,0
715,??????????????????????????????????????????????????? I don't know...,0,0,0,0
716,"It has a property that weakens the basicity of the sheep,",0,0,0,0
717,"So when they're together, they're both acidic and basic, and if they're basic, and a little more basic, they're acidic",0,0,0,0
718,"If you spill the indicator, the acidity will weaken",0,0,0,0
719,???,0,0,0,0
720,This is because acidity and basicity have opposite characteristics.,0,0,0,0
721,"""Let's assume that the acidity is + and the basicity is -.",0,0,0,0
722,"1+0=1-1=0.""",0,0,0,0
723,Because they're the opposite,0,0,0,0
724,I don't know,0,0,0,0
725,This is because acidity and basicity are opposite substances.,0,0,0,0
726,"When acidity and basicity are mixed, they lose each other's power little by little and weaken.",0,0,0,0
727,It is because we lose each other's power little by little.,0,0,0,0
728,The red cabbage has something inside it,0,0,0,0
729,"Acid and base meet, they become weak because they meet strong things",0,0,0,0
730,experiment like science,0,0,0,0
731,I don't know.,0,0,0,0
732,Pass.,0,0,0,0
733,I don't know,0,0,0,0
734,It's going to be far,0,0,0,0
735,I don't know.,0,0,0,0
736,PASS,0,0,0,0
737,I don't understand.,0,0,0,0
738,I don't know.,0,0,0,0
739,It's just that I got messed up,0,0,0,0
740,"There is a neutral effect between acidity and basicity, so the appropriate combination of acidity and basicity is a combination of acid and basicity",0,0,0,0
741,"There is a neutral between basicity and acidity, and when mixed, it is close to neutral because the components are opposite to each other.",0,0,0,0
742,H+ and OH- produce H2O to create neutrality.,0,0,0,0
743,"Since the acid gives H+ and the base gives OH- or accepts H+, it conflicts with each other and has an offset effect.",0,0,0,0
744,H+ and OH- make H2O and become neutral.,0,0,0,0
745,This is because acids and bases react and become neutralized.,0,0,0,0
746,"Because when you two meet, you become neutralized",0,0,0,0
747,1234,0,0,0,0
748,I don't know,0,0,0,0
749,123,0,0,0,0
750,123,0,0,0,0
751,123,0,0,0,0
752,"Oh, my",0,0,0,0
753,1234,0,0,0,0
754,k,0,0,0,0
755,It's not very basic,0,0,0,0
756,123,0,0,0,0
757,The acid line and the base line are natural,0,0,0,0
758,123,0,0,0,0
759,"If you add an acidic solution and a basic solution together, it's a weird combination",0,0,0,0
760,Dyeing,0,0,0,0
761,"If you add an acidic solution and a basic solution together, it's a weird combination",0,0,0,0
762,Because I put in potions,0,0,0,0
763,"Acid can melt anything, and I don't know the base",0,0,0,0
764,I don't know~,0,0,0,0
765,I don't know.,0,0,0,0
766,I don't know~,0,0,0,0
767,123,0,0,0,0
768,It's not up to us,0,0,0,0
769,I don't know.,0,0,0,0
770,I can't explain it in detail,0,0,0,0
771,I'm sorry. I don't know for the life of me.,0,0,0,0
772,I don't know.,0,0,0,0
773,I don't know,0,0,0,0
774,I don't know,0,0,0,0
775,in neutral,0,0,0,0
776,......,0,0,0,0
777,become weaker and weaker in harmony,0,0,0,0
778,"""I count them both, and I push them both.",0,0,0,0
779,"""",0,0,0,0
780,I don't understand.,0,0,0,0
781,I don't understand.,0,0,0,0
782,I don't know.,0,0,0,0
783,...,0,0,0,0
784,Because they lose their respective properties,0,0,0,0
785,The strong two acids and bases meet and weaken.,0,0,0,0
786,It's because it's the opposite.,0,0,0,0
787,Acid decay in other things weakens.,0,0,0,0
788,"Because acidity and basicity are opposite substances, they weaken each other when they meet each other.",0,0,0,0
789,I don't know,0,0,0,0
790,This is because they have different properties.,0,0,0,0
791,I don't know,0,0,0,0
792,"Both properties weaken because H+ from the acid binds back to the base, or OH- from the base and H+ from the acid combine to form H2O, or neutral substances.The acid produces H+ and the base combines it with H2O because it produces OH-.",0,0,0,0
793,"Acids and bases react and neutralize. As a result, the concentration is lowered, so the acidity and basicity are weakened.",0,0,0,0
794,This is because H+ ions and OH- ions meet to become H2O (neutral).,0,0,0,0
795,offset by neutralization,0,0,0,0
796,become H+ + OH- -> H2O and neutralize.,0,0,0,0
797,H+ ions and OH- ions meet to become H2O.,0,0,0,0
798,"Because of the neutralization of acids and bases,",0,0,0,0
799,buffering action,0,0,0,0
800,"Since the acid is H+ and the base is OH-, H3o+ + OH- -> 2H2O becomes neutral.",0,0,0,0
801,"Acid H+ and basic OH- meet to become H2O, weakening the acidity and basicity.",0,0,0,0
802,Since H3O+ + OH- -> 2H2O,0,0,0,0
803,This is because a neutralization reaction occurs.,0,0,0,0
804,I don't know,0,0,0,0
805,Acids and bases weaken when they meet,0,0,0,0
806,"They are opposite each other, so when they meet, they get rid of each other and become weak.",0,0,0,0
807,It's neutralizing,0,0,0,0
808,"There is a neutrality between acids and bases Therefore, the acidity weakens when you put it in the acid, and vice versa",0,0,0,0
809,"This is because when acidity and basicity are mixed, they become neutral.",0,0,0,0
810,have no knowledge,0,0,0,0
811,I don't know,0,0,0,0
812,I don't know.,0,0,0,0
813,neutrality,0,0,0,0
814,You two are in sync,0,0,0,0
815,It's a basic ingredient that weakens the acidity.,0,0,0,0
816,"When acidity and basicity meet, the acidity and basicity weaken because they are close to neutral.",0,0,0,0
817,I don't know.,0,0,0,0
818,Neutral neutral hehehe,0,0,0,0
819,This is because it represents neutrality.,0,0,0,0
820,"Since the ratio of the acid to the base becomes neutral when it is met, the acid and base become neutral as they become closer to the neutral, decreasing the acidity and base",0,0,0,0
821,The acid is red and the base is blue,0,0,0,0
822,be due to neutrality,0,0,0,0
823,"This is because when acidity and basicity meet, they try to become neutral.",0,0,0,0
824,"Because it's opposite, it's getting closer to neutrality",0,0,0,0
825,"Acids and bases have opposite properties, so when they meet, they become neutral",0,0,0,0
826,This is because acidity and basicity are contrasting properties.,0,0,0,0
827,Acid and basicity lower each other's temperature when they meet each other,0,0,0,0
828,I just did the experiment and forgot the results,0,0,0,0
829,"Acid and basicity exhibit opposite properties, so when acidity and basicity meet, they become neutral.",0,0,0,0
830,"Because acidity and basicity have opposite properties, they weaken each other when they meet.",0,0,0,0
831,"When acidic and basic are mixed, they turn into neutral substances and lose their acidic and basic properties.",0,0,0,0
832,Don't know,0,0,0,0
833,?,0,0,0,0
834,I don't know,0,0,0,0
835,It's going to explode,0,0,0,0
836,#NAME?,0,0,0,0
837,Acid and oxygen bases are basic,0,0,0,0
838,Acid wins Uncertain.,0,0,0,0
839,"When there's a fire, it'",0,0,0,0
840,Because the two Hanseong meet together,0,0,0,0
841,This is because the two are mixed and neutralized.,0,0,0,0
842,"There's something acidic and basic, but if you mix it up, you can't do it right?",0,0,0,0
843,"This is because when acidity and basicity meet, the components evaporate.",0,0,0,0
844,It's mixed and neutralized,0,0,0,0
845,This is the same reason why some foods are sprayed with lemon to catch the smell,0,0,0,0
846,"As strong forces collide with each other, they become weaker and weaker.",0,0,0,0
847,"When acidic or basic acidity is added to the acidity, it causes a neutralization reaction, weakening the acidity, and weakening the basicity.",0,0,0,0
848,"When an acid meets a base, the acidity and basicity are weakened by a neutralization reaction.",0,0,0,0
849,"This is because if you put basic substances in an acidic substance, the acidity weakens",0,0,0,0
850,"This is because when basic substances are added to acidic substances, a neutralization reaction occurs, in which the acidity weakens.",0,0,0,0
851,Acids and bases decay by neutralization,0,0,0,0
852,"According to the Bronsted Lowry base, acids release hydrogen ions and bases release hydroxide ions. When an acid and a base meet, hydrogen ions and hydroxide ions meet to create water, which causes a neutralization reaction. As a result, acidity and basicity are weakened.",0,0,0,0
853,Acid and basicity weaken because a neutralization reaction occurs when an acid meets a base.,0,0,0,0
854,Acid and basicity weaken because a neutralization reaction occurs when an acid meets a base.,0,0,0,0
855,Because acids and bases neutralize when they meet.,0,0,0,0
856,"Acid means pH less than 7 and basic means more than 7, which is the -log [H+] The more hydrogen ions, the more acidic they are, and the less hydrogen ions, the more basic they are. When acidity and basicity meet, the ions are reduced or increased in concentration of hydrogen ions through chemical reactions, which are different from their original values.",0,0,0,0
857,Neutralized by neutralization.,0,0,0,0
858,I don't know,0,0,0,0
859,Each property is weakened by acid base neutralization because acids and bases try to mix when they meet each other.,0,0,0,0
860,"When acidity and basicity are mixed, hydrogen ions and hydroxide ions meet to form water, which lowers the concentration of hydrogen ions and increases the pH",0,0,0,0
861,"Acid is low in pH and basic is high in pH, because when the two meet, a neutralization reaction occurs.",0,0,0,0
862,"Acidic substances emit hydrogen ions, and basic substances receive hydrogen ions. When the two meet, a neutralization reaction occurs, which weakens each other's properties.",0,0,0,0
863,I don't know,0,0,0,0
864,"The H+ and OH- amounts in the solution distinguish between acids and bases and determine their strength. If the number is low based on the neutral pH 7, it is called basic if the acid is high, where pH means -log[H+], so the higher the hydrogen ions, the lower the pH value. When H+ and OH- meet, water-producing reactions occur, so when acidity and basicity are mixed, hydrogen ions and hydroxide ions in each solution combine with water, weakening the acidity and basicity.",0,0,0,0
865,I don't know,0,0,0,0
866,I don't know,0,0,0,0
867,I don't know,0,0,0,0
868,I don't understand.,0,0,0,0
869,"Acid and basicity react with each other through a neutralization reaction to create a neutral molecule called water, which weakens the acidity and basicity.",0,0,0,0
870,"If you think that acidic basicity will be divided by H+ OH-ions because it is a solution, adding an acidic solution and basic solution weakens the acidic basicity as the two ions meet to produce water.",0,0,0,0
871,"Acid has the property of releasing H+, and basic has the tongue that absorbs H+. Therefore, when basic and acidic meet, the pH changes because the concentration of H+ changes.",0,0,0,0
872,I don't know,0,0,0,0
873,I don't know,0,0,0,0
874,Hydrogen ions of the neutralization reaction acid and hydroxyl ions of the base meet to become water,0,0,0,0
875,I don't know,0,0,0,0
876,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0,0
