,Unnamed: 0,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",Unnamed: 0,", q57_diversity, q57_respect"
375,375,You should try to know and understand different cultures.,375.0,"387,0,1"
376,376,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",376.0,"388,0,1389,0,0"
377,377,We should understand and respect the culture of other countries,377.0,"390,0,1"
378,378,You have to respect other cultures,378.0,"391,1,0"
379,379,I think it is wrong to think that one's actions or words are unconditionally correct.,379.0,"392,0,1"
380,380,"The culture of other countries should always be respected like our culture.""",380.0,"393,0,1"
381,381,"Each country eats different things, so you have to respect the people of other countries",381.0,"394,0,1"
382,382,We should respect the culture of other countries. It's wrong to think that only our culture is right,382.0,"395,0,1"
383,383,We should understand the differences in each other's cultures and respect the cultures of other countries.,383.0,"396,0,1"
384,384,We should respect each other's culture,384.0,"397,0,1"
385,385,You should try to respect and understand the culture of other countries.,385.0,"398,0,1"
386,386,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",386.0,"399,0,1"
387,387,This is because each person needs to understand and respect the difference in lifestyle.,387.0,"400,0,1"
388,388,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",388.0,"401,0,1"
389,389,"Each country has a different culture, so we should respect the culture of the country.",389.0,"402,1,0"
390,390,It is because the culture of other countries is different,390.0,"403,0,1"
391,391,It's just that the culture of other countries and our country is different,391.0,"404,0,1"
392,392,We should respect the culture of other countries.,392.0,"405,0,0"
393,393,It is not wrong to be different.,393.0,"406,0,1"
394,394,"Even if it is different from your own country, you should respect and understand that country.",394.0,"407,0,1"
395,395,"You should have an attitude to understand the culture of other countriesCulture is relative, so it can appear differently from country to country. Our culture is not standard.",395.0,"408,0,0"
396,396,"Culture is relative, and everyone should be respected",396.0,"409,0,1"
397,397,We should respect the culture of other countries.,397.0,"410,0,1"
398,398,We have to respect each country's culture,398.0,"411,0,0"
399,399,Don't know,399.0,"412,0,0"
400,400,From a comparative point of view,400.0,"413,0,1"
401,401,"The man in the picture also has a woman around him, but I don't have one. Kidding. We should understand each other",401.0,"414,0,1"
402,402,..,402.0,"415,0,0"
403,403,You have to respect and understand other cultures,403.0,"416,0,1"
404,404,You guys are even weirder,404.0,"417,0,1"
405,405,Beware of door-to-door loan,405.0,"418,0,1419,0,1"
406,406,"I think we should not look too critically at the cultures of other countries, but positively accept other cultures.",406.0,"420,0,1"
407,407,You should also understand the culture of other countries.,407.0,"421,0,1"
408,408,You have to understand the culture of other countries,408.0,"422,0,1"
409,409,We should try to respect each other's culture,409.0,"423,0,1"
410,410,I think we should respect culture in other countries.,410.0,"424,0,1"
411,411,"""",411.0,"425,0,1"
412,412,You have to be able to respect the language and culture of other countries,412.0,"426,0,1"
413,413,"""You can't do that. You have to consider the socio-cultural background of the country",413.0,"427,0,1"
414,414,"""",414.0,"428,0,1"
415,415,You will understand if you find out the surroundings of people in other countries.,415.0,"429,1,0"
416,416,It is necessary to understand the religion and natural environment of the society that uses the culture.,416.0,"430,0,1"
417,417,"The culture of other countries was considered as the standard of our culture, and this idea of self-culturalism was wrong. We should respect the culture of other countries and acknowledge the differences.",417.0,"431,0,0"
418,418,"""",418.0,"432,0,1"
419,419,There is no absolute standard in culture.,419.0,"433,0,1"
420,420,We should look at other cultures with cultural relativism,420.0,"434,0,1"
421,421,"Culture should be judged in consideration of the environment and context of society, and any cultural factor should know that there is a reason for its existence.",421.0,"435,0,1"
422,422,It should be viewed from the perspective of cultural relativism.,422.0,"436,1,0"
423,423,"He thinks it's weird that you don't use your hands, man. Just accept it",423.0,"437,0,1"
424,424,We must consider the environment of the country,424.0,"438,1,0"
425,425,Acceptance of other cultures to the extent that they do not harm others,425.0,"439,0,1"
426,426,You have to respect and be considerate of the culture of other cultures,426.0,"440,0,1"
427,427,"If you live in a different country from me, the culture can be different, so you have to understand it. It's not wrong, it's different, okay?",427.0,"441,0,0"
428,428,I'm not Confucius enough to criticize others yet. I don't think anyone can say anything wrong with each other.,428.0,"442,0,1"
429,429,It also fosters an attitude of respect for the cultures of other countries.,429.0,"443,0,1"
430,430,It's going to be far.,430.0,"444,0,1"
431,431,a medicine for sale,431.0,"445,0,1"
432,432,"The two people in the picture need a cultural relativistic attitude. It should be advised to understand the culture of other countries in historical, social and other contexts.",432.0,"446,0,1"
433,433,It's going to be far.,433.0,"447,0,0"
434,434,develop a relativistic attitude,434.0,"448,0,1449,0,1"
435,435,You should understand and respect the cultural background of other countries,435.0,"450,0,1"
436,436,Don't think negatively about the culture of people in other countries and let them know that they are different and not wrong.,436.0,"451,0,0"
437,437,I think it would be better to experience other cultures more and make them understand the cultures of other countries naturally.,437.0,"452,0,0"
438,438,Have a cultural relativistic attitude,438.0,"453,0,1"
439,439,Let's kill two people and watch for world peace,439.0,"454,0,1"
440,440,Have a culture-relativistic attitude.,440.0,"455,0,1"
441,441,Respect other cultures,441.0,"456,0,1"
442,442,It should be viewed from the perspective of cultural relativism.,442.0,"457,0,1"
443,443,Let's find out about cultural relativism in one of the social studies textbooks in Jihak history,443.0,"458,0,1"
444,444,Don't ignore the culture of other countries,444.0,"459,0,1"
445,445,"A country has its own culture and customs, so you should think about it relatively.",445.0,"460,0,1"
446,446,"There may be different cultures, so you have to understand each other",446.0,"461,0,1"
447,447,Let's respect other countries' cultures and not ignore them,447.0,"462,0,1"
448,448,I eat it like this,448.0,"463,0,1"
449,449,He admits that the cultures of other countries are different and often changes his attitude that his own culture is the greatest,449.0,"464,0,0"
450,450,"There are bound to be differences between countries, continents, regions, and families because they have different lifestyles and beliefs. You have to understand as boys and girls are different.",450.0,"465,0,1"
451,451,I'd be happy if I saw your handwriting and thought it looked like a worm an impudent fellow,451.0,"466,0,1"
452,452,Keep the interaction going,452.0,"467,0,1"
453,453,I don't know,453.0,"468,0,1"
454,454,Then why do you guys eat with a spoon?,454.0,"469,0,1"
455,455,"Culture is not only seeing and understanding part of it, but also seeing and understanding the whole.",455.0,"470,0,1"
456,456,You should know and try to understand that each country has its own culture.,456.0,"471,0,1"
457,457,Understand and accept the culture of other countries as a whole.,457.0,"472,0,1"
458,458,You should know how to understand other people's culture and characteristics.,458.0,"473,0,1"
459,459,"No matter how different the country and culture are, you should not demean yourself with a hamb.",459.0,"474,0,1"
460,460,"The culture of another society is created by the environmental factors or other social factors that the society faces, and there are suitable factors in all cultural behaviors. Therefore, all cultures that do not ignore human basic rights should be respected.",460.0,"475,0,1"
461,461,"Don't speak in a negative or critical tone, but be positive and have an attitude to understand culture.",461.0,"476,0,0"
462,462,It's different from culture to culture. I understand,462.0,"477,0,1"
463,463,Admit the difference in culture,463.0,"478,0,1479,1,0"
464,464,You have to have a point of view that understands different cultures,464.0,"480,0,1"
465,465,each culture,465.0,"481,0,0"
466,466,?,466.0,"482,0,1"
467,467,Talk in a manner that respects the culture of other countries.,467.0,"483,0,0"
468,468,Ignore it,468.0,"484,0,1"
469,469,Let's respect multicultural families,469.0,"485,0,0"
470,470,Let's not focus on our culture and think about other countries' culture,470.0,"486,0,1"
471,471,Actively embrace other cultures.,471.0,"487,0,1"
472,472,You should respect other cultures.,472.0,"488,0,1"
473,473,.,473.0,"489,0,1"
474,474,You should try to know and understand different cultures.,474.0,"490,0,1"
475,475,"I want to understand and know the culture of other countries, but if there is something I don't know, I study.",475.0,"491,0,0"
476,476,We should understand and respect the culture of other countries,476.0,"492,0,1"
477,477,You have to respect other cultures,477.0,"493,0,1"
478,478,I think it is wrong to think that one's actions or words are unconditionally correct.,478.0,"494,0,1"
479,479,"The culture of other countries should always be respected like our culture.""",479.0,"495,0,1"
480,480,"Each country eats different things, so you have to respect the people of other countries",480.0,"496,0,1"
481,481,We should respect the culture of other countries. It's wrong to think that only our culture is right,481.0,"497,0,1"
482,482,We should understand the differences in each other's cultures and respect the cultures of other countries.,482.0,"498,0,1"
483,483,We should respect each other's culture,483.0,"499,0,1"
484,484,You should try to respect and understand the culture of other countries.,484.0,"500,0,1"
485,485,"If you look at the culture of Yuri and the people of other countries, let's not think that they have that culture and don't think it's weird",485.0,"501,1,0"
486,486,This is because each person needs to understand and respect the difference in lifestyle.,486.0,"502,0,1"
487,487,"Since each country has a different environment and everyone has a different culture, we should understand that and respect the culture of all countries.",487.0,"503,0,1"
488,488,"Each country has a different culture, so we should respect the culture of the country.",488.0,"504,0,0"
489,489,It is because the culture of other countries is different,489.0,"505,0,0"
490,490,It's just that the culture of other countries and our country is different,490.0,"506,0,1"
491,491,We should respect the culture of other countries.,491.0,"507,0,1"
492,492,It is not wrong to be different.,492.0,"508,0,0509,0,1"
493,493,"Even if it is different from your own country, you should respect and understand that country.",493.0,"510,1,0"
494,494,You should have an attitude to understand the culture of other countriesI don't know,494.0,"511,0,1"
495,495,I need the ability to understand the culture of other countries.,495.0,"512,0,1"
496,496,It is necessary to understand and respect the culture of other countries.,496.0,"513,0,1"
497,497,You should know how to understand the cultures and traditions of other countries.,497.0,"514,0,1"
498,498,We should respect the cultures of other countries,498.0,"515,0,1"
499,499,Understand the culture of another country by comparing it to its traditions and surroundings.,499.0,"516,0,1"
500,500,5.48486E+15,500.0,"517,0,0"
501,501,"Don't try to belittle other countries' cultures, but try to understand them",501.0,"518,0,1"
502,502,Respect everyone and understand culture,502.0,"519,0,1"
503,503,Recognize differences in culture.,503.0,"520,0,0"
504,504,Respect the culture of other countries,504.0,"521,0,0"
505,505,"You need a cultural relativist attitude. You, who will be strong citizens in the future, should understand other people's culture more.",505.0,"522,1,0"
506,506,"We should recognize and respect the culture of our country, not ignore the culture of our country just because it is different from our culture.",506.0,"523,0,1"
507,507,Let's acknowledge the difference in culture,507.0,"524,0,0"
508,508,Understand the history of other countries and embrace culture.,508.0,"525,0,1"
509,509,Let's look at other cultures from a relativistic perspective,509.0,"526,0,0"
510,510,The culture of your country and the culture of other countries may be the same but different,510.0,"527,0,1"
511,511,Let's look at other cultures from a relativistic perspective,511.0,"528,0,1"
512,512,"Each country can have a different culture, so you have to understand and respect it",512.0,"529,0,1"
513,513,"When we eat rice in Korea, we use chopsticks and spoons, but in India, we eat rice in a different way.",513.0,"530,0,1"
514,514,"Of course, I don't want to give advice because it's a reaction that can happen.",514.0,"531,0,0"
515,515,People's cultural and religious characteristics should be understood.,515.0,"532,0,1"
516,516,You should be able to understand other cultures.,516.0,"533,0,0"
517,517,Why don't you discriminate?,517.0,"534,0,1"
518,518,We need an attitude that can understand and accept other countries' cultures of other countries,518.0,"535,0,1"
519,519,This is because each country has a different culture and language.,519.0,"536,0,1"
520,520,respect for other countries' cultures,520.0,"537,0,1"
521,521,You have to learn to respect other cultures,521.0,"538,0,1539,0,1"
522,522,"In Korea, foreigners may think it is strange. So let's understand the culture of the country.",522.0,"540,0,1"
523,523,We should respect the culture of other countries,523.0,"541,0,0"
524,524,"Just like our culture, there is a culture that suits other countries, so we should respect and understand",524.0,"542,0,1"
525,525,We should respect the culture of other countries as it is,525.0,"543,0,0"
526,526,Because I don't understand the culture and think it's weird,526.0,"544,0,1"
527,527,"It is likely to advise people not to look negatively at other countries' cultures, but to understand and accept their lifestyles.",527.0,"545,0,1"
528,528,You should understand each other's differences and see them without discrimination.,528.0,"546,0,1"
529,529,"""",529.0,"547,0,1"
530,530,"It will not cause international isolation if we accept the culture of other countries well.""",530.0,"548,0,1"
531,531,Let's just not go to another country,531.0,"549,0,1"
532,532,"People have different cultures and different texts. Don't try to ostracize them too much. If you accept them in moderation, we can improve",532.0,"550,0,1"
533,533,We should look at it with an attitude of respect for the culture of other countries.,533.0,"551,0,1"
534,534,It's the same thing that we eat kimchi in other countries,534.0,"552,0,0"
535,535,You should try to respect and understand both your own and other cultures with cultural relativism.,535.0,"553,0,0"
536,536,Don't look down on other people's culture I like that culture in that country,536.0,"554,0,1"
537,537,You should understand and accept other countries' lifestyles and attitudes.,537.0,"555,0,1"
538,538,"You should not discriminate against others because they are different in culture, and you should respect their culture.",538.0,"556,1,0"
539,539,Each should respect the culture of the country.,539.0,"557,0,1"
540,540,"Each country has its own culture, so it should have an attitude of respect.",540.0,"558,0,0"
541,541,Learn the culture of other countries.,541.0,"559,0,1"
542,542,Let's respect the culture of other countries,542.0,"560,0,1"
543,543,"You can't do that, my friend. ^^",543.0,"561,0,1"
544,544,You should try to understand the culture of other countries.,544.0,"562,0,1"
545,545,"Even if it is a culture that Jisin does not know or is not familiar with, it should be accepted with respect.",545.0,"563,0,1"
546,546,I want you to understand and respect that each region or country has its own culture My friend ^^,546.0,"564,0,1"
547,547,Let's understand the differences in culture,547.0,"565,0,1"
548,548,Each country has its own culture. Don't think it's strange that the culture is different from mine.,548.0,"566,0,1"
549,549,"If you put yourself in the shoes of people from other countries, you should understand each other as well.",549.0,"567,0,1"
550,550,"""",550.0,"568,0,1569,0,1"
551,551,You have to understand the difference in culture,551.0,"570,0,1"
552,552,"I will tell my friend that when you are from that country, think about your home country's soup",552.0,"571,0,1"
553,553,We should respect the culture of other countries,553.0,"572,0,1"
554,554,be blind to culture,554.0,"573,0,1"
555,555,Recognize and respect cultural differences,555.0,"574,0,0"
556,556,You should understand and acknowledge the culture of other countries.,556.0,"575,0,1"
557,557,"You have to admit something else, not think it's wrong or bad because it's different from our country.",557.0,"576,0,1"
558,558,"We should respect other cultures, too",558.0,"577,0,1"
559,559,You have to understand and be considerate of cultural differences,559.0,"578,0,1"
560,560,Respect the culture,560.0,"579,0,1"
561,561,You have to understand diversity and admit that you and that person can be different.,561.0,"580,0,1"
562,562,"It is not right to view culture as an object of evaluation. All cultures are different, not wrong",562.0,"581,0,0"
563,563,"Friends, those people you don't understand, will think of you that way.",563.0,"582,0,1"
564,564,"Friends, those people you don't understand, will think of you that way.",564.0,"583,0,1"
565,565,"Rather than looking at other cultures in the realm of their own culture, it is right to observe the culture of the country from the perspective of the person.I should have an attitude of acknowledging it, thinking it's something else rather than wrong and weird that I don't",565.0,"584,0,0"
566,566,"""Don't judge a culture that you haven't experienced yet. From the other person's point of view,",566.0,"585,0,0"
567,567,"Let's think about it and understand and respect their culture.""",567.0,"586,0,1"
568,568,"""The first picture",568.0,"587,0,1"
569,569,"Each country has a different culture, so you can eat rice with your hands.",569.0,"588,0,1"
570,570,The second picture,570.0,"589,0,0"
571,571,"Our characters are Korean, and each country has its own language, such as English, Japanese, and so on. As such, other countries will also have their own letters. It is not right to discriminate against it.""",571.0,"590,0,1"
572,572,"The cultures of different countries are different depending on their history and geographical environment, so they should be respected. Even in the eyes of the other person, Korea's culture is different from its own, so it will be considered strange.",572.0,"591,0,1"
573,573,"You should always think that other cultures are not wrong, not trying to understand the actions of people in other countries, but taking them as natural actions and passing them over.",573.0,"592,0,0"
574,574,"You have to understand and respect the culture of other countries as strange, not wrong, but unique, and different!",574.0,"593,0,1"
575,575,"Culture is different by region and country, and from the other person's point of view, our culture seems strange. Only when these different cultures are recognized and cared for each other can a peaceful global society be achieved. In our view, if it seems strange to eat with our hands, it may be strange for them to eat with chopsticks, but if we judge right from wrong with such a culture, disputes will arise.",575.0,"594,0,1"
576,576,"It is not right to look at other societies' cultures and think in a heterogeneous way. The humanities environment develops according to the natural environment of the region, and the food, clothing, and shelter culture are formed according to the characteristics of the region. It is by no means ethical to be considered wrong just because you are different from me. It is necessary to respect cultures that are different from ours because people from other cultures may think that our culture is different and strange.",576.0,"595,0,1"
577,577,"Advice Guys you may have such doubts about the culture of people in other countries, but don't feel disgusted or speak out about it. For example, are foreigners barbaric people who see our country's Boshintang food culture? You can't help but get angry if you say, ""What's wrong with the shape of that text?"" after looking at our Hangul. Let's understand them with a contrarian attitude",577.0,"596,0,1"
578,578,"Since customs and traditions are different from country to country, eating habits may be different, and the origin of letters may be different, the shape of letters may be different, so you should be informed that you should understand and respect them without ignoring them.",578.0,"597,0,1"
579,579,We should not look at the culture of other countries in a bad light because it is different from our culture.,579.0,"598,0,0599,0,0"
580,580,"Korea and other countries are different locally and historically, so they should have an attitude of understanding.""",580.0,"600,0,1"
581,581,"We should not judge other cultures based on our own culture. This culture is created because local characteristics, social environment, and people's characteristics are all combined to come out in an optimized direction.",581.0,"601,0,1"
582,582,It is necessary to respect and judge culture by itself.,582.0,"602,0,0"
583,583,"It is also necessary to take a stance of supporting the enemy. In the eyes of the other person, our culture may be strange. If you respect the culture first, the other person will respect the culture.""",583.0,"603,0,1"
584,584,"Even if you have a different culture from your own country, you should respect and acknowledge that your country's culture is different. If people ignore and discriminate against each other because they have different cultures, people will not harmonize with each other and only conflict will be created, so a peaceful world will not take place.",584.0,"604,0,1"
585,585,"People from other countries may feel strange and strange when they see our culture, but how would it feel if they ignore and downplay our culture just because it is different from their own? We should all advise that we should live a life that strives to recognize and respect the diversity of other countries' cultures.",585.0,"605,0,0"
586,586,"In our view, the cultures of other countries may look unique and different. However, this is different, not wrong, and when you think about it in a different way, our culture may seem unique to people in other countries, so all cultures deserve respect. However, I think there is something to discuss about culture outside of ethical common sense.",586.0,"606,0,0"
587,587,"I don`t think there`s anything desirable about looking at other cultures. However, it is right to respect the culture of each country. Because the way we live is all different.",587.0,"607,0,0"
588,588,"In other people's eyes, I may think I have a strange culture.",588.0,"608,0,1"
589,589,"Therefore, we cannot discriminate between superiority and inferiority in culture.""",589.0,"609,0,0"
590,590,"The world is made up of many countries. Because each country has a different history and lifestyle, cultures appear differently. Instead of rejecting these cultures and thinking that their culture is right, they should have an attitude to understand and respect the culture of other countries.",590.0,"610,0,1"
591,591,"Our culture is taken for granted to us. Also, we all feel unpleasant when others blame us for our culture. As such, all cultures in the world are created from pride in their own culture, and culture has no reason to be treated badly by someone. Let's live with respect for other cultures.",591.0,"611,0,0"
592,592,"""",592.0,"612,0,1"
593,593,"If there is a difference from other countries while thinking that their culture is absolutely correct, they should not think that they are superior to the culture of other countries and criticize them. There will be so many cultures because there are so many countries in the world. Therefore, I think that respecting and understanding the diversity of many cultures is an essential attitude in today's global era.In general, the phenomenon of being trapped only in this self-culture and not being able to understand and respect the culture of other countries is called cultural historicalism. In order to solve this cultural historicalism, it should be advised to respect and understand the culture of other countries.",593.0,"613,0,1"
594,594,"""Just as we have our own culture, other countries have their own culture.",594.0,"614,0,1"
595,595,The culture has long been established and common in the country,595.0,"615,0,0"
596,596,Just because we feel different culture doesn't mean we're wrong. That's why it's not a culture that's wrong,596.0,"616,0,1"
597,597,It's just that you think it's different from us and you're interested in the culture of that country,597.0,"617,0,0"
598,598,"What do you think?""",598.0,"618,0,1"
599,599,"In the above picture, the two students look at the culture of other countries with an attitude of self-culturalism that they regard as inferior or uncivilized without respecting the culture of other countries. This culture hinders smooth cultural exchanges and has problems due to conflicts with other cultures. Therefore, the two students should look at culture from the perspective of cultural relativism, an attitude to understand and respect one culture. Only then can the culture be objectively understood without prejudice and contribute to preserving cultural diversity.",599.0,"619,0,0"
600,600,"When culture is defined as a collection of behaviors and attitudes shared by group members, different values, attitudes, and behaviors that various groups constituting a society may have are called cultural differences. In modern society, cultural differences are inevitable as exchanges between countries and groups increase due to globalization and the development of information and communication technology. Therefore, we should have the flexibility to understand and respect these cultural differences between groups. When various cultures collide in society, it can be a serious social problem if cultural differences are not recognized and other cultures are suppressed as a dominant governing system. Therefore, it will be necessary to know that all cultures are valuable, to understand and not reject other cultures without prejudice. Also, culture should not be divided into superior and inferior.",600.0,"620,0,0"
601,601,"There are so many countries, so many people, so many languages and so many cultures in the world.And all of those cultures are made up of the experiences of the people of that country and many other things.But if you judge and ignore many of those things by your own standards, it can be an act of ignoring all of the country's history, not just its culture.So it would be better to understand and respect each other's culture.",601.0,"621,0,0"
602,602,"""Although we are used to our own culture, we can feel that our culture is right and that other cultures are wrong and awkward. For example, there are so many different things from our cultures, such as the issue of racism, such as black and white, and the unique customs and customs of the country. However, we should never ignore or belittle Korea because it is different from us, or because it is a backward country.",602.0,"622,0,0"
603,603,"We should understand everything that can be called the country's own culture and try to match each other.""",603.0,"623,0,1"
604,604,"Rather than a self-culture-centered attitude that despises other cultures, a cultural relativistic attitude that can respect other cultures is needed.",604.0,"624,0,1"
605,605,We should respect each other because we have different cultures.,605.0,"625,0,1"
606,606,"It is necessary not to say that the culture of other countries is wrong, but to understand that culture there is",606.0,"626,0,1"
607,607,We should also understand and respect the cultures of other countries.,607.0,"627,0,1"
608,608,We should understand and appreciate the culture of other countries.,608.0,"628,0,0629,0,1"
609,609,Let's be nice.,609.0,"630,0,1"
610,610,You should not evaluate other cultures based on your own culture.,610.0,"631,0,1"
611,611,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,611.0,"632,0,1"
612,612,societies related to different culturesWe should understand the historical situation and look at the culture from the perspective of other countries.,612.0,"633,0,1"
613,613,People in other countries should respect them because they follow their culture,613.0,"634,0,1"
614,614,"""",614.0,"635,0,1"
615,615,It is important to understand the process of forming different cultures.,615.0,"636,0,1"
616,616,I respect you,616.0,"637,0,1"
617,617,"There is no standard for judging culture, and all cultures must be understood and accepted. However, if you accept culture without criticism, you can do something wrong, so you should accept it after criticizing it.",617.0,"638,0,1"
618,618,That's what we look like to the people of the country.,618.0,"639,0,1"
619,619,You should try to understand the culture of other countries without rejecting it.,619.0,"640,0,1"
620,620,Respect the culture of other countries,620.0,"641,0,1"
621,621,You have to respect the culture of other countries.,621.0,"642,0,0"
622,622,We must respect other cultures,622.0,"643,0,1"
623,623,Look again at the history of the country or its background from a holistic perspective.,623.0,"644,0,1"
624,624,"""You have to understand other people in different countries It's not discrimination.",624.0,"645,0,1"
625,625,"""",625.0,"646,0,1"
626,626,"Friends, I don't want you to blame us for our different lifestyles or think we're weird people. Shouldn't they understand that because they have their own culture? And when I saw a letter earlier, it said that the shape was strange, but the letter was also made very difficult, so shouldn't we understand this as well? I hope you don't blame us for being weird because it's different from what we use.",626.0,"647,0,1"
627,627,"You should have an attitude that recognizes, understands, and does not reject the differences between others or other cultures.",627.0,"648,0,1"
628,628,You should know how to accommodate the cultures of different countries.,628.0,"649,0,1"
629,629,It is necessary to learn the culture of other countries by obtaining information through computers.,629.0,"650,0,1"
630,630,The diversity of culture must be recognized.,630.0,"651,0,1"
631,631,You should understand and respect the culture of others.,631.0,"652,0,1"
632,632,Say that to yourself.,632.0,"653,0,1"
633,633,Let's not look at it from a beta perspective,633.0,"654,0,0"
634,634,"Don't put the difference between countries in words, think about it",634.0,"655,0,1"
635,635,cultural understanding of other countries,635.0,"656,0,1"
636,636,Divest prejudice from your mind.,636.0,"657,0,1"
637,637,"Being different doesn't mean you're wrong. Don't think it's weird just because it's different from me, but you need an attitude to understand the culture.",637.0,"658,0,1659,0,1"
638,638,I heard you eat dog meat in your country,638.0,"660,0,0"
639,639,"We should look at it from a different perspective, not from a strange or wrong perspective.",639.0,"661,0,1"
640,640,"We need to respect other things, not wrong",640.0,"662,0,1"
641,641,You need to understand culture and know how to hug.,641.0,"663,0,1"
642,642,"When we look at us from the perspective of people from other countries, we can also look amazing. Let's put ourselves in a different position.",642.0,"664,0,0"
643,643,It should be advised to understand and respect the culture of other countries.,643.0,"665,0,0"
644,644,putting on the other's shoe,644.0,"666,0,0"
645,645,"Even if it is a culture that shows a different appearance from itself, it should be respected and respected.",645.0,"667,0,1"
646,646,"If you want to be respected for your country's culture, respect it first",646.0,"668,0,0"
647,647,You're the same to others,647.0,"669,0,0"
648,648,Let's find out why you eat it with your hands and how it looks like,648.0,"670,0,0"
649,649,"The attitude is very desirable. I am curious about the culture of other countries. It is not known whether the above people ignore or belittle the attitudes of other countries. Therefore, there is no problem and it is desirable. People who think it's cultural discrimination too sensitively are sensitive.",649.0,"671,0,0"
650,650,I accept the difference.,650.0,"672,0,0"
651,651,Respect and consideration are needed.,651.0,"673,0,0"
652,652,"Each country has a different culture, not a different culture or a culture.",652.0,"674,0,0"
653,653,Let's respect the difference,653.0,"675,0,0"
654,654,Let's put ourselves in the shoes of the people of the country,654.0,"676,0,0"
655,655,Foreigners will think so when they see you,655.0,"677,0,0"
656,656,Diversity must be recognized regardless of cultural superiority.,656.0,"678,0,0"
657,657,You have to have a strong stance. People in other countries will think strange when they see me.,657.0,"679,0,0"
658,658,There's nothing better or better than the rest of the country and our country is different,658.0,"680,0,0"
659,659,"Have an inclusive mindset that says, ""That country is like that.""",659.0,"681,0,0"
660,660,"Culture reflects the characteristics of the country, so if you live in different regions, you have to respect and acknowledge different cultures",660.0,"682,0,0"
661,661,Be tolerant of other countries' cultural backgrounds,661.0,"683,0,0"
662,662,"People in other countries will have their own culture like us. You should recognize and accept that it is not a wrong culture, but a different culture.",662.0,"684,0,0"
663,663,It is necessary to understand and respect the values pursued by each country and the culture accordingly.,663.0,"685,0,0"
664,664,We need an attitude with cultural relativity,664.0,"686,0,0"
665,665,"Cultural development has been relatively carried out according to regional and temporal characteristics, so an attitude of understanding and respecting cultures different from their own culture is necessary.",665.0,"687,0,0"
666,666,"As important as Korea's culture, other countries' cultures are also important, and in order for their own culture to be recognized, advice is needed to respect the other's culture.",666.0,"688,0,0689,0,0"
667,667,Let's understand other cultures,667.0,"690,0,0"
668,668,You should have an attitude of understanding other countries' cultures.,668.0,"691,0,0"
669,669,How will our culture be seen by people in other countries?I ask a reverse question.,669.0,"692,0,0"
670,670,"It's another country's culture, so understand it with a different country's mind",670.0,"693,0,0"
671,671,We need to be aware of the culture of other countries without eyeglasses,671.0,"694,0,0"
672,672,You shouldn't say that you're different from us. Let's respect other cultures.,672.0,"695,0,0"
673,673,You should develop an attitude to understand and respect other cultures.,673.0,"696,0,0"
674,674,It is necessary to have an attitude of respecting each other's culture.,674.0,"697,0,0"
675,675,Every country has its own culture. It's not wrong,675.0,"698,0,0"
676,676,The attitude of criticizing other people's culture just because they are different from me is not correct.,676.0,"699,0,0"
677,677,You have to understand because it is a culture of another country.,677.0,"700,0,0"
678,678,We need a cultural relativistic attitude to understand the culture of other countries,678.0,"701,0,0"
679,679,Each country should respect its culture because it occurs according to its environment.,679.0,"702,0,0"
680,680,Other countries' cultures are also recognized.,680.0,"703,0,0"
681,681,I have to think positively about the culture of the country,681.0,"704,0,0"
682,682,"We should not despise and ignore other cultures, but have an attitude of understanding and embracing them.",682.0,"705,0,0"
683,683,"""Each country has its own culture, so we should respect it.",683.0,"706,0,0"
684,684,"Do you want people from other countries to have a prejudice and think weirdly about our country's unique culture?""",684.0,"707,0,0"
685,685,"It is necessary to take the difference between different environments and cultures as natural, not strange.",685.0,"708,0,0"
686,686,"Your culture may also seem strange from the perspective of people from other countries. It's because the way we grew up is different, so I think it's better to respect each other",686.0,"709,0,0"
687,687,You should have an attitude of respect for other cultures.,687.0,"710,0,0"
688,688,Your culture can feel that way to others,688.0,"711,0,0"
689,689,We should develop an attitude that respects the culture of other countries,689.0,"712,0,0"
690,690,Accept the culture of other countries.,690.0,"713,0,0"
691,691,You should respect and understand other cultures.,691.0,"714,0,0"
692,692,"They change their position as if the culture of other countries is their own.In general, the phenomenon of being trapped only in this self-culture and not being able to understand and respect the culture of other countries is called cultural historicalism. In order to solve this cultural historicalism, it should be advised to respect and understand the culture of other countries.",692.0,"715,0,0"
693,693,"""Just as we have our own culture, other countries have their own culture.",693.0,"716,0,0"
694,694,The culture has long been established and common in the country,694.0,"717,0,0"
695,695,Just because we feel different culture doesn't mean we're wrong. That's why it's not a culture that's wrong,695.0,"718,0,0719,0,0"
696,696,It's just that you think it's different from us and you're interested in the culture of that country,696.0,"720,0,0"
697,697,"What do you think?""",697.0,"721,0,0"
698,698,"In the above picture, the two students look at the culture of other countries with an attitude of self-culturalism that they regard as inferior or uncivilized without respecting the culture of other countries. This culture hinders smooth cultural exchanges and has problems due to conflicts with other cultures. Therefore, the two students should look at culture from the perspective of cultural relativism, an attitude to understand and respect one culture. Only then can the culture be objectively understood without prejudice and contribute to preserving cultural diversity.",698.0,"722,0,0"
