,Unnamed: 0,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,Unnamed: 0,", q47_sunlight, q47_sunlight.1"
398,398,It's because the stars are bright and the sunlight is bright.,398.0,"411,0,"
399,399,The sun is so bright,399.0,"412,1,"
400,400,"""The sun is not as bright as other stars, but it is the closest star to Earth",400.0,"413,1,"
401,401,"Because the sun looks bright (only during the day).""",401.0,"414,1,"
402,402,It's because the sun is bright.,402.0,"415,1,"
403,403,Because the sun's light is too bright.,403.0,"416,1,"
404,404,The sun is too bright to see,404.0,"417,1,"
405,405,It is because of the sun during the day,405.0,"418,1,419,1,"
406,406,The sun is too bright to see,406.0,"420,1,"
407,407,The sun shines brighter than the stars.,407.0,"421,1,"
408,408,"Because the sun is bright nearby,",408.0,"422,1,"
409,409,The sun's light is stronger than the starlight.,409.0,"423,1,"
410,410,Because the sun is too bright.,410.0,"424,1,"
411,411,The sun's light is too bright to be seen.,411.0,"425,1,"
412,412,The sun is so bright,412.0,"426,1,"
413,413,The moon is spinning,413.0,"427,1,"
414,414,Because the sun's light is too bright.,414.0,"428,1,"
415,415,The sun is so strong.,415.0,"429,1,"
416,416,Because the sun's light is too bright.,416.0,"430,1,"
417,417,Because the sunlight is too strong to see the light from other stars.,417.0,"431,1,"
418,418,Because the sun's light is too strong.,418.0,"432,1,"
419,419,The sunlight is so bright,419.0,"433,0,"
420,420,The sunlight is so strong.,420.0,"434,1,"
421,421,I can't see the stars because it's too bright.,421.0,"435,1,"
422,422,The sun is so bright,422.0,"436,1,"
423,423,The sky is already bright and cannot recognize the brightness of stars.,423.0,"437,1,"
424,424,The sun is so bright,424.0,"438,1,"
425,425,The sun's light is strong,425.0,"439,1,"
426,426,Because the sun is too bright.,426.0,"440,0,"
427,427,The sun is so bright that you can't see the stars shining.,427.0,"441,1,"
428,428,It's too bright to see,428.0,"442,0,"
429,429,"The sun is too hot, so the light covers the stars",429.0,"443,1,"
430,430,"Because it is relatively farther than sunlight, the light is more cloudy, and the sunlight is brighter",430.0,"444,1,"
431,431,"The sun is brighter than the stars, so it's hard to detect the light from the stars",431.0,"445,1,"
432,432,Because the sun is up,432.0,"446,1,"
433,433,The sun's light is too bright to see stars.,433.0,"447,1,"
434,434,"At night, I can see stars shining because it is dark, but during the day, I can't see them because it is bright",434.0,"448,1,449,1,"
435,435,This is because the earth revolves around the sun.,435.0,"450,0,"
436,436,"There is a sun, so even if the star or the moon is in the sky, it is hidden by the sunlight and cannot be seen.",436.0,"451,1,"
437,437,I don't think it'll be visible because of the sun.,437.0,"452,1,"
438,438,Because of the sun,438.0,"453,1,"
439,439,I can't see it because the sun is up,439.0,"454,1,"
440,440,be due to the sunlight,440.0,"455,1,"
441,441,Because of the sunlight,441.0,"456,0,"
442,442,It's not night,442.0,"457,0,"
443,443,"Because the sun is up, the sun is stronger",443.0,"458,1,"
444,444,"When sunlight reaches the Earth's atmosphere, it absorbs only the blue light of sunlight, and the sky looks blue, so the light of the star weakens, so you cannot observe the star with your eyes",444.0,"459,1,"
445,445,The stars are not visible because of the strong Hehetmon,445.0,"460,1,"
446,446,The light from the sun is stronger than the light from the stars,446.0,"461,1,"
447,447,This is because the sun's light is stronger than the star's light.,447.0,"462,1,"
448,448,The stars don't seem to shine because there's more light from the sun,448.0,"463,1,"
449,449,This is because the light in the sun is brighter than the brightness of the stars.,449.0,"464,1,"
450,450,Because the stars are not visible during the day because it is bright.,450.0,"465,1,"
451,451,"Because stars are so far away from Earth, neither stars brighter than the sun nor stars that are not are visible under the sun's light.",451.0,"466,1,"
452,452,I don't understand why we can't see stars during the day when stars are in the sky during the day,452.0,"467,0,"
453,453,Because it is covered by the sun's light.,453.0,"468,1,"
454,454,The sun's light is brighter than the star's light,454.0,"469,1,"
455,455,Because the sun is up and light cannot be reflected,455.0,"470,1,"
456,456,The sunlight is too strong to see the stars.,456.0,"471,1,"
457,457,"During the daytime, the sky is bright because of the sunlight, so you can't see the stars",457.0,"472,1,"
458,458,I don't know.,458.0,"473,1,"
459,459,"As the Earth rotates, stars are not visible because of the sun's light.",459.0,"474,1,"
460,460,The sun is so bright,460.0,"475,1,"
461,461,Because of the light,461.0,"476,1,"
462,462,The sun is so bright,462.0,"477,1,"
463,463,The sun shines so brightly that you can't see it during the day,463.0,"478,1,479,1,"
464,464,The sun is so bright that I can't,464.0,"480,1,"
465,465,The sun's light is getting stronger,465.0,"481,0,"
466,466,The sunlight is so bright,466.0,"482,1,"
467,467,The sun is so bright,467.0,"483,1,"
468,468,The sun is so bright,468.0,"484,0,"
469,469,"When our country is looking at the sun,",469.0,"485,0,"
470,470,The sun is so bright.,470.0,"486,1,"
471,471,"I can see stars, but I can't see the sun's light.",471.0,"487,1,"
472,472,You can't see it during the day because the sunlight is too bright.,472.0,"488,0,"
473,473,Stars are hard to see during the day because of the sunlight.,473.0,"489,0,"
474,474,The sunlight is so strong,474.0,"490,0,"
475,475,The sunlight is brighter than the stars,475.0,"491,0,"
476,476,The sun doesn't look bright.,476.0,"492,0,"
477,477,"During the day, stars are invisible because of the sunlight.",477.0,"493,0,"
478,478,The sun is too strong.,478.0,"494,0,"
479,479,The sunlight is so strong,479.0,"495,0,"
480,480,"Stars make their own light, but they can't see the starlight because of the sun's",480.0,"496,1,"
481,481,It's because the sun is bright,481.0,"497,1,"
482,482,I can't see the constellations because the sun is shining,482.0,"498,0,"
483,483,"Because there are many lights in the city, you can see it well in the dark",483.0,"499,0,"
484,484,The sun is too bright to see other stars.,484.0,"500,1,"
485,485,Because the sun shines.,485.0,"501,1,"
486,486,Because the earth rotates,486.0,"502,1,"
487,487,Because stars can be seen well in the dark.,487.0,"503,1,"
488,488,The sun's light is stronger than the star's light.,488.0,"504,1,"
489,489,Because the sun is up,489.0,"505,1,"
490,490,I don't know,490.0,"506,1,"
491,491,I don't know,491.0,"507,1,"
492,492,I don't know,492.0,"508,0,509,0,"
493,493,I don't know,493.0,"510,1,"
494,494,I don't knowI don't know,494.0,"511,0,"
495,495,I don't know,495.0,"512,1,"
496,496,I don't understand...,496.0,"513,1,"
497,497,Sunlight is more powerful than starlight.,497.0,"514,1,"
498,498,It is hard to see because of the sun's light.,498.0,"515,1,"
499,499,covered by clouds,499.0,"516,1,"
500,500,I don't know.,500.0,"517,1,"
501,501,"Because the sun's light is brighter,",501.0,"518,1,"
502,502,Because of the sun's light,502.0,"519,1,"
503,503,It's bright during the day,503.0,"520,1,"
504,504,"""I can't see it because it's right.""",504.0,"521,0,"
505,505,"""",505.0,"522,1,"
506,506,I can't see the stars because of the strong sunlight.,506.0,"523,1,"
507,507,"Stars are shining, so you can see them better at night, but in the morning, they are invisible because of the bright sun.",507.0,"524,1,"
508,508,"It's because the sun is bright and bright during the day time, so I can't see the bright stars",508.0,"525,1,"
509,509,"""The sun is so strong that I can't see the starlight.""",509.0,"526,1,"
510,510,"""",510.0,"527,1,"
511,511,I don't think I can see Korea because it looks at the sun,511.0,"528,1,"
512,512,"It depends on the season. However, the sun seems to cover the stars in the morning.",512.0,"529,1,"
513,513,Because of the sun's light,513.0,"530,0,"
514,514,I don't know,514.0,"531,1,"
515,515,It's bright,515.0,"532,1,"
516,516,"In the morning, there are more clouds than at night, or you can't see it because of the sunlight. At night, the stars look clearer as it gets dark and clouds disappear.",516.0,"533,1,"
517,517,The light is shining on the sea of light,517.0,"534,1,"
518,518,Because of the sunlight,518.0,"535,1,"
519,519,Because the sunlight is too strong.,519.0,"536,1,"
520,520,The sun shines so much that you can't see the stars.,520.0,"537,1,"
521,521,"Because of the strong sunlight,",521.0,"538,1,539,1,"
522,522,Because of the sun,522.0,"540,1,"
523,523,The light is too strong,523.0,"541,1,"
524,524,"Because you can see the light well at night,",524.0,"542,1,"
525,525,"Because the Earth receives the sun, stars are reflected by sunlight and are invisible to us, but stars are floating during the day.",525.0,"543,1,"
526,526,The sun's light is so strong that I can't see constellations.,526.0,"544,1,"
527,527,The stars are invisible because the sun is too bright,527.0,"545,1,"
528,528,"It rotates around the sun, but the sun's light is too bright to see stars during the day",528.0,"546,1,"
529,529,Because of the strong sunlight,529.0,"547,1,"
530,530,"Because the sun's light is strong,",530.0,"548,1,"
531,531,"As the sun rises, the sun is bright and you can't see it well.",531.0,"549,1,"
532,532,The sun's light is so strong during the day that it's hard to see.,532.0,"550,1,"
533,533,Yes,533.0,"551,1,"
534,534,"During the day, the sunlight is stronger than the starlight, so you can't see the stars.",534.0,"552,1,"
535,535,The sun's light is too strong to be seen.,535.0,"553,1,"
536,536,"During the day, the sun is too bright to see the stars.",536.0,"554,1,"
537,537,This is because the sunlight is too strong to see the light of the star.,537.0,"555,1,"
538,538,"This is because the sun with an apparent rating of -26.8 is too bright to see any other starlight. Sirius, the second brightest-looking star on Earth after the sun, is no wonder it is hidden from the sun because its apparent rating is well below the sun's",538.0,"556,1,"
539,539,Because stars are invisible during the day because of the sunlight,539.0,"557,1,"
540,540,This is because the sunlight is so overwhelmingly strong that the light emitted by the stars is buried.,540.0,"558,1,"
541,541,This is because the sunlight is stronger than the light emitted by stars.,541.0,"559,1,"
542,542,"Because the sunlight is brighter than the light of stars,",542.0,"560,1,"
543,543,"The sun shines on the ground in daylight. First, the light emitted by the sun is relatively very bright than the light emitted by stars. Therefore, during daytime, the light emitted by the sun is very large, so the light emitted by the stars appears relatively small. In days when the sun's light is weak due to clouds or at times when the sun sets, the star is visible, indicating that it is related to the amount of sunlight. Therefore, during the day when the sun shines very brightly, the light emitted by the stars is relatively very small, making them invisible.",543.0,"561,1,"
544,544,"The sun's light, which is much closer to Earth than other stars, shines so brightly that no other star's light is visible.",544.0,"562,1,"
545,545,"During the day, the light source called the sun is floating in the sky, so it is so bright that we will not see stars in our eyes.",545.0,"563,1,"
546,546,"Because of the sun, only the sun that is closer to us and that shines more is visible and the stars are invisible",546.0,"564,1,"
547,547,"During the daytime, the sun shines brightly, so there are no stars that are relatively less bright than the sun.",547.0,"565,0,"
548,548,"Because the sun is very close to the stars, the sunlight that enters us is too bright compared to the starlight, so that the starlight is covered by the sun light.",548.0,"566,1,"
549,549,"Although stars are floating during the day, stars are not stars that emit light themselves, but reflect or absorb light from the surrounding light, so the intensity of light is weaker than that of the Sun, a star. In other words, stars with relatively weak light intensity are invisible during the day because solar radiation energy enters the Earth's surface during daytime.",549.0,"567,1,"
550,550,This is because the magnitude of the sun's light reaching the Earth is greater than the magnitude of the star's light reaching the Earth.,550.0,"568,1,569,1,"
551,551,"In order to see a star, the brightness of the star must be brighter than that of other nearby celestial bodies. That's why the stars in the sky are not visible by the sun's light because the sun is brighter than the stars in the Earth during the day.",551.0,"570,1,"
552,552,"Other stars have the same brightness as the sun, so they will have similar or larger absolute ratings. However, other stars are very far from the Earth compared to the Sun. Their apparent brightness is smaller than that of the sun because the brightness of light is inversely proportional to the square of the distance. Therefore, because starlight outside the sun is relatively very dark, our eyes can only see the light emitted from the sun.",552.0,"571,1,"
553,553,"Daytime is due to the fact that the sun illuminates the area, which is located on the horizon when viewed from Earth. When stars are placed on the horizon with the sun, the brightness of the sun is brighter than the brightness of the star, so the star cannot be seen by the sun.",553.0,"572,1,"
554,554,"Because the sun is up during the day. Of course, stars shining in the night sky emit stronger light than the sun and are larger in size. However, stars in the night sky are so far away that only a fraction of the light energy emitted reaches Earth. In the case of the relatively close sun, stars are not visible during the day because more light energy reaches Earth.",554.0,"573,1,"
555,555,"You can see stars at night, but you can't see stars during the day because of the amount of sunlight. The sun exists even at night, but there is no sunlight because the place I am located has my back to the sun. Therefore, stars can be seen because they are not affected by sunlight. But during the day, there is sunlight. Because of the bright sunlight, the relatively less bright starlight than the sunlight is obscured.",555.0,"574,0,"
556,556,"During the day, stars are located in the sky, but we cannot see them. The reason is that we are looking at the sun. Because the light from the sun seems brighter than the starlight in our eyes, stars are invisible to our eyes during the day. But at night, we can see the stars easily because we have our back to the sun.",556.0,"575,1,"
557,557,"Stars are still in the sky during the day, but the reason why they cannot be seen during the day is because of the sun. The sun is too bright to see other stars closely.",557.0,"576,1,"
558,558,covered by the sun,558.0,"577,1,"
559,559,Because of the sun,559.0,"578,1,"
560,560,Because of the sun,560.0,"579,1,"
561,561,The sun is so bright,561.0,"580,1,"
562,562,"Because the sun's light blocks the stars,",562.0,"581,1,"
563,563,This is because the sun is strong.,563.0,"582,0,"
564,564,Because the sun is bright,564.0,"583,0,"
565,565,Because the sunlight is stronger than the light from the stars?,565.0,"584,1,"
566,566,The sun is so bright,566.0,"585,1,"
567,567,It's bright,567.0,"586,1,"
568,568,Because of the sun,568.0,"587,1,"
569,569,It's because it's too good.,569.0,"588,1,"
570,570,"Because the sun's light is stronger, the star's light is invisible.",570.0,"589,1,"
571,571,at sunrise,571.0,"590,1,"
572,572,The sun is so strong that the starlight is covering it,572.0,"591,1,"
573,573,Because of the sun,573.0,"592,1,"
574,574,The sun is up,574.0,"593,1,"
575,575,"The sun looks brighter because it is closer than the stars, so relatively less bright stars are not seen because the brighter sun is floating during the day",575.0,"594,1,"
576,576,The sun's light is stronger than the star's light,576.0,"595,1,"
577,577,The earth revolves around,577.0,"596,0,"
578,578,It's because of the sun.,578.0,"597,0,"
579,579,Because I can't see the top because of the sunlight and the sunlight is too bright,579.0,"598,0,599,0,"
580,580,The sun is so strong that there is no starlight.,580.0,"600,1,"
581,581,This is because the light of stars is weaker than the light of the sun.,581.0,"601,1,"
582,582,Because the sun's light is stronger than the star's light.,582.0,"602,1,"
583,583,"The light emitted by the sun is stronger than the light emitted by the stars, so you cannot see the stars",583.0,"603,1,"
584,584,Because the sun is up,584.0,"604,1,"
585,585,It's covered by clouds,585.0,"605,1,"
586,586,This is because the sun's light cannot cover the surrounding stars.,586.0,"606,1,"
587,587,Because the sun is up.,587.0,"607,1,"
588,588,Because of the sunlight,588.0,"608,1,"
589,589,Because the sunlight is too strong,589.0,"609,1,"
590,590,The sun's light closer to Earth is stronger than the light emitted by stars,590.0,"610,1,"
591,591,"The sun's light is brighter, so it doesn't look relatively bright, so it's invisible",591.0,"611,1,"
592,592,It doesn't look too bright during the day because of the sun,592.0,"612,1,"
593,593,"The sun is upSunlight is stronger than starlight, so only sunlight is visible.",593.0,"613,1,"
594,594,The sun's light is only brighter than the star's light.,594.0,"614,1,"
595,595,This is because the light from the sun is so powerful that it blocks the light of other stars.,595.0,"615,0,"
596,596,The sun is burning,596.0,"616,1,"
597,597,Because of the light,597.0,"617,1,"
598,598,It's daytime,598.0,"618,1,"
599,599,I don't know.,599.0,"619,1,"
600,600,be in a science book,600.0,"620,1,"
601,601,What?,601.0,"621,1,"
602,602,It's because of the sun,602.0,"622,1,"
603,603,Because the sun is bright,603.0,"623,1,"
604,604,It's too bright,604.0,"624,1,"
605,605,It's because the sun is brighter,605.0,"625,1,"
606,606,Because the sun is too bright to see the light of stars,606.0,"626,0,"
607,607,The sun's light is too bright to see the star's light.,607.0,"627,1,"
608,608,The sun is so bright,608.0,"628,1,629,0,"
609,609,Because of the sunlight,609.0,"630,1,"
610,610,It is because the sun's light is blocking.,610.0,"631,1,"
611,611,It's bright,611.0,"632,1,"
612,612,"The sun's light is stronger, so you can only see the bigger sun's light",612.0,"633,1,"
613,613,Because the brightness of the sun is bigger than the brightness of the stars,613.0,"634,0,"
614,614,It is because the sun is so bright that the light of other stars is buried.,614.0,"635,1,"
615,615,This is because the light from the sun is stronger than the light from the stars.,615.0,"636,1,"
616,616,The sun is so bright,616.0,"637,1,"
617,617,I don't know.,617.0,"638,1,"
618,618,"Because the sun's light is too strong, there is no starlight.",618.0,"639,1,"
619,619,There is no starlight because of the sunlight.,619.0,"640,1,"
620,620,Because of the sun,620.0,"641,1,"
621,621,Because of the sun,621.0,"642,1,"
622,622,Because the sun's light is strong,622.0,"643,1,"
623,623,The sun is stronger than them,623.0,"644,1,"
624,624,"During the day, the sun, the closest star to the Earth, is very bright and the surrounding stars are not visible.",624.0,"645,0,"
625,625,The distance from the sun is so close that the sun's light offsets all the stars' light.,625.0,"646,1,"
626,626,Stars are invisible because of the sun's light.,626.0,"647,1,"
627,627,The sun cannot be too strong,627.0,"648,1,"
628,628,Let's see. Sexy,628.0,"649,1,"
629,629,Because it is covered by the sun.,629.0,"650,0,"
630,630,"There's light, so you can't see the stars.",630.0,"651,1,"
631,631,I hugged the stars in the dark,631.0,"652,0,"
632,632,It is because the sun's light is too strong.,632.0,"653,1,"
633,633,The sun's brightness is so strong that other stars appear to be invisible.,633.0,"654,1,"
634,634,Because the sky is bright,634.0,"655,1,"
635,635,Because the sun's light is too bright.,635.0,"656,1,"
636,636,Stars can't be seen in bright daylight because they shine on their own,636.0,"657,1,"
637,637,This is because the sun is brighter than the light reflected by stars.,637.0,"658,1,659,1,"
638,638,Because the sun's light is too strong.,638.0,"660,1,"
639,639,Because it's bright because of the sunlight.,639.0,"661,1,"
640,640,It's because the sun is bright,640.0,"662,1,"
641,641,"Because sunlight is relatively too bright than starlight, only sunlight can be seen.",641.0,"663,1,"
642,642,It's bright,642.0,"664,1,"
643,643,The sun is so bright,643.0,"665,0,"
644,644,The sun is so bright,644.0,"666,1,"
645,645,This is because stars are not visible due to the strong sunlight.,645.0,"667,0,"
646,646,The light energy emitted by stars is not visible because it is very small compared to the light energy emitted by the sun.,646.0,"668,1,"
647,647,You can only see it when it's dark,647.0,"669,1,"
648,648,"Because of the sun's light, we can't see the starry light.",648.0,"670,1,"
649,649,The bright light of the sun prevents us from seeing the light of stars.,649.0,"671,1,"
650,650,The intensity of the sun's light is so strong that no starlight is visible,650.0,"672,0,"
651,651,I can't see constellations because the sun is up and it's bright during the day.,651.0,"673,1,"
652,652,"""The sun is up during the day, the sky is blue, the moon is up at night, and the stars are visible",652.0,"674,1,"
653,653,And our morning work,653.0,"675,1,"
654,654,"We can see the sun, but because it is night on the other side of the earth, we can see stars in the other side of the world",654.0,"676,1,"
655,655,"On the other hand, when it is morning in the other side of the world, we can see stars because it is night",655.0,"677,1,"
656,656,"Then the earth goes around the sun, so day and night are different.""",656.0,"678,1,"
657,657,This is because the intensity of the sun's light is greater than the intensity of the star's light reaching the Earth.,657.0,"679,0,"
658,658,Because I can only see it when it's dark,658.0,"680,1,"
659,659,Because the sun doesn't look too bright,659.0,"681,1,"
660,660,The sun is so strong,660.0,"682,1,"
661,661,The sun is so bright,661.0,"683,1,"
662,662,It's because of the sun.,662.0,"684,0,"
663,663,It's too bright during the day,663.0,"685,1,"
664,664,The sunlight is so strong that I can't see the light of the stars,664.0,"686,1,"
665,665,"This is because during the day, Princess Park Geun-hye's indelible light is hidden by the sunlight that is not enough but moderately intense.",665.0,"687,1,"
666,666,"During the day, the sun is so bright that you can't see the stars",666.0,"688,0,689,1,"
667,667,Because of the sun's light,667.0,"690,1,"
668,668,Because the sun's light is so bright that you can't see the star's light,668.0,"691,1,"
669,669,The light emitted by stars is weaker than the light emitted by the sun,669.0,"692,1,"
670,670,The light is so bright and the earth is so charitable,670.0,"693,1,"
671,671,"The stars are bright and the sunlight is bright, so the stars are invisible.",671.0,"694,1,"
672,672,Because the light from the stars is less than the light from the sun,672.0,"695,1,"
673,673,Uh.,673.0,"696,1,"
674,674,It is because the light from the sun interferes with the field of vision.,674.0,"697,1,"
675,675,Because the sun is bright,675.0,"698,1,"
676,676,the light of the sun,676.0,"699,0,"
677,677,It's bright because of the sunlight,677.0,"700,1,"
678,678,The sun's light doesn't reflect on the stars,678.0,"701,1,"
679,679,Because of the sun,679.0,"702,1,"
680,680,It's too bright,680.0,"703,1,"
681,681,Because of the sun's light,681.0,"704,1,"
682,682,The sunlight is so bright that I can't see the starlight,682.0,"705,1,"
683,683,It's covered by the strong sunlight,683.0,"706,0,"
684,684,The sun is so bright,684.0,"707,1,"
685,685,I don't know.,685.0,"708,1,"
686,686,Because the intensity of sunlight is stronger than that of stars,686.0,"709,1,"
687,687,Hye is too bright,687.0,"710,1,"
688,688,The light from the sun is stronger,688.0,"711,1,"
689,689,"As the earth rotates, the moon becomes distant and the sun approaches, so it doesn't look too bright.",689.0,"712,1,"
690,690,"It's not something you can't see, it's invisible.",690.0,"713,1,"
691,691,This is because sunlight is stronger than starlight.,691.0,"714,1,"
692,692,The sun is so strongThe sun is so bright,692.0,"715,1,"
693,693,The stars don't reflect the sun's light so they don't look like themselves.,693.0,"716,1,"
694,694,I can't see the sun because it's brighter,694.0,"717,1,"
695,695,This is because the light reflection of the star did not overcome the light reflection of the sun.,695.0,"718,0,719,1,"
696,696,Because of the sun,696.0,"720,1,"
697,697,"The Earth rotates and rotates, and the sun receives light and the sun does not receive light, and when the star that was not seen because of the sun's light becomes dark after the sun disappears, the star is seen by the light reflected from the sun",697.0,"721,1,"
698,698,I can't see the stars well because of the sun's light in the morning.,698.0,"722,1,"
699,699,Because the sun's light is stronger than the star's light.,699.0,"723,1,"
700,700,Because the sky is bright,700.0,"724,0,"
701,701,Because the sun is too bright to see stars in bright conditions,701.0,"725,1,"
702,702,It's too bright to be seen during the day.,702.0,"726,1,"
703,703,The sun is so bright that I can't see the stars,703.0,"727,0,"
704,704,I think it's because the earth is looking at the sun during the day.,704.0,"728,1,"
705,705,Because the sun's light is stronger than the star's light.,705.0,"729,1,"
706,706,Because the sun's light is stronger than the star's light,706.0,"730,1,"
707,707,Because the sun's light is stronger than light.,707.0,"731,1,"
708,708,"This is because during the day, the sun's light appears stronger than the light reflected by the star.",708.0,"732,1,"
709,709,Because the sun is too bright.,709.0,"733,1,"
710,710,Because of the sun's light,710.0,"734,1,"
711,711,Because the earth rotates,711.0,"735,1,"
712,712,We don't feel it because the sun's light is brighter than the stars' light.,712.0,"736,1,"
713,713,Because the sun's light is stronger than the star's light,713.0,"737,1,"
714,714,Because the daytime is bright enough not to see the stars.,714.0,"738,1,"
715,715,"Because the sun is up during the day, it is not dark, so you cannot see the stars",715.0,"739,1,"
716,716,"I don't see the sky well because of the sun, and I can't see the sky well because of the light and clouds. I don't see the sky well because I don't see it every time because of the smoke",716.0,"740,1,"
717,717,The stars are invisible during the day because the sunlight tells them to go away.,717.0,"741,0,"
718,718,"It is not dark because the sun is up during the day, so you cannot observe the stars.",718.0,"742,0,"
719,719,"""When the sun rises, the weak light of stars in the sky, where the sun is scattered by light scattering",719.0,"743,0,"
720,720,"because it doesn't look relatively good""",720.0,"744,0,"
721,721,"When the earth revolves around the sun, the earth rotates, but when it rotates, it is daytime when it shines the sun, and the opposite side that the sun does not shine is night. Of course, it can be seen during the day, but in the evening, the star reflected by the light source called the sun is dark at night, so you can see it well",721.0,"745,1,"
722,722,"There are stars, but there are some that the sun is too bright to see, and some that cannot see because of the fumes.",722.0,"746,1,"
723,723,Stars are invisible because of the sun's light,723.0,"747,1,"
724,724,"Because of the scattering of light,",724.0,"748,1,749,1,"
725,725,It's too bright,725.0,"750,1,"
726,726,"Because stars are darker in light than the sun, the sun is brighter when the sun rises, making it harder to see stars.",726.0,"751,1,"
727,727,It doesn't look darker than the sun.,727.0,"752,0,"
728,728,The sunlight is stronger than starlight,728.0,"753,1,"
729,729,"Because of the sunlight,",729.0,"754,1,"
730,730,Because the earth rotates,730.0,"755,1,"
731,731,Because the sky is bright,731.0,"756,1,"
732,732,Because the sky is bright,732.0,"757,1,"
733,733,I don't know.,733.0,"758,1,"
734,734,Because of the sun,734.0,"759,1,"
735,735,The sun is shining so brightly,735.0,"760,1,"
736,736,It's because the sun is up and the surroundings are too bright,736.0,"761,1,"
737,737,I can't see it because it's covered by the sun,737.0,"762,1,"
738,738,covered by the sun's light,738.0,"763,1,"
739,739,Because the sun is up.,739.0,"764,1,"
740,740,Because the sun is up.,740.0,"765,1,"
741,741,Because it is too bright because of the sunlight.,741.0,"766,1,"
742,742,The sun is brighter,742.0,"767,1,"
743,743,The sun's light is strong,743.0,"768,1,"
744,744,Because the sun is brighter,744.0,"769,0,"
745,745,The sunlight is so strong,745.0,"770,0,"
746,746,Because it's bright,746.0,"771,0,"
747,747,"As the sun goes down, we can't see each other day",747.0,"772,0,"
748,748,I don't know,748.0,"773,0,"
749,749,I don't know.,749.0,"774,0,"
750,750,I don't know.,750.0,"775,1,"
751,751,Because the sun is bright,751.0,"776,1,"
752,752,It's hard to observe with the naked eye because of the light,752.0,"777,1,"
753,753,The sun is too strong,753.0,"778,1,779,0,"
754,754,I can't shine the stars because of the sunlightduring the day,754.0,"780,1,"
755,755,Because it's bright,755.0,"781,1,"
756,756,Sun,756.0,"782,0,"
757,757,The stars are covered by the sunlight,757.0,"783,1,"
758,758,?,758.0,"784,1,"
759,759,Since the sun is up,759.0,"785,1,"
760,760,Because the sun's light is stronger than the stars,760.0,"786,1,"
761,761,Because of the strong sunlight,761.0,"787,1,"
762,762,The sun is so bright and close that the sunlight blocks the starlight,762.0,"788,0,"
763,763,You can't see the stars shining with the strong light of the sun.,763.0,"789,1,"
764,764,It's bright,764.0,"790,1,"
765,765,It's bright,765.0,"791,1,"
766,766,The sun is so bright that I can't see the stars,766.0,"792,0,"
767,767,Because the sun's light is too bright,767.0,"793,1,"
768,768,The sun is so bright,768.0,"794,1,"
769,769,"Because stars shine brightly, stars are invisible during the bright day.",769.0,"795,1,"
770,770,"""",770.0,"796,0,"
771,771,"""Because the sky is so bright""",771.0,"797,1,"
772,772,The sun cannot be too strong.,772.0,"798,0,"
773,773,The sun is too bright to be seen.,773.0,"799,1,"
774,774,I can't see it because the sun is bright,774.0,"800,1,"
775,775,Because the sunlight is too strong.,775.0,"801,1,"
776,776,"Because the sun is much closer than other stars, the relative brightness is too bright to see the stars.",776.0,"802,1,"
777,777,The sun is too bright,777.0,"803,1,"
778,778,The sun is much closer than other stars and it's too bright,778.0,"804,1,"
779,779,The sun is so bright,779.0,"805,1,"
780,780,It's too faint,780.0,"806,1,"
781,781,It's too faint,781.0,"807,1,"
782,782,"The light from the sun is stronger than the light from the stars, so you can't see the stars during the day",782.0,"808,1,809,1,"
783,783,The sun is so strong,783.0,"810,1,"
784,784,Because the sun is bright,784.0,"811,0,"
785,785,The sun is so bright,785.0,"812,1,"
786,786,Because it's daytime,786.0,"813,1,"
787,787,I don't understand.,787.0,"814,1,"
788,788,This is because sunlight is stronger than starlight.,788.0,"815,0,"
789,789,on a fine day,789.0,"816,0,"
790,790,It's bright during the day,790.0,"817,0,"
791,791,The sunlight is so strongIt's too bright,791.0,"818,1,"
792,792,The sun is so bright,792.0,"819,1,"
793,793,This is because starlight is obscured by sunlight that is much brighter than starlight.,793.0,"820,0,"
794,794,This is because the axis of rotation and our horizon do not match.,794.0,"821,0,"
795,795,Because the sun's light is too strong.,795.0,"822,1,"
796,796,"Because of the strong light of the sun, it is invisible to the naked eye.",796.0,"823,1,"
797,797,It is because the sun is brighter than the stars.,797.0,"824,1,"
798,798,I don't know.,798.0,"825,1,"
799,799,The sun's light is so strong that the star's light is invisible.,799.0,"826,1,"
800,800,This is because the light of the sun we see is much stronger than the light of the star.,800.0,"827,1,"
801,801,Because the sun is too bright,801.0,"828,0,"
802,802,N and M,802.0,"829,1,"
803,803,Because of the sun,803.0,"830,1,"
804,804,"Because it's dark at night. ""Lose by day and win by night!""",804.0,"831,0,"
805,805,covered by the sun,805.0,"832,1,"
806,806,Because the sun is brighter.,806.0,"833,1,"
807,807,The sun is so bright,807.0,"834,1,"
808,808,"The star the sun is closest to the earth, and no other star is visible by the bright sunlight during the day.",808.0,"835,1,"
809,809,"Because the apparent magnitude of the sun's light is larger than the apparent magnitude of the star, it is obscured by the sun's light and cannot be seen.",809.0,"836,0,"
810,810,"During the day, the sun's light, which is a light source, is very strong, so the stars are hidden.",810.0,"837,1,"
811,811,The sun is stronger,811.0,"838,0,839,1,"
812,812,It's because the sun is too bright.,812.0,"840,0,"
813,813,"The brightness of the stars is smaller than that of the sun, so only the sun is relatively visible. It may be less, but it is omitted because there is not enough time.",813.0,"841,1,"
