,Unnamed: 0,1) What does the court do? ,Unnamed: 0,", q33_trial, q33_legislative, q33_check, q33_trial.1,q33_Legisposition1.q33_Check.1"
314,314,"Courts: Legislation and Enforcement""",314.0,"324,1,0,0,,,"
315,315,the act of punishing a guilty person,315.0,"325,0,1,0,,,"
316,316,"Innocent or guilty. [E.g., impeaching Park Geun Hye]",316.0,"326,0,0,0,,,"
317,317,Where to make fair laws for people.,317.0,"327,1,0,0,,,"
318,318,"Know the law, judge it, and make the law.",318.0,"328,0,1,0,,,329,0,1,0,,,"
319,319,A place where a person who has done something bad is given a just punishment.,319.0,"330,0,1,0,,,"
320,320,A place that administers the law and punishes those who fail to comply,320.0,"331,0,1,0,,,"
321,321,A person who has committed a crime is judged by law.,321.0,"332,1,0,0,,,"
322,322,Judge a criminal according to the law.,322.0,"333,0,1,0,,,"
323,323,"If there is anything to do with the guilty people or amend the law, consult with the president and adjudicate.",323.0,"334,1,1,0,,,"
324,324,A place where the laws of the country are made and fair,324.0,"335,1,0,0,,,"
325,325,a judge of a person who breaks the law,325.0,"336,1,0,0,,,"
326,326,It is a place that makes fair laws for people.,326.0,"337,1,0,0,,,"
327,327,I will work under the law.,327.0,"338,1,0,0,,,"
328,328,determine whether one is guilty or innocent,328.0,"339,1,0,0,,,"
329,329,examine the law,329.0,"340,0,0,0,,,"
330,330,I work in making laws,330.0,"341,1,0,0,,,"
331,331,I do the work of organizing the law.,331.0,"342,0,1,0,,,"
332,332,Make a law.,332.0,"343,1,0,0,,,"
333,333,"a trial, an auction",333.0,"344,1,0,0,,,"
334,334,He is in charge of making laws and not obeying them.,334.0,"345,1,0,0,,,"
335,335,the enactment and amendment of the law,335.0,"346,1,0,0,,,"
336,336,Punish those who break a criminal.,336.0,"347,1,0,0,,,"
337,337,judgment,337.0,"348,1,0,0,,,"
338,338,"Individuals, institutions, organizations, etc. are judged based on the crimes established by the National Assembly.",338.0,"349,1,0,0,,,"
339,339,judgment,339.0,"350,1,0,0,,,"
340,340,Judge a criminal.,340.0,"351,1,0,0,,,"
341,341,.,341.0,"352,0,1,0,,,"
342,342,I'm going to judge,342.0,"353,1,0,0,,,"
343,343,legislation,343.0,"354,1,0,0,,,"
344,344,a judge according to the judge,344.0,"355,1,0,0,,,"
345,345,The law made by the National Assembly is judged according to the crime.,345.0,"356,0,1,0,,,"
346,346,Trial,346.0,"357,0,0,0,,,"
347,347,a judge of the law,347.0,"358,0,1,0,,,359,0,1,0,,,"
348,348,Punish those who make mistakes.,348.0,"360,0,1,0,,,"
349,349,law enforcement,349.0,"361,1,0,0,,,"
350,350,the act of judging and dealing with,350.0,"362,0,0,1,,,"
351,351,Trial,351.0,"363,1,0,0,,,"
352,352,a judicial body,352.0,"364,1,0,0,,,"
353,353,"Law revision. If you don't know this, you're a 3rd grader",353.0,"365,1,0,0,,,"
354,354,Trial,354.0,"366,1,0,0,,,"
355,355,Enforce the law and judge a person's truth.,355.0,"367,1,0,0,,,"
356,356,Where the law is used and judged directly,356.0,"368,0,0,0,,,"
357,357,the enactment of a law,357.0,"369,1,0,0,,,"
358,358,the protection of the human rights of the people,358.0,"370,1,0,0,,,"
359,359,A place where there are friends who don't follow the laws that make the country go around well,359.0,"371,0,0,0,,,"
360,360,lay down the law,360.0,"372,0,0,1,,,"
361,361,law production,361.0,"373,0,0,1,,,"
362,362,We judge a crime in accordance with the law made by the National Assembly,362.0,"374,0,1,0,,,"
363,363,check,363.0,"375,1,0,0,,,"
364,364,judge with the law,364.0,"376,1,0,0,,,"
365,365,rule by law,365.0,"377,0,0,0,,,"
366,366,I'm the judge,366.0,"378,1,0,0,,,"
367,367,law enforcement,367.0,"379,1,0,0,,,"
368,368,The trial is based on the law made by the National Assembly.,368.0,"380,1,0,0,,,"
369,369,I don't know.,369.0,"381,1,0,0,,,"
370,370,the application of the law,370.0,"382,1,0,0,,,"
371,371,It is judged fairly through a trial whether it violates the laws set by the National Assembly.,371.0,"383,1,0,0,,,"
372,372,"It also judges whether the government's policy to proceed is illegal or not.""",372.0,"384,1,0,0,,,"
373,373,I don't have it's,373.0,"385,1,0,0,,,"
374,374,keep the government and the National Assembly in check,374.0,"386,1,0,0,,,"
375,375,arbitration between the National Assembly and the government,375.0,"387,1,0,0,,,"
376,376,the act of making a law,376.0,"388,1,0,0,,,389,0,1,0,,,"
377,377,This is where the laws made in Parliament are practically enforced,377.0,"390,1,0,0,,,"
378,378,Trial,378.0,"391,1,1,0,,,"
379,379,I don't know,379.0,"392,1,0,0,,,"
380,380,Referee,380.0,"393,1,0,0,,,"
381,381,a right judge,381.0,"394,1,0,0,,,"
382,382,judgment,382.0,"395,1,0,0,,,"
383,383,Referee,383.0,"396,1,0,0,,,"
384,384,judge a criminal's level of guilt,384.0,"397,0,1,0,,,"
385,385,a judge of justice,385.0,"398,0,0,0,,,"
386,386,The court judges using a law made by the National Assembly,386.0,"399,1,0,0,,,"
387,387,Trial,387.0,"400,1,0,0,,,"
388,388,I'll judge the law.,388.0,"401,0,0,0,,,"
389,389,Judge sins and resolve conflicts,389.0,"402,1,0,0,,,"
390,390,Let's judge.,390.0,"403,1,0,0,,,"
391,391,To open and refine the laws that the people want,391.0,"404,1,0,0,,,"
392,392,Trial,392.0,"405,0,1,0,,,"
393,393,a law-making job,393.0,"406,1,0,0,,,"
394,394,make a judgment,394.0,"407,1,1,0,,,"
395,395,Legal aid to individuals or people affected by the stateTo judge fairly or strike a sin.,395.0,"408,1,0,0,,,"
396,396,The punishment for crime is determined within the framework of the prescribed law.,396.0,"409,0,1,0,,,"
397,397,It is to relieve something that has been unjustified by an individual or state.,397.0,"410,1,0,0,,,"
398,398,A place where law is administered and law works,398.0,"411,1,0,0,,,"
399,399,maintain order in society,399.0,"412,1,0,0,,,"
400,400,a place where the law is enforced by the National Assembly,400.0,"413,1,0,0,,,"
401,401,make a plate,401.0,"414,1,0,0,,,"
402,402,a job done for a person,402.0,"415,1,0,0,,,"
403,403,It is to distinguish between those who fail to abide by the law and those who obey it.,403.0,"416,1,0,0,,,"
404,404,The court's on trial,404.0,"417,1,0,0,,,"
405,405,judging someone's wrongdoing,405.0,"418,1,0,0,,,419,1,0,0,,,"
406,406,What the courts do is they make laws and people who break laws come,406.0,"420,1,0,0,,,"
407,407,Decision,407.0,"421,1,0,0,,,"
408,408,Set the law and punish those who break the law.,408.0,"422,0,1,0,,,"
409,409,Let's see if it's right.,409.0,"423,0,0,0,,,"
410,410,Make a law,410.0,"424,0,0,0,,,"
411,411,judge the law,411.0,"425,0,0,0,,,"
412,412,have a trial,412.0,"426,0,0,0,,,"
413,413,Judge the law.,413.0,"427,1,0,0,,,"
414,414,judging those who have sinned,414.0,"428,1,0,0,,,"
415,415,Punish those who do not obey the law,415.0,"429,1,0,0,,,"
416,416,You can judge what crime you are guilty of while judging.,416.0,"430,0,1,0,,,"
417,417,A place to judge what's wrong,417.0,"431,0,0,0,,,"
418,418,It's where you judge what's right,418.0,"432,0,0,0,,,"
419,419,It scolds bad people.,419.0,"433,1,0,0,,,"
420,420,Let's judge.,420.0,"434,1,0,0,,,"
421,421,Referee,421.0,"435,1,0,0,,,"
422,422,The court judges a crime.,422.0,"436,1,0,0,,,"
423,423,Courts serve to pass the law.,423.0,"437,1,0,0,,,"
424,424,a cotton bat,424.0,"438,1,0,0,,,"
425,425,True education,425.0,"439,0,0,0,,,"
426,426,True education,426.0,"440,1,0,0,,,"
427,427,It provides true education.,427.0,"441,1,0,0,,,"
428,428,Enforce the law.,428.0,"442,0,0,0,,,"
429,429,the enforcement of the law,429.0,"443,1,0,0,,,"
430,430,Enforce the law.,430.0,"444,1,0,0,,,"
431,431,Make and enact laws.,431.0,"445,1,0,0,,,"
432,432,stabilization of social order,432.0,"446,1,0,0,,,"
433,433,"When high-ranking officials, politicians, and other public officials commit corruption or crimes, they take bribes, eat them, and condone them. Sometimes he pretends to be a righteous man, but he still looks rotten inside. Also, personally, the power of the law on sex seems to come into only men.",433.0,"447,1,0,0,,,"
434,434,Courts work to enforce laws made by the National Assembly.,434.0,"448,0,0,0,,,449,0,0,0,,,"
435,435,judgment,435.0,"450,0,1,0,,,"
436,436,I work to enforce the laws made by the National Assembly.,436.0,"451,1,1,0,,,"
437,437,"It's a law enforcement agency, an institution that exercises the laws that are created.",437.0,"452,0,1,0,,,"
438,438,It`s a law enforcement agency and ruling cases.,438.0,"453,0,1,0,,,"
439,439,"""",439.0,"454,0,1,0,,,"
440,440,It is judged by the law created by the National Assembly.,440.0,"455,0,1,0,,,"
441,441,I do my duty to obey the law.,441.0,"456,0,0,0,,,"
442,442,I'm going to judge,442.0,"457,1,0,0,,,"
443,443,"Based on the law enacted by the National Assembly, judgment is made on those who have committed crimes.",443.0,"458,0,1,0,,,"
444,444,Keep the law,444.0,"459,1,0,0,,,"
445,445,judge a guilty man and put him in a black hole,445.0,"460,0,1,0,,,"
446,446,a trial,446.0,"461,1,0,0,,,"
447,447,Make a law and make a ruling,447.0,"462,1,0,0,,,"
448,448,law enforcement,448.0,"463,1,0,1,,,"
449,449,Dispute resolution and order are maintained through trial.,449.0,"464,1,0,0,,,"
450,450,I don't know,450.0,"465,1,0,0,,,"
451,451,I don't know,451.0,"466,1,0,0,,,"
452,452,It's the agency that controls the laws of the country,452.0,"467,1,0,0,,,"
453,453,the authorization and the role of making decisions,453.0,"468,1,0,0,,,"
454,454,Make the law,454.0,"469,1,0,0,,,"
455,455,lay down the law,455.0,"470,1,0,0,,,"
456,456,Manages the Constitution and examines legislation.,456.0,"471,0,1,0,,,"
457,457,Make a law.,457.0,"472,1,0,0,,,"
458,458,"""",458.0,"473,0,0,0,,,"
459,459,"?""",459.0,"474,1,0,0,,,"
460,460,It is the body that enforces the law.,460.0,"475,1,0,0,,,"
461,461,the act of making a law,461.0,"476,1,0,0,,,"
462,462,He is in charge of legal matters such as trials,462.0,"477,1,0,0,,,"
463,463,making a law,463.0,"478,1,0,0,,,479,0,0,1,,,"
464,464,a place where people are judged according to established laws,464.0,"480,1,0,0,,,"
465,465,a trial by law,465.0,"481,1,0,0,,,"
466,466,It checks the National Assembly and the government and enforces the law,466.0,"482,1,0,0,,,"
467,467,enforce the law,467.0,"483,1,0,0,,,"
468,468,The law makes good or bad decisions.,468.0,"484,1,0,0,,,"
469,469,Judge the wrong thing.,469.0,"485,1,0,0,,,"
470,470,It is an institution that judges whether individual or criminal problems are right or wrong.,470.0,"486,1,0,0,,,"
471,471,It's a trial,471.0,"487,1,0,0,,,"
472,472,enforce the law,472.0,"488,0,0,0,,,"
473,473,He is in charge of judicial power and is in charge of judicial-related affairs such as trials.,473.0,"489,1,0,0,,,"
474,474,a place where laws are established and governed,474.0,"490,1,1,0,,,"
475,475,a judge of the law,475.0,"491,1,0,0,,,"
476,476,next,476.0,"492,0,0,0,,,"
477,477,I'm going to judge,477.0,"493,1,0,0,,,"
478,478,The National Assembly judges suspects and victims using financial laws.,478.0,"494,0,0,0,,,"
479,479,Referee,479.0,"495,1,1,0,,,"
480,480,Trial,480.0,"496,1,1,0,,,"
481,481,I'm having a trial,481.0,"497,0,0,0,,,"
482,482,It checks the power of the National Assembly and the government,482.0,"498,1,0,0,,,"
483,483,the act of punishing a person by enforcing a prescribed law,483.0,"499,1,0,0,,,"
484,484,"The court is a state agency that exercises judicial power under the Constitution, and the jurisdiction belongs to a court composed of judges, judges all legal disputes, and supervises or supervises the affairs of the registered depositor",484.0,"500,0,0,0,,,"
485,485,A place that solves conflicts among people by judging right from wrong according to the law,485.0,"501,1,0,0,,,"
486,486,The trial is conducted in accordance with the law made by the National Assembly,486.0,"502,1,0,0,,,"
487,487,The trial is based on the law.,487.0,"503,0,1,0,,,"
488,488,We judge a number of issues based on the laws designated by the National Assembly,488.0,"504,1,0,0,,,"
489,489,Trial,489.0,"505,1,0,0,,,"
490,490,seem to rule the law,490.0,"506,1,0,0,,,"
491,491,rule the law and keep order,491.0,"507,1,1,0,,,"
492,492,Criminals are punished according to the law and protect the people through it.,492.0,"508,1,0,0,,,509,1,0,0,,,"
493,493,The court reviews bills proposed by the National Assembly.,493.0,"510,1,0,0,,,"
494,494,It determines whether or not the suspects are guilty and whether they are sentenced.Don't know,494.0,"511,1,0,0,,,"
495,495,The court will hold a trial based on the law created by the National Assembly.,495.0,"512,1,0,0,,,"
496,496,It works to prevent corruption from occurring in the middle,496.0,"513,0,0,0,,,"
497,497,The law enacted by the legislative branch of the National Assembly is accepted and the judicial branch of the court decides whether to pass the law. They judge people with laws that are enacted,497.0,"514,1,0,0,,,"
498,498,Finance the law and practically adjudicate a case according to the law.,498.0,"515,1,0,0,,,"
499,499,Think about the law and see if I can use it,499.0,"516,1,0,0,,,"
500,500,"The exercise of jurisdiction, the supervision of affairs,",500.0,"517,1,0,0,,,"
501,501,subpoena of court proceedings,501.0,"518,1,0,0,,,"
502,502,Politics,502.0,"519,1,0,0,,,"
503,503,Where to administer the law with a fair judgment,503.0,"520,1,0,0,,,"
504,504,It is a matter of judging a sinner.,504.0,"521,1,1,0,,,"
505,505,I'm sending you a law,505.0,"522,0,1,0,,,"
506,506,a judge's office,506.0,"523,0,0,0,,,"
507,507,have a trial,507.0,"524,0,0,0,,,"
508,508,The main task is to make a trial as a state agency that applies the law.,508.0,"525,1,0,0,,,"
509,509,Making the law and judging,509.0,"526,1,0,0,,,"
510,510,The main task is to make a trial as a state agency that applies the law.,510.0,"527,1,1,0,,,"
511,511,a law-solving the law,511.0,"528,1,0,0,,,"
512,512,make a judgment,512.0,"529,1,0,0,,,"
513,513,a building with a judge,513.0,"530,0,1,0,,,"
514,514,make a judgment,514.0,"531,1,0,0,,,"
515,515,What the courts do is parliament and then the courts,515.0,"532,1,0,0,,,"
516,516,a judgment,516.0,"533,0,0,0,,,"
517,517,the act of giving a trial,517.0,"534,1,0,0,,,"
518,518,The court judges according to the law.,518.0,"535,1,0,0,,,"
519,519,enforce the law,519.0,"536,1,0,0,,,"
520,520,make a judgment,520.0,"537,1,0,0,,,"
521,521,a judicial work,521.0,"538,1,0,0,,,539,1,0,0,,,"
522,522,judging right from wrong,522.0,"540,1,0,0,,,"
523,523,a place where laws are made and judged,523.0,"541,1,0,0,,,"
524,524,"He wants to exercise his power in the cause of making laws, recognize his power, and be convinced of his position.",524.0,"542,1,0,0,,,"
525,525,to judge people,525.0,"543,0,1,0,,,"
526,526,Make the law,526.0,"544,1,0,0,,,"
527,527,I'm having a trial,527.0,"545,1,0,0,,,"
528,528,a trial of people's wrongdoings,528.0,"546,1,0,0,,,"
529,529,The law made by the National Assembly is examined and tried in accordance with the law,529.0,"547,0,1,0,,,"
530,530,Divide guilt and innocence on the basis of laws made by the National Assembly,530.0,"548,0,0,0,,,"
531,531,enforce the law,531.0,"549,0,1,0,,,"
532,532,Make the law,532.0,"550,1,0,0,,,"
533,533,A man judges what he did wrong,533.0,"551,0,1,0,,,"
534,534,be judged in accordance with the law,534.0,"552,1,0,0,,,"
535,535,What is the court?,535.0,"553,1,0,0,,,"
536,536,a trial of people's wrongdoings,536.0,"554,0,0,0,,,"
537,537,It shall be judged according to the law,537.0,"555,1,0,0,,,"
538,538,It is judged according to the Constitution,538.0,"556,0,0,0,,,"
539,539,We judge a person who has done something wrong according to the law,539.0,"557,1,0,0,,,"
540,540,"If people do something wrong, they'll either sin or try to resolve conflicts among citizens",540.0,"558,1,0,0,,,"
541,541,the exercise of judicial power by law,541.0,"559,1,0,0,,,"
542,542,a constitutional state agency,542.0,"560,1,0,0,,,"
543,543,judge right from wrong according to the law,543.0,"561,1,0,0,,,"
544,544,judge a sinner,544.0,"562,1,1,0,,,"
545,545,We weigh the right and wrong of the law is right and wrong.,545.0,"563,1,0,0,,,"
546,546,an agency responsible for trials under the law in various conflict situations,546.0,"564,1,0,0,,,"
547,547,It is a place where people make judgments in their lives.,547.0,"565,1,0,0,,,"
548,548,It's where people judge what's wrong,548.0,"566,1,0,0,,,"
549,549,Make a law.,549.0,"567,1,0,0,,,"
550,550,I don't know.,550.0,"568,1,0,0,,,569,0,1,0,,,"
551,551,Where to make the law.,551.0,"570,1,0,0,,,"
552,552,Where to settle and trial matters relating to the law,552.0,"571,1,0,0,,,"
553,553,It's about making laws.,553.0,"572,0,1,0,,,"
554,554,to decide the punishment of a person who has committed a crime,554.0,"573,1,0,0,,,"
555,555,"If he does something wrong, we judge him",555.0,"574,1,1,0,,,"
556,556,I don't know.,556.0,"575,0,0,1,,,"
557,557,It's a matter of law.,557.0,"576,0,0,0,,,"
558,558,I don't know.,558.0,"577,0,0,0,,,"
559,559,Where to judge those who have sinned,559.0,"578,1,0,0,,,"
560,560,A place where sinners judge...?,560.0,"579,1,1,0,,,"
561,561,Courts do the job of judging and punishing those who are due to be brought to justice,561.0,"580,0,1,0,,,"
562,562,decide whether a person who commits a crime should be punished,562.0,"581,1,0,0,,,"
563,563,"It is where lawyers, judges, prosecutors, etc. make decisions and make results to solve what the accused, witnesses, or perpetrators have done or difficult things",563.0,"582,1,0,0,,,"
564,564,Make laws and punish those who commit crimes,564.0,"583,0,1,0,,,"
565,565,determine who is right,565.0,"584,0,0,0,,,"
566,566,This is where people go to trial when they write a crime.,566.0,"585,0,1,0,,,"
567,567,Courts deal with bad things and open trials,567.0,"586,1,0,0,,,"
568,568,Where the law punishes the guilty,568.0,"587,0,0,0,,,"
569,569,Judge the person who made the paper.,569.0,"588,1,0,0,,,"
570,570,The punishment is appropriate for those on trial.,570.0,"589,1,0,0,,,"
571,571,I think I'll work on making laws.,571.0,"590,1,0,0,,,"
572,572,It is judged correctly and submitted to the government or the National Assembly.,572.0,"591,1,1,0,,,"
573,573,a place to judge those who break the law,573.0,"592,1,0,0,,,"
574,574,Create a constitution.,574.0,"593,1,0,0,,,"
575,575,Judge and punish the wrong person,575.0,"594,0,0,0,,,"
576,576,Make a law and make a trial.,576.0,"595,1,0,0,,,"
577,577,Check the work of the government and the National Assembly,577.0,"596,1,0,0,,,"
578,578,I don't know,578.0,"597,1,0,0,,,"
579,579,?,579.0,"598,1,0,0,,,599,0,1,0,,,"
580,580,determine whether a suspect is guilty or not guilty of wrongdoing,580.0,"600,0,0,0,,,"
581,581,The place where the law is made and the judges decide together,581.0,"601,1,0,0,,,"
582,582,a place where laws are amended or established,582.0,"602,1,0,0,,,"
583,583,Judge and punish those who commit crimes,583.0,"603,1,0,0,,,"
584,584,Judge and punish those who commit crimes.,584.0,"604,1,0,0,,,"
585,585,Make laws and abolish unnecessary laws.,585.0,"605,1,0,0,,,"
586,586,"Search and seizure, helping the judge",586.0,"606,1,0,0,,,"
587,587,Make a law.,587.0,"607,1,0,0,,,"
588,588,Check the law to see if it is correct.,588.0,"608,1,0,0,,,"
589,589,for one's country,589.0,"609,0,1,0,,,"
590,590,The law judges criminals,590.0,"610,1,0,0,,,"
591,591,The innocence and guilt of the accused are judged.,591.0,"611,1,0,0,,,"
592,592,make a fair judgment,592.0,"612,1,0,0,,,"
593,593,"Make new laws, review laws, and make trials.judge a person who has committed a crime",593.0,"613,0,1,0,,,"
594,594,Where to decide what is right or wrong,594.0,"614,1,0,0,,,"
595,595,a matter related to the law,595.0,"615,0,1,0,,,"
596,596,Judge on legal matters.,596.0,"616,0,1,0,,,"
597,597,"It can judge whether it is right or wrong, ask the sinners for their crimes, and prevent the president's dictatorship.",597.0,"617,0,0,0,,,"
598,598,judge a crime,598.0,"618,1,1,0,,,"
599,599,an empty judgment of sin,599.0,"619,0,1,0,,,"
600,600,Pass the new law.,600.0,"620,1,0,0,,,"
601,601,hard work,601.0,"621,0,1,0,,,"
602,602,Judge a crime according to the law,602.0,"622,1,0,0,,,"
603,603,It is a place to judge crimes or wrongs that occur in the country.,603.0,"623,1,0,0,,,"
604,604,It's to discredit those who have sinned,604.0,"624,1,0,0,,,"
605,605,It judges mistakes based on the law and informs the problems.(Like Conan~),605.0,"625,0,1,0,,,"
606,606,It is for the police to send what has been investigated to the court and the court to adjudicate it,606.0,"626,0,1,0,,,"
607,607,The work of punishing and judging.,607.0,"627,1,0,0,,,"
608,608,To try and punish those who break the law,608.0,"628,1,0,0,,,629,1,0,0,,,"
609,609,a fair judgment of sin,609.0,"630,1,0,0,,,"
610,610,the act of setting the law,610.0,"631,1,0,0,,,"
611,611,a judicial decision,611.0,"632,0,0,0,,,"
612,612,Trial,612.0,"633,1,0,0,,,"
613,613,judge a person who has committed a crime,613.0,"634,1,0,0,,,"
614,614,"The National Assembly meets and enacts ideas presented by the government, and the court makes laws.",614.0,"635,1,0,0,,,"
615,615,Punish the sinner,615.0,"636,1,0,0,,,"
616,616,Make a law.,616.0,"637,1,0,0,,,"
617,617,lay down the law,617.0,"638,1,0,0,,,"
618,618,Where to rule the right law,618.0,"639,0,0,0,,,"
619,619,"A place where judges, lawyers, and defendants decide whether to put them in jail or not in one place.",619.0,"640,1,0,0,,,"
620,620,lay down the law,620.0,"641,1,0,0,,,"
621,621,a conviction,621.0,"642,1,0,0,,,"
622,622,law management,622.0,"643,0,0,0,,,"
623,623,Judgment is made on those who have done something against the law.,623.0,"644,1,1,0,,,"
624,624,a wrong decision,624.0,"645,0,0,0,,,"
625,625,a place where people are punished by using the law,625.0,"646,1,0,0,,,"
626,626,enactment of a law,626.0,"647,1,0,0,,,"
627,627,the act of making a law,627.0,"648,1,0,0,,,"
628,628,be in charge of the law,628.0,"649,1,0,0,,,"
629,629,Trial,629.0,"650,1,0,0,,,"
630,630,The court rules civil and judicial.,630.0,"651,0,1,0,,,"
631,631,"In case of violation of the law, a judgment is made accordingly.",631.0,"652,1,0,0,,,"
632,632,Courts try people who break the law.,632.0,"653,1,0,0,,,"
633,633,I don't know.,633.0,"654,1,0,0,,,"
634,634,Apply the established laws.,634.0,"655,1,0,0,,,"
635,635,enforce the law,635.0,"656,0,0,0,,,"
636,636,have a trial,636.0,"657,0,0,0,,,"
637,637,Trial,637.0,"658,0,1,0,,,659,1,1,0,,,"
638,638,judging for the sake of the law,638.0,"660,1,0,0,,,"
639,639,make a judgment,639.0,"661,0,0,0,,,"
640,640,I don't know,640.0,"662,1,0,0,,,"
641,641,Trial,641.0,"663,1,0,0,,,"
642,642,a place where a trial,642.0,"664,1,0,0,,,"
643,643,It does the work of judging right from wrong according to the law.,643.0,"665,1,0,0,,,"
644,644,I don't know,644.0,"666,1,0,0,,,"
645,645,Make and judge the law.,645.0,"667,0,0,0,,,"
646,646,I forgot...,646.0,"668,1,0,0,,,"
647,647,To judge something in accordance with the law and to impose a sentence or punishment in that trial.,647.0,"669,1,0,0,,,"
648,648,judgment,648.0,"670,1,0,0,,,"
649,649,enforce the law,649.0,"671,1,0,0,,,"
650,650,to judge people by law,650.0,"672,1,1,0,,,"
651,651,a person in charge,651.0,"673,1,0,0,,,"
652,652,the enactment of a law,652.0,"674,0,0,0,,,"
653,653,to be a judge,653.0,"675,1,0,0,,,"
654,654,Let's judge.,654.0,"676,1,0,0,,,"
655,655,I'm having a trial,655.0,"677,1,0,0,,,"
656,656,judgment in people's lives,656.0,"678,1,0,0,,,"
657,657,Decisions are made through legislative law.,657.0,"679,1,0,0,,,"
658,658,take effect in the law,658.0,"680,1,0,0,,,"
659,659,Pass the law.,659.0,"681,1,0,0,,,"
660,660,It manages the laws of the state and determines the existence and punishment of crimes based on the laws.,660.0,"682,1,0,0,,,"
661,661,Courts control or resolve disputes that arise in the state.,661.0,"683,1,0,0,,,"
662,662,come into effect as a law,662.0,"684,0,1,0,,,"
663,663,"Civil trial, criminal trial, administrative trial, examination of constitutional law, etc",663.0,"685,1,0,0,,,"
664,664,mediate a dispute,664.0,"686,1,0,0,,,"
665,665,Enforce the law.,665.0,"687,0,0,1,,,"
666,666,"""",666.0,"688,1,0,0,,,689,1,0,0,,,"
667,667,The court is an institution that applies the law and judges according to the law.,667.0,"690,0,1,0,,,"
668,668,"If you look specifically at what the courts do, first of all, the courts are not just individuals and individuals",668.0,"691,0,0,0,,,"
669,669,"It serves to resolve disputes between countries and individuals. Courts resolve conflicts by judging right and wrong according to the law, and courts also play a role in protecting human rights by guaranteeing basic freedoms and rights of humans by law.""",669.0,"692,1,0,0,,,"
670,670,enforce the law,670.0,"693,0,1,0,,,"
671,671,d,671.0,"694,0,0,0,,,"
672,672,To try a person who breaks the law,672.0,"695,1,0,0,,,"
673,673,"The court cannot involve the National Assembly and the government, and it makes a trial.",673.0,"696,0,1,0,,,"
674,674,have a trial,674.0,"697,0,0,0,,,"
675,675,It's legal to teach pankyo,675.0,"698,0,1,0,,,"
676,676,Strengthen the law for the sake of the country and its people and punish those who do wrong,676.0,"699,1,1,0,,,"
677,677,Trial.,677.0,"700,1,0,0,,,"
678,678,...............,678.0,"701,0,0,0,,,"
679,679,Trial,679.0,"702,1,0,0,,,"
680,680,Judge the suspect,680.0,"703,1,0,0,,,"
681,681,Judge according to the law.,681.0,"704,0,1,0,,,"
682,682,Use the law to judge a crime.,682.0,"705,1,0,0,,,"
683,683,judge right from wrong according to the law,683.0,"706,1,0,0,,,"
684,684,It judges right and wrong according to the law and resolves conflicts between people.,684.0,"707,0,0,0,,,"
685,685,to judge those who have committed crimes,685.0,"708,0,1,0,,,"
686,686,Where the law adjudicates conflict,686.0,"709,1,0,0,,,"
687,687,judge people,687.0,"710,0,1,0,,,"
688,688,Making a law,688.0,"711,0,1,0,,,"
689,689,make a trial,689.0,"712,1,0,0,,,"
690,690,Trial,690.0,"713,1,0,0,,,"
691,691,Making sure you did a good job in the National Assembly.,691.0,"714,1,0,0,,,"
692,692,"The court judges right and wrong according to the law with the law made.It is where lawyers, judges and prosecutors determine whether the accused is guilty or innocent.",692.0,"715,1,0,0,,,"
693,693,Make laws and fix them.,693.0,"716,1,0,0,,,"
694,694,"Number three, go!",694.0,"717,1,0,0,,,"
695,695,I'm trying,695.0,"718,0,0,0,,,719,1,0,0,,,"
696,696,Make the law,696.0,"720,1,0,0,,,"
697,697,to lead the law and the country,697.0,"721,1,0,0,,,"
698,698,I'm having a trial,698.0,"722,1,0,0,,,"
699,699,Make a law.,699.0,"723,1,0,0,,,"
700,700,Hah!,700.0,"724,1,0,0,,,"
701,701,Make a law,701.0,"725,1,0,0,,,"
702,702,Where to make or trial the law?,702.0,"726,1,0,0,,,"
703,703,Decide whether to be punished or not.,703.0,"727,1,0,0,,,"
704,704,Hah!,704.0,"728,1,0,0,,,"
705,705,It's a place to judge the law,705.0,"729,1,0,0,,,"
706,706,The court judges criminals who have committed crimes.,706.0,"730,1,0,0,,,"
707,707,setting the law,707.0,"731,1,0,1,,,"
708,708,Trial,708.0,"732,1,0,1,,,"
709,709,enforce the law,709.0,"733,0,1,0,,,"
710,710,d,710.0,"734,1,0,0,,,"
711,711,lay down the law,711.0,"735,1,0,0,,,"
712,712,They're ruling people who break the law,712.0,"736,0,0,0,,,"
713,713,a law-making space,713.0,"737,1,0,0,,,"
714,714,a place where laws are made or eliminated,714.0,"738,1,0,0,,,"
715,715,Where to release the wrong people or judge whether they did something bad or were falsely accused,715.0,"739,1,0,0,,,"
716,716,"When you're in trouble, when you're on trial,",716.0,"740,1,0,0,,,"
717,717,Punish criminals,717.0,"741,1,0,0,,,"
718,718,a place where criminals are condemned,718.0,"742,0,1,0,,,"
719,719,"As a judicial institution, the perpetrator is punished or the victim is rescued in accordance with the law enacted by the National Assembly.",719.0,"743,1,0,0,,,"
720,720,It's where you're determined by a mistake and punished for it,720.0,"744,0,1,0,,,"
721,721,I work on the law,721.0,"745,1,0,1,,,"
722,722,To judge a crime based on a law made by the National Assembly to determine the crime,722.0,"746,0,1,1,,,"
723,723,It is executed through a trial established by the National Assembly. And it rationalizes the conflict of the people.,723.0,"747,1,0,0,,,"
