,Unnamed: 0,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",Unnamed: 0,", q32_process, q32_process.1"
434,434,the three-trial system,434.0,"448,1,449,1,"
435,435,For Hong Gildong,435.0,"450,0,"
436,436,Operation of the Samsim System,436.0,"451,1,"
437,437,It is operated to prevent unfair situations from occurring.,437.0,"452,0,"
438,438,It's to keep the trial from coming out,438.0,"453,1,"
439,439,It could be a bad trial,439.0,"454,0,"
440,440,Just to be equal?,440.0,"455,0,"
441,441,To avoid misjudgment and to ensure that no one is falsely accused and human rights,441.0,"456,1,"
442,442,"In order not to be falsely accused and punished by the judge's bad judgment,",442.0,"457,0,"
443,443,Because it's unfair,443.0,"458,0,"
444,444,The three-trial system allows those who are not satisfied with the results of the trial to be tried again,444.0,"459,0,"
445,445,It is to reduce the number of people who suffer from unjustly wrongful trials.,445.0,"460,0,"
446,446,a three-trial trial,446.0,"461,0,"
447,447,"Because they are human, they cannot always make the right decisions, so they have a three-trial system.",447.0,"462,1,"
448,448,"If you only do one trial, you can be punished unfairly if the result is judged incorrectly, so you can be tried up to three times to secure it.",448.0,"463,0,"
449,449,"Since judges are also private, they cannot always answer, ""This is the answer,"" so they run a three-trial system that can be tried up to three times",449.0,"464,1,"
450,450,In order to complete the trial exactly three times,450.0,"465,0,"
451,451,in order not to be falsely accused,451.0,"466,1,"
452,452,I'm afraid there might be a misjudgment,452.0,"467,0,"
453,453,There are cases where a retrial is required due to a wrong trial,453.0,"468,1,"
454,454,This is because they ignored human rights.,454.0,"469,1,"
455,455,This is because it allows individuals to be tried equally,455.0,"470,1,"
456,456,in order for a just trial to take place,456.0,"471,1,"
457,457,a violation of human rights,457.0,"472,0,"
458,458,a disability-free system,458.0,"473,1,"
459,459,I don't know,459.0,"474,0,"
460,460,I'm trying to find out in detail,460.0,"475,1,"
461,461,I don't know.,461.0,"476,1,"
462,462,This is because the first trial cannot produce accurate results.,462.0,"477,1,"
463,463,It's not fair for people with disabilities,463.0,"478,0,479,0,"
464,464,There could be a mistake in the trial,464.0,"480,1,"
465,465,I have the right to receive it up to three times,465.0,"481,1,"
466,466,You're afraid there's something wrong?,466.0,"482,0,"
467,467,Because I keep doing things that shouldn't happen,467.0,"483,0,"
468,468,The judge made the wrong decision even though it wasn't the defendant's fault.,468.0,"484,0,"
469,469,"If the guilty person is only allowed to survive the first trial.And I think it would be unfair if an innocent person was only convicted of the first trial and was falsely accused of life imprisonment, so I think it's a trial several times for accurate judgment.",469.0,"485,0,"
470,470,This is because a single trial cannot make a definite decision.,470.0,"486,0,"
471,471,"There may be an unfair trial, so it will be possible to have up to three trials.",471.0,"487,0,"
472,472,It's like giving me a chance,472.0,"488,0,"
473,473,"In case it's unfair,",473.0,"489,0,"
474,474,People with disabilities have the same human rights,474.0,"490,0,"
475,475,"If he/she may have been tried unfairly, he/she seems to be trying a few more times.",475.0,"491,0,"
476,476,I'm trying to get an accurate trial,476.0,"492,0,"
477,477,To make it more accurate,477.0,"493,0,"
478,478,To determine if it's a disability,478.0,"494,0,"
479,479,Because it's to focus on the person's opinion.,479.0,"495,0,"
480,480,To find out the truth,480.0,"496,1,"
481,481,To find out the truth,481.0,"497,1,"
482,482,for the rights of the people,482.0,"498,0,"
483,483,I think it is because the defendant may have an evil reason.,483.0,"499,0,"
484,484,To tell you what I didn't say,484.0,"500,1,"
485,485,I'm going to do well.,485.0,"501,0,"
486,486,I don't understand.,486.0,"502,0,"
487,487,I don't know,487.0,"503,1,"
488,488,I don't know,488.0,"504,0,"
489,489,I don't know,489.0,"505,0,"
490,490,I don't know,490.0,"506,0,"
491,491,I don't know,491.0,"507,1,"
492,492,I don't know,492.0,"508,0,509,0,"
493,493,I don't know,493.0,"510,0,"
494,494,I don't knowUnderstanding...,494.0,"511,0,"
495,495,by misjudgment,495.0,"512,1,"
496,496,I can find other acquaintances and evidence,496.0,"513,0,"
497,497,To be able to work even with a disability.,497.0,"514,0,"
498,498,I don't know,498.0,"515,0,"
499,499,"The first may make a mistake, the second may supplement the statement, and the third may try to determine the innocence and guilt",499.0,"516,0,"
500,500,Because I have to think about other people's opinions and listen to the opinions of the few,500.0,"517,0,"
501,501,I don't know,501.0,"518,1,"
502,502,in order to be precise,502.0,"519,1,"
503,503,I don't know,503.0,"520,1,"
504,504,I don't know...,504.0,"521,0,"
505,505,--,505.0,"522,0,"
506,506,It could be unfair,506.0,"523,1,"
507,507,M and D,507.0,"524,0,"
508,508,"I can't believe I beat Company A with a disability, so I think I'm leading it to the law Company A is, you can't believe your company lost and you can't handle it.",508.0,"525,0,"
509,509,"If I do it more than three times, I can continue",509.0,"526,0,"
510,510,I don't know,510.0,"527,0,"
511,511,It could be unfair,511.0,"528,0,"
512,512,I don't know.,512.0,"529,0,"
513,513,have no idea,513.0,"530,0,"
514,514,So that people with intestines can work,514.0,"531,1,"
515,515,"To give other people a chance,",515.0,"532,1,"
516,516,I don't know.,516.0,"533,0,"
517,517,To give you a chance to admit your mistakes?,517.0,"534,1,"
518,518,To make it fair so that one person doesn't feel wronged,518.0,"535,1,"
519,519,Three trials will help you better understand your mistakes,519.0,"536,0,"
520,520,There's still a lot of discrimination,520.0,"537,1,"
521,521,I don't know.,521.0,"538,1,539,1,"
522,522,It's against the law and it's unfair,522.0,"540,1,"
523,523,Don't do this again,523.0,"541,1,"
524,524,It's not good to do too much...,524.0,"542,1,"
525,525,I don't know.,525.0,"543,1,"
526,526,I don't know.,526.0,"544,1,"
527,527,I don't know.,527.0,"545,1,"
528,528,I don't understand.,528.0,"546,1,"
529,529,Oh my god,529.0,"547,1,"
530,530,This is to prevent problems from occurring during the trial process and causing unfair damage.,530.0,"548,1,"
531,531,It is a system to ensure that no one is unfair about the trial decision as much as possible.,531.0,"549,1,"
532,532,in order to guarantee the human rights of the people,532.0,"550,1,"
533,533,"This is because errors can occur during the trial, causing innocent victims.",533.0,"551,1,"
534,534,"The most valid conclusion can be drawn through several trials to determine whether the outcome of the trial is correct or not. If there is no three-trial system, more and more people will be sentenced unfairly and criminals will be found not guilty even after committing crimes.",534.0,"552,1,"
535,535,It is to ensure that the rights of the people are not violated and that they are secured,535.0,"553,1,"
536,536,This is to reduce situations in which a single trial cannot produce a perfect ruling and the human rights of the people can be ignored.,536.0,"554,1,"
537,537,This is to prevent misjudgments caused by the presiding judge's mistakes as much as possible.,537.0,"555,1,"
538,538,To respect human rights and make it a fair trial,538.0,"556,0,"
539,539,"Since the judge is also a person, he may make a biased trial or make mistakes. Therefore, in order to ensure human rights more accurately and without errors, a three-trial system is implemented to allow up to three trials to reduce human rights that are violated by wrong judgment.",539.0,"557,0,"
540,540,"Since a single trial may lead to unfair results, it is possible to have several trials to make a judgment that is fair.",540.0,"558,1,"
541,541,"The reason for operating the three-trial system is that there is a possibility that both sides will have unacceptable results, such as misunderstandings or corruption during the trial.",541.0,"559,1,"
542,542,"Once a trial is made, the judgment cannot always be accurate. Therefore, in order to minimize unfair people through three opportunities, a three-trial system is operated that allows up to three trials.",542.0,"560,1,"
543,543,This is to minimize the violation of the human rights of the suspect due to a misjudgment.,543.0,"561,1,"
544,544,"Since there may be cases where the results of the first and second trials are wrong and can be unfairly damaged, trials are conducted up to three times to prevent this.",544.0,"562,0,"
545,545,"Most trials are conducted fairly. However, there are factors that will be disadvantageous in trials such as lack of evidence, or political meddling. Therefore, the judiciary provides an opportunity to be tried up to three times, allowing fairness to be maintained under any circumstances.",545.0,"563,1,"
546,546,"Since judges are also human, there may be judgments, mistakes, or misjudgments based on individual emotions, so they are operated a system that allows them to be tried up to three times to minimize them so that all citizens can receive a fair trial.",546.0,"564,1,"
547,547,"The reason for having three rulings: the first judgment of the district court, the second judgment of the high court, and the third judgment of the Supreme Court is necessary for the people to make a proper judgment that is not unfair. If a judgment is found guilty or not, three chances are given to prevent damage to the defendant in advance if the judgment is wrong.",547.0,"565,1,"
548,548,"Humans cannot always be objective because they have their own subjective thoughts and feelings. Judges can sometimes make judgments biased against their emotions, which can damage the person on trial. Judges can be tried up to three times to minimize the possibility of making errors and guarantee the human rights of those on trial.",548.0,"566,1,"
549,549,"Judges are also operating a three-trial system on the premise that they can make mistakes because they are not machines, and it is also to relieve unfair victims who may arise from such mistakes.",549.0,"567,1,"
550,550,"Since judges are also human, they can make mistakes in the trial process, and they want to guarantee the basic rights of the people by eliminating situations in which those who participate in the trial cannot accept the outcome of the trial or feel unfair about the outcome.",550.0,"568,0,569,1,"
551,551,"The three-trial system is one that guarantees a fair trial. It is a system that allows people to face up to three trials for those who cannot recognize the results in a single trial, and it stems from the reason that there are no people who suffer unfairness and damage as a result of the trial.",551.0,"570,1,"
552,552,"This is for the rights of the victims. There can be people who are unfairly damaged by the wrong judgment of the court, and through three trials, such a system is operated to minimize such injustice and protect people's human rights.",552.0,"571,1,"
553,553,"This is because the person who applied for or received the trial may feel unfair. If all results are determined in a single trial, the person who has requested or received the trial there may be very disadvantageous to the person who has not yet said or said anything.",553.0,"572,1,"
554,554,I am talking about an unjustified charge,554.0,"573,1,"
555,555,for the sake of fairness,555.0,"574,1,"
556,556,the three-trial system,556.0,"575,0,"
557,557,To prevent unfairness?,557.0,"576,1,"
558,558,To reduce the number of people who have been falsely accused,558.0,"577,0,"
559,559,in order to prevent an unfair judgment,559.0,"578,1,"
560,560,a fair judgment,560.0,"579,1,"
561,561,To guarantee basic rights,561.0,"580,1,"
562,562,"This is because fairness and unfair people should not come out, and each judge has a different focus on the case, so it has to go through a fairer and more objective process",562.0,"581,1,"
563,563,So that I don't feel wronged,563.0,"582,0,"
564,564,I shouldn't be upset,564.0,"583,1,"
565,565,To relieve the injustice.,565.0,"584,1,"
566,566,To make a fairer trial.,566.0,"585,1,"
567,567,a three-seam system,567.0,"586,1,"
568,568,"To repeatedly prove the right or wrong of the trial results through three trials,",568.0,"587,1,"
569,569,in order to make a more definite trial,569.0,"588,1,"
570,570,To prevent unfair situations from occurring,570.0,"589,1,"
571,571,The reason for running the three-trial system is for a fairer trial,571.0,"590,0,"
572,572,I can't judge perfectly by one trial,572.0,"591,1,"
573,573,You can't be tried wrong,573.0,"592,1,"
574,574,I don't know.,574.0,"593,1,"
575,575,To make accurate and correct judgments,575.0,"594,0,"
576,576,a three-plate system,576.0,"595,1,"
577,577,for a trial to err on the side of judgment,577.0,"596,0,"
578,578,This is to enable it to work in the public's favor because rulings may be unfavorable in the first and second trials.,578.0,"597,0,"
579,579,This is to make the trial fairer.,579.0,"598,0,599,0,"
580,580,It's to make Hong Gil Dong feel better,580.0,"600,0,"
581,581,Yeah.,581.0,"601,0,"
582,582,"This is because after the first trial, there can be enough new facts or evidence found.",582.0,"602,1,"
583,583,It's to solve the injustice.,583.0,"603,1,"
584,584,Just to be sure,584.0,"604,1,"
585,585,In order to make a fair trial,585.0,"605,1,"
586,586,A total of three trials can be made due to the suspect's unfairness and the principle of presumption of innocence.,586.0,"606,1,"
587,587,To prevent unfair trials,587.0,"607,0,"
588,588,To avoid unfair trial results,588.0,"608,1,"
589,589,To protect the people,589.0,"609,0,"
590,590,To make sure that no one is wronged by a single trial.,590.0,"610,1,"
591,591,This is to relieve this injustice because the results of the first and second trials can be unfair.,591.0,"611,1,"
592,592,To minimize the number of people who are falsely accused,592.0,"612,1,"
593,593,the third trialTo give an accurate answer,593.0,"613,1,"
594,594,I don't know.,594.0,"614,1,"
595,595,the third edition,595.0,"615,1,"
596,596,"I think I know, but I don't know.",596.0,"616,0,"
597,597,ㅗ,597.0,"617,1,"
598,598,I'm sleepy,598.0,"618,1,"
599,599,Don't know,599.0,"619,1,"
600,600,I'm not sure I can make a decision on a trial,600.0,"620,1,"
601,601,To ensure that a single trial is not unjustified or unjustified,601.0,"621,1,"
602,602,It is to prevent unfairness from occurring in one wrong trial.,602.0,"622,1,"
603,603,"To make a fairer trial,",603.0,"623,1,"
604,604,Maybe there's something wrong with it's wrong,604.0,"624,1,"
605,605,the three-trial system,605.0,"625,1,"
606,606,"Trial is done by a person, so you can make mistakes. Therefore, by introducing the three-trial system, it is possible to reduce the probability of unfair misjudgment.",606.0,"626,0,"
607,607,I don't know,607.0,"627,1,"
608,608,So that there is no unfair or unfortunate bias,608.0,"628,1,629,0,"
609,609,This is because it can be judged unfair.,609.0,"630,1,"
610,610,This is to prevent unfair people from appearing due to the trial.,610.0,"631,0,"
611,611,It is to prevent unfairness from happening.,611.0,"632,1,"
612,612,It's unfair,612.0,"633,1,"
613,613,To prevent a judgment against the person who filed the suit,613.0,"634,1,"
614,614,for the sake of fairness,614.0,"635,0,"
615,615,"The appeal system, for the sake of fair judgment.",615.0,"636,1,"
616,616,This is because the plate can give a wrong answer.,616.0,"637,0,"
617,617,To get rid of the injustice,617.0,"638,0,"
618,618,To get a fair trial,618.0,"639,1,"
619,619,To relieve people who are falsely accused,619.0,"640,0,"
620,620,The trial is conducted three times to prevent unfairness.,620.0,"641,0,"
621,621,It is to make a fair judgment without anyone being wronged.,621.0,"642,0,"
622,622,It is possible to avoid unfair judgments and make more legitimate judgments through three trials.,622.0,"643,1,"
623,623,in order not to be falsely accused,623.0,"644,1,"
624,624,Let's see. Sexy,624.0,"645,0,"
625,625,It's to get a fair plate.,625.0,"646,1,"
626,626,I'm trying to fit in,626.0,"647,1,"
627,627,I don't know,627.0,"648,1,"
628,628,"To be accurate and to release the victim's resentment,",628.0,"649,0,"
629,629,"People are too noble and precious to decide at once, so they give people a chance to live a little better after several opportunities.",629.0,"650,0,"
630,630,It gives a chance for a fair and just trial.,630.0,"651,1,"
631,631,The reason for operating the three-trial system is that judging a person's guilt through a single trial can be a mistake or misunderstanding by a judge.,631.0,"652,0,"
632,632,Because there could be more evidence,632.0,"653,1,"
633,633,This is to make a judgment as fair as possible to both the accused and the person who filed the lawsuit.,633.0,"654,0,"
634,634,This is because it is a matter that requires careful decision.,634.0,"655,1,"
635,635,Because all men have equal rights.,635.0,"656,0,"
636,636,Because people have equal rights,636.0,"657,0,"
637,637,To make a reasonable judgment and prevent unfair cases from occurring,637.0,"658,1,659,0,"
638,638,To give you a chance,638.0,"660,1,"
639,639,Because I respect people,639.0,"661,1,"
640,640,for the sake of the people,640.0,"662,1,"
641,641,It is to prevent unfair trials.,641.0,"663,0,"
642,642,"This is because unfair judgments can be made, and innocent people can be harmed and human rights violated",642.0,"664,1,"
643,643,Because people don't admit it,643.0,"665,1,"
644,644,It is to make a proper judgment.,644.0,"666,1,"
645,645,Trials are made three times for accurate and just judgment.,645.0,"667,0,"
646,646,"Since the judge who leads the trial and concludes is a person, there is a variable that a single trial is a mistake, so the reliability and accuracy of the judgment can be reduced. That's why we run this system",646.0,"668,1,"
647,647,Don't discriminate against people with disabilities,647.0,"669,0,"
648,648,It's because the rules of the law and privacy are uncomfortable or difficult,648.0,"670,1,"
649,649,"This is because trials are also done by humans, so they may not always be able to make the right judgment.",649.0,"671,1,"
650,650,I didn't admit it,650.0,"672,1,"
651,651,To make sure no one is wronged,651.0,"673,1,"
652,652,Because it's the law,652.0,"674,0,"
653,653,"If the trial is over, if it is unfair, the trial is made to be held again.",653.0,"675,1,"
654,654,This is because they respect the rights of the people.,654.0,"676,1,"
655,655,It's not easy to tell what's real if you do it once,655.0,"677,0,"
656,656,For more accurate results and evidence,656.0,"678,0,"
657,657,"To lose by money in the first trial, to lose by power in the second trial, and to lose by connections in the last third trial.",657.0,"679,0,"
658,658,"When the result is unfair or not true, in order to solve the unfairness,",658.0,"680,1,"
659,659,This is because it needs to be tried several times to know exactly.,659.0,"681,1,"
660,660,It's to protect an innocent person,660.0,"682,1,"
661,661,It's hard to judge once or twice,661.0,"683,1,"
662,662,Just in case the trial went wrong,662.0,"684,0,"
663,663,They are tried three times because they can live unjustly.,663.0,"685,1,"
664,664,"A single trial can lead to an unfair ruling, which allows the person on trial to try again if he or she doesn't want to",664.0,"686,1,"
665,665,Don't know,665.0,"687,1,"
666,666,Because I have to check if it goes wrong.,666.0,"688,1,689,1,"
667,667,Doctor Strange,667.0,"690,1,"
668,668,I don't want to be restrained,668.0,"691,1,"
669,669,Just in case I misjudged it,669.0,"692,0,"
670,670,in dissatisfaction with the ruling,670.0,"693,0,"
671,671,To make sure there's no one who's innocent,671.0,"694,1,"
672,672,in order to protect the rights of the people,672.0,"695,1,"
673,673,It is to prevent misjudgment.,673.0,"696,1,"
674,674,in order to make a more serious decision,674.0,"697,1,"
675,675,for the protection of the basic rights of the people,675.0,"698,1,"
676,676,I'm not sure,676.0,"699,1,"
677,677,I don't know.,677.0,"700,1,"
678,678,It's to reduce misjudgment as much as possible,678.0,"701,1,"
679,679,It could be unfair,679.0,"702,1,"
680,680,To present injustice to an unjust judgment,680.0,"703,1,"
681,681,"If the injustice is not resolved, it is to go to the appeal and make it clear.",681.0,"704,1,"
682,682,To live in a better world.,682.0,"705,1,"
683,683,You might get punished unfairly because of a misjudgment,683.0,"706,1,"
684,684,"""Because you might feel bad about it",684.0,"707,1,"
685,685,"""",685.0,"708,1,"
686,686,"in order to prevent misjudgment, etc",686.0,"709,1,"
687,687,This is because it can make a wrong decision.,687.0,"710,1,"
688,688,It's because there could be a bad decisions,688.0,"711,1,"
689,689,"It guarantees the people their right to freedom, so if they think something is wrong, they run it to fix it.",689.0,"712,0,"
690,690,in order to see exactly,690.0,"713,0,"
691,691,I don't know.,691.0,"714,1,"
692,692,To get fair treatment for your skillsThis is because only one or two trials can lead to unfairness.,692.0,"715,0,"
693,693,"""For those who feel wronged,",693.0,"716,1,"
694,694,"""I thought it would be 1 vs 1 if we had 2 trials.""",694.0,"717,1,"
695,695,I might change my mind if I wear a garage or accidentally,695.0,"718,0,719,1,"
696,696,"If the trial ends at once, it's so unfair",696.0,"720,1,"
697,697,So that humans don't feel wronged,697.0,"721,1,"
698,698,It's because one person can be misunderstood and get a wrong trial,698.0,"722,1,"
699,699,I'll try three times to make sure there's nothing wrong,699.0,"723,1,"
700,700,The reason why a case is tried up to three times is not to make it unfair.,700.0,"724,1,"
701,701,This is because there is something that can be unfair by trial as No. 1.,701.0,"725,0,"
702,702,"""If you don't do that, the wrongdoer won't get more trials, or the trial of a serious case will be",702.0,"726,0,"
703,703,"This is because once held, there can be innocent victims in the trial.""",703.0,"727,0,"
704,704,"This is because once the victim receives it, there are cases where the victim loses a single trial because he cannot talk at once. Therefore, Korea, which wants a fair trial, has a three-trial system.",704.0,"728,1,"
705,705,It's because it can be unfair,705.0,"729,0,"
706,706,"You can't end the trial unjustly, so you have to stand trial up to three times",706.0,"730,1,"
707,707,This is because there may be errors in the trial.,707.0,"731,0,"
708,708,One or two trials can lead to errors in the trial and the victim can be falsely accused.,708.0,"732,0,"
709,709,It is to be precise.,709.0,"733,1,"
710,710,It is to run this system to protect fair trials and the freedom and rights of the people,710.0,"734,0,"
711,711,Who is right or who is not is to find another proof.,711.0,"735,1,"
712,712,Everyone has human rights.,712.0,"736,0,"
713,713,Humans can be tried three times because they have rights.,713.0,"737,0,"
714,714,It's because it's more efficient to let them go on trial once and if they feel unfair.,714.0,"738,0,"
715,715,This is because there may be people who want to benefit from filing lawsuits several times.,715.0,"739,0,"
716,716,It is to find another proof of who is right and who is not.,716.0,"740,1,"
717,717,"For those who lost only one trial,",717.0,"741,0,"
718,718,It's settled by law,718.0,"742,0,"
719,719,"Because of the people who couldn't find the criminal and went to prison,",719.0,"743,0,"
720,720,"This is because there may be someone who is unfair, there may be no witnesses or evidence, but it may have occurred, and the law may have been strange before, but the law may have changed now.",720.0,"744,0,"
721,721,It is to protect fair trials and the freedom and rights of the people.,721.0,"745,1,"
722,722,"In order to prevent unfair punishment or non-punishment,",722.0,"746,0,"
723,723,It's to protect justice and the freedom and rights of the rights of the people,723.0,"747,0,"
724,724,There might be people who are upset,724.0,"748,1,749,1,"
725,725,To make sure the trial runs well,725.0,"750,1,"
726,726,To make sure the trial runs well,726.0,"751,0,"
727,727,I don't know.,727.0,"752,0,"
728,728,It could be a false charge,728.0,"753,0,"
729,729,I don't know,729.0,"754,1,"
730,730,To carry out a fair and equitable trial,730.0,"755,0,"
731,731,I can't remember,731.0,"756,1,"
732,732,It's hard to tell if a trial is guilty or not,732.0,"757,1,"
733,733,to make sure,733.0,"758,0,"
734,734,to make sure,734.0,"759,1,"
735,735,This is because one trial can lead to unfair people.,735.0,"760,0,"
736,736,the three-trial system,736.0,"761,1,"
737,737,a three-trial,737.0,"762,1,"
738,738,a three-seam system,738.0,"763,1,"
739,739,a three-seam system,739.0,"764,1,"
740,740,"Considering the situation that can be falsely accused, they are given up to three chances.",740.0,"765,1,"
741,741,Because I ran a social system,741.0,"766,1,"
742,742,I don't know,742.0,"767,1,"
743,743,I don't know.,743.0,"768,1,"
744,744,I don't know.,744.0,"769,1,"
745,745,in order to minimize mistakes,745.0,"770,0,"
746,746,"To review and state the case more specifically,",746.0,"771,1,"
747,747,I don't know.,747.0,"772,1,"
748,748,It's because there could be a misjudgment,748.0,"773,1,"
749,749,"In order to reduce those reasons, there may be someone who is falsely accused of the outcome of the trial",749.0,"774,1,"
750,750,I'm trying to judge you exactly,750.0,"775,1,"
751,751,the three-trial system,751.0,"776,1,"
752,752,a three-seam edition,752.0,"777,1,"
753,753,a three-seam edition,753.0,"778,1,779,0,"
754,754,There could be a misjudgment,754.0,"780,0,"
755,755,a three-trial trial,755.0,"781,1,"
756,756,The three-trial system. Not to make unfair or hasty judgments.,756.0,"782,0,"
757,757,This is for a more honest and fair judgment because new evidence may be found or the accused may have an injustice.,757.0,"783,1,"
758,758,To accept the opinions of many people,758.0,"784,1,"
759,759,This is to prevent unfair punishment by trial.,759.0,"785,1,"
760,760,a three-seam system,760.0,"786,0,"
761,761,It's to reduce possible damage because the trial may have gone awry,761.0,"787,1,"
762,762,I'm trying to reduce the number of people who are innocent,762.0,"788,1,"
763,763,It's to make sure there's no one who's wronged,763.0,"789,0,"
764,764,Because the trial could go wrong,764.0,"790,1,"
765,765,There's a possibility that there's an error in judgment to judge by one trial,765.0,"791,0,"
766,766,for a fair trial,766.0,"792,0,"
767,767,in order to be fair,767.0,"793,1,"
768,768,in order to ensure the fairness of the trial,768.0,"794,1,"
769,769,"Since there may have been a problem during the trial process, the people have the right to a fair trial, so the three-trial system is operated.",769.0,"795,1,"
770,770,in order to make the trial fair,770.0,"796,0,"
771,771,"To guarantee the basic rights of the people by giving them an opportunity in consideration of the case where the judgment of the trial is wrong,",771.0,"797,1,"
772,772,It could lead to a wrong decision,772.0,"798,1,"
773,773,"In order to get a proper punishment,",773.0,"799,1,"
774,774,It could lead to a wrong decision,774.0,"800,1,"
775,775,To prevent a wrong decision as much as possible,775.0,"801,0,"
776,776,"In order to prevent unfair cases from occurring due to incorrect trial results,",776.0,"802,1,"
777,777,Improve fairness,777.0,"803,1,"
778,778,"In order to reduce the number of people who are falsely accused by one trial,",778.0,"804,1,"
779,779,a tremendous law,779.0,"805,0,"
780,780,I don't understand.,780.0,"806,0,"
781,781,"To minimize misjudgments or mistakes that occur in a trial,",781.0,"807,1,"
782,782,the three-trial system,782.0,"808,1,809,1,"
783,783,I could have an unfair experience,783.0,"810,1,"
784,784,We tried to relieve the injustice through the 3rd trial system,784.0,"811,1,"
785,785,To prevent an unfair judgment,785.0,"812,1,"
786,786,the three-trial system,786.0,"813,1,"
787,787,This is to prevent innocent people from being unfairly damaged.,787.0,"814,1,"
788,788,This is because judges can judge or make mistakes with subjective views.,788.0,"815,1,"
789,789,To guarantee the rights of the people.,789.0,"816,1,"
790,790,"In order to prevent unfair judgments, a three-trial system is implemented to create a fair trial.",790.0,"817,1,"
791,791,It is to make a clean trial without any problems.To give you a chance,791.0,"818,1,"
792,792,It is to prevent misjudgment.,792.0,"819,1,"
793,793,This is because it is possible to make an incorrect judgment in one plate.,793.0,"820,0,"
794,794,"It can be judged incorrectly during the trial process and can be judged incorrectly, so it can be unfair, so it can be tried three times.",794.0,"821,0,"
795,795,yes,795.0,"822,0,"
796,796,for a fair trial,796.0,"823,1,"
797,797,This is because there may be errors in the trial. This is because the outcome of the trial may vary depending on the judge.,797.0,"824,1,"
798,798,I think there may be a judge's mistake in one trial and there is evidence to be found afterwards.,798.0,"825,1,"
799,799,"Because you can be dissatisfied with the outcome of the trial and the judge is a human being, all of your subjects are not excluded, so you can do it up to three times.",799.0,"826,1,"
800,800,There are so many people,800.0,"827,1,"
801,801,"If the case is closed with only one trial, the trial cannot be corrected when the trial is not fair or the presiding judge makes a mistake. In other words, in order to make a fairest judgment as much as possible, one case can be tried up to three times.",801.0,"828,0,"
802,802,To prevent unfair trial results,802.0,"829,1,"
803,803,It is to ensure a fair trial and to ensure the rights of the people more clearly.,803.0,"830,0,"
804,804,the three-trial system,804.0,"831,0,"
805,805,the three-trial system,805.0,"832,1,"
806,806,"The reason for operating the three-trial system is to operate it for fair trials up to three times because only one trial can lead to unfair people. It may be less, but it is omitted because there is not enough time.",806.0,"833,1,"
807,807,"""One or two trials will result in unfairness or damage",807.0,"834,0,"
808,808,"It operates a system that allows people to receive up to three trials because they can have a ram.""",808.0,"835,1,"
809,809,". The first trial is a local court, so the results of the trial may not be good, so the three-trial system is implemented for a fair trial.",809.0,"836,0,"
810,810,"This is because a judge must be able to be tried again when he makes a wrong trial. All humans can make wrong judgments, and if the trial is made only once, if the trial is wrong, it is easy to have an unfair victim. To prevent this, trials are allowed up to three times.",810.0,"837,0,"
811,811,"In Korea, a system that requires up to three trials on a case is called a three-trial system. For example, it can be said that it is against accuracy that the result came out after only one trial. Korea operates a three-trial system to produce more accurate results.",811.0,"838,0,839,1,"
812,812,"In order to prevent people from being judged unfairly at the minimum when they are tried, a three-trial system is in place that allows them to stand trial up to three times.",812.0,"840,1,"
813,813,"In Korea, the reason why a case can be tried up to three times may be that one trial may lead to a single trial. In order to reduce such people as much as possible, Korea operates a three-trial system in which one case can be tried up to three times.",813.0,"841,0,"
814,814,"A single trial alone cannot make a fair judgment. Then, since the rights of the people may be violated, a three-trial system that can operate three trials will be established to make fair judgments to more effectively guarantee the rights of the people.",814.0,"842,1,"
815,815,"The reason for using the three-trial system is that the jurisdiction of the judge acts, which is to guarantee the right to be tried fairly through three trials even if the jurisdiction of the judge acts.",815.0,"843,1,"
816,816,The three-trial system is aimed at reducing the fairness of the law and the mistakes of prosecutors in trials as much as possible and ensuring people's human rights.,816.0,"844,1,"
817,817,"In the case of one trial, judges, prosecutors, and police can also make mistakes because they are human, so they are tried three times.",817.0,"845,1,"
818,818,"If the case is judged on a one-time trial, a judge can make a different judgment from the average person with subjective thoughts and make an unfair judgment. Therefore, the fairness of the trial can be further strengthened by going through several trials. Therefore, such a system is necessary and should not be eliminated.",818.0,"846,0,"
819,819,"If Hong Gil-dong fails to effectively reveal that his hand impairment is not related to his work in the first trial, or he may not receive a fair judgment by a judge's misjudgment. As a solution to this, such a system is operated for the most fair judgment so that there are no unfair people.",819.0,"847,1,"
820,820,I'm sorry.,820.0,"848,1,"
821,821,...,821.0,"849,0,"
822,822,"If I lose the trial, I'm afraid I'll keep trying to drag it down to the",822.0,"850,0,"
823,823,in order to be precise,823.0,"851,1,"
824,824,I try not to make it happen,824.0,"852,1,"
825,825,This is because the plaintiff or the defendant may be in an unfair situation due to unfair results when the trial is conducted only once.,825.0,"853,1,"
826,826,in order to make an accurate judgment,826.0,"854,1,"
827,827,This is because a single trial may cause disadvantages and may be dissatisfied with the decision.,827.0,"855,0,"
828,828,Because the people have freedom,828.0,"856,1,"
829,829,The move is aimed at maximizing the victim's or perpetrator's injustice.,829.0,"857,1,"
830,830,for the rights of the people,830.0,"858,1,"
831,831,M and D,831.0,"859,1,"
832,832,This is because it may be unfair if the victim loses the trial.,832.0,"860,1,"
833,833,so as not to be falsely accused,833.0,"861,0,"
