,Unnamed: 0,1) Why do bags of snacks swell up on high mountains?,Unnamed: 0,", q37_pressure, q37_air, q37_altitude, q37_temperature, q37_pressure.1,q37_Air.1,q37_altitude.1,q37_temperature.1"
196,196,Because the air pressure goes up,196.0,"202,1,0,0,0 because the pressure is lowered,"
197,197,It increases the air pressureIt's because the pressure's high on the mountain,197.0,"203,0,1,0,0 because the pressure is lowered,"
198,198,This is because the pressure is reduced.,198.0,"204,1,0,1,0, when the pressure decreases, the bag of snacks swells up,"
199,199,"As the temperature rises and the temperature rises when you go up to the mountain, the bag of snacks is under the pressure of the air",199.0,"205,1,0,0, the bag swells when the pressure is lowered,"
200,200,The nitrogen in the bag of snacks swells up because of less oxygen.,200.0,"206,1,0,1,0, the volume increases when the pressure decreases"
201,201,I don't know.,201.0,"207,1,0,1,0, the volume increases when the pressure decreases"
202,202,"There is less air in the high places, so the pressure to push inside the balloon is greater under less air pressure",202.0,"208,1,1,1,1,1, the volume increases when the pressure decreases209,1,1,0, the pressure drops, increasing the volume of the bag of snacks"
203,203,High mountains swell because of high pressure,203.0,"210,1,0,0,0, the pressure drops, increasing the volume of the bag of snacks"
204,204,"Since it's windy, I'll go inside the bag",204.0,"211,1,1,1,0, the pressure drops, increasing the volume of the bag of snacks"
205,205,This is because the air pressure increases as you go up.,205.0,"212,0,0,1,0, the pressure drops, increasing the volume of the bag,"
206,206,Air pressure inflated the envelope.,206.0,"213,1,1,0, the pressure drops and the volume of the bag increases"
207,207,It's because the air pressure is high,207.0,"214,1,0,1,0, the pressure drops and the volume of the bag increases"
208,208,The fresh air goes into the bag of snacks,208.0,"215,0,1,0,1, the pressure drops and the volume increases"
209,209,"It's an alpine region, so the pressure is high",209.0,"216,1,1,0, the pressure drops and the volume increases"
210,210,at a loss of air pressure,210.0,"217,1,1,0, the pressure drops and the volume increases"
211,211,"The mountain is an alpine region, so the air pressure is high",211.0,"218,1,0,0,0 , the bag of snacks swells because the pressure is low,,,"
212,212,"The higher the pressure, the higher the pressure",212.0,"219,0,0,0,1, because the pressure drops, the bag of snacks is a part,"
213,213,"As you go up to the alpine mountain, the pressure on the gas that the bag of snacks receives increases and the temperature decreases, and the bag of snacks swells.",213.0,"220, 0, 1, 1, 0, because the pressure is low"
214,214,"This is because the air pressure has been lowered, and the nitrogen in the bag of snacks has become stronger.",214.0,"221,1,1,1,0, because the pressure is low,"
215,215,This is because air pressure increases.,215.0,"222,1,0,0, when the pressure drops, the bag of snacks swells up,"
216,216,"As you go up higher, the air becomes thinner and the pressure you receive decreases accordingly. However, the same force is applied inside the bag of snacks, so it expands as it goes up.",216.0,"223,1,0,0,0, the volume of the bag of snacks increases when the pressure drops"
217,217,Because there is no air in high places,217.0,"224,1,0,1,0, the volume of the bag of snacks increases when the pressure drops"
218,218,This is because the air pressure in the bag is bigger because the air pressure is lower,218.0,"225,1,0,0, the volume of the snack bag increases when the pressure drops"
219,219,The high mountains are low pressure,219.0,"226,1,0,0, the bag swells when the pressure drops,"
220,220,"As the temperature goes down, the oxygen swells up",220.0,"227,1,0,0, the volume of the bag increases when the pressure drops"
221,221,The air pressure rises and more air enters the bag.,221.0,"228,1,0,0,0, the volume of the bag increases when the pressure drops"
222,222,"This is because the higher the air pressure, the larger the volume of the gas.",222.0,"229,1,1,1,0, the volume of the bag increases when the pressure drops"
223,223,a phenomenon caused by high pressure,223.0,"230,1,1,0, the volume increases when the pressure drops"
224,224,"When the temperature is higher, the bag of snacks swells up.",224.0,"231,1,0,0,1, the volume increases when the pressure drops"
225,225,Nitrogen expands as the altitude of the mountain increases? therefore,225.0,"232,1,0,0,1, the volume increases when the pressure drops"
226,226,"As the altitude rises, the pressure of the air decreases.",226.0,"233,1,1,0, the pressure decreases and the bag of snacks swells up,"
227,227,Because of the high atmospheric pressure,227.0,"234,1,0,0,0, the pressure decreases and the bag swells,"
228,228,a barometric difference,228.0,"235,1,1,0, when the pressure decreases, the bag of snacks swells up,"
229,229,High mountains have high atmospheric pressure,229.0,"236,1,0,1,0, when the pressure decreases, the bag swells,"
230,230,It's because of the atmospheric pressure.,230.0,"237,1,0,0,0, the volume increases when the pressure decreases"
231,231,Because of the high atmospheric pressure,231.0,"238,1,0,0,0, the volume increases when the pressure decreases239,1,0,0,0, the smaller the pressure, the larger the volume"
232,232,Because the pressure is low,232.0,"240,1,0,1,0, when the pressure decreases, the bag of snacks swells up,"
233,233,Air pressure rises and expands,233.0,"241,0,0,0,0, the bag swells when the pressure decreases"
234,234,Air swells up because of low pressure on high mountains,234.0,"242,1,0,1,0, the volume increases as the pressure decreases"
235,235,"If the air pressure goes up, the oxygen decreases",235.0,"243,1,0,1,0, the volume increases as the pressure decreases"
236,236,The bag expands as the pressure is applied and the temperature rises,236.0,"244,1,0,0,0 , the pressure is reduced and the bag of snacks swells up,"
237,237,Pressure increases and temperature decreases,237.0,"245,1,0,1,0, the pressure decreases and the bag swells,"
238,238,"If the air pressure goes up, the oxygen decreases",238.0,"246,1,1,1,0, the bag of snacks swells because the external pressure decreases,"
239,239,It is because the pressure is low.,239.0,"247,0,0,0,0 because the external pressure decreases, the bag of snacks is a part,,,"
240,240,"Because of the high pressure, the air in the bag expands.",240.0,"248,1,0,0,0 because the external pressure decreases,"
241,241,"The higher you go, the higher the air pressure",241.0,"249,1,0,0,0 because the external pressure decreases,"
242,242,It's because the air pressure rises,242.0,"250,0,0,1,0, because the external pressure is lowered, the bag of snacks swells,"
243,243,It's because of the atmospheric pressure.,243.0,"251,0,1,0, because the external pressure is lowered, the snack bag is a part,,,"
244,244,"Because of the pressure difference,",244.0,"252,0,0,0,0,0 because the external pressure is lowered,,,"
245,245,"This is because the higher the mountain, the higher the air pressure.",245.0,"253,1,0,0,0 because the external pressure is lowered,,,"
246,246,The bag of cookies expands and swells.,246.0,"254,0,0,0,0, the bag of snacks swells because the external pressure drops"
247,247,"As the atmospheric pressure decreases as you go higher, the pressure in the bag of snacks decreases and the bag swells.",247.0,"255,0,1,1,0, because the external pressure drops, the bag of snacks is a part,,,"
248,248,The bag of snacks swells because the pressure increases when you climb a high mountain.,248.0,"256,0,1,0,0, because the external pressure drops,"
249,249,Because of the high atmospheric pressure,249.0,"257,0,1,1,0, because the external pressure drops,"
250,250,"The higher the pressure, the higher the air pressure, and the bag of snacks swelled.",250.0,"258,1,0,0, the bag of snacks swells because the pressure of the air is lower than where we live"
251,251,"Since the mountain is higher than the flat land, the nitrogen in the bag of snacks swells at high pressure.",251.0,"259,1,0,0, because the pressure of the air is lower than where we live, the bag of snacks is a part"
252,252,I don't know.,252.0,"260,0,0,1,0, because the air pressure is less than where we live"
253,253,It lowers the air pressure,253.0,"261,0,0,1,1 because the air pressure is less than where we live"
254,254,The pressure is so strong,254.0,"262,0,1,0, the bag of snacks swells because the air pressure is lower than where we live"
255,255,"Because the high mountain is high, the bag of snacks will swell",255.0,"263,0,1,0, because the pressure of the air is lower than where we live, the bag of snacks is a part"
256,256,There's a lot of air,256.0,"264,0,1,0,0 because the air pressure is lower than where we live"
257,257,I don't know,257.0,"265,0,1,0, because the air pressure is lower than where we live"
258,258,because of the pressure,258.0,"266,1,0,0, the bag of snacks swells because the air pressure is lower than where we live"
259,259,I don't know.,259.0,"267,0,1,0, because the pressure of the air is lower than where we live, the bag of snacks is a part"
260,260,There's not much air in the high places,260.0,"268,0,1,0,0 because the air pressure is lower than where we live269,1,0,0, because the air pressure is lower than where we live"
261,261,There's a lot of air,261.0,"270,0,0,1,0, the bag of snacks swells because the air pressure is lower than where we live"
262,262,There's a lot of nitrogen in high mountains,262.0,"271,1,1,1,0, the bag of snacks swells because the air pressure is lower than where we live"
263,263,It lowers the air pressure,263.0,"272,1,0,0, because the air pressure is lower than where we live, the bag of snacks is a part"
264,264,Because of the pressure,264.0,"273,0,0,1, because the air pressure is lower than where we live, the bag of snacks is a part"
265,265,"There is a wind in the mountain, so the wind enters the bag.",265.0,"274,1,1,0, because the air pressure is lower than where we live"
266,266,Because of the cold wind in the high mountains,266.0,"275,0,0,1,0, because the air pressure is lower than where we live"
267,267,Because it's nitrogen?,267.0,"276,1,0,0, because the air pressure is lower than where we live"
268,268,Because the air pressure is low,268.0,"277,1,1,0, because the air pressure is lower than where we live"
269,269,at a low air pressure,269.0,"278,1,0,0, the bag of snacks swells because the air pressure is lower than where we live"
270,270,at a low air pressure,270.0,"279,1,0,1,0, the bag of snacks swells because the air pressure is lower than where we live"
271,271,Because the pressure of the air is different,271.0,"280,0,0,1,1 because the air pressure is lower than where we live, the bag of snacks is a part"
272,272,at a low air pressure,272.0,"281,0,1,0, because the air pressure is lower than where we live, the bag of snacks is a part"
273,273,It lowers the air pressure,273.0,"282,0,0,1,0, because the air pressure is lower than where we live"
274,274,Because of the air pressure,274.0,"283,0,1,0, because the air pressure is lower than where we live"
275,275,It's because there's no air when you go up high,275.0,"284,0,0,1,0, because the air pressure is lower than where we live"
276,276,"This is because the air pressure rises when you go to a high place, and the nitrogen in the bag of snacks swelled.",276.0,"285,0,0,0,0, because the air pressure is lower than where we live"
277,277,It's because the air pressure's low,277.0,"286,1,0,0, the bag of snacks swells because the air pressure is lower than where we live"
278,278,The temperature is high in high places,278.0,"287,1,0,0, the bag of snacks swells because the air pressure is lower than where we live"
279,279,The air pressure is lowered and the nitrogen in the snack bag swells up.,279.0,"288,1,0,0, because the air pressure is lower than where we live, the bag of snacks is a part,"
280,280,It's because it's are low,280.0,"289,0,0,0,1, because the air pressure is lower than where we live, the bag of snacks is a part,"
281,281,"Since there is less air, when the pressure is lowered, the pressure inside the snack increases and expands.",281.0,"290,0,1,1,0, because the air pressure is lower than where we live"
282,282,It is a gate for the nitrogen in the bag to swell as the air pressure is lowered.,282.0,"291,1,1,1,0, because the air pressure is lower than where we live"
283,283,The pressure is getting stronger,283.0,"292,1,1,1,0, because the air pressure is lower than where we live"
284,284,This is because the pressure applied to the bag is low on the mountain where the air pressure is low in inverse proportion to the pressure by the Boyle Law.,284.0,"293,0,0,0,1, because the air pressure is lower than where we live"
285,285,High mountains have high temperatures.,285.0,"294,1,0,1,0, the bag of snacks swells because the pressure is less than where we live"
286,286,carbon dioxide,286.0,"295,0,1,1,1, because the pressure is lower than where we live, the bag of snacks is a part,"
287,287,It's too high,287.0,"296,0,0,1,1, because the pressure is less than where we live"
288,288,This is because there is more and more air.,288.0,"297,0,0,1,0, because the pressure is less than where we live"
289,289,It's because it's elevated.,289.0,"298,0,1,1,0, the bag of snacks swells because the pressure is lower than where we live299,1,0,0, because the pressure is lower than where we live, the bag of snacks is a part,"
290,290,It swells like an alpine bottle,290.0,"300, 1, 0, 0, 0, because the pressure is lower than where we live"
291,291,Because of the pressure,291.0,"301,0,1,0, because the pressure is lower than where we live"
292,292,It's because the pressure goes up,292.0,"302,1,0,0, because the pressure is lower than where we live, the bag of snacks swells"
293,293,at a higher barometric pressure,293.0,"303,0,1,0, because the pressure is lower than where we live, the bag of snacks is a part"
294,294,"If the temperature goes down, the volume increases",294.0,"304,0,1,0,1, because the pressure is lower than where we live"
295,295,This is because air expands (?) because air disappears as it goes higher.,295.0,"305,1,0,0,0 because the pressure is lower than where we live"
296,296,"This is because it rises above the mountain and swells up under pressure from the side.As you climb up the mountain, the air is pressurized and the air (oxygen) becomes scarce",296.0,"306,1,0,0, the bag of snacks swells because the external pressure is lower than where we live"
297,297,The bag of cookies swelled up because the pressure increased when the temperature was high.,297.0,"307,1,0,1,0, because the external pressure is reduced compared to where we live, the bag of snacks is a part,"
298,298,This is because high places have lower air pressure than low places.,298.0,"308,0,1,1,0, because the external pressure is less than where we live"
299,299,"This is because high mountains have low temperatures, and air sticks to each other and then moves away depending on the temperature.",299.0,"309,1,0,1,0, because the external pressure is less than where we live"
300,300,It's very high. The temperature goes up,300.0,"310,0,1,0, the bag of snacks swells because the external pressure is lower than where we live"
301,301,"Because if you go up high, the degree of compression increases?",301.0,"311,1,1,1,0, because the external pressure is lower than where we live, the bag of snacks is the part,,,"
302,302,"The altitude has risen.There is nitrogen in the bag of snacks, but the altitude on the mountain is high, so it swelled up.",302.0,"312,1,0,0,0 because the external pressure is lower than where we live"
303,303,"""It's because the air pressure goes up",303.0,"313,1,0,0,0 because the external pressure is lower than where we live"
304,304,"""",304.0,"314,0,0,0,0, the bag of snacks swells because the outside pressure is lower than where we live"
305,305,This is because the air pressure is high.,305.0,"315,0,0,0,1, because the external pressure is lower than where we live, the bag of snacks is the part,,,"
306,306,This is because the nitrogen in the bag of snacks swells.,306.0,"316,1,0,1,0, because the external pressure is lower than where we live"
307,307,Because of the atmospheric pressure,307.0,"317,1,0,0,0 because the external pressure is lower than where we live"
308,308,Because there's less air,308.0,"318,1,0,1,0, particles collide in a certain area,,,,"
309,309,This is because the air gets cold and the volume increases.,309.0,"319, 0, 0, 0, 0, 0, particles hitting each other,"
310,310,under pressure,310.0,"320,1,0,0,0,,,,"
311,311,It's because the air pressure is high,311.0,"321,1,1,1,0,,,,"
312,312,Acid swells up because of its low atmospheric pressure,312.0,"322,1,1,1,0,,,,"
313,313,Because there is no air in the high mountains?,313.0,"323,0,1,1,0,,,,"
314,314,High places have high air pressure,314.0,"324,0,1,0,0,,,,"
315,315,This is because oxygen is higher.,315.0,"325,1,1,1,0,,,,"
316,316,This is because the air in the bag of snacks has expanded because the air pressure of high mountains is low.,316.0,"326,1,0,0,0,,,,"
317,317,This is because the air pressure is lowered.,317.0,"327,1,1,1,0,,,,"
318,318,It's because the air pressure is high,318.0,"328,0,1,1,0,,,,329,1,0,1,0,,,,"
319,319,I don't know.,319.0,"330,1,0,1,0,,,,"
320,320,The temperature went down,320.0,"331,1,0,0,0,,,,"
321,321,The bag of snacks swelled up because of the high atmospheric pressure.,321.0,"332,0,0,0,0,,,,"
322,322,This is because the pressure increases.,322.0,"333,1,0,0,0,,,,"
323,323,"This is because the higher you go, the higher the pressure.",323.0,"334,1,0,1,1,,,,"
324,324,I don't know.,324.0,"335,0,0,0,0,,,,"
325,325,at the height of air pressure,325.0,"336,0,0,0,0,,,,"
326,326,"As the air in the bag of snacks rises to the mountain, the pressure received decreases and swells.",326.0,"337,1,1,0,1,,,,"
327,327,Nitrogen in snacks expands because the air pressure decreases as it goes up the mountain,327.0,"338,1,1,0,0,,,,"
328,328,"In high places, the bag of snacks swells up because there is more oxygen.",328.0,"339,1,0,0,0,,,,"
329,329,This is because oxygen has increased.,329.0,"340,1,0,0,0,,,,"
330,330,"Just as it is difficult to breathe in high places, the bag of snacks is also on a high mountain, and the nitrogen that was not allowed to rot in the snack swells further under the pressure of the high acid.",330.0,"341,1,0,0,0,,,,"
331,331,I think it's because of the pressure.,331.0,"342,1,0,0,1,,,,"
332,332,"High mountains have high air pressure, so the bag of snacks swells up to match the air pressure around the bag.",332.0,"343,0,0,1,0,,,,"
333,333,"The higher it is, the less oxygen it is, so the air in the bag seems to expand",333.0,"344,1,1,1,0,,,,"
334,334,Because the air pressure is lower than the bottom of the mountain,334.0,"345,1,0,0,0,,,,"
335,335,This is because the force (pressure) of pressing an object is weaker than the lower part.,335.0,"346,1,0,0,0,,,,"
336,336,This is because air pressure increases.,336.0,"347,1,0,0,1,,,,"
337,337,Because the wind gets stronger,337.0,"348,1,0,0,0,,,,"
338,338,"The higher you go, the higher the air pressure",338.0,"349,0,0,0,0,,,,"
339,339,"As the altitude increases, the air pressure decreases, so if the temperature is high, the movement of atoms is active and bulky.",339.0,"350,0,0,0,0,,,,"
340,340,.,340.0,"351,1,0,0,0,,,,"
341,341,.,341.0,"352,1,0,0,0,,,,"
342,342,"This is because when the number of moles and the temperature are constant, the volume of the gas increases as the air pressure decreases. (P and V are inversely proportional to PV=nRT)",342.0,"353,1,0,1,0,,,,"
343,343,"As the air pressure goes down, the nitrogen in the bag expands",343.0,"354,1,0,0,0,,,,"
344,344,Because the air pressure is low,344.0,"355,1,0,0,0,,,,"
345,345,at a low air pressure,345.0,"356,1,0,0,0,,,,"
346,346,at a low pressure,346.0,"357,0,0,0,0,,,,"
347,347,"The lower the pressure, the bigger the volume, and the higher the temperature, the bigger the volume",347.0,"358,1,1,1,0,,,,359,1,0,1,0,,,,"
348,348,"Pressure decreases in high mountains, resulting in greater gas intermolecular distance and increased volume",348.0,"360,0,1,0,0,,,,"
349,349,"This is because as you go up the mountain, there is less air, and the pressure in the bag becomes greater than the atmospheric pressure.",349.0,"361,1,0,1,0,,,,"
350,350,This is because the air pressure is lowered.,350.0,"362,1,0,0,0,,,,"
351,351,The air pressure in the bag is bigger than the atmospheric pressure,351.0,"363,1,0,0,0,,,,"
352,352,"The lower the temperature, the smaller the volume. Parts as pressure increases",352.0,"364,1,0,0,0,,,,"
353,353,pressure difference,353.0,"365,1,0,0,0,,,,"
354,354,This is because the volume increases.,354.0,"366,1,0,0,0,,,,"
355,355,Oh...,355.0,"367,1,0,0,0,,,,"
356,356,"If the air pressure is lowered, the volume increases",356.0,"368,1,0,1,0,,,,"
357,357,"Since the air pressure decreases, increase the internal volume. If you don't know NRT, retake the test",357.0,"369,1,0,0,0,,,,"
358,358,"The higher it is, the lower the air pressure",358.0,"370,1,1,0,0,,,,"
359,359,Lower pressure,359.0,"371,0,1,0,0,,,,"
360,360,at a low air pressure,360.0,"372,1,0,0,0,,,,"
361,361,Lower pressure,361.0,"373,1,0,1,0,,,,"
362,362,Um Jeonghwa sings it. I don't know,362.0,"374,1,0,0,0,,,,"
363,363,"Because of the lack of oxygen in alpine, the air in the bag of confectionery expands because of the pressure",363.0,"375,1,0,1,0,,,,"
364,364,"When the pressure decreases, the volume increases, but when you climb the mountain, the pressure decreases and the volume increases",364.0,"376,1,0,0,0,,,,"
365,365,nitrogen expansion,365.0,"377,1,0,0,0,,,,"
366,366,This is because the altitude has increased and the pressure has decreased.,366.0,"378,1,0,0,0,,,,"
367,367,Because there was a change in pressure.,367.0,"379,1,0,0,0,,,,"
368,368,The pressure is low,368.0,"380,1,0,0,0,,,,"
369,369,"By PV=nRT, n and T were constant, resulting in a decrease in external pressure and an increase in volume.",369.0,"381,1,0,0,0,,,,"
370,370,Because the pressure gets bigger,370.0,"382,1,0,0,0,,,,"
371,371,The atmospheric pressure decreased and the volume expanded.,371.0,"383,0,0,0,0,,,,"
372,372,This is because the ambient air pressure is lowered.,372.0,"384,1,0,0,0,,,,"
373,373,This is because the pressure in the snack is greater than the high acid pressure,373.0,"385,1,0,0,0,,,,"
374,374,The pressure is low,374.0,"386,1,0,1,0,,,,"
375,375,This is because the volume of gas in the bag increased due to the lower air pressure.,375.0,"387,1,0,0,0,,,,"
376,376,Because there's less oxygen,376.0,"388,1,0,0,0,,,,389,0,1,0,0,,,,"
377,377,It is an increase in volume due to reduced pressure.,377.0,"390,1,0,0,0,,,,"
378,378,"As you go higher, the air pressure decreases, and as the pressure outside decreases, the bag becomes larger.",378.0,"391,1,0,0,0,,,,"
379,379,The pressure is low,379.0,"392,1,0,1,0,,,,"
380,380,"As you climb the mountain, the pressure decreases, and according to Boyle's law, the pressure and volume are inversely proportional, so the bag of confectionery swells.",380.0,"393,1,0,0,0,,,,"
381,381,Because of the atmospheric pressure,381.0,"394,1,0,0,0,,,,"
382,382,Because of the atmospheric pressure,382.0,"395,1,0,1,0,,,,"
383,383,a change in air pressure,383.0,"396,1,0,1,0,,,,"
384,384,"Since the air pressure gets smaller,",384.0,"397,1,0,1,0,,,,"
385,385,at a low air pressure,385.0,"398,1,0,0,0,,,,"
386,386,at a low air pressure,386.0,"399,1,0,0,0,,,,"
387,387,"Since the air pressure gets smaller,",387.0,"400,1,0,0,0,,,,"
388,388,I think I'm excited to climb the mountain with the bag of snacks,388.0,"401,0,1,1,0,,,,"
389,389,The pressure is low,389.0,"402,0,1,1,0,,,,"
390,390,The pressure is low,390.0,"403,0,1,1,0,,,,"
391,391,This is because the pressure decreases in high mountains.,391.0,"404,0,1,0,0,,,,"
392,392,Because the pressure gets weak,392.0,"405,1,1,1,0,,,,"
393,393,a rise in air pressure,393.0,"406,1,0,0,0,,,,"
394,394,Nitrogen volume increases due to lack of oxygen,394.0,"407,1,0,0,0,,,,"
395,395,Because of the pressureThis is because the air pressure has decreased and the volume has increased,395.0,"408,0,1,1,0,,,,"
396,396,"The higher the mountain, the lower the pressure outside the bag,",396.0,"409,0,1,0,0,,,,"
397,397,"Because of the change in air pressure,",397.0,"410,1,0,1,0,,,,"
398,398,This is because the air pressure is lowered.,398.0,"411,1,0,0,0,,,,"
399,399,"As you climb a high mountain, the air pressure decreases and the pressure to press the bag from the outside decreases, so it swells up.",399.0,"412,1,0,1,0,,,,"
400,400,"As you climb a high mountain, the air pressure decreases, so the bag of snacks swells up.",400.0,"413,0,0,0,1,,,,"
401,401,"If you go to a high place, the pressure gets high",401.0,"414,1,0,0,0,,,,"
402,402,under pressure,402.0,"415,1,0,0,0,,,,"
403,403,Because of the atmospheric pressure,403.0,"416,0,1,0,0,,,,"
404,404,because of the pressure,404.0,"417,1,0,0,0,,,,"
405,405,"As we go up, there's more air",405.0,"418,0,0,0,0,,,,419,1,0,1,0,,,,"
406,406,This is because air was put into the bag of snacks as it went up the mountain.,406.0,"420,1,0,0,0,,,,"
407,407,"The air and wind are strong in the high mountains,",407.0,"421,0,0,0,0,,,,"
408,408,Because of the air,408.0,"422,1,0,1,0,,,,"
409,409,"As it goes up, the air pressure gets stronger",409.0,"423,1,0,1,0,,,,"
410,410,Because of the high pressure,410.0,"424,1,0,0,0,,,,"
411,411,This is because the dark power is gradually released.,411.0,"425,1,1,1,0,,,,"
412,412,There's more air in the mountains,412.0,"426,1,0,0,0,,,,"
413,413,The air is disappearing,413.0,"427,1,0,0,0,,,,"
414,414,High places have low pressure,414.0,"428,1,1,0,0,,,,"
415,415,Because the pressure is low?,415.0,"429,1,0,0,0,,,,"
416,416,High places have low pressure,416.0,"430,1,0,0,0,,,,"
417,417,It swells up because of the temperature change,417.0,"431,1,0,0,0,,,,"
418,418,Because of the pressure,418.0,"432,1,1,0,0,,,,"
419,419,The pressure is lowered and inflated.,419.0,"433,1,0,1,0,,,,"
420,420,It's because there's less air.,420.0,"434,1,0,1,0,,,,"
421,421,It's because the pressure goes up,421.0,"435,1,0,1,0,,,,"
422,422,.,422.0,"436,1,1,1,0,,,,"
423,423,This is because air pressure rises in high mountains.,423.0,"437,1,0,1,0,,,,"
424,424,This is because air pressure increases.,424.0,"438,1,0,1,0,,,,"
425,425,I don't know.,425.0,"439,1,1,0,0,,,,"
426,426,This is because there is less pressure in high mountains.,426.0,"440,1,1,1,0,,,,"
427,427,High mountains have a lower barometric pressure than the reference barometric pressure,427.0,"441,1,1,1,1,,,,"
428,428,It's because the air pressure decreases,428.0,"442,1,0,1,0,,,,"
429,429,Climbing a high mountain increases the volume of the snack bag because the air becomes thinner and external pressure decreases.,429.0,"443,1,0,0,0,,,,"
430,430,This is because the ambient air pressure has been lowered.,430.0,"444,0,0,0,1,,,,"
431,431,It's because the air pressure is lowered.,431.0,"445,1,0,0,0,,,,"
432,432,"Because the air pressure outside the bag has decreased,",432.0,"446,1,0,0,0,,,,"
433,433,The bag of snacks swells up as the pressure decreases,433.0,"447,1,0,1,0,,,,"
434,434,It's because the air pressure is low,434.0,"448,0,0,0,0,,,,449,1,0,0,0,,,,"
435,435,It is because of the difference in air pressure.,435.0,"450,0,0,0,0,,,,"
436,436,It's because the air pressure rises and the nitrogen inside increases as it condenses,436.0,"451,1,0,0,0,,,,"
437,437,It's because the air pressure goes up as you go up,437.0,"452,1,0,0,0,,,,"
438,438,This is because the atmospheric pressure of high mountains has decreased.,438.0,"453,1,0,0,0,,,,"
439,439,"As you climb the high mountain, the pressure decreases, causing the bag of snacks to swell.",439.0,"454,1,0,0,0,,,,"
440,440,"The pressure of the air gas in the snack bag is constant, while the pressure of air in the high mountain swells because it is lower than the pressure in the flat land than in the high mountain.",440.0,"455,1,0,0,0,,,,"
441,441,"The pressure on the high mountain is lower than the flat land, so when you climb the high mountain, the bag of snacks swells up.",441.0,"456,0,0,0,0,,,,"
442,442,This is because the atmospheric pressure in the high mountains has been lowered.,442.0,"457,1,0,0,0,,,,"
443,443,This is because nitrogen moves in snacks due to increased air pressure.,443.0,"458,1,1,0,0,,,,"
444,444,"As you climb the mountain, the pressure decreases and the gas volume increases.",444.0,"459,1,0,0,0,,,,"
445,445,"Since the gas is inversely proportional to the pressure and volume, the air pressure decreases as the altitude increases, and the air pressure that was pressing the bag decreases, so the bag swells.",445.0,"460,0,0,0,0,,,,"
446,446,High mountains are in front of meat,446.0,"461,1,0,0,0,,,,"
447,447,Because of the difference in air pressure,447.0,"462,0,1,0,0,,,,"
448,448,Because the temperature is low,448.0,"463,1,1,0,0,,,,"
449,449,an increase in air pressure,449.0,"464,1,0,0,0,,,,"
450,450,Because the ambient air pressure is low,450.0,"465,1,1,0,0,,,,"
451,451,"This is because high mountains have a lower pressure than the surface, so the air pressure outside the bag and the air pressure inside the bag have changed.",451.0,"466,1,0,1,0,,,,"
452,452,I don't know,452.0,"467,1,1,1,0,,,,"
453,453,It's because the air pressure went up,453.0,"468,1,0,1,0,,,,"
454,454,(wink),454.0,"469,1,0,0,0,,,,"
455,455,at a low air pressure,455.0,"470,1,0,0,0,,,,"
456,456,"""It's because air pressure gets better",456.0,"471,0,0,0,0,,,,"
457,457,"""",457.0,"472,1,0,0,0,,,,"
458,458,at a low air pressure,458.0,"473,0,0,0,0,,,,"
459,459,It's because the pressure goes down,459.0,"474,1,1,1,0,,,,"
460,460,It lowers the pressure,460.0,"475,1,0,1,0,,,,"
461,461,It is because of the expansion.,461.0,"476,1,0,0,0,,,,"
462,462,This is because the air pressure has been lowered.,462.0,"477,1,0,0,0,,,,"
463,463,Because the pressure is high and the nitrogen in the bag is about to come out,463.0,"478,1,0,0,0,,,,479,1,0,1,0,,,,"
464,464,The pressure decreases and the volume increases,464.0,"480,1,1,1,0,,,,"
465,465,I don't know.,465.0,"481,1,0,0,0,,,,"
466,466,"The higher the pressure, the higher the volume",466.0,"482,1,0,0,0,,,,"
467,467,Because the air expands,467.0,"483,1,0,0,0,,,,"
468,468,"Because the air density outside is lowered and the air pressure inside is increased,",468.0,"484,1,0,1,0,,,,"
469,469,"Because the atmospheric pressure is lower than the ground, the volume is increased by Boyle's law",469.0,"485,1,0,0,0,,,,"
470,470,"This is because the atmospheric pressure is lowered, increasing the volume of gas inside the snack bag.",470.0,"486,1,0,0,1,,,,"
471,471,This is because the air pressure decreases when climbing the mountain.,471.0,"487,1,1,1,0,,,,"
472,472,"As you go up high, the pressure of the air is low, and the air in the bag is less pressurized, so the volume expands.",472.0,"488,1,0,0,0,,,,"
473,473,Snacks swell because the pressure in the high mountains decreases and the pressure inside the snack increases,473.0,"489,1,0,1,0,,,,"
474,474,"""The air pressure outside is low and the air pressure in the bag is constant",474.0,"490,1,0,1,0,,,,"
475,475,"""",475.0,"491,1,0,1,0,,,,"
476,476,The pressure decreases and the volume increases.,476.0,"492,0,0,0,0,,,,"
477,477,I don't know,477.0,"493,1,0,1,0,,,,"
478,478,a difference in atmospheric pressure,478.0,"494,1,0,1,0,,,,"
479,479,NAVER will tell you instead of me because it is in the information age,479.0,"495,1,0,1,0,,,,"
480,480,"If you go up to a high mountain, there is not enough air, so the force to push the bag is smaller than the force in the bag, so the bag of snacks swells up",480.0,"496,1,0,0,0,,,,"
481,481,"As it goes up, the atmospheric pressure decreases, which increases in volume by Boyle's law.",481.0,"497,0,1,0,0,,,,"
482,482,a difference in atmospheric pressure,482.0,"498,1,1,1,0,,,,"
483,483,Because of the difference in air pressure,483.0,"499,1,0,1,0,,,,"
484,484,Because of the difference in air pressure,484.0,"500,1,0,0,0,,,,"
485,485,"As the altitude increases, the pressure decreases, and the volume of gas in the snack expands.",485.0,"501,1,0,1,0,,,,"
