,Unnamed: 0,1. The sentences below misunderstand the meaning of 'human dignity'. So humans are not the real reason for dignity. So what is the real reason for human dignity?,Unnamed: 0,", q56_Features, q56_Unique"
401,401,"Everyone has their own personality, strengths and weaknesses, and everyone is dignified.",401.0,"414,0,1"
402,402,It's dignity because it's a person.,402.0,"415,0,1"
403,403,Because he's alive,403.0,"416,0,1"
404,404,be dignified as a human being,404.0,"417,0,1"
405,405,Because they have lives and they all have human rights.,405.0,"418,0,0419,0,1"
406,406,"""Because he has life and deserves respect",406.0,"420,0,1"
407,407,"""",407.0,"421,0,0"
408,408,"Because they're all thoughtful, emotional, and talkative lives",408.0,"422,0,1"
409,409,Human beings themselves are dignified,409.0,"423,0,0"
410,410,"Because you're considerate, respectful, and think?",410.0,"424,0,1"
411,411,It is because humans are precious creatures from heaven and have the ability to do so,411.0,"425,0,1"
412,412,It is wrong to judge a person's dignity on any condition.Because it depends on the person.,412.0,"426,0,1"
413,413,a man of moral high opinion,413.0,"427,0,0"
414,414,It is dignified because it does what it should do as a human being.,414.0,"428,0,1"
415,415,"Human dignity is not classified by human gender, race, power, and wealth.",415.0,"429,0,0"
416,416,"The meaning of human dignity I thought is ordinary to do everything in daily life that talks, eats, and wraps without treating humans.""",416.0,"430,0,1"
417,417,There is a certain possibility in human nature.,417.0,"431,0,1"
418,418,All men are dignified.,418.0,"432,0,1"
419,419,"Human dignity is not based on gender, physical difference, property, age, and power, but every human being has dignity.",419.0,"433,0,1"
420,420,"Humans cannot evaluate the high and low of dignity according to nationality, person, age, appearance, power, and property. Dignity is something that applies equally to everyone.",420.0,"434,0,1"
421,421,Because humans can share thoughts and help others,421.0,"435,1,0"
422,422,These are all visible.,422.0,"436,0,1"
423,423,"For example, ""H"" respects people."""" That's the right answer.""",423.0,"437,0,1"
424,424,be due to one's moral character,424.0,"438,0,1"
425,425,Someone who can think and respect others,425.0,"439,0,1"
426,426,"This is because humans can think with their heads and act at their disposal, not according to instinct.",426.0,"440,0,1"
427,427,Human beings live by doing good things,427.0,"441,0,0"
428,428,Because all human beings are precious.,428.0,"442,0,1"
429,429,"Since humans are worthy and deserve to be respected by themselves from birth,",429.0,"443,0,0"
430,430,It's because I can respect and be considerate of someone,430.0,"444,0,1"
431,431,"Unlike animals, they have thoughts and live according to reason",431.0,"445,0,1"
432,432,This is because humans can think differently from animals and make their own lives.,432.0,"446,0,1"
433,433,It's because it has an ego unlike animals,433.0,"447,0,0"
434,434,"Unlike animals, humans feel precious and think a lot",434.0,"448,0,1449,0,1"
435,435,"The reason why humans are dignified is that unlike other animals, they have intelligence to think about.",435.0,"450,0,0"
436,436,"You can use tools and have excellent ability to solve problems. It is also because there is a language, so we can have a conversation.",436.0,"451,0,0"
437,437,This is because humans have intelligence that can think differently from other animals and reason that can translate the idea into action.,437.0,"452,0,0"
438,438,The reason why humans are dignified is that they have the intelligence to think differently from other animals and can carry out what they think.,438.0,"453,0,0"
439,439,"Unlike other creatures, humans can use tools and do things that animals cannot do.",439.0,"454,0,0"
440,440,"It is because he knows how to use tools, is more intelligent than other living things, and is more capable of knowing and solving certain problems",440.0,"455,0,0"
441,441,A man who treats people equally is dignified.,441.0,"456,0,0"
442,442,Human beings are precious lives,442.0,"457,0,1"
443,443,"Human beings have emotions, they can do what robots can't do, and they can develop many things",443.0,"458,0,1"
444,444,Man is dignified because he is born as a man,444.0,"459,0,0"
445,445,"""The reason why people are dignified is that unlike animals, they use tools, and animals live instinctively, but people live with their own ideas.",445.0,"460,0,1"
446,446,"""",446.0,"461,0,1"
447,447,Human beings are dignified because they are human,447.0,"462,0,1"
448,448,G,448.0,"463,0,1"
449,449,A man who is a living and driven man is worthy of dignity,449.0,"464,0,0"
450,450,Because I am precious myself.,450.0,"465,0,1"
451,451,It's dignified because there's only one in the world.,451.0,"466,0,0"
452,452,Because we're all the same human beings,452.0,"467,0,1"
453,453,be dignified because one is a person,453.0,"468,0,0"
454,454,Because I can think,454.0,"469,0,1"
455,455,have power and dignity,455.0,"470,0,1"
456,456,We're the same people and we live in the same world,456.0,"471,0,0"
457,457,Because I was born.,457.0,"472,0,1"
458,458,be dignified because one has power,458.0,"473,0,0"
459,459,The reason why humans are so respectful is that they can think,459.0,"474,0,1"
460,460,Each and every one of us is dignified because we have different values,460.0,"475,0,1"
461,461,Because I have power,461.0,"476,0,1"
462,462,"You can think, you can talk, you can talk to other peoples",462.0,"477,0,1"
463,463,That's because humans were born one in 4.5 billion minutes.,463.0,"478,0,1479,0,1"
464,464,The reason why humans are dignified is that they can think and judge,464.0,"480,0,0"
465,465,"Because humans are all different, they have different values and different thoughts. Therefore, all human beings are dignified.",465.0,"481,0,1"
466,466,be dignified because one is a man,466.0,"482,0,0"
467,467,I don't know.,467.0,"483,0,0"
468,468,I have emotions,468.0,"484,0,1"
469,469,I don't have it's,469.0,"485,0,0"
470,470,E,470.0,"486,0,0"
471,471,Yukmingwan Middle School,471.0,"487,0,1"
472,472,F,472.0,"488,0,1"
473,473,Man is dignified because he cannot be changed by anything and is the only one in the world.,473.0,"489,0,1"
474,474,"Human dignity is not determined by standards, but there is dignity because it is human itself. Since human dignity must be equal, these sentences are not based on equality, so they are not the real reason for human dignity.",474.0,"490,0,1"
475,475,"This is because everything, such as gender, status, and age, is irrelevant and is a thinking entity.",475.0,"491,0,0"
476,476,"All human beings are dignified. So it is not right to weigh dignity by any standard. Humans live in a community while living in this world, and everyone lives equally. So all human beings are dignified.",476.0,"492,0,1"
477,477,"Human beings have dignity just by being human. Therefore, human beings are dignified.",477.0,"493,0,1"
478,478,"Humans are dignified regardless of gender, race, or ability because they are dignified in themselves.",478.0,"494,0,1"
479,479,Of course human beings are dignified because they were born as human beings,479.0,"495,0,0"
480,480,"Since all humans are equal and born with natural rights, it is impossible to judge humans on a specific basis, so all humans are dignified.",480.0,"496,0,1"
481,481,"Human dignity is gender, race, education, private property, age, appearance.It is not because of power, but because of dignity as a person himself.",481.0,"497,0,1"
482,482,There is no reason for human dignity. The reason a person is dignified is just because he is.,482.0,"498,0,1"
483,483,Because it's just human.,483.0,"499,0,0"
484,484,"Humans are not dignified only when certain conditions are satisfied, but they are dignified beings that deserve respect from their birth itself.",484.0,"500,0,1"
485,485,Human beings are dignified by themselves.,485.0,"501,1,0"
486,486,"It is dignified that it exists regardless of gender, race, property, age, appearance, power, study, etc.",486.0,"502,0,1"
487,487,"The reason why I think humans are dignified is that humans are living creatures and have a wide variety of emotions and reason at the same time. In addition, humans can control and control themselves and try to live accordingly with their values.",487.0,"503,1,0"
488,488,"Humans are dignified because they are all equal and guaranteed human rights regardless of gender, occupation, religion, race, degree of wealth, education, and class.",488.0,"504,0,0"
489,489,"Human beings have dignity by themselves. Therefore, with human rights, dignity cannot be violated in any case. If the sentences are correct in the meaning of dignity understood, humans can be dignified only in limited cases, so the rest of us do not have dignity.",489.0,"505,0,0"
490,490,Because I live in this world as a human being.,490.0,"506,0,1"
491,491,"As can be seen in the Constitution and the Universal Declaration of Human Rights, it stipulates that any human being, regardless of educational background, gender, or race, deserves dignity and should be guaranteed.",491.0,"507,0,0"
492,492,"Humans have a dignified value for the reason that any human being, regardless of gender, race, property, age, or appearance, is a human being.",492.0,"508,0,0509,0,0"
493,493,"This is because humans are just a part of the world and affect many things around them. And because everything is connected like a thread, it is not an exaggeration to say that humans make up this world.",493.0,"510,0,0"
494,494,"Humans have lives that cannot be created even if science develops, and unlike other animals, they have reason, so they are dignified because they have the power to think about society or develop society or science.Because all men are equal.",494.0,"511,0,0"
495,495,This is because humans are dignified just because they are humans without conditions.,495.0,"512,0,1"
496,496,It's because it's,496.0,"513,1,0"
497,497,be dignified as a human being,497.0,"514,0,1"
498,498,Human beings are dignified because they are human.,498.0,"515,0,1"
499,499,745465,499.0,"516,0,1"
500,500,We are dignified because we are all the same human beings,500.0,"517,0,0"
501,501,All men are born equal and dignified,501.0,"518,0,0"
502,502,There is no reason to be discriminated against by being born as a human being.,502.0,"519,0,0"
503,503,F,503.0,"520,0,0"
504,504,Because I'm a human being,504.0,"521,0,0"
505,505,"Humans have dignity because they are just humans, regardless of gender, race, or property.",505.0,"522,0,1"
506,506,Humanity itself is dignity,506.0,"523,0,1"
507,507,He is dignified because he is a man.,507.0,"524,0,0"
508,508,Because humans have dignity unconditionally as soon as they are born,508.0,"525,0,1"
509,509,Human beings are dignified because they are life.,509.0,"526,0,0"
510,510,Because humans have dignity unconditionally as soon as they are born,510.0,"527,0,0"
511,511,Human beings are dignified because they are life,511.0,"528,0,1"
512,512,The world is a scary place,512.0,"529,0,0"
513,513,Because I was born when I was born.^^,513.0,"530,0,1"
514,514,"Humans all have personalities from birth, and humans are worth being dignified by themselves.",514.0,"531,0,0"
515,515,Human beings are not beings of dignity.,515.0,"532,1,0"
516,516,respect for human beings,516.0,"533,0,1"
517,517,Because humans can think and live by helping each other,517.0,"534,0,0"
518,518,B is dignified because he is white-eyed.,518.0,"535,0,0"
519,519,yes,519.0,"536,1,0"
520,520,Because humans are dignified.,520.0,"537,0,0"
521,521,Human beings are also dignified because everything that has life is dignified.,521.0,"538,0,1539,0,1"
522,522,be dignified as a human being,522.0,"540,0,0"
523,523,Because I was born as a human.,523.0,"541,0,0"
524,524,Because it's human.,524.0,"542,0,1"
525,525,Human dignity has no particular characteristics,525.0,"543,0,0"
526,526,This is because humans were all born in the same way and each person thinks differently.,526.0,"544,0,1"
527,527,Because humans think and have morality.,527.0,"545,1,0"
528,528,This is because humans have decided at will that they are dignified.,528.0,"546,0,1"
529,529,Human beings are dignified to be alive.,529.0,"547,0,0"
530,530,I think we think humans are dignified because we are humans. All living things must be identified.,530.0,"548,0,0"
531,531,Because it's human.,531.0,"549,0,0"
532,532,I don't know.,532.0,"550,0,0"
533,533,He is dignified because he was born a human being.,533.0,"551,0,1"
534,534,I don't know.,534.0,"552,1,0"
535,535,"Man is not dignified. But not everyone is not without dignity. A dignified human being is dignified because he tried to be dignified. Therefore, people who have not tried like them are not dignified. Therefore, all humans are not dignified, but there is a dignified person among them. This means that not having dignity is not dignity, but just as all are not dignity, dignity is dignity, but not all are dignity. Dignity and non-dignity work at the same rate in everyone.",535.0,"553,1,0"
536,536,Because it's human.,536.0,"554,0,1"
537,537,I can feel the emotions,537.0,"555,0,0"
538,538,be dignified because one is human,538.0,"556,0,0"
539,539,Because all human beings have equal rights.,539.0,"557,0,1"
540,540,Because life is precious,540.0,"558,0,0"
541,541,Human beings are dignified because they are human,541.0,"559,0,1"
542,542,"I understand the meaning of ""human dignity""",542.0,"560,0,0"
543,543,"There is no reason for human dignity, just dignity.",543.0,"561,0,0"
544,544,We are dignified as a life. I don't need a condition for dignity.,544.0,"562,0,0"
545,545,Because we're all equal,545.0,"563,0,0"
546,546,"It's dignity because it's a human being, not because of what you have.",546.0,"564,0,1"
547,547,Human beings are dignified by themselves.,547.0,"565,0,1"
548,548,All men are equal,548.0,"566,0,1"
549,549,People born in the world are obligated to receive equal rights and freedom,549.0,"567,0,1"
550,550,Human beings are dignified as human beings.,550.0,"568,0,1569,0,0"
551,551,be a man of property,551.0,"570,0,0"
552,552,Every human being has dignity from birth,552.0,"571,0,1"
553,553,"Human beings have life, so everyone is dignified",553.0,"572,0,1"
554,554,I'm just a person,554.0,"573,0,0"
555,555,Having a natural right by birth represents human dignity in itself,555.0,"574,0,0"
556,556,Because all men are equal,556.0,"575,0,0"
557,557,The real reason for human dignity can only be known when it comes out of prejudice.,557.0,"576,0,0"
558,558,"Since all humans are dignified, they cannot judge dignity by university, status, age, or gender.",558.0,"577,0,0"
559,559,"Human dignity refers to the ideology that a person is worthy of existence just because he or she is human, and that personality should be respected. Human dignity is an expression of the idea of natural human rights that humans are born with rights from birth, and it refers to the principle that the value of dignity should be guaranteed and respected just because it is human.",559.0,"578,0,1"
560,560,"Human beings are dignified only by their existence with life, and there is no standard for judging the position of each other's dignity in humans.",560.0,"579,0,1"
561,561,"Human beings are dignified only by their existence with life, and there is no standard for judging the position of each other's dignity in humans.",561.0,"580,0,1"
562,562,"Human dignity is worth its existence just because it is human.Therefore, A, B, C, D, E, F, and G are all wrong because they judge people by men, whites, property, age, appearance, power, and university.",562.0,"581,0,1"
563,563,There is no need for a reason for human dignity.,563.0,"582,0,0"
564,564,There is no reason for human dignity.,564.0,"583,0,0"
565,565,"Humans as humans themselves should be respected by others and should not be discriminated against by appearance, property, gender, or educational background. Human beings have dignity because they are human.",565.0,"584,0,1"
566,566,"Because humans were born, because they exist in this world, and because they exist according to the laws of nature, I think humans themselves should be dignified.",566.0,"585,0,0"
567,567,"Human beings are dignified, no matter what conditions they are, for their own reasons",567.0,"586,0,1"
568,568,"Human dignity refers to the ideology that a person is worthy of existence just because he or she is human, and that personality should be respected. Human dignity is an expression of the idea of natural human rights that humans are born with rights from birth, and it refers to the principle that the value of dignity should be guaranteed and respected just because it is human.",568.0,"587,0,1"
569,569,"Human beings are born with human rights. Humans are dignified in themselves because they have inviolability that no one can infringe on and have the natural rights granted by heaven. For thousands of years, humans have formed a society and lived as top predators. It can be said that it has made a clear distinction from animals, such as uniting and fighting to protect ourselves, and establishing laws and systems to protect our rights. Humans have the ability to think differently from animals and have lived with that ability, so humans can be said to be dignified.",569.0,"588,0,0"
570,570,"The reason for human dignity cannot be related to the reasons for the above examples. This is because humans are beings that are precious and should be respected by themselves. If one respects those people just because they are handsome and have a lot of money, this society will not operate normally. Recognizing everyone's dignity in a democratic society would be a shortcut to a desirable society.",570.0,"589,0,1"
571,571,Humans are all dignified regardless of any conditions because everyone is born equal with character.,571.0,"590,0,0"
572,572,I think humans are dignified and valuable just because they are humans.,572.0,"591,0,1"
573,573,"The reason why humans are dignified is because they are humans themselves. Not because he graduated from a good university, but because he is not a specific gender, he is the only one and should be respected. Human beings are dignified in their very existence.",573.0,"592,0,1"
574,574,"Humans are equal as humans themselves. The above examples classify humans into gender, skin color, property, age, appearance, power, and educational background. It is wrong to divide humans into specific groups and think that only that group is dignified. Humans have the right to be respected from birth, and this right cannot be violated by anyone, and is given equally to everyone. Therefore, all human beings are dignified.",574.0,"593,0,1"
575,575,"Humans are dignified and valuable beings in human beings themselves. Therefore, freedom and rights should not be violated by anyone, nor should they be violated. Recognizing and respecting human dignity is also directly related to peace in the world.",575.0,"594,0,1"
576,576,"This is because humans are dignified without missing a single person just by ""human being."" It is endowed from birth, so it has a natural personality.",576.0,"595,0,0"
577,577,"Humans all have personalities, do not pursue a selfish life, and live by reason, not a life faithful to instinct. I think it's dignified because of this.",577.0,"596,0,0"
578,578,"Humans can be said to be dignified in that they can think a little higher-order than any other animal. I can sympathize, understand, and care for the pain of other lives. In addition, humans can be said to be dignified because they are irreplaceable beings.",578.0,"597,0,0"
579,579,"Every human being was born with the right to freedom and equality. Therefore, humans are dignified in their existence and their values deserve respect by everyone. There is no foot in the sand after that.",579.0,"598,0,0599,0,1"
580,580,The ideology of human dignity is that human beings themselves are valuable and should respect their character.,580.0,"600,0,0"
581,581,"By birth, humans are granted rights from heaven, naturally have rights, and not to be violated by someone. Therefore, from this point of view, the above fingerprints are not the real reason because there is a common reason for dignity. This is why it is reasonable that human beings are born and survive in this world toward their goals and dreams.",581.0,"601,0,1"
582,582,"""The primary reason for human dignity is that we can understand the dignity of others by thinking rationally",582.0,"602,0,1"
583,583,It's because there is. We are all born with dignity. But it's not like we're going to be able to do our best,583.0,"603,0,1"
584,584,The reason why we can maintain dignity is because we have the ability not to violate the dignity of others,584.0,"604,1,0"
585,585,"It's because I have it. But sometimes there are cases where irrational thinking violates the dignity of others, and that's why we organize a group, a state, to make rules, to make rules for others",585.0,"605,0,0"
586,586,"It prevents infringement of dignity. Nevertheless, those who violate the dignity of others",586.0,"606,0,1"
587,587,"In general, a corresponding punishment is imposed to remind and reflect on dignity again.",587.0,"607,0,1"
588,588,"The standard of dignity has always changed with the times. In the past, black people and women used to have dignity",588.0,"608,0,0"
589,589,"Although it was not guaranteed, even the dignity of animals is considered in modern times.",589.0,"609,0,0"
590,590,"This means that over time, humanity has expanded the scope of dignity, allowing us to take a broader leap forward",590.0,"610,0,0"
591,591,"It means that we tend to respect each other, and that's why we're so dignified",591.0,"611,0,1"
592,592,"This is because they recognize and respect the dignity of others.""",592.0,"612,0,1"
593,593,"Human dignity refers to the noble nature that humans cannot deny or commit because they are humans in advance. Therefore, humans have human dignity because they are human, and no one can't help but have it. The above sentences are not correct because they limit people with human dignity, and the only reason why humans are dignified is that they are human. However, this alone has every reason to have human dignity.Human beings should be respected because they are human beings. Human rights should be respected because humans have natural human rights from birth like the idea of natural human rights. Rather than being respected for special reasons or conditions, it should be respected as a human being.",593.0,"613,0,0"
594,594,"If someone says that he or she is the only one with dignity or that someone can be ignored for some reason, people will ignore each other and say that they are the only ones with dignity.But human beings are all dignified.This is because all humans have rights from birth.In addition, since no one can infringe on the right, humans recognize each other as dignity, and thereby their dignity is recognized.Therefore, humans cannot be ignored by someone and can be said to be dignified beings who cannot ignore someone.",594.0,"614,0,1"
595,595,"The reason why humans are dignified is that they are worth their existence just because they are humans. Therefore, deformed babies, disabled people, and everyone can be dignified for whatever reason. It can be said that it is really wrong that something is good and that a person who is not superior and lacking compared to others cannot be dignified. Human beings have dignity from the point of birth.",595.0,"615,0,0"
596,596,Humans are dignified because they have innate dignity from their existence.,596.0,"616,0,0"
597,597,Man is dignified just because he was born.,597.0,"617,0,0"
598,598,"If human dignity is human, all human beings are dignified",598.0,"618,0,1"
599,599,Human beings are all human rights and dignity from birth.,599.0,"619,0,0"
600,600,Human beings are all equals.,600.0,"620,0,0"
601,601,And human dignity.,601.0,"621,0,1"
602,602,Anyone deserves respect and the value of their recognized right.,602.0,"622,0,1"
603,603,Man is just because you're a man must be respected.,603.0,"623,0,1"
604,604,Because he is with dignity in itself.,604.0,"624,0,0"
605,605,""" because anyone deserves respect.",605.0,"625,0,1"
606,606,"""",606.0,"626,0,1"
607,607,Human beings are human dignity because it is.,607.0,"627,0,0"
608,608,"Big, mature.",608.0,"628,0,1629,0,1"
609,609,Every human being is there social dignity must be respected by the very existence.,609.0,"630,0,1"
610,610,Human beings are born in itself deserves respect and humanity was born with.,610.0,"631,0,1"
611,611,Human beings are human dignity.,611.0,"632,1,0"
612,612,Man is on its own existence that must be respected.,612.0,"633,0,1"
613,613,Human beings are born not discriminated against because they have the right to be respected.,613.0,"634,0,0"
614,614,I have one,614.0,"635,0,0"
615,615,Human dignity be if I could find their target.,615.0,"636,0,1"
616,616,Seems to be human ... jomeomseong f.,616.0,"637,0,1"
617,617,"Regardless of gender, race, property, age, appearance, power, or good university, human beings themselves are dignified, regardless of the above because they are guaranteed dignity from birth.",617.0,"638,0,1"
618,618,This is because the concept of human dignity is a concept accumulated by humans.,618.0,"639,0,1"
619,619,Human beings are dignified in their very existence.,619.0,"640,0,0"
620,620,Because I'm a human being,620.0,"641,0,1"
621,621,"Natural human rights, human beings are human beings from birth, so they are dignified.",621.0,"642,0,0"
622,622,It is dignified because it has life.,622.0,"643,0,1"
623,623,Human beings are dignified in their own way.,623.0,"644,0,1"
624,624,Because I'm a human being,624.0,"645,0,0"
625,625,This is because the existence of humans itself gives the meaning of dignity.,625.0,"646,0,0"
626,626,That's what I think,626.0,"647,0,0"
627,627,The existence itself is dignified.,627.0,"648,0,1"
628,628,Human beings think. And it can be said that humans are dignified because they act responsibly for the idea.,628.0,"649,1,0"
629,629,Because they are all the same human beings.,629.0,"650,0,0"
630,630,Human beings are dignified because they are human.,630.0,"651,0,1"
631,631,Because human rights exist,631.0,"652,0,1"
632,632,Human beings are dignified because they are human beings.,632.0,"653,0,0"
633,633,It is because of its uselessness,633.0,"654,1,0"
634,634,Because every human being has the right to dignity,634.0,"655,0,1"
635,635,I think about it myself,635.0,"656,0,1"
636,636,There is no condition for human dignity. Humans are human beings and should be respected.,636.0,"657,0,1"
637,637,This is because humans have signed a social contract under the provision of human rights in order to ensure their own safety.,637.0,"658,0,1659,0,0"
638,638,It is because the existence of human beings is dignified.,638.0,"660,0,0"
639,639,Because it's human.,639.0,"661,0,1"
640,640,All human beings are dignified because they are human beings.,640.0,"662,1,0"
641,641,be dignified because one is human,641.0,"663,0,1"
642,642,Human beings have special meanings in themselves,642.0,"664,0,1"
643,643,The reason why humans are dignified is not because they are just humans for some reason.,643.0,"665,0,0"
644,644,Because it's human.,644.0,"666,0,0"
645,645,"It's a natural right, so humans are born with dignity.",645.0,"667,0,1"
646,646,be dignified because one is human,646.0,"668,0,0"
647,647,All men are equally dignified.,647.0,"669,0,0"
648,648,Human beings are dignified by themselves.,648.0,"670,0,0"
649,649,"Humans are not dignified for any reason, but dignified in themselves.",649.0,"671,0,0"
650,650,be dignified because of life,650.0,"672,0,1"
651,651,Every human being is dignified for no reason.,651.0,"673,0,1"
652,652,Because humans are precious in themselves.,652.0,"674,0,1"
653,653,Man is an animal of morality and is dignified in its existence.,653.0,"675,0,1"
654,654,"Human dignity should be valued and respected because it is a human being, not judged by conditions and situations. Therefore, the real reason why humans are dignified is because they are humans.",654.0,"676,0,1"
655,655,be dignified because one is human,655.0,"677,0,1"
656,656,Human beings are dignified by themselves because they are human. It is not about judging dignity and non-dignity by people's personal characteristics.,656.0,"678,0,0"
657,657,"Human beings are not dignified under any conditions, but dignified by their existence alone",657.0,"679,0,0"
658,658,Because I was born,658.0,"680,0,1"
659,659,Human beings are dignified in their very existence.,659.0,"681,0,1"
660,660,This is because he was born under the same sky and had cognitive abilities differentiated from animals.,660.0,"682,0,0"
661,661,Human beings are all equal because they are human. There is no reason to be different.,661.0,"683,0,1"
662,662,Because I'm a human being human,662.0,"684,1,0"
663,663,This is because all of them contain discriminatory words.,663.0,"685,0,1"
664,664,"Because he is a person with a personality, he should be respected even if he is not pretty and handsome.",664.0,"686,0,1"
665,665,Because I was born.,665.0,"687,0,1"
666,666,"From birth, man is born with dignity",666.0,"688,0,1689,0,1"
667,667,Man is dignified because he has life.,667.0,"690,1,0"
668,668,Because people are equal!,668.0,"691,1,0"
669,669,Human beings survive because they are human,669.0,"692,0,0"
670,670,Every human being is born with dignity.,670.0,"693,0,0"
671,671,Human beings have human dignity since birth.,671.0,"694,0,1"
672,672,"Knowing the importance of life with intelligence,",672.0,"695,0,0"
673,673,ABCDEFG and everyone is dignified from birth.,673.0,"696,0,0"
674,674,"Regardless of gender, race, wealth, age, appearance, power, and educational background, it is dignified in itself.",674.0,"697,0,1"
675,675,This is because humans are dignified beings from the moment they are born.,675.0,"698,0,0"
676,676,It is because of the dignity of man himself.,676.0,"699,0,1"
677,677,This is because it is a warrant of all things and there is a valuable thing called death.,677.0,"700,0,0"
678,678,f,678.0,"701,0,0"
679,679,be dignified by man himself,679.0,"702,0,1"
680,680,be dignified because one was born with life,680.0,"703,0,0"
681,681,Human existence itself is dignified.,681.0,"704,0,0"
682,682,"Born as a human being, he is endowed with dignity.",682.0,"705,0,0"
683,683,Because I'm alive,683.0,"706,0,1"
684,684,Everyone has to be dignified,684.0,"707,0,1"
685,685,Because I'm a person,685.0,"708,0,1"
686,686,Human beings are dignified.,686.0,"709,0,1"
687,687,Because we all have to treat each other as equal creatures in equal positions,687.0,"710,0,1"
688,688,Because dignity is what man thought,688.0,"711,0,1"
689,689,What we all think is the same,689.0,"712,0,0"
690,690,Because I'm a human being.,690.0,"713,0,1"
691,691,Human beings are dignified by themselves,691.0,"714,0,1"
692,692,"Because I'm a human beingHuman beings should be respected because they are human beings. Human rights should be respected because humans have natural human rights from birth like the idea of natural human rights. Rather than being respected for special reasons or conditions, it should be respected as a human being.",692.0,"715,0,1"
693,693,"If someone says that he or she is the only one with dignity or that someone can be ignored for some reason, people will ignore each other and say that they are the only ones with dignity.But human beings are all dignified.This is because all humans have rights from birth.In addition, since no one can infringe on the right, humans recognize each other as dignity, and thereby their dignity is recognized.Therefore, humans cannot be ignored by someone and can be said to be dignified beings who cannot ignore someone.",693.0,"716,0,0"
694,694,"The reason why humans are dignified is that they are worth their existence just because they are humans. Therefore, deformed babies, disabled people, and everyone can be dignified for whatever reason. It can be said that it is really wrong that something is good and that a person who is not superior and lacking compared to others cannot be dignified. Human beings have dignity from the point of birth.",694.0,"717,0,1"
695,695,Humans are dignified because they have innate dignity from their existence.,695.0,"718,0,0719,0,1"
696,696,Man is dignified just because he was born.,696.0,"720,0,1"
697,697,"If human dignity is human, all human beings are dignified",697.0,"721,0,0"
698,698,Human beings are all human rights and dignity from birth.,698.0,"722,0,0"
699,699,Human beings are all equals.,699.0,"723,0,0"
700,700,And human dignity.,700.0,"724,0,0"
701,701,Anyone deserves respect and the value of their recognized right.,701.0,"725,0,0"
702,702,Man is just because you're a man must be respected.,702.0,"726,0,1"
703,703,Because he is with dignity in itself.,703.0,"727,0,1"
704,704,""" because anyone deserves respect.",704.0,"728,0,0"
705,705,"""",705.0,"729,0,1"
706,706,Human beings are human dignity because it is.,706.0,"730,0,0"
707,707,"Big, mature.",707.0,"731,0,1"
708,708,Every human being is there social dignity must be respected by the very existence.,708.0,"732,0,0"
709,709,Human beings are born in itself deserves respect and humanity was born with.,709.0,"733,0,0"
710,710,Human beings are human dignity.,710.0,"734,0,1"
711,711,Man is on its own existence that must be respected.,711.0,"735,0,0"
712,712,Human beings are born not discriminated against because they have the right to be respected.,712.0,"736,0,0"
713,713,I have one,713.0,"737,0,1"
714,714,Human dignity be if I could find their target.,714.0,"738,0,0"
715,715,Seems to be human ... jomeomseong f.,715.0,"739,0,1"
716,716,"Regardless of gender, race, property, age, appearance, power, or good university, human beings themselves are dignified, regardless of the above because they are guaranteed dignity from birth.",716.0,"740,0,0"
717,717,This is because the concept of human dignity is a concept accumulated by humans.,717.0,"741,0,0"
718,718,Human beings are dignified in their very existence.,718.0,"742,0,1"
719,719,Because I'm a human being,719.0,"743,0,0"
720,720,"Natural human rights, human beings are human beings from birth, so they are dignified.",720.0,"744,0,1"
721,721,It is dignified because it has life.,721.0,"745,0,0"
722,722,Human beings are dignified in their own way.,722.0,"746,0,1"
723,723,Because I'm a human being,723.0,"747,0,0"
724,724,This is because the existence of humans itself gives the meaning of dignity.,724.0,"748,1,0749,0,0"
725,725,That's what I think,725.0,"750,0,1"
726,726,The existence itself is dignified.,726.0,"751,0,0"
727,727,Human beings think. And it can be said that humans are dignified because they act responsibly for the idea.,727.0,"752,0,1"
728,728,Because they are all the same human beings.,728.0,"753,0,0"
729,729,Human beings are dignified because they are human.,729.0,"754,0,0"
730,730,Because human rights exist,730.0,"755,0,0"
731,731,Human beings are dignified because they are human beings.,731.0,"756,0,0"
732,732,It is because of its uselessness,732.0,"757,0,1"
733,733,Because every human being has the right to dignity,733.0,"758,0,1"
734,734,I think about it myself,734.0,"759,0,0"
735,735,There is no condition for human dignity. Humans are human beings and should be respected.,735.0,"760,1,0"
736,736,This is because humans have signed a social contract under the provision of human rights in order to ensure their own safety.,736.0,"761,0,0"
737,737,It is because the existence of human beings is dignified.,737.0,"762,0,1"
738,738,Because it's human.,738.0,"763,0,1"
739,739,All human beings are dignified because they are human beings.,739.0,"764,0,1"
740,740,be dignified because one is human,740.0,"765,0,1"
741,741,Human beings have special meanings in themselves,741.0,"766,0,0"
742,742,The reason why humans are dignified is not because they are just humans for some reason.,742.0,"767,0,0"
743,743,Because it's human.,743.0,"768,0,0"
744,744,"It's a natural right, so humans are born with dignity.",744.0,"769,0,1"
745,745,be dignified because one is human,745.0,"770,0,0"
746,746,All men are equally dignified.,746.0,"771,0,0"
747,747,Human beings are dignified by themselves.,747.0,"772,0,1"
748,748,"Humans are not dignified for any reason, but dignified in themselves.",748.0,"773,0,1"
749,749,be dignified because of life,749.0,"774,0,0"
750,750,Every human being is dignified for no reason.,750.0,"775,0,0"
751,751,Because humans are precious in themselves.,751.0,"776,0,1"
