,Unnamed: 0,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",Unnamed: 0,", q39_column movement, q39_material, q39_column movement1, q39_material.1"
341,341,It's getting heated up,341.0,"352,1,0,,"
342,342,with heat conduction,342.0,"353,1,0,,"
343,343,This is because metals have high thermal conductivity.,343.0,"354,1,0,,"
344,344,"Hot heated molecules vibrate close to each other, making them hot overall, with high thermal conductivity",344.0,"355,1,0,,"
345,345,This is because metal has a high heat conduction.,345.0,"356,0,0,,"
346,346,Metal is through water,346.0,"357,1,0,,"
347,347,"Since I put it in hot water,",347.0,"358,1,1,,359,1,0,,"
348,348,This is because heat rubs.,348.0,"360,1,0,,"
349,349,The temperature is reversed,349.0,"361,1,1,,"
350,350,The heat is transferred to the ladle,350.0,"362,1,0,,"
351,351,"Of course, heat transfer...ㅅ비ㅏㄹㄹ",351.0,"363,1,0,,"
352,352,This is because the heat of the hot water is transferred to a ladle,352.0,"364,1,0,,"
353,353,the conduction of heat,353.0,"365,1,1,,"
354,354,Because the temperature is reversed,354.0,"366,0,0,,"
355,355,I don't know. I don't know either,355.0,"367,1,0,,"
356,356,Heat conduction,356.0,"368,1,1,,"
357,357,Metal heats up better. Oh my god,357.0,"369,1,0,,"
358,358,The heat goes from hot to cold,358.0,"370,1,0,,"
359,359,Because of the thermal conductivity,359.0,"371,0,0,,"
360,360,This is because the heat of the hot water was conducted with a metal ladle.,360.0,"372,1,1,,"
361,361,It's the transfer of heat.,361.0,"373,1,0,,"
362,362,"Because heat is transferred to metal,",362.0,"374,1,0,,"
363,363,The overall temperature of the ladle increases as the temperature rises and the vibration motion of the internal molecule is conducted sideways.,363.0,"375,1,1,,"
364,364,Because metal transfers heat well,364.0,"376,0,0,,"
365,365,The energy in the hot water shifted.,365.0,"377,1,1,,"
366,366,This is because the heat was conducted.,366.0,"378,0,0,,"
367,367,This is because the heat energy in the water is transferred to a metal ladle,367.0,"379,1,0,,"
368,368,with heat conduction,368.0,"380,1,0,,"
369,369,The heat in the hot water was transferred by conduction along the metal,369.0,"381,1,0,,"
370,370,The water is cold,370.0,"382,1,1,,"
371,371,This is because the heat in the water was transferred to a metal ladle.,371.0,"383,1,1,,"
372,372,It's because the heat is transferred,372.0,"384,1,0,,"
373,373,Because of the thermal conductivity,373.0,"385,1,1,,"
374,374,"According to thermodynamics, heat travels from high to low. Therefore, if a cold metal with a low temperature is added to hot water with a high temperature, the temperature of the ladle increases.",374.0,"386,1,0,,"
375,375,I don't know.,375.0,"387,1,1,,"
376,376,Because the metal conducted heat,376.0,"388,1,0,,389,1,0,,"
377,377,Put it in hot water,377.0,"390,1,1,,"
378,378,Because it's evangelized,378.0,"391,1,1,,"
379,379,in the foreground,379.0,"392,1,1,,"
380,380,heat of conduction,380.0,"393,1,1,,"
381,381,Metal has a high heat of conduction,381.0,"394,1,0,,"
382,382,"Of course, metal ladle has high heat transfer power",382.0,"395,1,1,,"
383,383,It's easy to transfer heat to metals,383.0,"396,1,0,,"
384,384,This is because metals have high heat conductivity.,384.0,"397,1,0,,"
385,385,This is because heat is conducted.,385.0,"398,1,1,,"
386,386,Metal has high thermal conductivity,386.0,"399,1,1,,"
387,387,This is because conduction heat exists.,387.0,"400,0,1,,"
388,388,Because of the high heat conduction,388.0,"401,1,1,,"
389,389,Metal is because of its fast heat conduction,389.0,"402,1,1,,"
390,390,Because metal has high thermal conductivity,390.0,"403,0,0,,"
391,391,Because metal ladle has fast conduction,391.0,"404,1,0,,"
392,392,"Because the water is hot, heat is transferred to the metal ladle and becomes hot",392.0,"405,0,0,,"
393,393,This is because the heat is transferred.,393.0,"406,1,0,,"
394,394,Metal is thermally conductive,394.0,"407,1,0,,"
395,395,The heat conductivity was high and heated up.Because exploring heat transfer.,395.0,"408,0,0,,"
396,396,Metal and the heat moves.,396.0,"409,1,1,,"
397,397,High thermal conductivity of metal.,397.0,"410,1,0,,"
398,398,금속이가열되서,398.0,"411,0,0,,"
399,399,Metal heat transfer and moon.,399.0,"412,1,1,,"
400,400,Metal fever in contact with the ladle.,400.0,"413,0,0,,"
401,401,"The eeee ㅔ eeeeee the ㅔ engeee ㅔㅇ in the engee ㅔㅇㅇ eeengeee ㅔㅇ in the er ㅔㅇ ㅔㅇ the eeeeeng ㅔ engeng ㅔㅇㅇㅇ in the er eee to er er eng er enge er ㅔ eenge the [ [ in er een to er er to er eng er ㅔ eee er engnereenge er ㅔ er ee er ererererengneerel, but we absolutely have to reeererere er ㅔ eerererengneererengneerereerengneeree ㅐㅇr reeel the ㅔ reereng",401.0,"414,1,0,,"
402,402,Hot water is a national Royal whomp the Yongbyon nuclear facility all these things.,402.0,"415,1,1,,"
403,403,I don't know.,403.0,"416,0,0,,"
404,404,The temperature is moved,404.0,"417,1,1,,"
405,405,The water is hot because movement yeoreu,405.0,"418,1,0,,419,1,0,,"
406,406,Place in hot water.,406.0,"420,1,1,,"
407,407,Metal is the heat moves.,407.0,"421,1,1,,"
408,408,"Hot water. just because you have, spoon yeorii",408.0,"422,1,1,,"
409,409,Move to hot places in the low heat.,409.0,"423,1,1,,"
410,410,Hot heat because he is moved to a metal dipper.,410.0,"424,0,0,,"
411,411,Because of hot water.,411.0,"425,1,0,,"
412,412,This is because heat moves from water to ladle,412.0,"426,1,0,,"
413,413,A metal ladle moves heat. with a metal ladle,413.0,"427,1,0,,"
414,414,It's hot,414.0,"428,1,0,,"
415,415,Metal is heat-conducting,415.0,"429,1,0,,"
416,416,Hot water temperature is transferred to a cold ladle,416.0,"430,1,1,,"
417,417,This is because the heat moved to the ladle.,417.0,"431,0,0,,"
418,418,This is because metal ladle has a fast rolling conductivity.,418.0,"432,1,0,,"
419,419,This is because the temperature of the hot water was conducted with a metal ladle.,419.0,"433,1,1,,"
420,420,This is because the heat of the hot water was conducted with a metal ladle.,420.0,"434,1,0,,"
421,421,Metals have high thermal conductivity,421.0,"435,1,0,,"
422,422,It is because the temperature is increased by hot water.,422.0,"436,1,1,,"
423,423,"A thermal equilibrium was achieved between the hot water and the cold metal ladle, and the ladle became hot.",423.0,"437,1,1,,"
424,424,It's because it's been passed on.,424.0,"438,1,0,,"
425,425,This is because hot heat is conducted.,425.0,"439,0,0,,"
426,426,"Since the heat energy of the hot water moved to the cold ladle,",426.0,"440,1,0,,"
427,427,This is because the heat in the hot water was conducted to the ladle.,427.0,"441,1,1,,"
428,428,This is because the heat in the hot water was conducted with a metal ladle.,428.0,"442,1,1,,"
429,429,It's because I put it in hot water,429.0,"443,0,1,,"
430,430,It's heat-transferred,430.0,"444,0,0,,"
431,431,"Because metal has a fast heat conduction, hot heat is conducted to the metal ladle.",431.0,"445,1,1,,"
432,432,It is because of heat transfer.,432.0,"446,1,0,,"
433,433,This is because heat is conducted with metal.,433.0,"447,1,1,,"
434,434,This is because heat was transferred from hot water to a metal ladle.,434.0,"448,0,0,,449,0,0,,"
435,435,This is because a metal ladle causes heat conduction,435.0,"450,0,0,,"
436,436,This is because heat has been transferred.,436.0,"451,1,0,,"
437,437,The water is hot,437.0,"452,1,1,,"
438,438,This is because heat moves from hot to cold.,438.0,"453,1,0,,"
439,439,"The part of the metal ladle put in hot water was first heated by heat conduction, and the whole ladle was heated because of the property of trying to balance heat.",439.0,"454,1,0,,"
440,440,Metal spreads easily,440.0,"455,1,1,,"
441,441,"The hot thing is metal ladle. Moving, moving, moving, people",441.0,"456,0,0,,"
442,442,"Since the temperature moved from low to high,",442.0,"457,1,1,,"
443,443,Metal conducts heat better,443.0,"458,1,1,,"
444,444,Conduction,444.0,"459,1,1,,"
445,445,This is because the heat of the hot water was conducted with a metal ladle.,445.0,"460,0,0,,"
446,446,I love you,446.0,"461,1,1,,"
447,447,I don't know,447.0,"462,0,1,,"
448,448,(wink),448.0,"463,1,0,,"
449,449,due to heat conduction,449.0,"464,1,0,,"
450,450,Because iron is fast forwarding,450.0,"465,1,0,,"
451,451,It's heat transferred,451.0,"466,1,0,,"
452,452,It's because the heat is transferred,452.0,"467,1,1,,"
453,453,Metal has a high heat conductivity,453.0,"468,1,1,,"
454,454,?,454.0,"469,1,0,,"
455,455,This is because the temperature of the hot water was conducted with a cold metal ladle.,455.0,"470,1,0,,"
456,456,"Metal has a high heat conduction, so the whole ladle is hot",456.0,"471,1,0,,"
457,457,Metal conducts heat well,457.0,"472,1,0,,"
458,458,.,458.0,"473,0,0,,"
459,459,"Because the hot heat of the hot water conducted heat to the metal ladle,",459.0,"474,1,0,,"
460,460,Metal transfers heat well,460.0,"475,1,0,,"
461,461,Metal ladles have high thermal conductivity,461.0,"476,1,1,,"
462,462,It's because of the heat conduction,462.0,"477,1,1,,"
463,463,This is because the heat capacity of the metal ladle is low.,463.0,"478,0,0,,479,1,1,,"
464,464,It is because of the conduction of heat.,464.0,"480,0,1,,"
465,465,This is because metals have high thermal conductivity.,465.0,"481,0,0,,"
466,466,Because of the heat conduction of metal,466.0,"482,1,0,,"
467,467,"""Because the heat was transferred",467.0,"483,1,1,,"
468,468,"""",468.0,"484,1,1,,"
469,469,This is because the heat of the water was transferred to a ladle.,469.0,"485,1,1,,"
470,470,Because it's heated up,470.0,"486,1,0,,"
471,471,It's easier to do particle exercises,471.0,"487,1,1,,"
472,472,Megal has no answer,472.0,"488,1,0,,"
473,473,The heat is shifting,473.0,"489,1,1,,"
474,474,"Because the heat from the hot water was transferred with a ladle,",474.0,"490,1,1,,"
475,475,"Since heat conduction of metal ladle occurs easily,",475.0,"491,1,1,,"
476,476,Metals with high thermal conductivity quickly became insulating when put into hot water,476.0,"492,0,0,,"
477,477,The temperature of the water moves to the ladle and the temperature of the ladle changes,477.0,"493,1,0,,"
478,478,Metal gets hot quickly because of its high thermal conductivity,478.0,"494,1,1,,"
479,479,This is because the hot temperature moved to a metal ladle.,479.0,"495,1,1,,"
480,480,It's because I put it in hot water,480.0,"496,1,1,,"
481,481,Because it conducts heat,481.0,"497,1,1,,"
482,482,Metal gets hot because it absorbs heat well,482.0,"498,1,0,,"
483,483,Metal heats up quickly when put in hot water because of its fast heat conduction.,483.0,"499,1,1,,"
484,484,This is because the temperature of the hot water was transferred to the metal ladle.,484.0,"500,1,1,,"
485,485,"Because the ladle took away the heat from the water around the ladle,",485.0,"501,1,0,,"
486,486,"The heat energy in the water moved to a ladle that was cold, making the metal ladle hot.",486.0,"502,1,0,,"
487,487,The atoms in the hot water heat up the metal ladle by conducting heat,487.0,"503,1,0,,"
488,488,"The heat of the hot water moved to the cold metal ladle, which became hot due to the heat.",488.0,"504,0,1,,"
489,489,"Metal has high heat conduction heat, so it gets hot when put in hot water.",489.0,"505,0,1,,"
490,490,"The heat was conducted with a metal ladle, which was larger than a wooden ladle, and it became hot.",490.0,"506,1,1,,"
491,491,Don't know,491.0,"507,1,0,,"
492,492,"This is because heat conduction is made of fast metal, so heat is quickly conducted to the handle.",492.0,"508,1,1,,509,0,1,,"
493,493,Metal has high thermal conductivity,493.0,"510,0,1,,"
494,494,"Metals are highly thermally conductive, so they get heated upIf you put a metal ladle in hot water, the heat of hot water is conducted to the metal ladle, so the temperature of hot water decreases, while the cold metal ladle increases the temperature.",494.0,"511,1,0,,"
495,495,"Because it's metal Metals are substances where heat travels, so heat travels",495.0,"512,1,0,,"
496,496,The first law of thermodynamics heats up to achieve thermal equilibrium.,496.0,"513,0,1,,"
497,497,Metals have high heat conduction,497.0,"514,1,1,,"
498,498,Metals transfer heat well,498.0,"515,0,1,,"
499,499,due to heat transfer,499.0,"516,1,0,,"
500,500,This is because heat is transferred.,500.0,"517,1,1,,"
501,501,The heat moves. [The hot part moves to the cold part],501.0,"518,1,0,,"
502,502,The temperature of the metal changes quickly,502.0,"519,0,0,,"
503,503,Because there's more of the same iron migration,503.0,"520,1,0,,"
504,504,This is because metal transfers heat faster than wood.,504.0,"521,1,1,,"
505,505,"Heat transfer. Yes, move from hot to cold",505.0,"522,1,0,,"
506,506,This is because metal transfers heat faster than wood.,506.0,"523,1,0,,"
507,507,"Because of the difference in temperature, iron, metal, etc. are hot when put in a hot place",507.0,"524,1,0,,"
508,508,The metal touched the hot water and it was hot,508.0,"525,0,0,,"
509,509,It's heat transferred,509.0,"526,1,0,,"
510,510,Hot things heat metal well,510.0,"527,1,0,,"
511,511,"""Before I put hot water,",511.0,"528,1,0,,"
512,512,"a wooden ladle and a metal ladle""",512.0,"529,0,0,,"
513,513,Metal travels fast in heat.,513.0,"530,0,0,,"
514,514,Because metal gets hot quickly,514.0,"531,0,0,,"
515,515,This is because heat travels.,515.0,"532,1,1,,"
516,516,Metal transfers heat,516.0,"533,0,1,,"
517,517,Heat conduction is fast,517.0,"534,1,0,,"
518,518,Because of the hot water,518.0,"535,0,0,,"
519,519,It's good for heat transfer,519.0,"536,1,1,,"
520,520,Metal is because heat is transferred.,520.0,"537,1,0,,"
521,521,This is because heat transfer occurs faster and better.,521.0,"538,1,1,,539,1,1,,"
522,522,The hot water radiates heat to the metal ladle,522.0,"540,1,1,,"
523,523,Heat transferred to the kettle,523.0,"541,1,1,,"
524,524,The hot water raised the temperature of the ladle.,524.0,"542,1,0,,"
525,525,Because the heat transferred,525.0,"543,0,1,,"
526,526,"Because the heat is transferred quickly,",526.0,"544,1,1,,"
527,527,The speed and time of heat transfer are different,527.0,"545,1,1,,"
528,528,Put it in hot water,528.0,"546,1,1,,"
529,529,Put it in hot water,529.0,"547,1,1,,"
530,530,Because it's getting heated up,530.0,"548,1,1,,"
531,531,Metals are heat transferred,531.0,"549,0,0,,"
532,532,Because it's metal,532.0,"550,1,0,,"
533,533,in the heat of one's heart,533.0,"551,1,1,,"
534,534,Because the temperature is different from the temperature is different,534.0,"552,0,0,,"
535,535,Metal absorbs heat,535.0,"553,0,0,,"
536,536,The hot heat in the water is transferred to the metal ladle,536.0,"554,1,1,,"
537,537,Because metal absorbs heat,537.0,"555,0,1,,"
538,538,"Because the heat from the hot water moved to the metal ladle,",538.0,"556,0,1,,"
539,539,"Because it's iron, it gets heated up quickly",539.0,"557,1,0,,"
540,540,Metal absorbs heat quickly and a lot,540.0,"558,0,1,,"
541,541,Heat travels faster,541.0,"559,0,1,,"
542,542,This is because the hot temperature of the water moved to a metal ladle.,542.0,"560,1,1,,"
543,543,Because metal absorbs heat quickly,543.0,"561,1,0,,"
544,544,Because metal ladle has fast heat conduction.,544.0,"562,1,0,,"
545,545,This is because the cold metal ladle is thermally balanced by hot water.,545.0,"563,0,1,,"
546,546,Metal seems to move heat well.,546.0,"564,0,0,,"
547,547,Metal neutralization is included because it gets hot when it touches hot heat.,547.0,"565,1,0,,"
548,548,The hot temperature seems to be hot because it suddenly meets and keeps meeting.,548.0,"566,1,0,,"
549,549,"Since I got heat transferred,",549.0,"567,0,1,,"
550,550,This is because heat moved along the iron.,550.0,"568,1,1,,569,0,1,,"
551,551,I don't know,551.0,"570,0,0,,"
552,552,I don't know,552.0,"571,0,0,,"
553,553,I think metal is because it absorbs heat and transfers it.,553.0,"572,0,1,,"
554,554,This is because metal heats up quickly when it touches a hot object.,554.0,"573,0,0,,"
555,555,This is because the metal ladle took the temperature of the hot water.,555.0,"574,0,0,,"
556,556,This is because heat transfer is easy.,556.0,"575,1,1,,"
557,557,Because it's metal,557.0,"576,0,0,,"
558,558,"""As the hot water moved to the cold metal ladle, the cold metal ladle gradually became",558.0,"577,0,0,,"
559,559,"As it got hotter, the metal ladle got hotter.""",559.0,"578,0,0,,"
560,560,"Because it's the season, heat is transferred better",560.0,"579,0,1,,"
561,561,"Because of the hot water heating,",561.0,"580,0,1,,"
562,562,Because the heat moved to the ladle,562.0,"581,1,1,,"
563,563,This is because the metal ladle took away the temperature of the hot water.,563.0,"582,1,1,,"
564,564,I don't know,564.0,"583,1,1,,"
565,565,"If you put a cold ladle in warm water, it will be hot because of the hot heat",565.0,"584,0,1,,"
566,566,It is a gate where heat came up through metal on the ladle.,566.0,"585,1,0,,"
567,567,Because metal reacts to hot things.,567.0,"586,0,1,,"
568,568,This is because the heat of the hot water was cut off with a metal ladle.,568.0,"587,0,0,,"
569,569,Metal is because hot things spread quickly.,569.0,"588,1,1,,"
570,570,Because the water is hot.,570.0,"589,1,1,,"
571,571,I don't know.,571.0,"590,0,0,,"
572,572,This is because metals change according to the temperature of the metal.,572.0,"591,1,1,,"
573,573,It's because of its high thermal conductivity,573.0,"592,1,0,,"
574,574,This is because it gets hot when it touches metal with water for a long time.,574.0,"593,0,1,,"
575,575,Because metal absorbs heat,575.0,"594,1,0,,"
576,576,I don't know.,576.0,"595,1,1,,"
577,577,Because hot heat moves to cold places,577.0,"596,1,1,,"
578,578,I don't know.,578.0,"597,1,0,,"
579,579,The metal is getting hotter,579.0,"598,0,0,,599,1,1,,"
580,580,Iron changes in temperature quickly,580.0,"600,0,1,,"
581,581,This is because the hot heat in the hot water moved the heat to the metal ladle,581.0,"601,1,0,,"
582,582,This is because metals receive heat from hot water and do not release it.,582.0,"602,1,1,,"
583,583,Hot water molecules were transferred to the cold metal ladle by conduction and became hot.,583.0,"603,1,0,,"
584,584,Metal heats up when it meets hot water.,584.0,"604,1,0,,"
585,585,the conduction of heat,585.0,"605,1,1,,"
586,586,"The temperature of the metal may also vary depending on the temperature of the water, so the metal immersed in hot water becomes hot.",586.0,"606,1,1,,"
587,587,It's going to get hot,587.0,"607,1,1,,"
588,588,This is because the conduction of heat is good for metals,588.0,"608,0,1,,"
589,589,This is because the temperature of hot water is transferred to a cold metal ladle.,589.0,"609,1,1,,"
590,590,"When the water is hot,",590.0,"610,1,0,,"
591,591,It is because metal transfers heat well.,591.0,"611,0,1,,"
592,592,"Because the heat transferred to the metal,",592.0,"612,1,1,,"
593,593,Metal changes by absorbing surrounding ondolThe metal is easily heated (?,593.0,"613,1,1,,"
594,594,"Metal has a fast heat conduction, so heat travels quickly to the handle.",594.0,"614,1,0,,"
595,595,"""Metals absorb ambient temperatures faster and become temperature leveling",595.0,"615,0,0,,"
596,596,"""",596.0,"616,1,1,,"
597,597,This is because metal ladles move heat well.,597.0,"617,1,0,,"
598,598,"Even if the ladle is cold, the hot water lasts a few minutes and the ladle gets hot",598.0,"618,1,0,,"
599,599,Metal heats up quickly.,599.0,"619,0,0,,"
600,600,It's a material that heats up the metal,600.0,"620,1,1,,"
601,601,Because heat was transferred to the metal ladle.,601.0,"621,1,0,,"
602,602,This is because the heat in the hot water quickly moved to the metal ladle.,602.0,"622,1,1,,"
603,603,The metal is made because the heat travels fast,603.0,"623,0,1,,"
604,604,"Because of the temperature of the hot water, the temperature was transferred to the metal ladle.",604.0,"624,0,0,,"
605,605,Hot water and iron heat come out,605.0,"625,1,1,,"
606,606,The metal ladle absorbs heat and heats up.,606.0,"626,1,0,,"
607,607,It is made of metal because heat travels fast,607.0,"627,0,1,,"
608,608,Because of the nature of iron.,608.0,"628,1,0,,629,1,1,,"
609,609,Because metal absorbs heat,609.0,"630,1,1,,"
610,610,The hot heat of the water is transferred to the cold ladle,610.0,"631,1,1,,"
611,611,Metals can carry fire faster,611.0,"632,1,1,,"
612,612,Because metals absorb heat,612.0,"633,1,0,,"
613,613,"As the metal comes into contact with the air, the metal cools, and as the metal ladle enters the hot water, the heat transfer line is high and the metal heats up quickly.",613.0,"634,1,0,,"
614,614,This is because heat was transferred because it was in hot water for a long time.,614.0,"635,1,0,,"
615,615,"This is because if you put a metal ladle in hot water, the metal ladle heats up much faster than a wooden ladle.",615.0,"636,1,0,,"
616,616,Metal moves heat slower than wood,616.0,"637,1,1,,"
617,617,This is because the thermal conductivity is strong.,617.0,"638,1,0,,"
618,618,"This is because heat travels more slowly to metals than trees, and trees move heat faster.",618.0,"639,1,1,,"
619,619,I don't know.,619.0,"640,1,0,,"
620,620,Metals conduct heat well,620.0,"641,1,1,,"
621,621,The heat conductivity is higher than that of trees,621.0,"642,1,1,,"
622,622,This is because metals have high thermal conductivity.,622.0,"643,1,1,,"
623,623,It's metal,623.0,"644,0,1,,"
624,624,The temperature went down,624.0,"645,1,0,,"
625,625,Heat is transferred to the metal,625.0,"646,1,1,,"
626,626,Because of the heat transfer?,626.0,"647,0,0,,"
627,627,I'm sensitive to hot metal,627.0,"648,1,0,,"
628,628,This is because the thermal conductivity is fast.,628.0,"649,1,0,,"
629,629,Because the metal ladle was not released by heat.,629.0,"650,0,0,,"
630,630,"Metal has high thermal conductivity, so it is very cold when it is cold and hot again quickly.",630.0,"651,1,0,,"
631,631,Metal would have gotten hot because heat conduction would be faster.,631.0,"652,1,0,,"
632,632,Metal is good at heat conduction.,632.0,"653,1,0,,"
633,633,This is because the heat was conducted.,633.0,"654,1,1,,"
634,634,be due to the rapid heat transfer,634.0,"655,1,1,,"
635,635,This is because the heat was conducted.,635.0,"656,1,0,,"
636,636,It's good for heat transfer,636.0,"657,1,0,,"
637,637,Metals are fast in heat conductivity,637.0,"658,1,1,,659,1,1,,"
638,638,Because the heat was transferred well,638.0,"660,1,1,,"
639,639,Metal has become hot because of its high heat transfer rate.,639.0,"661,1,0,,"
640,640,Because the heat in the water moves to the ladle to achieve thermal equilibrium,640.0,"662,0,1,,"
641,641,"Because metal is a conductor, heat transfer is good.",641.0,"663,1,0,,"
642,642,The heat of the water would have been transferred to a metal ladle and heated up.,642.0,"664,1,1,,"
643,643,Because metals transfer heat quickly,643.0,"665,1,1,,"
644,644,This is because the hot water heated up the cold metal ladle.,644.0,"666,1,0,,"
645,645,"Because of the heat transfer,",645.0,"667,1,1,,"
646,646,"Metal ladles are made of metal and have high thermal conductivity, so they get hot when they are put into water.",646.0,"668,1,1,,"
647,647,.,647.0,"669,1,1,,"
648,648,This is because the thermal conductivity is high.,648.0,"670,1,0,,"
649,649,heat conduction,649.0,"671,0,0,,"
650,650,Because it touched something hot.,650.0,"672,0,1,,"
651,651,It's all over the place,651.0,"673,1,1,,"
652,652,It's because heat is transferred well,652.0,"674,1,1,,"
653,653,It's more because the heat is applied.,653.0,"675,0,0,,"
654,654,This is because the heat of hot water was conducted with a cold metal ladle.,654.0,"676,1,0,,"
655,655,Metal becomes the transfer of heat,655.0,"677,1,0,,"
656,656,It's because I got a fever.,656.0,"678,1,1,,"
657,657,It is because of the conduction of heat.,657.0,"679,0,0,,"
658,658,This is because the metal ladle has heat conduction.,658.0,"680,1,1,,"
659,659,This is because the heat is conducted with a metal ladle.,659.0,"681,1,1,,"
660,660,This is because metals have high thermal conductivity.,660.0,"682,1,1,,"
661,661,It's because the heat is transferred,661.0,"683,1,1,,"
662,662,This is because metals form a dense and pure collection.,662.0,"684,0,0,,"
663,663,It is because the heat has been transferred.,663.0,"685,0,1,,"
664,664,This is because metals conduct heat well.,664.0,"686,0,0,,"
665,665,"The temperature was lower than the temperature in the water before putting it in hot water, so the metal ladle, which was cold, was put in hot water and then heated up as heat moved to the metal ladle.",665.0,"687,0,0,,"
666,666,It's because the heat transferred,666.0,"688,1,1,,689,1,1,,"
667,667,"When the metal ladle is immersed, heat moves from water with high temperature to metal ladle with low temperature through conduction, which is hot.",667.0,"690,1,1,,"
668,668,Metal is good at transferring heat.,668.0,"691,0,0,,"
669,669,This is because the heat moved to the ladle. Heat conduction shows that metal is faster than wood.,669.0,"692,1,0,,"
670,670,in the heat of one's heart,670.0,"693,0,0,,"
671,671,It's hot because I put it in hot water,671.0,"694,0,0,,"
672,672,Because metal gets hot quickly,672.0,"695,0,0,,"
673,673,Metal is because heat travels faster.,673.0,"696,1,1,,"
674,674,Because of the fast movement of heat in metal,674.0,"697,0,0,,"
675,675,The hot water is boiling and the part where I put it in is getting hot,675.0,"698,1,0,,"
676,676,Because hot heat travels,676.0,"699,1,0,,"
677,677,Heat transferred...,677.0,"700,1,0,,"
678,678,This is because heat conduction in metals is fast.,678.0,"701,0,0,,"
679,679,I don't,679.0,"702,1,0,,"
680,680,It's because heat is propagated to the metal,680.0,"703,1,1,,"
681,681,This is because the heat in the hot water moved to a metal ladle.,681.0,"704,1,1,,"
682,682,Metal conducts heat well,682.0,"705,0,0,,"
683,683,Metal has a strong power to transfer heat,683.0,"706,1,0,,"
684,684,the temperature of the water,684.0,"707,0,0,,"
685,685,This is because the metal ladle became hot due to the temperature of the hot water.,685.0,"708,1,1,,"
686,686,This is because the temperature in hot water is transferred to a metal ladle.,686.0,"709,0,1,,"
687,687,The hot water...I heated up the cold water.,687.0,"710,0,1,,"
688,688,This is because metal is a material that is easy to transfer heat.,688.0,"711,1,1,,"
689,689,"The metal ladle is made of iron, so it is heat-resistant.",689.0,"712,0,0,,"
690,690,"Metal can transfer heat well, so if you put it in hot water, it gets hot.",690.0,"713,0,1,,"
691,691,ㅁㄴㅇ,691.0,"714,1,1,,"
692,692,It is because it is heated by hot water.in a fever,692.0,"715,0,1,,"
693,693,The temperature went up,693.0,"716,1,1,,"
694,694,Because the surroundings were hot,694.0,"717,0,1,,"
695,695,"""The heat of the hot water moved on a cold metal ladle",695.0,"718,1,1,,719,1,1,,"
696,696,"Metal seems to have done so because it eats heat faster.,""",696.0,"720,1,1,,"
697,697,Hah!,697.0,"721,1,1,,"
698,698,The water gave the metal heat,698.0,"722,1,1,,"
699,699,"The heat is transferred well, so the water will be lukewarm instead.",699.0,"723,0,1,,"
700,700,"Since the heat moved to the ladle,",700.0,"724,1,0,,"
701,701,Hah!,701.0,"725,1,1,,"
702,702,"The heat is constantly transferred, but the hot water is a bit lukewarm",702.0,"726,1,1,,"
703,703,The reason why the metal ladle got hot is that heat moves up the metal.,703.0,"727,1,1,,"
704,704,Metals are heat-efficient,704.0,"728,1,1,,"
705,705,It's hot,705.0,"729,1,1,,"
706,706,The hot water moved the heat to a cold ladle,706.0,"730,1,0,,"
707,707,d,707.0,"731,1,1,,"
708,708,Because the heat of the hot water moved to a metal ladle,708.0,"732,1,0,,"
709,709,I guess metal is a component that heats up easily,709.0,"733,0,0,,"
710,710,I think metal is responding to hot things.,710.0,"734,1,1,,"
711,711,"Because the metal ladle absorbed the heat,",711.0,"735,0,0,,"
712,712,"As the hot water vapor rises, certain substances and metals meet and get hot",712.0,"736,1,1,,"
713,713,"The ladle is metal, so it gets hot quickly",713.0,"737,1,0,,"
714,714,The heat in the hot water went to the metal ladle,714.0,"738,1,0,,"
715,715,It's made of metal,715.0,"739,1,1,,"
716,716,This is because heat is conducted with a metal ladle.,716.0,"740,1,0,,"
717,717,The metal material heats up as the steam rises,717.0,"741,0,0,,"
718,718,Metal can't let heat out,718.0,"742,1,1,,"
719,719,"""The heat from the hot water is transferred to the highly heat-conducting metal ladle, which makes the ladle hot",719.0,"743,1,1,,"
720,720,"""",720.0,"744,1,0,,"
721,721,"The heat in the hot water is transferred to a cold metal ladle, which heats up as the metal ladle gains heat.",721.0,"745,1,0,,"
722,722,This is because heat moves to a cold metal ladle as it enters hot water.,722.0,"746,1,0,,"
723,723,"Since the solid has a dense molecular arrangement, conduction of heat to move through the solid material occurs. Therefore, the heat of hot water moves along the metal ladle, and the cold metal ladle heats up.",723.0,"747,1,1,,"
724,724,Metal changes in temperature quickly.,724.0,"748,0,0,,749,1,1,,"
725,725,"Heat has the property of moving from a high temperature to a low temperature, because in the above situation, hot water meets the ladle directly and conducts heat.",725.0,"750,0,0,,"
726,726,"A metal ladle is made up of solid metal, and the molecules that make up solid transfer energy to the next molecule in turn, transferring heat in a way called conduction. When a metal ladle is placed in hot water, energy-rich water molecules collide with molecules of the metal ladle and transfer energy, and molecules obtained from the metal ladle transfer energy to the next molecule in turn. If this process persists for a long time, the entire metal ladle gets hot.",726.0,"751,1,0,,"
727,727,This is because metal ladle has high heat conduction.,727.0,"752,0,0,,"
728,728,"Metal has a very fast heat conduction, so it would have been hotter by contacting hot water than metal and extracting heat from the water at a faster rate.",728.0,"753,1,0,,"
