,Unnamed: 0,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,Unnamed: 0,", q13_density difference, q13_ buoyancy, q13_rise airflow, q13_evaporation, q13_molecular motion, q13_temperature, q13_air temperature, and q13_density difference.1,q13_ buoyancy. 1,q13_rise airflow.1,q13_evaporation1.,q13_molecular motion1.,q13_temperature1.,q13_air temperature.1"
148,148,Warm air from the fire goes down and cold air goes up,148.0,"153,0,0,1,0,0,0,1,,,,,,,"
149,149,The air rises above the sky and uses buoyancy,149.0,"154,0,0,1,0,0,0,1,,,,,,,"
150,150,"""Warm air combined with surrounding air to fill holes in hot air balloons with meat",150.0,"155,0,0,0,0,0,0,0,,,,,,,"
151,151,"It's the same.""",151.0,"156,0,0,1,0,0,0,1,,,,,,,"
152,152,Warm air has the characteristics of going up,152.0,"157,0,0,1,0,0,0,1,,,,,,,"
153,153,"If you keep it warm, it creates gas, but it goes up",153.0,"158,0,0,0,0,0,0,0,,,,,,,"
154,154,"Warm air has a property of going up, so it heats the air and floats a hot air balloon.",154.0,"159,0,0,0,0,0,0,1,,,,,,,"
155,155,"When treated warmly, smoke rises toward the balloon and pops up",155.0,"160,0,0,0,0,0,0,0,,,,,,,"
156,156,The air in the hot air balloon seems to rise as the weight of the air becomes lighter as heat is applied and heated.,156.0,"161,0,0,0,0,0,0,0,,,,,,,"
157,157,It's going up because of the heat,157.0,"162,0,0,1,0,0,0,1,,,,,,,"
158,158,This is because warm air goes up.,158.0,"163,0,0,0,0,0,1,1,,,,,,,"
159,159,The cold air and warm air meet and go up,159.0,"164,0,0,1,0,0,0,1,,,,,,,"
160,160,This is due to the nature of the gas in which warm air rises.,160.0,"165,0,0,1,0,0,0,1,,,,,,,"
161,161,Because hot air goes up and cold air goes down,161.0,"166,0,0,1,0,0,0,1,,,,,,,"
162,162,The air fills the hot air balloon and floats up,162.0,"167,0,0,1,0,0,0,1,,,,,,,"
163,163,Warm air seems to merge with the surrounding air to fill the hole in the hot air balloon with air.,163.0,"168,1,0,1,0,0,1,0,,,,,,,"
164,164,I don't know,164.0,"169,0,0,1,0,0,0,1,,,,,,,"
165,165,"I don't know. Oh, oh, oh",165.0,"170,0,0,0,0,0,0,0,,,,,,,"
166,166,The hot air goes up,166.0,"171,1,0,0,0,0,0,1,,,,,,,"
167,167,"When the temperature gets hot, the density increases and it just floats",167.0,"172,1,0,1,0,0,0,0,,,,,,,"
168,168,Warm air floats up,168.0,"173,0,0,1,0,0,0,1,,,,,,,"
169,169,The hot air floats up,169.0,"174,1,0,0,0,0,1,0,,,,,,,"
170,170,"Because warm air goes to cold air, air moves up and hot air balloons float.",170.0,"175,1,0,1,0,0,1,0,,,,,,,"
171,171,"""The hot air goes up because the particles are light.""",171.0,"176,1,0,1,0,0,1,0,,,,,,,"
172,172,"""Cold air sinks down because the particles are heavy.""",172.0,"177,1,0,0,0,0,0,1,,,,,,,"
173,173,"As the temperature rises, the volume of air expands and rises",173.0,"178,1,0,1,0,0,1,0,,,,,,,179,1,0,0,0,0,1,0,,,,,,,"
174,174,The air gets hot and goes up,174.0,"180,0,0,1,0,0,0,1,,,,,,,"
175,175,Air goes up when it's heavy,175.0,"181,0,0,1,0,0,0,1,,,,,,,"
176,176,"The gas is heated and the density is reduced, so the volume expands",176.0,"182,0,0,1,0,0,0,1,,,,,,,"
177,177,The volume of the gas increases and the density decreases and goes up.,177.0,"183,0,0,1,0,0,0,1,,,,,,,"
178,178,"This is because when the air is heated and warm, it goes up.",178.0,"184,0,0,1,0,1,1,0,,,,,,,"
179,179,"When the temperature rises, the gas rises in volume and becomes smaller in density",179.0,"185,1,1,0,0,1,0,1,,,,,,,"
180,180,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",180.0,"186,0,0,0,0,0,0,0,,,,,,,"
181,181,"This is because when the temperature rises, the gas becomes lighter and rises",181.0,"187,1,1,0,0,1,1,0,,,,,,,"
182,182,The principle is that the gas is heated and the density is reduced and the volume expands,182.0,"188,0,0,1,0,0,0,1,,,,,,,"
183,183,"As the temperature rises, the volume of the gas expands and the hot air balloon rises into the sky",183.0,"189,0,0,0,0,0,0,0,,,,,,,"
184,184,"A gas rises in density because the weight of the gas is constant as the temperature rises, but the volume increases.",184.0,"190,1,0,1,0,0,1,1,,,,,,,"
185,185,"If it's hot, it's hot",185.0,"191,1,0,1,0,0,0,1,,,,,,,"
186,186,The hot air goes up,186.0,"192,0,0,1,0,0,0,1,,,,,,,"
187,187,Hot air balloons float because of the convection phenomenon in which hot air goes up,187.0,"193,1,0,0,0,1,1,0,,,,,,,"
188,188,"When the air gets hot, a rising air current is generated, and the hot air goes up and the hot air balloon goes up",188.0,"194,0,0,1,0,0,0,1,,,,,,,"
189,189,"When the temperature is hot, the molecules in the gas become active and move",189.0,"195,0,0,1,0,0,0,1,,,,,,,"
190,190,"Hot air balloons are operated by insulation expansion, insulation contraction, buoyancy, etc., and when you make a fire and heat the inside of the balloon, the movement of the molecules becomes active and the volume increases. So a hot air balloon floats.",190.0,"196,1,0,0,0,1,1,1,,,,,,,"
191,191,The air in the balloon of the hot air balloon is divided into hot air and cold air and floats.,191.0,"197,0,0,1,0,0,0,1,,,,,,,"
192,192,"As the temperature increases, the volume of air increases and the speed of motion increases. After that, the hot air balloon is raised by buoyancy.",192.0,"198,1,0,0,0,0,0,1,,,,,,,"
193,193,This is because hot air goes up.,193.0,"199,1,0,0,0,0,0,1,,,,,,,"
194,194,"According to the ideal gas state equation, when the temperature rises, the volume of the gas in the hot air balloon is constant, but the pressure increases, so the hot air balloon rises",194.0,"200,0,0,1,0,0,0,0,,,,,,,"
195,195,"As the temperature of the air rises, the density of the air decreases, so that the hot air rises upward, and the hot air balloon floats upward.",195.0,"201,1,0,0,0,0,0,1,,,,,,,"
196,196,"A hot air balloon is an instrument for the ancient Mongols to determine how well sheep are, and it's a great instrument for scientific principles that are combined using the rising air currents, the circulation of heat. By the second law of thermodynamics, air rises as it gets hotter. Based on these basic principles, it has a principle that can be controlled dynamically or creatively.",196.0,"202,0,0,1,0,0,1,0,,,,,,,"
197,197,"Hot air floats up when heated because of its upward natureThis is because as the temperature increases, the movement of the gas molecules becomes active and the volume expands, and the density inside the hot air balloon decreases.",197.0,"203,1,0,0,0,0,0,0,,,,,,,"
198,198,The reason why hot air balloons rise when heated by fire is because hot air rises as the air heats up and cold air goes down.,198.0,"204,1,0,0,0,0,0,1,,,,,,,"
199,199,The warm air goes up and it supplies the air continuously,199.0,"205,0,0,0,0,0,0,0,,,,,,,"
200,200,"Heating the air in a hot air balloon increases the temperature, speeding up the movement of the air molecules, widening the distance between the molecules, and increasing the volume. As the bulky air fills the hot air balloon, the density of the air in the hot air balloon is relatively lower than the density of the outside air, so the hot air can go up to the sky.",200.0,"206,0,1,0,0,0,0,1,,,,,,,"
201,201,Because hot air has the properties to go up,201.0,"207,1,0,1,0,0,1,1,,,,,,,"
202,202,The hot air is light,202.0,"208,0,0,1,0,0,0,1,,,,,,,209,0,0,1,0,0,1,1,,,,,,,"
203,203,thermal expansion,203.0,"210,0,0,1,0,0,0,1,,,,,,,"
204,204,Hot air goes up,204.0,"211,1,0,0,0,0,0,0,,,,,,,"
205,205,This is because the hot air goes up.,205.0,"212,0,0,1,0,0,0,1,,,,,,,"
206,206,Because the gas at high temperatures goes up,206.0,"213,0,0,1,0,0,0,1,,,,,,,"
207,207,The heat expands,207.0,"214,1,0,1,0,0,0,0,,,,,,,"
208,208,"If the air is hot, it gets lighter",208.0,"215,0,0,0,0,0,0,0,,,,,,,"
209,209,I don't know.,209.0,"216,0,0,1,0,0,0,1,,,,,,,"
210,210,"Lower temperature gas is heavier than lower temperature gas. As the air temperature in the hot air balloon increases, the buoyancy of the air rises to the sky",210.0,"217,0,0,0,0,1,0,1,,,,,,,"
211,211,"As the temperature of the gas increases, the weight of the gas per unit area decreases, so it goes up into the sky.",211.0,"218,0,0,1,0,0,0,1,,,,,,,"
212,212,High temperature gases have the properties of going up,212.0,"219,0,0,0,0,0,0,0,,,,,,,"
213,213,The hot temperature rises up The air can go up together in response to the temperature and the hot air balloon can go up.,213.0,"220,1,0,1,0,0,0,1,,,,,,,"
214,214,"Hot air has a property of going up, so hot air balloons go up into the sky.",214.0,"221,0,0,0,0,1,0,0,,,,,,,"
215,215,The air is expanding.,215.0,"222,0,0,0,0,1,0,1,,,,,,,"
216,216,"Due to convection, hot air has the property of going up",216.0,"223,0,0,1,0,0,0,1,,,,,,,"
217,217,The warm air goes up,217.0,"224,0,0,1,0,0,0,1,,,,,,,"
218,218,Heat and convection,218.0,"225,0,0,0,0,1,0,0,,,,,,,"
219,219,"Cold air contains more moisture, so heavy and hot air is light because it has less moisture",219.0,"226,0,0,1,0,0,0,1,,,,,,,"
220,220,"Hot air goes up,",220.0,"227,0,0,1,0,0,0,1,,,,,,,"
221,221,"As the air gets hotter, it moves more actively in a device with limited space",221.0,"228,0,0,1,0,0,1,1,,,,,,,"
222,222,Hot heat has the property of rising above,222.0,"229,0,0,0,0,1,1,1,,,,,,,"
223,223,There's a fire,223.0,"230,1,1,0,0,1,1,1,,,,,,,"
224,224,"When heat is applied to air, which is a gas, the volume increases, and the density decreases and can be raised using the phenomenon of rising.",224.0,"231,1,0,0,0,1,0,1,,,,,,,"
225,225,"When a hot air balloon is set on fire, the grains in the air fly wildly and inflate the air pockets of the hot air balloon",225.0,"232,0,0,1,0,0,0,1,,,,,,,"
226,226,The heated air becomes active due to the particle movement,226.0,"233,0,0,1,0,0,1,1,,,,,,,"
227,227,Because the heat goes up into the sky,227.0,"234,1,0,1,0,0,1,1,,,,,,,"
228,228,This is because the hot air goes up due to convection.,228.0,"235,0,0,1,0,0,0,1,,,,,,,"
229,229,Because the particles in the gas move actively to heat it up,229.0,"236,0,0,0,0,1,0,0,,,,,,,"
230,230,This is because hot air goes up.,230.0,"237,1,0,0,0,1,0,0,,,,,,,"
231,231,The intense heat goes up,231.0,"238,0,0,0,0,1,0,1,,,,,,,239,1,0,1,0,0,0,1,,,,,,,"
232,232,"When the air is heated, the temperature is higher than that of the surrounding air, so the hot air balloon goes up",232.0,"240,0,0,0,0,1,0,1,,,,,,,"
233,233,"As the temperature of the air increases, the activity of the air particles becomes active, so it goes up.",233.0,"241,0,0,0,0,1,1,1,,,,,,,"
234,234,"The air is heated by heat.Air has a property that expands (increases) in volume when the temperature rises. So the air becomes lighter. As the air gradually circulates, the hot air balloon swells, and just as the tube floats in the water, the hot air balloon floats in the air.",234.0,"242,0,0,0,0,0,0,0,,,,,,,"
235,235,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",235.0,"243,0,0,1,0,0,0,1,,,,,,,"
236,236,The volume of the gas increases,236.0,"244,1,0,0,0,1,0,1,,,,,,,"
237,237,"And then the density gets smaller. 'Density = mass/volume' means that the smaller the mass,",237.0,"245,0,0,0,0,1,0,1,,,,,,,"
238,238,"The larger the volume, the smaller the density.",238.0,"246,0,0,0,0,0,0,0,,,,,,,"
239,239,"So eventually, a hot air balloon can float above the sky.",239.0,"247,0,0,0,0,0,0,0,,,,,,,"
240,240,"""",240.0,"248,0,0,0,0,0,0,0,,,,,,,"
241,241,Hot air tends to float higher than cold air,241.0,"249,0,0,0,0,0,0,0,,,,,,,"
242,242,"When the air is heated, the temperature is higher than that of the surrounding air, and the hot air balloon rises.",242.0,"250,0,0,0,0,0,0,0,,,,,,,"
243,243,"By Charles' law, warming the air inside the balloon with fire increases the temperature, expanding the volume of the gas and decreasing the density of the gas, causing it to rise",243.0,"251,0,0,0,0,0,0,0,,,,,,,"
244,244,"Hot air tends to go up, so when you heat the air in the hot air balloon, it goes up.",244.0,"252,0,0,0,0,0,0,0,,,,,,,"
245,245,"When a gas particle moves on its own and collides with the inner wall of the hot air balloon, the pressure of the gas acts, and the atmospheric pressure acts outside the hot air balloon.",245.0,"253,0,0,0,0,0,0,0,,,,,,,"
246,246,"""When you make a fire on the air balloon, the grains in the air fly around and inflate the air pockets of the balloon greatly. The volume increases, but the number of air grains remains the same for the first time. The air stays the same, but the space becomes wider, so it becomes lighter than the surroundings",246.0,"254,0,0,0,0,0,0,0,,,,,,,"
247,247,"""",247.0,"255,0,0,0,0,0,0,0,,,,,,,"
248,248,"The burner under the balloon heats the air and speeds up the particle movement of the gas, so it can go up into the sky",248.0,"256,0,0,0,0,1,0,1,,,,,,,"
249,249,"The air in the hot air balloon expanded by applying heat to the air in the hot air balloon has a lower density than the air outside the hot air balloon, so a buoyant force is generated, and the force rises.",249.0,"257,0,0,0,0,0,0,0,,,,,,,"
250,250,"A burner under a hot air balloon heats the air, speeding up the particle movement of the gas, so it can go up well into the sky",250.0,"258,0,0,0,0,0,0,0,,,,,,,"
251,251,"The particles of a gas move constantly in all directions, and as the temperature rises, the particles of the gas inside become more active and go up into the sky",251.0,"259,0,0,0,0,0,0,0,,,,,,,"
252,252,"When a gas particle collides with the buck surface of the container, the force that pushes the container out acts, which causes the pressure of the gas to appear.",252.0,"260,0,0,0,0,0,0,0,,,,,,,"
253,253,Use of a tungsung that rises when the gas is heated,253.0,"261,0,0,0,0,0,0,0,,,,,,,"
254,254,"""When you apply the temperature to the air in the balloon, the molecular motion becomes active",254.0,"262,0,0,1,0,0,0,1,,,,,,,"
255,255,The volume of the gas increases.,255.0,"263,0,0,0,0,0,0,0,,,,,,,"
256,256,"If you do that, the density will be reduced. 'Density = mass/volume' means that the smaller the mass,",256.0,"264,0,0,1,0,0,0,1,,,,,,,"
257,257,"The larger the volume, the smaller the density.",257.0,"265,0,0,0,0,0,0,0,,,,,,,"
258,258,"That's why hot air balloons can float above the sky.""",258.0,"266,0,0,0,0,0,0,0,,,,,,,"
259,259,"""When heat is applied to the gas particles in the hot air balloon, the movement of the gas particles becomes more active",259.0,"267,0,0,0,0,1,0,1,,,,,,,"
260,260,"Due to the movement of gas particles, there is more air in the hot air balloon and the hot air balloon becomes large, so the hot air balloon can fly into the sky.""",260.0,"268,0,0,0,0,0,1,0,,,,,,,269,0,0,1,0,0,0,0,,,,,,,"
261,261,dsdw,261.0,"270,0,0,0,0,0,0,0,,,,,,,"
262,262,I don't know.,262.0,"271,0,0,1,0,0,0,1,,,,,,,"
263,263,M and L,263.0,"272,0,0,0,0,0,0,0,,,,,,,"
264,264,I don't know,264.0,"273,0,0,1,0,0,0,0,,,,,,,"
265,265,I don't understand.,265.0,"274,0,0,1,0,0,0,1,,,,,,,"
266,266,I don't know.,266.0,"275,0,0,1,0,0,0,1,,,,,,,"
267,267,The air goes up,267.0,"276,0,0,1,1,0,0,0,,,,,,,"
268,268,I don't know.,268.0,"277,0,0,1,0,0,0,1,,,,,,,"
269,269,I don't understand.,269.0,"278,0,0,0,0,0,0,0,,,,,,,"
270,270,I don't know,270.0,"279,0,0,0,0,0,0,0,,,,,,,"
271,271,Is it because the movement of the gas particles becomes active when it gets hot?,271.0,"280,0,0,1,0,0,0,1,,,,,,,"
272,272,I don't understand.,272.0,"281,0,0,0,0,0,0,0,,,,,,,"
273,273,I don't understand.,273.0,"282,0,0,1,0,0,0,1,,,,,,,"
274,274,Mall,274.0,"283,0,0,0,0,0,0,0,,,,,,,"
275,275,in a bloated manner,275.0,"284,0,0,1,0,0,1,1,,,,,,,"
276,276,the law of the law,276.0,"285,0,0,1,0,0,0,1,,,,,,,"
277,277,This is because hot air has the property of going up.,277.0,"286,0,0,1,0,0,0,1,,,,,,,"
278,278,I don't know,278.0,"287,0,0,0,0,0,0,0,,,,,,,"
279,279,"Warm air goes up, so hot air balloons go up.",279.0,"288,0,0,0,0,0,1,1,,,,,,,"
280,280,I don't know,280.0,"289,0,0,0,0,0,0,0,,,,,,,"
281,281,I don't understand.,281.0,"290,0,0,0,0,0,0,1,,,,,,,"
282,282,"As it heats up, particles in the hot air balloon float in the air as they move actively.",282.0,"291,0,0,0,0,0,0,0,,,,,,,"
283,283,I don't understand.,283.0,"292,0,0,1,0,0,0,1,,,,,,,"
284,284,It has the property of going up when the temperature rises,284.0,"293,0,0,0,0,0,0,0,,,,,,,"
285,285,I don't know,285.0,"294,0,0,0,0,0,0,1,,,,,,,"
286,286,"When the heat of the rubber balloon is applied, it rises up. Like this one, a hot air balloon also rises.",286.0,"295,1,0,1,0,0,0,1,,,,,,,"
287,287,I don't know.,287.0,"296,0,0,0,1,0,0,0,,,,,,,"
288,288,Heat tends to go up,288.0,"297,0,0,0,0,0,0,0,,,,,,,"
289,289,"Warm air goes up, so it makes the air hot and floats hot air balloons",289.0,"298,0,0,1,0,0,0,1,,,,,,,299,0,0,1,0,0,0,1,,,,,,,"
290,290,"When the air gets hot, the hot air goes up, so the balloon goes up into the sky",290.0,"300,0,0,1,0,0,0,1,,,,,,,"
291,291,I'll go up with the steam scissors,291.0,"301,0,0,1,0,0,0,1,,,,,,,"
292,292,"The warmer the air is, the higher it goes",292.0,"302,0,0,1,0,0,0,1,,,,,,,"
293,293,I don't know because I'm a fool,293.0,"303,0,0,1,0,0,0,1,,,,,,,"
294,294,I know. Do you think I know that?,294.0,"304,0,0,1,0,0,0,1,,,,,,,"
295,295,the property of warm air going up and cold air going down,295.0,"305,0,0,1,0,0,0,1,,,,,,,"
296,296,"Yes, yesThis is because warm air has the property of going up.",296.0,"306,0,0,1,0,0,0,1,,,,,,,"
297,297,I don't know,297.0,"307,0,0,0,0,0,0,0,,,,,,,"
298,298,"The temperature goes up when it's warm, so the hot air balloon goes up",298.0,"308,0,0,1,0,0,0,1,,,,,,,"
299,299,"Hot things are light, so I want to go up",299.0,"309,0,0,0,1,0,0,1,,,,,,,"
300,300,The principle that cold air goes down and warm air goes up,300.0,"310,0,0,1,0,0,0,1,,,,,,,"
301,301,Fire makes helium,301.0,"311,1,0,1,0,0,0,1,,,,,,,"
302,302,Because of the high temperature,302.0,"312,1,0,0,0,0,0,0,,,,,,,"
303,303,?,303.0,"313,1,0,1,0,0,0,0,,,,,,,"
304,304,"There's a lot of air in the hot air balloon,",304.0,"314,1,1,0,0,0,0,0,,,,,,,"
305,305,Is it because the balloon gets lighter if you keep it warm?,305.0,"315,1,1,0,0,0,0,0,,,,,,,"
306,306,Hot air goes up,306.0,"316,1,1,0,0,0,0,1,,,,,,,"
307,307,"If you heat the air with fire, it becomes helium",307.0,"317,1,1,0,0,0,0,0,,,,,,,"
308,308,The air is heated up by heat,308.0,"318,1,1,0,0,0,0,0,,,,,,,"
309,309,Hot is the property of being light and going up.,309.0,"319,1,1,0,0,0,0,0,,,,,,,"
310,310,Because there's an underwater plane,310.0,"320,1,0,0,0,0,0,1,,,,,,,"
311,311,The air pressure is applied to the top,311.0,"321,1,0,1,0,0,0,0,,,,,,,"
312,312,Warm air takes advantage of the upward properties,312.0,"322,1,0,0,0,0,0,1,,,,,,,"
313,313,"Since the hot air goes up,",313.0,"323,1,0,0,0,0,0,0,,,,,,,"
314,314,It's because the air gets warm and goes up to the sky,314.0,"324,1,0,0,0,0,0,0,,,,,,,"
315,315,Because hot air balloons go up hot.,315.0,"325,0,0,1,0,0,0,1,,,,,,,"
316,316,"Warm air has the property of going up, so hot air balloons go up.",316.0,"326,0,0,1,0,0,0,1,,,,,,,"
317,317,"The hotter the air goes up and the colder it goes down, so the more you heat the air in the balloon, the higher the gate",317.0,"327,0,0,1,0,0,0,1,,,,,,,"
318,318,"When the temperature of the gas rises, the gas rises, so if you heat the air with fire, the air in the balloon rises and the hot air balloon floats",318.0,"328,0,0,1,0,0,0,1,,,,,,,329,0,0,0,0,1,0,1,,,,,,,"
319,319,The heat goes up and the balloon can be moved by the wind,319.0,"330,0,0,1,0,0,0,1,,,,,,,"
320,320,"Since the hot air goes up into the sky,",320.0,"331,1,0,1,0,0,0,1,,,,,,,"
321,321,The balloon is melting,321.0,"332,0,0,1,0,0,0,1,,,,,,,"
322,322,"Since gas has the property of rising up when it is hot and falling down when it is cold, when the gas is heated with fire, air rises up in the hot air balloon and so does the hot air balloon.",322.0,"333,0,0,1,0,0,0,1,,,,,,,"
323,323,Hot air evaporates inside the hot air balloon and comes up with hot air balloon,323.0,"334,0,0,1,0,0,0,1,,,,,,,"
324,324,"The air inside the balloon gets hot when heated, and as the temperature difference with the air around it is different, the hot air floats up because of its upward property",324.0,"335,0,0,0,0,0,0,0,,,,,,,"
325,325,"When the temperature increases, the volume of the gas increases and the density decreases, and thus the density becomes lower than that of the surrounding gas, so it rises.",325.0,"336,0,0,0,0,0,0,0,,,,,,,"
326,326,Because the density decreases,326.0,"337,0,0,0,0,0,0,0,,,,,,,"
327,327,The density of the air is so small that it floats,327.0,"338,0,0,0,0,0,0,0,,,,,,,"
328,328,"When the pressure, the number of moles (the amount of gas) is constant, the volume of the gas is proportional to the temperature. At this time, the density decreases because the zilla is constant. The effects of gravity and buoyancy work, but increase buoyancy by decreasing density",328.0,"339,0,0,1,0,0,0,1,,,,,,,"
329,329,"As the density of the air decreases and the buoyancy is greater than the gravity,",329.0,"340,0,0,1,0,0,0,1,,,,,,,"
330,330,"As the temperature rises, the density of the air decreases and the buoyancy is greater than gravity.",330.0,"341,0,0,0,0,0,0,0,,,,,,,"
331,331,"Less molar gas is contained in the same volume, which is relatively less dense than the surrounding area and receives buoyancy.",331.0,"342,0,0,1,0,0,0,1,,,,,,,"
332,332,Increased buoyancy due to reduced air density,332.0,"343,0,0,1,0,0,1,1,,,,,,,"
333,333,"Reduced air density, buoyancy>gravity",333.0,"344,0,0,1,0,0,0,1,,,,,,,"
334,334,"If you heat the air, it will increase in volume, making the density smaller and lighter",334.0,"345,0,0,1,0,0,0,1,,,,,,,"
335,335,The density rises low.,335.0,"346,0,0,0,0,0,0,1,,,,,,,"
336,336,"As the temperature of the gas increases, the distance between molecules increases and the density decreases accordingly. So it can come to mind.",336.0,"347,0,0,1,0,0,1,1,,,,,,,"
337,337,This is because the density decreases when the volume increases.,337.0,"348,0,0,0,0,0,0,0,,,,,,,"
338,338,because of the low density,338.0,"349,0,0,0,0,0,0,0,,,,,,,"
339,339,It's because the heat goes up,339.0,"350,0,0,0,0,0,0,0,,,,,,,"
340,340,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",340.0,"351,1,0,1,0,0,0,1,,,,,,,"
341,341,"Cold air goes down and warm air goes up, so it goes up because the air heats up.",341.0,"352,0,0,1,0,0,0,1,,,,,,,"
342,342,"When you heat the air with fire, the hot air goes up, so the heated air goes inside the balloon and goes up, so the hot air balloon goes up",342.0,"353,1,0,0,0,0,1,1,,,,,,,"
343,343,This is because the particles become active when the air is warmed.,343.0,"354,0,0,0,0,0,0,0,,,,,,,"
344,344,It makes the air inside the balloon warm and warm air goes up,344.0,"355,0,0,1,0,0,0,1,,,,,,,"
345,345,"When the temperature of the gas increases, the weight of the air becomes lighter than the original air. Therefore, by warming the air with fire, light air continues to rise into the sky as the principle of the original air escaping out into the balloon continues to repeat.",345.0,"356,0,0,1,0,0,1,1,,,,,,,"
346,346,"Because hot air goes up and cold air goes down through the circulation of air, when heated in a hot air balloon, it goes up into the sky.",346.0,"357,0,0,0,0,0,0,0,,,,,,,"
347,347,Hot air goes up,347.0,"358,1,0,0,0,0,0,1,,,,,,,359,0,0,1,0,0,1,1,,,,,,,"
348,348,"Warm air goes up, so when you heat the air in a hot air balloon, it goes up",348.0,"360,1,0,1,0,0,0,1,,,,,,,"
349,349,I'm sorry. I don't know,349.0,"361,1,0,0,0,0,1,1,,,,,,,"
350,350,It's because it creates oxygen and fills the balloon,350.0,"362,0,0,1,0,0,0,1,,,,,,,"
351,351,"When you fill a balloon with air, it swells up and goes up",351.0,"363,0,0,0,0,0,0,0,,,,,,,"
352,352,Carbon dioxide floats on top of course,352.0,"364,0,0,0,1,0,1,1,,,,,,,"
353,353,The hot air goes up and the air fills up in the hot air balloon.,353.0,"365,1,0,1,0,0,1,1,,,,,,,"
354,354,Hot air goes up and cold air goes down,354.0,"366,0,0,1,0,0,0,1,,,,,,,"
355,355,I don't know.,355.0,"367,0,0,1,0,0,0,1,,,,,,,"
356,356,Hot air has the property of going up and cold air down,356.0,"368,0,0,0,0,0,0,1,,,,,,,"
357,357,Gas has the property of rising when the temperature is high.,357.0,"369,0,0,1,0,0,0,1,,,,,,,"
358,358,"The warmer it is, the higher it goes",358.0,"370,0,0,0,0,0,0,1,,,,,,,"
359,359,Warm air goes up,359.0,"371,0,0,1,0,0,0,1,,,,,,,"
360,360,It heats up the air and generates energy,360.0,"372,0,0,0,0,0,0,1,,,,,,,"
361,361,Air with high temperature goes up,361.0,"373,1,0,0,0,0,1,1,,,,,,,"
362,362,"Because the air is heavy,",362.0,"374,1,0,0,0,0,1,1,,,,,,,"
363,363,I don't know.,363.0,"375,1,0,1,0,0,0,1,,,,,,,"
364,364,Carbon dioxide is generated from the fire because the balloon swells up and goes up.,364.0,"376,0,0,1,1,0,0,1,,,,,,,"
365,365,"The air becomes lighter when heated, so it becomes lighter than the air outside and goes up",365.0,"377,1,0,1,0,1,0,0,,,,,,,"
366,366,Warm air will go up because of the nature of the gas that goes up.,366.0,"378,0,0,1,0,0,0,1,,,,,,,"
367,367,"If the temperature goes up, the density goes down",367.0,"379,0,0,1,0,0,0,1,,,,,,,"
368,368,on fire,368.0,"380,0,0,0,0,0,0,0,,,,,,,"
369,369,The hot air goes up,369.0,"381,0,0,1,0,0,0,1,,,,,,,"
370,370,"This is because when the temperature rises, the gas tends to rise.",370.0,"382,1,0,1,0,0,0,1,,,,,,,"
371,371,by burning oxygen,371.0,"383,0,0,0,0,0,0,0,,,,,,,"
372,372,Hot air floats up because it is lighter than cold air.,372.0,"384,0,0,1,0,0,0,1,,,,,,,"
373,373,This is because gases have the property of going up when the temperature rises.,373.0,"385,0,0,1,0,0,0,1,,,,,,,"
374,374,"As the temperature rises, the density of the gas decreases and becomes lighter, so it goes up",374.0,"386,1,0,0,0,0,0,0,,,,,,,"
375,375,This is because the temperature rises and the volume expands.,375.0,"387,0,0,0,0,0,0,0,,,,,,,"
376,376,"The air is hot, and the air is cold, because convection occurs.",376.0,"388,0,0,1,0,0,0,1,,,,,,,389,0,0,1,0,1,1,1,,,,,,,"
377,377,Because of the smoke,377.0,"390,1,0,0,0,0,0,0,,,,,,,"
378,378,"As the temperature rises, the gas evaporates",378.0,"391,1,0,0,0,1,0,1,,,,,,,"
379,379,Warm temperatures go up because they are lighter.,379.0,"392,1,0,1,0,0,0,1,,,,,,,"
380,380,The gas heats up the cold gas by using hot gas as it rises and cold gas as it descends,380.0,"393,1,0,1,0,0,0,1,,,,,,,"
381,381,Because the hot air rises up,381.0,"394,1,0,1,0,1,0,1,,,,,,,"
382,382,This is because the temperature moves from low to high.,382.0,"395,1,0,1,0,0,1,1,,,,,,,"
383,383,"Hot air balloons use helium gas, which is lighter than air, so if you heat the air in the hot air balloon, you can go up to the sky",383.0,"396,0,0,1,0,0,0,1,,,,,,,"
384,384,Increase the temperature of the air in the hot air balloon and use the air pressure difference from the surrounding air to rise,384.0,"397,0,0,1,0,0,0,1,,,,,,,"
385,385,"When you're heated, it goes up",385.0,"398,1,0,0,0,0,1,1,,,,,,,"
386,386,"When you heat the air, it turns into helium",386.0,"399,1,0,1,0,0,0,1,,,,,,,"
387,387,"As the temperature rises, the gas expands, so run a hot air balloon using light helium.",387.0,"400,0,0,0,0,0,1,1,,,,,,,"
388,388,"As the temperature rises, the gas expands, so it uses light helium and runs a hot air balloon.",388.0,"401,0,0,1,0,1,1,1,,,,,,,"
389,389,"Hot air is due to its upward nature. When the air is heated, the volume increases and the density decreases. Therefore, it becomes light and rises to the sky.",389.0,"402,1,0,1,0,1,0,1,,,,,,,"
