,Unnamed: 0,1) Why did the hot iron burn even though it didn't light it?,Unnamed: 0,",q29_Firepoint,q29_Temperature,q29_Firepoint1,q29_Temperature.1"
324,324,The hot iron goes near the ignition point,324.0,"335,0,1,,"
325,325,The temperature is very high,325.0,"336,0,1,,"
326,326,"Because it is too hot, after some degree of heat is applied, the heat becomes stronger and catches fire. Also, the fabric is dry, so it can catch fire easily with just heat",326.0,"337,0,0,,"
327,327,at a very high temperature,327.0,"338,0,1,,"
328,328,This is because it supplied more than a certain temperature that could cause a change in the state of the cloth.,328.0,"339,0,1,,"
329,329,This is because the heat of the hot iron caught fire as it crossed the ignition point of the substance,329.0,"340,0,1,,"
330,330,This is because the temperature above the ignition point of the iron plate was applied.,330.0,"341,0,0,,"
331,331,"When the temperature reaches a certain temperature, it becomes the ignition point and catches fire",331.0,"342,0,1,,"
332,332,Heat becomes hotter and burns,332.0,"343,0,1,,"
333,333,The fire occurred due to temperature and oxygen above the ignition point.,333.0,"344,0,0,,"
334,334,"The reason why the iron blooms clothes is because of the large amount of heat from the iron, which I think caused the iron plate to burn. For example, if you stand around a stove in winter, you can think of an example of burning even if there is no fire.",334.0,"345,0,1,,"
335,335,Because there was a cloth to ride.,335.0,"346,0,1,,"
336,336,"Because the iron is placed on the iron plate, the supply of oxygen is not desired among the conditions that catch fire (combustion), so the fire becomes sufficient conditions for oxygen to burn long after the fire.",336.0,"347,0,0,,"
337,337,The heat was so strong that it spontaneously ignited.,337.0,"348,0,1,,"
338,338,Because it's hot ^-^,338.0,"349,0,0,,"
339,339,It's hot,339.0,"350,0,1,,"
340,340,It's hot,340.0,"351,0,0,,"
341,341,It's hot,341.0,"352,0,1,,"
342,342,I don't know,342.0,"353,0,1,,"
343,343,The iron kept getting hot and caught fire,343.0,"354,0,1,,"
344,344,"There was a hot iron on the iron plate, so it was left intact and burned",344.0,"355,0,1,,"
345,345,The iron is heated,345.0,"356,0,0,,"
346,346,I think the hot water in the iron burned me,346.0,"357,1,1,,"
347,347,It's because it got hot,347.0,"358,1,1,,359,1,1,,"
348,348,There's a hot wind,348.0,"360,1,0,,"
349,349,It's been too long,349.0,"361,1,0,,"
350,350,Your clothes catch on fire. Your irons carry heat,350.0,"362,1,1,,"
351,351,"Water was boiled and the heat moved to the bottom of the iron to heat it up, causing the heat at the bottom of the iron to cause the fire.",351.0,"363,1,1,,"
352,352,Don't know,352.0,"364,0,1,,"
353,353,The hot iron caught my clothes on fire.,353.0,"365,0,1,,"
354,354,I don't know,354.0,"366,1,0,,"
355,355,Because of the heat.,355.0,"367,0,1,,"
356,356,It's an iron plate made of cloth,356.0,"368,0,1,,"
357,357,"If you just put the hot iron on it, it gets hotter and burns because of the embers.",357.0,"369,0,1,,"
358,358,It's because my temperature went up,358.0,"370,1,1,,"
359,359,This is because the iron evaporated and caused a fire due to heat.,359.0,"371,0,1,,"
360,360,"When heat is collected in one place, it cannot withstand heat and causes a fire",360.0,"372,0,1,,"
361,361,It's because there's a fever left.,361.0,"373,1,1,,"
362,362,Temperature above the ignition point,362.0,"374,0,0,,"
363,363,Because heat is applied to the point where the substance will be burned.,363.0,"375,0,1,,"
364,364,It goes up above the ignition point,364.0,"376,1,1,,"
365,365,It's because it's reached the point of ignition,365.0,"377,0,1,,"
366,366,Because it reached the point of ignition,366.0,"378,0,1,,"
367,367,The heat went over the ignition point,367.0,"379,0,1,,"
368,368,It goes up above the ignition point,368.0,"380,0,0,,"
369,369,"The heat from the iron goes to the iron plate, but if the heat continues to gather, the fire will start",369.0,"381,1,1,,"
370,370,The iron is hot,370.0,"382,0,1,,"
371,371,Go up above the ignition point,371.0,"383,0,1,,"
372,372,The hot heat in the iron burns the fabric.,372.0,"384,0,0,,"
373,373,Heat energy is transferred to the iron plate,373.0,"385,1,1,,"
374,374,The heat on the iron goes down and the iron plate burns.,374.0,"386,0,0,,"
375,375,"There was de-materialization, oxygenation, temperature above the ignition point.",375.0,"387,1,1,,"
376,376,This is because the temperature has increased.,376.0,"388,1,1,,389,0,1,,"
377,377,The heat on the iron plate burned,377.0,"390,0,0,,"
378,378,The temperature of the iron plate rises above the ignition point,378.0,"391,0,0,,"
379,379,I don't know,379.0,"392,0,0,,"
380,380,The heat continues to burn.,380.0,"393,0,1,,"
381,381,"The fire starts when the temperature is above the ignition point, but the iron heats up and rises above the ignition point, which is why the fire started",381.0,"394,0,1,,"
382,382,This is because the heat generated in the iron moved to the heat plate of the iron.,382.0,"395,0,1,,"
383,383,It's hot,383.0,"396,0,1,,"
384,384,The heat in the iron is transferred to the hot plate.,384.0,"397,0,1,,"
385,385,There is carbon because of the fabric,385.0,"398,0,1,,"
386,386,at a temperature above the ignition point,386.0,"399,0,1,,"
387,387,It's heat transferred,387.0,"400,0,1,,"
388,388,Oxygen in the atmosphere decomposed by the heat of the iron meets the cloth and causes a combustion reaction.,388.0,"401,0,1,,"
389,389,It's dry and it's got oxygen,389.0,"402,0,1,,"
390,390,The temperature is above the ignition point,390.0,"403,0,0,,"
391,391,I don't know,391.0,"404,0,1,,"
392,392,above the ignition temperature,392.0,"405,0,1,,"
393,393,This is because the temperature has risen above the ignition point of the iron plate.,393.0,"406,0,0,,"
394,394,The iron was hot because the heat moved,394.0,"407,0,1,,"
395,395,There's a fireThe iron plate hasn't cooled down yet,395.0,"408,0,1,,"
396,396,I still have heat on the iron plate,396.0,"409,0,1,,"
397,397,Only my legs are hot,397.0,"410,0,1,,"
398,398,The hot heat of the iron burned the sheet of cloth,398.0,"411,0,0,,"
399,399,The fabric couldn't handle the heat of the iron,399.0,"412,0,1,,"
400,400,I'll heat,400.0,"413,0,1,,"
401,401,The iron plate is hot because it touches the clothes.,401.0,"414,0,1,,"
402,402,The temperature has risen,402.0,"415,0,1,,"
403,403,High temperatures destroyed the structure of the iron plate molecules,403.0,"416,0,1,,"
404,404,due to heat conduction,404.0,"417,0,1,,"
405,405,There's high temperature and oxygen,405.0,"418,0,0,,419,0,1,,"
406,406,"As the hot iron and the iron plate adhere together, the iron can catch fire because it is very hot",406.0,"420,0,1,,"
407,407,ㅇ,407.0,"421,0,0,,"
408,408,The iron was hot,408.0,"422,0,1,,"
409,409,Because cloth reacts to hot things.,409.0,"423,0,1,,"
410,410,This is because there is heat left on the iron plate.,410.0,"424,0,1,,"
411,411,Because of the heat,411.0,"425,0,0,,"
412,412,This is because the temperature has increased.,412.0,"426,0,1,,"
413,413,"A hot iron touches and heats up the heat, causing a fire.",413.0,"427,0,1,,"
414,414,My temperature is high,414.0,"428,1,1,,"
415,415,I don't understand.,415.0,"429,0,1,,"
416,416,This is because the hot iron transferred heat.,416.0,"430,0,1,,"
417,417,with a strong temperature,417.0,"431,0,1,,"
418,418,This is because the heat keeps coming out.,418.0,"432,0,1,,"
419,419,Because the iron is very hot.,419.0,"433,0,1,,"
420,420,The iron was hot and the iron plate burned.,420.0,"434,1,1,,"
421,421,Because of the heat,421.0,"435,0,1,,"
422,422,The iron was heated up,422.0,"436,0,1,,"
423,423,The iron gate caught fire when the heat was transferred to the iron plate.,423.0,"437,0,1,,"
424,424,The iron is hot,424.0,"438,0,1,,"
425,425,It's made of cloth.,425.0,"439,0,1,,"
426,426,The iron is hot,426.0,"440,0,0,,"
427,427,"The heat of the iron is transferred to the plate, causing a fire.",427.0,"441,1,1,,"
428,428,This is because the hot iron transferred heat.,428.0,"442,1,1,,"
429,429,This is because the fire was quickly transferred from the iron to the iron plate.,429.0,"443,0,1,,"
430,430,The hot iron burns when it touches the clothes,430.0,"444,0,1,,"
431,431,It's hot,431.0,"445,1,1,,"
432,432,"Because of the high temperature of the iron, it reached the ignition point",432.0,"446,0,1,,"
433,433,High temperatures are applied to the air,433.0,"447,0,1,,"
434,434,The iron plate was heated by the iron,434.0,"448,0,1,,449,0,1,,"
435,435,The hot iron burned the cloth,435.0,"450,0,0,,"
436,436,The heat of the iron went up so fast that the fire broke out because of friction with the cloth,436.0,"451,0,1,,"
437,437,There is a heat transferor for heat to travel.I,437.0,"452,0,0,,"
438,438,"As the heat on the iron moves to the iron plate, the temperature at which the fabric is burned rises, and the iron plate is burned.",438.0,"453,1,1,,"
439,439,The heat of the iron seems to have caused the fire.,439.0,"454,0,1,,"
440,440,It's so hot that it,440.0,"455,0,1,,"
441,441,It's an iron that's heating up,441.0,"456,0,0,,"
442,442,"Too hot heat is applied and it combines with oxygen in the air, causing a fire",442.0,"457,0,1,,"
443,443,The iron is hot,443.0,"458,0,1,,"
444,444,I sprayed water and didn't catch fire. I just burned the iron plate,444.0,"459,0,0,,"
445,445,It's because the temperature has risen to the temperature where the fire starts,445.0,"460,0,1,,"
446,446,Tom when the temperature is above a certain temperature,446.0,"461,0,1,,"
447,447,It's because the iron plate is so hot that it's because it's hot,447.0,"462,0,1,,"
448,448,"The hot iron stays on the cloth, but it gets hot and burns",448.0,"463,0,1,,"
449,449,"This is because if the temperature exceeds a certain temperature, it catches fire.",449.0,"464,0,1,,"
450,450,"Because the fabric is weak against heat, it puts on an iron that has a lot of heat",450.0,"465,0,1,,"
451,451,Because heat is conducted,451.0,"466,0,0,,"
452,452,This is because the heat remaining on the iron was conducted to the iron plate.,452.0,"467,0,1,,"
453,453,It's because the heat is transferred,453.0,"468,0,1,,"
454,454,"Since the cloth is burnt, the ironing board is burnt",454.0,"469,0,1,,"
455,455,The hot iron causes the fabric to get hotter and burn.,455.0,"470,0,1,,"
456,456,Cloth catches fire easily,456.0,"471,0,1,,"
457,457,The heat was higher than the constant temperature and caught fire,457.0,"472,0,1,,"
458,458,Because the heat of the iron is too hot.,458.0,"473,0,0,,"
459,459,It must have caught fire because of the high temperature,459.0,"474,0,0,,"
460,460,I don't know.,460.0,"475,0,1,,"
461,461,The continuous time and friction of the hot heat of the iron,461.0,"476,0,1,,"
462,462,It's too hot,462.0,"477,0,1,,"
463,463,???????,463.0,"478,0,0,,479,0,1,,"
464,464,It's hot,464.0,"480,0,1,,"
465,465,in a fever,465.0,"481,0,1,,"
466,466,The iron plate burns because of the heat as the iron heats up.,466.0,"482,0,1,,"
467,467,It's because of the heat,467.0,"483,0,1,,"
468,468,Because the iron was hot and the iron plate kept getting hot,468.0,"484,0,1,,"
469,469,The iron is hot,469.0,"485,0,1,,"
470,470,The fire is coming out,470.0,"486,0,0,,"
471,471,It's too hot,471.0,"487,0,1,,"
472,472,The iron is hot,472.0,"488,0,1,,"
473,473,The weather is hot and the iron is heated.,473.0,"489,0,1,,"
474,474,This may be because the iron is already heated.,474.0,"490,0,0,,"
475,475,The iron is hot.,475.0,"491,0,0,,"
476,476,It's so hot,476.0,"492,0,1,,"
477,477,"I get on the ironing board, too",477.0,"493,0,1,,"
478,478,Iron plates are materials that don't burn easily,478.0,"494,0,1,,"
479,479,The iron has enough heat,479.0,"495,0,0,,"
480,480,The iron burns the clothes by heating.,480.0,"496,1,1,,"
481,481,Iron is a gate that can move heat,481.0,"497,0,1,,"
482,482,"Because the iron is a steam iron, it makes water evaporate",482.0,"498,0,1,,"
483,483,"I got a fever, so I rode it together",483.0,"499,0,0,,"
484,484,The iron already has enough heat,484.0,"500,0,1,,"
485,485,The iron has enough heat,485.0,"501,0,1,,"
486,486,The temperature got too high,486.0,"502,0,1,,"
487,487,"It was because there was a cloth iron plate, air, and hot heat needed in case of a fire.",487.0,"503,0,1,,"
488,488,The heat gathered,488.0,"504,0,1,,"
489,489,I put a hot iron on the stream,489.0,"505,0,1,,"
490,490,The moisture is gone,490.0,"506,0,0,,"
491,491,The heat from the iron moves to the iron plate,491.0,"507,0,1,,"
492,492,The heat from the iron moves to the iron plate,492.0,"508,0,0,,509,0,1,,"
493,493,The heat of the iron moves,493.0,"510,0,1,,"
494,494,The heat is shiftingThe heat is shifting,494.0,"511,0,1,,"
495,495,The heat moves to the ironing board,495.0,"512,0,0,,"
496,496,The heat of the iron moves to the cloth iron plate and catches fire.,496.0,"513,0,0,,"
497,497,The heat is shifting,497.0,"514,0,0,,"
498,498,...,498.0,"515,0,1,,"
499,499,"This is because the temperature of the iron is higher than the ignition point of the cloth, there is enough oxygen around it, and the cloth is a burning material.",499.0,"516,0,0,,"
500,500,The iron is too hot,500.0,"517,0,0,,"
501,501,The iron is hot,501.0,"518,0,1,,"
502,502,I don't know,502.0,"519,0,1,,"
503,503,It's too hot,503.0,"520,0,1,,"
504,504,Because the iron has hot heat and the iron plate is cloth,504.0,"521,0,0,,"
505,505,The iron is hot,505.0,"522,0,1,,"
506,506,"""Because of heat transfer,",506.0,"523,0,1,,"
507,507,"""",507.0,"524,0,1,,"
508,508,Because the iron is hot.,508.0,"525,0,0,,"
509,509,Because of the heat transfer...,509.0,"526,0,0,,"
510,510,--,510.0,"527,0,0,,"
511,511,The heat moved from the iron.,511.0,"528,0,0,,"
512,512,M and D,512.0,"529,0,0,,"
513,513,I think it's because the heat is too hot.,513.0,"530,0,0,,"
514,514,It's getting hot,514.0,"531,0,1,,"
515,515,This is because the heat on the iron moved to a cloth iron plate.,515.0,"532,0,1,,"
516,516,Because of the heat,516.0,"533,0,1,,"
517,517,I don't know.,517.0,"534,1,1,,"
518,518,I don't know.,518.0,"535,0,1,,"
519,519,"Because irons iron clothes with hot temperature,",519.0,"536,0,1,,"
520,520,I don't know.,520.0,"537,1,1,,"
521,521,"""Because the cloth was burned",521.0,"538,0,1,,539,0,1,,"
522,522,"""",522.0,"540,0,0,,"
523,523,The iron is hot,523.0,"541,1,1,,"
524,524,The iron is hot,524.0,"542,1,1,,"
525,525,"Because the iron is hot by heating it up,",525.0,"543,0,0,,"
526,526,The fabric burns,526.0,"544,1,1,,"
527,527,"The iron is not lit, but the iron plate can burn because it is hot.",527.0,"545,1,1,,"
528,528,The iron is hot,528.0,"546,1,1,,"
529,529,"Since the heat goes up,",529.0,"547,0,0,,"
530,530,The fire spread,530.0,"548,0,1,,"
531,531,"I had to turn off the iron, but it just went away",531.0,"549,0,1,,"
532,532,I don't know,532.0,"550,1,1,,"
533,533,I don't know,533.0,"551,1,1,,"
534,534,I don't understand.,534.0,"552,1,1,,"
535,535,lol,535.0,"553,1,1,,"
536,536,This is because the temperature increased and heat was generated.,536.0,"554,1,1,,"
537,537,The hot iron kept sticking to the cloth iron plate and caught fire.,537.0,"555,0,0,,"
538,538,"In order to catch fire, you need oxygen, something to burn, and fire, but the fabric will burn, and the oxygen is in the air, and there was a hot iron instead of fire, so the iron plate burned.",538.0,"556,1,1,,"
539,539,"The conditions for fire are that the material to be burned, sufficient temperature, and oxygen, where the iron provided sufficient temperature.",539.0,"557,0,0,,"
540,540,"Three conditions are needed to be combustible. They are heat, oxygen, and de-materials. Oxygen was usually satisfied because it existed everywhere on Earth, and heat was satisfied because the iron was hot. Finally, the fabric could be burned, so the last conditions were met. Therefore, although it was not lit, the ironing board could be lit.",540.0,"558,0,0,,"
541,541,"""The heat released from the iron accumulated, causing the iron plate to burn",541.0,"559,0,0,,"
542,542,"""",542.0,"560,1,1,,"
543,543,This is because the iron itself generates high heat and the temperature rises above the ignition point.,543.0,"561,0,0,,"
544,544,This is because the hot iron raised the temperature of the cloth iron plate.,544.0,"562,1,0,,"
545,545,The temperature of the iron is so high that the temperature of the iron plate increases gradually and the iron plate burns,545.0,"563,0,0,,"
546,546,"When the fabric on top burned and directly contacted the fire, rapid oxidation occurred, causing the metal iron plate to change black.",546.0,"564,0,1,,"
547,547,"In order to catch fire, three conditions are required: temperature above the ignition point, de-material, and oxygen, and the iron plate was ignited because it met the three conditions even if it was not directly lit.",547.0,"565,0,1,,"
548,548,"If you keep applying hot heat to the cloth iron plate, the temperature rises and exceeds the temperature that catches fire, and it catches fire.",548.0,"566,0,0,,"
549,549,The fabric burns better,549.0,"567,1,1,,"
550,550,This is because the temperature of the iron was higher than the ignition point of the iron plate.,550.0,"568,0,1,,569,0,0,,"
551,551,"This is because there is an iron plate that was oxygen and de-material, and the temperature of the iron plate became higher than the ignition point due to the iron.",551.0,"570,0,0,,"
552,552,"Since the de-material fabric was under the hot iron, and there was a hot iron that reached the ignition point, there was an element that satisfied the firing conditions, so it caught fire and the iron plate burned.",552.0,"571,1,0,,"
553,553,I'm sorry.,553.0,"572,0,0,,"
554,554,"Fire is caused by a lot of energy (heat), and when air is supplied, it catches fire. Therefore, since the dam is hot, heat is supplied, and air is supplied, so fire may occur.",554.0,"573,1,1,,"
555,555,"High heat is generated by the iron, and as a result, the temperature of the iron plate increases rapidly, thereby increasing reactivity with oxygen. Since the combustion reaction is a bond with oxygen, the use of an iron may cause combustion and fire.",555.0,"574,0,1,,"
556,556,"For combustion, a temperature higher than oxygen and the firing point is required, and the temperature of the iron plate rises above the firing point by the hot iron, and because there was oxygen, the combustion conditions were met and the iron plate burned.",556.0,"575,0,0,,"
557,557,"The temperature of the fabric iron plate increases due to the hot iron, and the temperature of the iron plate increases to the burning point of the fabric, satisfying the three conditions of fire: temperature, de-material, and oxygen.",557.0,"576,0,1,,"
558,558,"If the temperature of each material increases above a certain temperature, it will catch fire and burn even if it is not directly lit.",558.0,"577,1,1,,"
559,559,"This is because the hot iron was located in one place for a long time and raised the temperature above the ignition point of the cloth. Each substance has its own ignition point, which fires when the temperature rises above the ignition point.",559.0,"578,0,1,,"
560,560,"De-materials, oxygen, and sufficient temperature are required to cause a fire. The iron plate has de-materials, and oxygen around it. In conclusion, the hot iron was still on the iron plate, so it reached a sufficient temperature and the leg plate burned.",560.0,"579,0,0,,"
561,561,under the heat,561.0,"580,0,0,,"
562,562,The fire broke out at a certain temperature,562.0,"581,0,1,,"
563,563,There's a heat on the iron,563.0,"582,0,1,,"
564,564,I don't know,564.0,"583,0,1,,"
565,565,.,565.0,"584,0,0,,"
566,566,"Each material fires at a certain temperature, because the cloth reaches that temperature through the iron.",566.0,"585,0,1,,"
567,567,direct contact with fire,567.0,"586,0,1,,"
568,568,It's heated up to the heating point,568.0,"587,0,0,,"
569,569,"Now that you've heated it up, go",569.0,"588,0,0,,"
570,570,It's hot,570.0,"589,0,0,,"
571,571,It's hot,571.0,"590,0,1,,"
572,572,It's because they're different in nature.,572.0,"591,1,1,,"
573,573,Fire occurs when the temperature is above a certain temperature.,573.0,"592,0,1,,"
574,574,The iron is hot,574.0,"593,1,1,,"
575,575,I don't know.,575.0,"594,0,1,,"
576,576,Because the iron plate is made of non-burnable material,576.0,"595,0,1,,"
577,577,The iron heats up and reaches the ignition point,577.0,"596,0,1,,"
578,578,?,578.0,"597,0,1,,"
579,579,The temperature goes up above the ignition point,579.0,"598,0,0,,599,0,0,,"
580,580,The heat keeps going,580.0,"600,0,1,,"
581,581,It's because of the fever.,581.0,"601,0,1,,"
582,582,The temperature of the iron is high,582.0,"602,0,1,,"
583,583,The temperature of the iron was higher than the firing temperature of the cloth and caught fire.,583.0,"603,0,1,,"
584,584,"There's no fire, but the temperature is high.",584.0,"604,1,1,,"
585,585,It's because of electricity and water vapor.,585.0,"605,1,1,,"
586,586,It is because of the constant heat applied.,586.0,"606,0,1,,"
587,587,It's hot,587.0,"607,0,1,,"
588,588,I'll heat. I'll heat it up,588.0,"608,0,1,,"
589,589,"The temperature didn't rise to the point of fire, but the iron seemed to burn with a constant supply of heat.",589.0,"609,0,1,,"
590,590,It is because it has high conductivity and oxygen.,590.0,"610,1,0,,"
591,591,heated up,591.0,"611,0,0,,"
592,592,Because it gets hotter as time goes by.,592.0,"612,1,1,,"
593,593,The iron plate hasn't been heated enough to catch fire yetIt's not hot enough to catch fire,593.0,"613,1,1,,"
594,594,It's not the temperature at which the iron plate catches fire,594.0,"614,1,1,,"
595,595,Because the iron is hot,595.0,"615,0,1,,"
596,596,This is because the temperature of the hot iron was higher than the ignition point of the iron sheet fabric.,596.0,"616,0,1,,"
597,597,It is because of the hot heat of the iron or the heat of electricity.,597.0,"617,1,1,,"
598,598,"This is because the hot iron supplied heat energy enough to reach a temperature above the firing point of the cloth, and there was enough oxygen.",598.0,"618,0,1,,"
599,599,The fabric is heat transferreduced,599.0,"619,0,0,,"
600,600,"Because of the heat and water in the iron,",600.0,"620,0,1,,"
601,601,It's hot,601.0,"621,1,1,,"
602,602,It's hot,602.0,"622,1,0,,"
603,603,yo,603.0,"623,1,1,,"
604,604,I'm done with a lighter,604.0,"624,0,1,,"
605,605,Because the iron is hot,605.0,"625,1,1,,"
606,606,It's hot,606.0,"626,0,0,,"
607,607,heat conduction,607.0,"627,1,0,,"
608,608,"When the noodles are heated to high temperatures, they start to burn and start to catch fire",608.0,"628,0,1,,629,0,1,,"
609,609,The temperature of the hot iron exceeded the ignition point,609.0,"630,0,1,,"
610,610,"This is because it burns when there is de-material, oxygen, and temperature above a certain standard.",610.0,"631,0,1,,"
611,611,This is because the ironing board is weak at hot temperatures.,611.0,"632,1,1,,"
612,612,"""",612.0,"633,0,1,,"
613,613,The iron is hot,613.0,"634,0,1,,"
614,614,The hot steam raised the temperature.,614.0,"635,0,1,,"
615,615,It's because the temperature is high,615.0,"636,0,1,,"
616,616,"Heat reaches the ignition point of the fabric and the ignition point of the iron is not reached, so the fabric is burned",616.0,"637,0,1,,"
617,617,"It's because the cloth on the ironing board, not the ironing board, caught on fire",617.0,"638,0,0,,"
618,618,"Because there was oxygen, and the iron plate became a temperature above the ignition point, and there was a de-material called an iron plate, so all three conditions of combustion were met.",618.0,"639,0,1,,"
619,619,"This is because even if the temperature rises above a certain temperature, it catches fire.",619.0,"640,0,1,,"
620,620,This is because the steam in the iron is heated up more than the burning point of the iron plate.,620.0,"641,0,1,,"
621,621,Because the heat is transferred to the iron plate,621.0,"642,0,1,,"
622,622,This is because it received high heat in a continuously narrow range.,622.0,"643,1,1,,"
623,623,This is because heat was applied to the iron plate and the temperature was as high as the fire.,623.0,"644,1,1,,"
624,624,I'll put a hot iron,624.0,"645,0,1,,"
625,625,I don't know,625.0,"646,0,0,,"
626,626,"Because the iron is hot,",626.0,"647,0,1,,"
627,627,The temperature of the iron plate exceeded the ignition point,627.0,"648,0,0,,"
628,628,This is because the iron plate has crossed the ignition point.,628.0,"649,0,1,,"
629,629,"There was a de-material called an iron plate, and as the iron was continuously heated, the temperature increased to a temperature above the firing point, so the iron plate burned.",629.0,"650,0,0,,"
630,630,"This is because enough heat is supplied, enough oxygen exists to burn the substance, and de-materials exist.",630.0,"651,1,1,,"
631,631,It's because the cloth has reached the burnable temperature,631.0,"652,0,1,,"
632,632,Let's see. Sexy,632.0,"653,0,1,,"
633,633,This is because the iron plate has a higher bong point than the cloth.,633.0,"654,0,1,,"
634,634,I think the iron is burning because of the heat.,634.0,"655,0,1,,"
635,635,Because the heat is heated in a state of heat dissipation,635.0,"656,0,0,,"
636,636,"It is because the temperature of the water is high, although the fire may not occur well.",636.0,"657,0,1,,"
637,637,"If the cotton fabric continues to receive heat for a certain amount of time, it will catch fire",637.0,"658,0,0,,659,0,1,,"
638,638,"Due to the temperature above the ignition point,",638.0,"660,0,1,,"
639,639,"Since the iron applied heat to the cloth of a certain area for a long time, the cloth lost its characteristics to maintain the state, and a fire occurred when it met oxygen in the air.",639.0,"661,0,1,,"
640,640,Because the iron plate was already hot,640.0,"662,0,1,,"
641,641,It's because the iron produces heat,641.0,"663,0,1,,"
642,642,"The heat of the hot iron is getting hotter and hotter, so it seems to have burned.",642.0,"664,0,1,,"
643,643,The reason is that the heat of the iron remained the same.,643.0,"665,0,0,,"
644,644,It's made of fabric,644.0,"666,1,1,,"
645,645,"As strong heat energy was supplied, oxygen was blocked, creating an environment in which fire could catch fire.",645.0,"667,0,1,,"
646,646,The heat on the ironing board is gone,646.0,"668,0,0,,"
647,647,The bottom of the iron is still hot,647.0,"669,0,0,,"
648,648,There's heat on the iron,648.0,"670,0,1,,"
649,649,"This is because there are de-materials and oxygen, and the temperature is above the ignition point.",649.0,"671,1,0,,"
650,650,This is because the conduction heat of the iron is higher than the temperature of the combustion point of the fabric and the fabric is burned.,650.0,"672,1,1,,"
651,651,It's getting heated up,651.0,"673,1,1,,"
652,652,This is because electrical energy has been converted into thermal energy.,652.0,"674,0,1,,"
653,653,The high temperature of the iron burned the iron plate.,653.0,"675,0,1,,"
654,654,"The fabric was burned out, so the iron plate under the fabric was used to keep the fire burning, so the iron plate was also burned.",654.0,"676,1,1,,"
655,655,The reason why the iron plate was on fire was that the hot iron was not cooled down and was placed directly on the iron plate.,655.0,"677,1,0,,"
656,656,"It is because the electrical cord is operated without removing it, and then it is placed on the clothes.",656.0,"678,1,1,,"
657,657,"This is because the heat generated from the iron is continuously transferred to the iron plate, and the temperature of the iron plate is high enough to burn.",657.0,"679,1,0,,"
658,658,Because of the heat,658.0,"680,1,1,,"
659,659,The hot heat caused the iron to burn,659.0,"681,0,1,,"
660,660,"Because of the heat of the iron,",660.0,"682,0,1,,"
661,661,"There must be oxygen and hot objects to catch fire.However, there is oxygen and hot objects on the iron plate, so there is a fire.",661.0,"683,0,1,,"
662,662,Because the iron plate is cloth.,662.0,"684,0,1,,"
663,663,"The heat kept coming out of the iron, and the heat burned the cloth.",663.0,"685,1,1,,"
664,664,"The reason why the iron gets hot is that it puts water inside and allows water to heat up, so that some moisture and carbon dioxide combine to create a fire",664.0,"686,1,1,,"
665,665,It's hot,665.0,"687,0,1,,"
666,666,"The hot iron was in the cloth for a long time and the heat of the iron moved to the cloth, causing the fire",666.0,"688,1,1,,689,0,1,,"
667,667,"Because of the heat of the iron,",667.0,"690,1,1,,"
668,668,The heat energy of the iron came out and the cloth burned,668.0,"691,1,0,,"
669,669,The heat is generated by electricity,669.0,"692,1,1,,"
670,670,"Heat energy (hot iron) continued to touch a cloth that was easy to transfer heat, so heat was transferred and burned.",670.0,"693,0,0,,"
671,671,"This is because if heat is continuously concentrated in one place, it causes a fire.",671.0,"694,0,1,,"
672,672,"If a hot temperature is applied to the point where it is on fire even if it does not catch fire, particles of an object are destroyed by high heat, and particles around it are destroyed, so that they burn as they grow in size.",672.0,"695,0,1,,"
673,673,burn with a lot of heat,673.0,"696,0,1,,"
674,674,It's because it doesn't rise to the temperature of the fire.,674.0,"697,0,1,,"
675,675,Seongsu is the best,675.0,"698,1,1,,"
676,676,It's hot,676.0,"699,1,1,,"
677,677,beyond the point of burning,677.0,"700,0,1,,"
678,678,"When the temperature rises above the ignition point, the network burns",678.0,"701,0,1,,"
679,679,The temperature goes up above the ignition point,679.0,"702,0,1,,"
680,680,"Because the iron is heated,",680.0,"703,1,1,,"
681,681,It is because of the heat of the iron.,681.0,"704,0,1,,"
682,682,"Because the iron made the temperature of the fabric above the ignition point,",682.0,"705,0,1,,"
683,683,We reached the point of ignition,683.0,"706,1,1,,"
684,684,It's at the burning temperature,684.0,"707,1,1,,"
685,685,"You get to the ignition point, you meet oxygen,",685.0,"708,1,1,,"
686,686,This is because the minimum temperature of the fire was met and energy as much as the temperature was increased,686.0,"709,0,1,,"
687,687,The temperature went up,687.0,"710,0,1,,"
688,688,The heat is continuously applied,688.0,"711,0,1,,"
689,689,"The fabric catches fire easily, but if you keep pressing it with an iron, the temperature goes up and it catches fire",689.0,"712,0,1,,"
690,690,The iron plate is hot and causes a fire.,690.0,"713,0,1,,"
691,691,"This is because the temperature, which is the burning point of the iron plate, was reached by an iron.",691.0,"714,1,1,,"
692,692,It's because the temperature went up above the ignition pointThe temperature went up,692.0,"715,1,1,,"
693,693,The hot iron caught fire beyond a certain temperature,693.0,"716,0,0,,"
694,694,The temperature went up,694.0,"717,0,1,,"
695,695,This is because it has exceeded a certain temperature that can cause a fire.,695.0,"718,0,0,,719,1,0,,"
696,696,"""I've reached the point of ignition",696.0,"720,0,1,,"
697,697,"""",697.0,"721,0,1,,"
698,698,"Irons are used for clothing because of the hot temperature, which causes the temperature to rise above the ignition point and burn",698.0,"722,1,1,,"
699,699,It's on top of the cloth,699.0,"723,0,1,,"
