,Unnamed: 0,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,Unnamed: 0,", q31_discrimination, q31_job, q31_judgment, q31_human rights, q31_discrimination.1,q31_Job.1,q31_Trial.1,q31_Human rights.1"
272,272,the right of the disabled not to be discriminated against,272.0,"281,0,0,0,1,,,,"
273,273,The people have the right to be guaranteed in all their daily lives,273.0,"282,0,0,0,0,,,,"
274,274,the right to be guaranteed,274.0,"283,0,0,0,0,,,,"
275,275,Don't know,275.0,"284,0,0,1,0,,,,"
276,276,the right to freely express one's mind,276.0,"285,0,0,0,0,,,,"
277,277,the right to work,277.0,"286,0,0,0,1,,,,"
278,278,I don't know.,278.0,"287,0,0,0,0,,,,"
279,279,the three-trial system,279.0,"288,0,0,0,0,,,,"
280,280,It presents the right to equality that both the disabled and normal people have human rights.,280.0,"289,0,0,0,0,,,,"
281,281,equal rights,281.0,"290,0,0,0,0,,,,"
282,282,I don't know.,282.0,"291,0,1,0,0,,,,"
283,283,All citizens are equal.,283.0,"292,0,0,0,0,,,,"
284,284,Human dignity and the right to seek happiness,284.0,"293,0,1,0,0,,,,"
285,285,I don't know.,285.0,"294,0,0,0,0,,,,"
286,286,a handicapped person,286.0,"295,0,1,0,0,,,,"
287,287,I don't know.,287.0,"296,1,0,0,0,,,,"
288,288,"Freedom, equality, social rights, suffrage, claim, social rights",288.0,"297,0,0,1,0,,,,"
289,289,None.,289.0,"298,0,0,1,0,,,,299,0,1,0,1,,,,"
290,290,"They are the basic rights stipulated in the Constitution: the right to freedom, the right to claim",290.0,"300,1,0,0,0,,,,"
291,291,"Human dignity, values, and the right to pursue happiness",291.0,"301,1,1,0,0,,,,"
292,292,I don't know.,292.0,"302,1,1,0,0,,,,"
293,293,human right,293.0,"303,0,0,0,0,,,,"
294,294,I don't know,294.0,"304,0,1,0,0,,,,"
295,295,the three-trial system,295.0,"305,0,0,0,1,,,,"
296,296,a claim?,296.0,"306,1,0,0,0,,,,"
297,297,human right,297.0,"307,0,1,0,0,,,,"
298,298,duty of tax payment,298.0,"308,0,1,0,0,,,,"
299,299,the three-trial system,299.0,"309,0,0,0,0,,,,"
300,300,?,300.0,"310,0,0,0,0,,,,"
301,301,Society is a bit...,301.0,"311,1,0,0,0,,,,"
302,302,Every citizen has freedom.,302.0,"312,0,0,0,0,,,,"
303,303,I don't understand.,303.0,"313,1,0,0,0,,,,"
304,304,the right to freedom,304.0,"314,0,1,0,0,,,,"
305,305,Don't know,305.0,"315,1,1,0,0,,,,"
306,306,the right to do what one wants to do,306.0,"316,1,1,0,0,,,,"
307,307,the right to at least be respected as a human being,307.0,"317,1,0,0,0,,,,"
308,308,"Basic rights, living rights,",308.0,"318,0,0,0,0,,,,"
309,309,"the right to life, the right to claim, the right to vote, the right to obligation",309.0,"319,0,1,0,0,,,,"
310,310,"Human rights, freedom, and so on",310.0,"320,1,0,0,0,,,,"
311,311,equal rights,311.0,"321,0,1,0,0,,,,"
312,312,the right of equality,312.0,"322,0,1,0,0,,,,"
313,313,"Social rights, equal rights, and free rights.",313.0,"323,1,1,0,0,,,,"
314,314,I don't know.,314.0,"324,0,0,0,0,,,,"
315,315,the right of liberty,315.0,"325,0,0,0,0,,,,"
316,316,the right to guarantee human rights,316.0,"326,1,1,0,0,,,,"
317,317,All citizens have equal rights regardless of disability.,317.0,"327,0,1,0,0,,,,"
318,318,the right to work,318.0,"328,1,1,0,0,,,,329,0,0,0,0,,,,"
319,319,"the right to freedom, the right to society, the right to live like a human being,",319.0,"330,0,0,0,1,,,,"
320,320,I don't know,320.0,"331,0,1,0,0,,,,"
321,321,.,321.0,"332,0,0,0,1,,,,"
322,322,People with disabilities or whatever have equal rights.,322.0,"333,1,0,0,0,,,,"
323,323,It's going to be far.,323.0,"334,0,0,0,0,,,,"
324,324,All citizens have equal rights regardless of disability.,324.0,"335,0,0,0,0,,,,"
325,325,People with disabilities also have the right to work.,325.0,"336,0,0,0,0,,,,"
326,326,"""Basic Rights",326.0,"337,0,0,0,0,,,,"
327,327,equal rights,327.0,"338,0,0,0,0,,,,"
328,328,the right of liberty,328.0,"339,0,0,0,0,,,,"
329,329,"""Social rights""",329.0,"340,0,0,0,0,,,,"
330,330,Freedom and equality to enter the company,330.0,"341,1,0,0,0,,,,"
331,331,People with disabilities should be treated equally.,331.0,"342,1,0,0,0,,,,"
332,332,"Even if you have a disability, you have to give the privilege of the disabled and examine them",332.0,"343,0,0,0,1,,,,"
333,333,"Industrial accidents are insured, actual expenses come out, money comes out, minimum right to work",333.0,"344,0,0,0,0,,,,"
334,334,the right to equality,334.0,"345,0,0,0,0,,,,"
335,335,This is because the people have the right to work freely regardless of disability,335.0,"346,0,0,0,1,,,,"
336,336,"""1. Right of Freedom",336.0,"347,0,0,0,0,,,,"
337,337,2. suffrage,337.0,"348,0,0,0,0,,,,"
338,338,"3. ""Social rights""",338.0,"349,1,0,0,0,,,,"
339,339,equality and freedom,339.0,"350,1,0,0,0,,,,"
340,340,"""Yes, yes",340.0,"351,0,0,0,0,,,,"
341,341,"""",341.0,"352,0,0,0,0,,,,"
342,342,the right to guarantee happiness,342.0,"353,0,0,0,0,,,,"
343,343,"All citizens are equal, the right to work",343.0,"354,0,0,0,0,,,,"
344,344,"the right to work, the right to society, the duty of labor",344.0,"355,1,0,0,0,,,,"
345,345,"Everyone has the right to be free, to be happy, to be respected.",345.0,"356,0,0,0,0,,,,"
346,346,1),346.0,"357,1,0,0,0,,,,"
347,347,"Article 1, Paragraph 10 of the Constitution of the Republic of Korea All citizens have dignity and value as humans and have the right to pursue happiness. The state is obligated to confirm and guarantee the inviolable basic human rights of individuals.",347.0,"358,0,1,0,0,,,,359,1,1,0,0,,,,"
348,348,"In the Constitution, among the rights of the people, the people can work according to their free will.",348.0,"360,0,0,0,0,,,,"
349,349,"""Human rights""",349.0,"361,0,0,0,1,,,,"
350,350,"""",350.0,"362,0,0,0,1,,,,"
351,351,Fairness,351.0,"363,0,1,0,0,,,,"
352,352,I don't know.,352.0,"364,0,0,0,0,,,,"
353,353,I don't know,353.0,"365,0,0,0,0,,,,"
354,354,very well,354.0,"366,1,0,0,0,,,,"
355,355,I don't know,355.0,"367,0,0,0,0,,,,"
356,356,be able to do free economic activities,356.0,"368,0,0,0,1,,,,"
357,357,I don't know,357.0,"369,0,0,0,0,,,,"
358,358,"A woman can be an aviator, too",358.0,"370,0,1,1,0,,,,"
359,359,Do not discriminate against the disabled,359.0,"371,1,1,0,0,,,,"
360,360,the right to respect,360.0,"372,1,0,0,0,,,,"
361,361,human right,361.0,"373,0,1,0,0,,,,"
362,362,I went in confidently.,362.0,"374,0,0,0,0,,,,"
363,363,the right to help the disabled,363.0,"375,0,0,0,0,,,,"
364,364,the rights of minorities,364.0,"376,0,1,1,0,,,,"
365,365,"Lee Hee-ah. Lee Hee-ah achieved her dream even though she has four fingers, so no matter how disabled she is, it doesn't mean she can't do what she wants",365.0,"377,0,0,0,0,,,,"
366,366,I don't know,366.0,"378,0,0,0,0,,,,"
367,367,"I think it's a little embarrassing for the company to not be able to get a job because of the disability, so I hope that there will be no more discrimination for the reason of the disability in the future.",367.0,"379,0,0,0,0,,,,"
368,368,People with disabilities should not be ignored or demeaned.,368.0,"380,0,1,0,0,,,,"
369,369,the right to all one's heart's content,369.0,"381,0,0,0,0,,,,"
370,370,I don't know,370.0,"382,0,0,0,0,,,,"
371,371,Ahn Junggeun and Yoo Kwansoon,371.0,"383,1,1,1,0,,,,"
372,372,The right to be born...,372.0,"384,0,0,0,1,,,,"
373,373,To discriminate against a minority without seeing ability,373.0,"385,0,0,0,0,,,,"
374,374,I don't know.,374.0,"386,0,0,0,0,,,,"
375,375,not discriminate against one's identity,375.0,"387,0,1,0,0,,,,"
376,376,It seems to be a right related to freedom among the rights of the people.,376.0,"388,0,0,0,0,,,,389,0,1,0,0,,,,"
377,377,"Right of freedom, right of equality, etc",377.0,"390,1,0,0,0,,,,"
378,378,..........,378.0,"391,0,0,0,0,,,,"
379,379,human right,379.0,"392,1,1,0,0,,,,"
380,380,human right,380.0,"393,0,0,0,0,,,,"
381,381,the right of liberty,381.0,"394,1,0,0,0,,,,"
382,382,to re-provide jobs for people with disabilities,382.0,"395,1,0,0,0,,,,"
383,383,to provide jobs for the disabled,383.0,"396,0,0,0,0,,,,"
384,384,Must be equal,384.0,"397,0,0,0,0,,,,"
385,385,It helps the minority and the disabled.,385.0,"398,0,0,0,1,,,,"
386,386,human right,386.0,"399,0,0,0,0,,,,"
387,387,duty of tax payment,387.0,"400,0,0,0,1,,,,"
388,388,"1 If you try once and you can't follow the result, you can try up to three times, you can bring the case back to the country, you can go to the job you want.",388.0,"401,0,1,0,0,,,,"
389,389,"Right to freedom, right to equality, right",389.0,"402,0,1,0,0,,,,"
390,390,an indifferent right not to be discriminated against,390.0,"403,0,1,0,0,,,,"
391,391,People with disabilities can also have jobs,391.0,"404,0,1,0,0,,,,"
392,392,N and M.m,392.0,"405,1,0,0,0,,,,"
393,393,h,393.0,"406,0,1,0,0,,,,"
394,394,"""-the right to choose the job you want to do",394.0,"407,0,0,0,0,,,,"
395,395,"-Right to sue- The right to trial""",395.0,"408,0,0,0,0,,,,"
396,396,The National Assembly can only be determined by the State,396.0,"409,0,0,0,0,,,,"
397,397,the right to be protected,397.0,"410,0,1,0,0,,,,"
398,398,I don't know.,398.0,"411,0,0,0,0,,,,"
399,399,the right to work,399.0,"412,1,0,0,0,,,,"
400,400,"Even if you have a disability, you must evaluate your true abilities",400.0,"413,0,0,0,0,,,,"
401,401,I don't know.,401.0,"414,1,0,0,0,,,,"
402,402,"The right of equality not to be discriminated against for having a disability, everyone has the right to sue, and a three-trial system is guaranteed that can be sued three times for a single case.",402.0,"415,1,0,0,0,,,,"
403,403,human right,403.0,"416,1,0,0,0,,,,"
404,404,the right to know,404.0,"417,0,0,0,0,,,,"
405,405,I don't know,405.0,"418,0,0,0,1,,,,419,1,0,0,0,,,,"
406,406,I have to let the company in just because I have a disability,406.0,"420,0,0,0,0,,,,"
407,407,.,407.0,"421,1,0,0,0,,,,"
408,408,We should allow disabled people to do what they can,408.0,"422,0,1,0,0,,,,"
409,409,Don't discriminate.,409.0,"423,0,0,0,0,,,,"
410,410,I don't know.,410.0,"424,1,0,0,0,,,,"
411,411,The people of the Republic of Korea have freedom of religion and the right to work in a comfortable workplace. They do not discriminate against disabled people,411.0,"425,0,0,0,0,,,,"
412,412,I don't know.,412.0,"426,0,0,0,0,,,,"
413,413,People with disabilities are equal,413.0,"427,0,0,0,0,,,,"
414,414,All men are equal.,414.0,"428,0,0,0,0,,,,"
415,415,You need to be protected,415.0,"429,0,0,0,0,,,,"
416,416,Let me work from home.,416.0,"430,1,0,0,0,,,,"
417,417,human right,417.0,"431,1,0,0,0,,,,"
418,418,All citizens are guaranteed basic rights.,418.0,"432,1,1,0,0,,,,"
419,419,human right,419.0,"433,1,0,0,1,,,,"
420,420,"Even if you have a disability, you can get a job if you have no problems in progressing your work.",420.0,"434,0,0,0,0,,,,"
421,421,"Even if I have a disability, I can go to work or work part-time",421.0,"435,1,0,0,0,,,,"
422,422,You have the right to work even if you have a disability,422.0,"436,1,0,0,0,,,,"
423,423,I can work even if I have a disability,423.0,"437,0,1,0,0,,,,"
424,424,People who are injured should work equally.,424.0,"438,0,0,0,1,,,,"
425,425,the right to get a job at a company one wants,425.0,"439,1,0,0,0,,,,"
426,426,I don't understand.,426.0,"440,0,1,0,0,,,,"
427,427,You have the right to do what you want.,427.0,"441,1,0,1,0,,,,"
428,428,I don't understand.,428.0,"442,1,0,0,1,,,,"
429,429,the right to work in Jean-Ae India,429.0,"443,0,1,0,0,,,,"
430,430,I'm not sure.,430.0,"444,0,1,0,0,,,,"
431,431,"In other countries, you should not discriminate even if you are not feeling well. (All men must be equal.)",431.0,"445,1,0,0,0,,,,"
432,432,According to the will of the people...?,432.0,"446,0,0,0,1,,,,"
433,433,It is the right to equal rights and not discriminate.,433.0,"447,1,0,0,0,,,,"
434,434,People should not all be discriminated against.,434.0,"448,1,1,0,0,,,,449,1,0,0,0,,,,"
435,435,People with disabilities cannot discriminate.,435.0,"450,0,0,0,0,,,,"
436,436,I don't know.,436.0,"451,0,0,0,0,,,,"
437,437,human right,437.0,"452,1,0,0,0,,,,"
438,438,All men are equal.,438.0,"453,0,1,0,0,,,,"
439,439,"There are eating, sleeping, studying, and so on",439.0,"454,0,0,0,1,,,,"
440,440,The right to test only skills without discrimination even if there is a disability.,440.0,"455,1,1,0,0,,,,"
441,441,the right to work,441.0,"456,0,0,0,0,,,,"
442,442,The rights of the Republic of Korea belong to the people.,442.0,"457,1,0,0,0,,,,"
443,443,All citizens are equal without discrimination.,443.0,"458,1,0,0,0,,,,"
444,444,You have the right to vote in an election.,444.0,"459,0,0,0,0,,,,"
445,445,when you are a foreigner,445.0,"460,1,0,0,0,,,,"
446,446,voting in an election,446.0,"461,0,0,0,0,,,,"
447,447,duty to work,447.0,"462,0,1,0,0,,,,"
448,448,I am not aware of the rights of the people presented by the Constitution.,448.0,"463,0,0,0,0,,,,"
449,449,the right not to be discriminated against,449.0,"464,0,1,1,0,,,,"
450,450,Everyone should be treated equally.,450.0,"465,0,0,0,1,,,,"
451,451,"the right to work, the right not to be discriminated against",451.0,"466,0,0,0,0,,,,"
452,452,Human rights and equal rights.,452.0,"467,1,0,0,0,,,,"
453,453,Work Act for Persons with Disabilities,453.0,"468,0,1,0,0,,,,"
454,454,"the right to equality, the right to protect the weak",454.0,"469,0,0,0,1,,,,"
455,455,All men are equal,455.0,"470,0,0,0,1,,,,"
456,456,the right to work,456.0,"471,1,0,0,1,,,,"
457,457,human right,457.0,"472,0,0,0,0,,,,"
458,458,The people were born with equal rights.,458.0,"473,1,0,0,0,,,,"
459,459,"""Can you do what you want to do even if you have a disability?",459.0,"474,0,0,0,1,,,,"
460,460,"""",460.0,"475,0,1,0,0,,,,"
461,461,The people have the equal right to be treated equally and the right to justice,461.0,"476,0,1,0,0,,,,"
462,462,"Civil rights, natural rights, the right to be protected by the state, the right not to be treated unfairly",462.0,"477,0,1,0,0,,,,"
463,463,The people have the right to work,463.0,"478,0,1,0,0,,,,479,1,0,0,0,,,,"
464,464,the right to work,464.0,"480,1,0,0,0,,,,"
465,465,Everyone has the right to be equal.,465.0,"481,1,0,0,0,,,,"
466,466,protection of human rights,466.0,"482,0,0,0,0,,,,"
467,467,equal rights,467.0,"483,0,0,0,0,,,,"
468,468,the right of equality,468.0,"484,1,0,0,0,,,,"
469,469,equal rights,469.0,"485,1,0,0,0,,,,"
470,470,"The people are uncomfortable without disability equality, but I think it is right to work if you can. But I don't know what the rights of the people are",470.0,"486,0,0,0,0,,,,"
471,471,the right to vote per person,471.0,"487,0,0,0,0,,,,"
472,472,equal rights,472.0,"488,0,0,0,0,,,,"
473,473,the right to work fairly,473.0,"489,0,0,0,0,,,,"
474,474,natural rights,474.0,"490,0,0,0,0,,,,"
475,475,the right to freedom and equality,475.0,"491,0,0,0,0,,,,"
476,476,I don't know.,476.0,"492,0,0,0,0,,,,"
477,477,"No discrimination against persons with disabilities, treatment of persons with disabilities",477.0,"493,0,0,0,0,,,,"
478,478,All people are equal,478.0,"494,0,0,0,0,,,,"
479,479,"I wanted to work at a company,",479.0,"495,0,0,0,0,,,,"
480,480,Disability discrimination,480.0,"496,0,0,0,0,,,,"
481,481,I don't know.,481.0,"497,0,0,0,0,,,,"
482,482,I can work at a company even if I have a disability.,482.0,"498,0,0,0,0,,,,"
483,483,"Even if you have a disability, you can go in if you do well?",483.0,"499,0,0,0,0,,,,"
484,484,"the right to a disabled person, the right to sue, the right to a job",484.0,"500,0,0,0,0,,,,"
485,485,have human rights (??),485.0,"501,0,1,0,0,,,,"
486,486,People with disabilities can' work?,486.0,"502,0,0,0,0,,,,"
487,487,"People with disabilities are all the same, and we are equal",487.0,"503,0,1,0,0,,,,"
488,488,"Even if you have a disability, you have the right to interview the company.",488.0,"504,0,0,0,0,,,,"
489,489,"My rights are not in the possession of others, they are in the possession of myself.Therefore, Group A's company violated the rights of the people.violation of human rights",489.0,"505,0,1,0,0,,,,"
490,490,human right,490.0,"506,0,0,0,0,,,,"
491,491,Not discriminated against even with disabilities? Human rights?,491.0,"507,0,0,0,0,,,,"
492,492,Let's be safe,492.0,"508,0,0,0,0,,,,509,0,0,0,0,,,,"
493,493,one's right not to be discriminated against,493.0,"510,0,0,0,0,,,,"
494,494,"Human rights for persons with disabilitiesAll citizens have equal rights. Therefore, it is ridiculous that Hong Gil-dong cannot work for a company because he has a disability in the company even though he can do enough work on himself.",494.0,"511,0,0,0,0,,,,"
495,495,"If you don't have a major disability, you can go to the company.",495.0,"512,1,0,0,0,,,,"
496,496,People with disabilities go to work,496.0,"513,1,0,0,0,,,,"
497,497,A person has the right to enter a company,497.0,"514,0,0,0,0,,,,"
498,498,No Discrimination,498.0,"515,0,0,0,0,,,,"
499,499,Disability discrimination,499.0,"516,0,0,0,0,,,,"
500,500,Disability discrimination,500.0,"517,0,0,0,0,,,,"
501,501,"""Elections for All Adults""",501.0,"518,0,1,0,0,,,,"
502,502,"""",502.0,"519,0,0,0,0,,,,"
503,503,three-way ticket,503.0,"520,0,1,0,0,,,,"
504,504,There must be equality.,504.0,"521,1,0,0,0,,,,"
505,505,Don't discriminate.,505.0,"522,1,0,0,0,,,,"
506,506,I am not familiar with the constitution.,506.0,"523,0,0,0,0,,,,"
507,507,I don't know,507.0,"524,0,0,0,0,,,,"
508,508,I don't know,508.0,"525,0,0,0,0,,,,"
509,509,I don't know,509.0,"526,0,0,0,0,,,,"
510,510,I don't know,510.0,"527,0,0,0,0,,,,"
511,511,I don't know,511.0,"528,1,0,0,0,,,,"
512,512,I don't know,512.0,"529,0,0,0,0,,,,"
513,513,I don't know,513.0,"530,0,0,0,0,,,,"
514,514,I don't know,514.0,"531,1,1,1,0,,,,"
515,515,I don't understand...,515.0,"532,0,1,1,1,,,,"
516,516,I don't know.,516.0,"533,0,1,0,0,,,,"
517,517,"Even if you are disabled, you can find an easy job. (Job Center)",517.0,"534,0,1,1,0,,,,"
518,518,I don't know.,518.0,"535,1,1,1,0,,,,"
519,519,I don't know,519.0,"536,1,1,1,0,,,,"
520,520,the right to support people with disability,520.0,"537,1,1,0,0,,,,"
521,521,People who are uncomfortable have the right to work and learn.,521.0,"538,0,1,1,0,,,,539,1,0,1,0,,,,"
522,522,I don't know,522.0,"540,1,1,1,0,,,,"
523,523,Freedom,523.0,"541,1,0,0,0,,,,"
524,524,I don't know,524.0,"542,1,1,1,0,,,,"
525,525,People have the right to work.,525.0,"543,0,0,1,0,,,,"
526,526,be ignorant of the law,526.0,"544,1,1,1,0,,,,"
527,527,have a prejudice that one can't work just because one is in the market,527.0,"545,1,0,0,0,,,,"
528,528,M and D,528.0,"546,1,0,0,1,,,,"
529,529,"Mr. Hong Gil-dong thinks that despite the disability, he is not going to the Constitution by beating Company A.",529.0,"547,1,0,1,0,,,,"
530,530,I don't know.,530.0,"548,1,1,0,0,,,,"
531,531,I don't know,531.0,"549,1,0,1,1,,,,"
532,532,I respect everyone,532.0,"550,1,1,0,0,,,,"
533,533,Being able to work even if you have a disability Disgusting or uncomfortable discriminating.,533.0,"551,1,1,0,0,,,,"
534,534,have no idea,534.0,"552,1,0,1,0,,,,"
535,535,I have a right,535.0,"553,0,1,0,0,,,,"
536,536,The rights of the people belong to the people.,536.0,"554,1,1,0,0,,,,"
537,537,I don't know.,537.0,"555,1,0,0,0,,,,"
538,538,People with disabilities also have the right to work.,538.0,"556,0,1,0,0,,,,"
539,539,The people elect the president,539.0,"557,1,1,0,0,,,,"
540,540,People are free to work.,540.0,"558,1,0,0,0,,,,"
541,541,Don't discriminate against people with disabilities,541.0,"559,0,0,0,0,,,,"
542,542,People with disabilities and people without disabilities are equal.,542.0,"560,1,1,1,0,,,,"
543,543,The people should be free from the country,543.0,"561,1,1,0,0,,,,"
544,544,"That way, we can vote",544.0,"562,1,0,0,0,,,,"
545,545,I don't know,545.0,"563,0,0,0,1,,,,"
546,546,I don't know.,546.0,"564,1,0,0,0,,,,"
547,547,I don't know,547.0,"565,1,0,0,0,,,,"
548,548,All men are equal.,548.0,"566,0,0,0,0,,,,"
549,549,People with disabilities can also work.,549.0,"567,1,0,0,0,,,,"
550,550,I'm hungry.,550.0,"568,0,0,0,0,,,,569,0,0,0,0,,,,"
551,551,"equal rights, social rights, claims",551.0,"570,0,0,0,1,,,,"
552,552,"The people basically have the right to claim, social rights, and freedom based on human rights.",552.0,"571,1,0,0,0,,,,"
553,553,"Freedom, suffrage,",553.0,"572,0,0,0,0,,,,"
554,554,"the right of liberty, the right of claim, the right of solidarity",554.0,"573,0,0,0,0,,,,"
555,555,"It protected the right to work among the social rights to be guaranteed to work. Equal rights were violated because they had a disability, and the right to claim a trial against Company A was exercised.",555.0,"574,0,0,0,1,,,,"
556,556,"The people's rights related to Hong Gil-dong's example include the right to claim, the right to equality, and the right to freedom",556.0,"575,0,0,0,0,,,,"
557,557,the right of equality,557.0,"576,0,0,0,1,,,,"
558,558,"the right of liberty, the right of society, the right of claim",558.0,"577,0,0,0,0,,,,"
559,559,have the right to be undiscriminatory and to sue for the damage one has suffered on matters,559.0,"578,0,0,0,0,,,,"
560,560,"""People are not discriminated against due to their right to equality, physical disability or illness.",560.0,"579,0,0,0,0,,,,"
561,561,"Claim, Hong Gil-dong, has the right to claim to correct his rights when he thinks they have been unfairly violated.",561.0,"580,1,0,0,0,,,,"
562,562,"Hong Gil-dong, who has freedom, has the right to choose and work for the company he wants to work for himself unless there is a problem. """,562.0,"581,0,0,0,0,,,,"
563,563,"The right of citizens to be treated equally and not discriminated against by gender, religion, or any physical condition",563.0,"582,1,0,0,0,,,,"
564,564,"Among the rights of the people presented by the Constitution, those that fall under the example of Hong Gil-dong have the right to freedom, equality, and claim.",564.0,"583,0,1,0,0,,,,"
565,565,He has the right to seek a trial from the state in the event of an injustice,565.0,"584,0,1,0,0,,,,"
566,566,"the right of liberty, the right of claim",566.0,"585,1,0,0,0,,,,"
567,567,Equal rights to be treated fairly and not discriminated against by others,567.0,"586,1,0,0,0,,,,"
568,568,"There are freedom of migration to move to and live in the area I want, human rights that will be treated equally for everyone, the right to live in a clean environment, the right to self-determination to make decisions at will, and the right to participate in politics.",568.0,"587,1,1,1,0,,,,"
569,569,There are equal rights and claims.,569.0,"588,0,1,0,0,,,,"
570,570,The Constitution guarantees the people's freedom of choice of occupation and the right to social equality.,570.0,"589,0,1,0,0,,,,"
571,571,"They have a right to equality regardless of disability. Since everyone has universal natural rights, disability should not be allowed to infringe on their rights. In addition, there is a right to request a trial to file a lawsuit and make a trial.",571.0,"590,0,0,0,0,,,,"
572,572,"Like Hong Gil-dong, the Constitution has the right to equality to live without discrimination from others even if they become disabled due to acquired or innate factors, and the right to work in the workplace they want to work for is also presented.",572.0,"591,0,1,0,0,,,,"
573,573,"Although Hong Gil-dong had a disability, he had no major problems in his daily life such as computer manipulation. However, the fact that Company A cannot work for Hong Gil-dong just because he has a disability can be seen as an act of depriving him of the rights of equality and freedom stipulated in the Constitution.",573.0,"592,0,0,0,0,,,,"
574,574,"The rights of the people related to the example of Hong Gil-dong have the right not to be discriminated against and to receive a fair trial. Hong Gil-dong suffered a hand injury due to a traffic accident, but there was no significant obstacle to his daily life. However, company A did not hire him because it discriminated against him just because he had a hand problem. Accordingly, Hong Gil-dong filed a lawsuit against the company and won the case through three trials.",574.0,"593,0,0,0,0,,,,"
575,575,"Representatively, one of the basic human rights, the social right, has the right to labor. This means that everyone can participate in labor without restrictions.",575.0,"594,0,1,0,0,,,,"
576,576,"have equal rights You have the right to work for a company even if you have a hand problem. In addition, I think there is a social right to guarantee a minimum life as a citizen.",576.0,"595,0,0,0,0,,,,"
577,577,He is the same person even if he is disabled.,577.0,"596,0,0,0,0,,,,"
578,578,the right to work,578.0,"597,0,0,0,0,,,,"
579,579,the right to freedom and equality,579.0,"598,0,0,0,0,,,,599,0,0,0,0,,,,"
580,580,All men are equal,580.0,"600,0,0,0,0,,,,"
581,581,.,581.0,"601,0,0,0,0,,,,"
582,582,"freedom of choice of occupation, the right to protest through the state if there is an injustice, or the right not to be discriminated against",582.0,"602,0,1,0,0,,,,"
583,583,Discrimination against disability x freedom,583.0,"603,0,0,1,0,,,,"
584,584,"I don't know what it is, but it seems that there is a right not to be violated by disability, property, or status",584.0,"604,0,0,1,0,,,,"
585,585,human right,585.0,"605,0,0,0,0,,,,"
586,586,We are equal,586.0,"606,0,0,0,0,,,,"
587,587,We are equal,587.0,"607,0,0,0,1,,,,"
588,588,I don't know.,588.0,"608,0,1,0,0,,,,"
589,589,the right of human dignity,589.0,"609,0,0,0,0,,,,"
590,590,the rights of the people,590.0,"610,0,0,0,0,,,,"
591,591,I don't know.,591.0,"611,0,0,0,0,,,,"
592,592,Human rights must be guaranteed,592.0,"612,0,0,1,0,,,,"
593,593,"the right to be protected, the right of all equal rightsthe right to seek happiness",593.0,"613,1,0,0,0,,,,"
594,594,the three-trial system,594.0,"614,0,0,0,0,,,,"
595,595,Ignoring the human rights of the disabled,595.0,"615,0,0,0,0,,,,"
596,596,I don't know.,596.0,"616,0,0,1,0,,,,"
597,597,"Even if you have an uncomfortable disability, you should respect human rights because you are the same human",597.0,"617,0,1,0,0,,,,"
598,598,I don't know.,598.0,"618,1,1,0,0,,,,"
599,599,the rights of the people,599.0,"619,0,1,0,0,,,,"
600,600,freedom of expression,600.0,"620,0,1,1,0,,,,"
601,601,a respected official,601.0,"621,0,1,0,0,,,,"
602,602,"Article 1, Paragraph 1 of the Constitution",602.0,"622,1,0,0,0,,,,"
603,603,Article 11 of the Constitution of the Republic of Korea: All citizens are equal before the law,603.0,"623,1,0,0,0,,,,"
604,604,"They seem to have concluded that they have the right to work on the work of their choice, and that they can do it because they have not achieved their own intentions.",604.0,"624,1,1,0,1,,,,"
605,605,the right to work,605.0,"625,0,0,0,0,,,,"
606,606,Equality,606.0,"626,0,0,0,0,,,,"
607,607,the right of equality,607.0,"627,0,0,0,1,,,,"
608,608,"equal rights, suffrage, liberty, claim, social rights",608.0,"628,0,0,0,0,,,,629,0,0,0,0,,,,"
609,609,the right to work,609.0,"630,1,0,0,0,,,,"
610,610,the right to work,610.0,"631,1,1,0,0,,,,"
611,611,the rights of the people,611.0,"632,1,0,0,0,,,,"
612,612,have the right to work,612.0,"633,0,0,1,0,,,,"
613,613,The sovereignty of the Republic of Korea belongs to the people and all sovereignty comes from the people.,613.0,"634,0,0,0,1,,,,"
614,614,basic rights,614.0,"635,1,0,0,0,,,,"
615,615,All citizens have the right to work,615.0,"636,0,1,0,0,,,,"
616,616,I don't know.,616.0,"637,0,0,0,1,,,,"
617,617,I don't know.,617.0,"638,0,1,0,0,,,,"
618,618,the right of abode,618.0,"639,1,0,1,0,,,,"
619,619,I don't know.,619.0,"640,0,0,0,0,,,,"
620,620,ㅗ,620.0,"641,1,0,0,0,,,,"
621,621,What?,621.0,"642,0,0,0,1,,,,"
622,622,Don't know,622.0,"643,0,0,0,0,,,,"
623,623,the right to freedom of work,623.0,"644,0,0,1,0,,,,"
624,624,"Claim, right to pursue happiness",624.0,"645,0,0,0,0,,,,"
625,625,a claim,625.0,"646,1,0,0,0,,,,"
626,626,the right to petition,626.0,"647,0,0,0,0,,,,"
627,627,Pregnant women have the right to rest for a certain period of time in the company,627.0,"648,1,0,0,0,,,,"
628,628,human right,628.0,"649,0,0,1,0,,,,"
629,629,There is freedom of labor in the Constitution.,629.0,"650,0,0,0,0,,,,"
630,630,I don't know,630.0,"651,1,0,0,0,,,,"
631,631,Not knowing the details,631.0,"652,0,0,0,0,,,,"
632,632,I don't understand.,632.0,"653,1,0,0,0,,,,"
