,Unnamed: 0,1) Why does 'solar power' help sustainable development for the future compared to fossil energy such as coal and oil?,Unnamed: 0,", q43_infinite energy, q43_eco-friendly, q43_infinite energy.1,q43_Green.1"
219,219,This is because solar power is infinite energy unlike fossil energy such as Seokchan and petroleum.,219.0,"226,1,0, because solar power continues, it can protect the environment"
220,220,It can reduce the use of oil and coal.,220.0,"227,1,0, because solar power is a sustainable source of energy, it can protect the environment"
221,221,"It costs about the same, but it's easier to get ingredients",221.0,"228,1,1, Solar power is a sustainable source of energy, which can protect the environment"
222,222,Is it helpful for Yoon Mirae?,222.0,"229,0,1, Solar power is an enduring source of energy, and it can protect the environment"
223,223,It has no adverse environmental impact and has unlimited resources,223.0,"230,1,1, Solar power is a sustainable source of energy, which can protect the environment"
224,224,because of less environmental pollution,224.0,"231,0,1, Solar power continues, protects the environment"
225,225,Environmental pollution,225.0,"232, 0, 1, Solar power continues, does not destroy the environment."
226,226,"Oil and fossil energy are depleted and destructive to the environment, but solar power is not",226.0,"233,1,1, Solar power continues, can prevent destroying the environment"
227,227,It's because I can use it continuously.,227.0,"234,0,0... can prevent environmental destruction"
228,228,Because it's energy that doesn't run out,228.0,"235,1,1, it does not destroy the environment"
229,229,"The amount of fossil energy is limited, and environmental pollution increases when using fossil energy",229.0,"236,1,0, it doesn't destroy the environment"
230,230,It is because of its limitless resources and low environmental pollution,230.0,"237,0,1, without destroying the environment"
231,231,This is because solar power does not emit greenhouse gases.,231.0,"238,1,0... without harming the environment239,1,1,1 can be prevented from damaging the environment"
232,232,It is eco-friendly and non-dry energy.,232.0,"240,1,0, it can prevent environmental damage"
233,233,Because it is environmentally friendly,233.0,"241,0,0... does not damage the environment"
234,234,It's because it's environmentally friendly,234.0,"242,1,1,1, it doesn't damage the environment"
235,235,It's eco-friendly and has unlimited energy,235.0,"243,0,1, can prevent environmental pollution"
236,236,I don't know,236.0,"244,0,1, it can prevent environmental pollution"
237,237,"Coal and oil are not only prone to exhaustion but also cause environmental pollution. It is also non-renewable energy. However, solar power generation energy is not depleted, and it is an energy that can be recycled while reducing environmental pollution.",237.0,"245,1,0…can prevent environmental pollution"
238,238,"Fossil energy decreases with continuous use, but renewable energy is still available with continuous use",238.0,"246,1,0...the environment is not polluted"
239,239,"Fossil energy produces pollutants, but solar power comes from nature and no environmental pollutants",239.0,"247,0,1, no environmental pollution"
240,240,This is because there is no fear of depletion of sunlight.,240.0,"248,1,0...it's eco-friendly."
241,241,This is because fossil energy decreases and causes environmental pollution while using it causes environmental pollution,241.0,"249,0,0 can prevent environmental destruction"
242,242,"This is because solar power can be used longer, more, and more indefinitely than fossil energy such as coal and oil.",242.0,"250, 0, 0... It can prevent environmental destruction"
243,243,It saves money,243.0,"251,0,0,,"
244,244,It's energy that doesn't run out and it's eco-friendly,244.0,"252,1,0,,"
245,245,This is because it is not environmentally contaminated compared to fossil energy such as lithography and petroleum.,245.0,"253,0,0,,"
246,246,Global warming is not getting worse,246.0,"254,1,0,,"
247,247,"This is because coal and oil are feared to be depleted, but sunlight can be used continuously without worrying about being depleted.",247.0,"255,0,0,,"
248,248,This is because it is an energy material that does not run out.,248.0,"256,0,0,,"
249,249,It is because the environment is less polluted,249.0,"257,1,0,,"
250,250,"The sun can provide energy for billions of years, because coal and oil will eventually run out",250.0,"258,1,0,,"
251,251,Use the sun to make electricity,251.0,"259,0,0,,"
252,252,"Because there is the sun, there is coal or oil",252.0,"260,0,0,,"
253,253,I don't know.,253.0,"261,1,0,,"
254,254,Oil is limited,254.0,"262,1,0,,"
255,255,It is caused by energy,255.0,"263,0,0,,"
256,256,Coal or oil will one day disappear because the sun will last and be infinite,256.0,"264,0,0,,"
257,257,I don't know,257.0,"265,0,0,,"
258,258,I don't know,258.0,"266,1,0,,"
259,259,"In the future, resources will be depleted",259.0,"267,0,0,,"
260,260,Coal and oil are disappearing,260.0,"268,0,1,,269,0,0,,"
261,261,Haha;,261.0,"270,0,0,,"
262,262,"Coal and things like that are bad for the body, but sunlight is only good for power generation",262.0,"271,1,0,,"
263,263,"Coal and oil could soon disappear, but solar power could be used to a distant future",263.0,"272,0,0,,"
264,264,I've run out of nature,264.0,"273,0,0,,"
265,265,Because of the advancement of course,265.0,"274,1,0,,"
266,266,Coal and oil are good substances,266.0,"275,1,0,,"
267,267,I can do it without any resources,267.0,"276,1,0,,"
268,268,Solar power seems to be infinite,268.0,"277,1,0,,"
269,269,Petroleum fossil energy is overflowing,269.0,"278,0,0,,"
270,270,It's eco-friendly energy,270.0,"279,1,0,,"
271,271,Because I'm here,271.0,"280,1,0,,"
272,272,I don't know.,272.0,"281,0,0,,"
273,273,Because the sun has more time to use than coal or oil,273.0,"282,1,0,,"
274,274,solar energy,274.0,"283,0,0,,"
275,275,"Using electricity from solar power,",275.0,"284,0,0,,"
276,276,"The amount of coal and oil is limited, but solar power is infinite.",276.0,"285,1,0,,"
277,277,Because the sun is almost infinite.,277.0,"286,0,1,,"
278,278,Fossil energy is limited,278.0,"287,1,0,,"
279,279,Because it is infinite energy until the sun dies.,279.0,"288,0,0,,"
280,280,I can save my resources.,280.0,"289,1,0,,"
281,281,Because the sunlight doesn't run out,281.0,"290,1,0,,"
282,282,Because they use the unrestricted sun to generate electricity,282.0,"291,1,0,,"
283,283,Don't know,283.0,"292,1,1,,"
284,284,Because the sun's light continues,284.0,"293,1,0,,"
285,285,I don't know.,285.0,"294,0,0,,"
286,286,This is because solar power generators use sunlight to generate electricity.,286.0,"295,0,0,,"
287,287,"The underground resources are limited, but the sun is infinite for the next five billion years",287.0,"296,0,0,,"
288,288,It doesn't pollute the environment,288.0,"297,0,0,,"
289,289,This is because sunlight does not run out as quickly as oil or fossil energy.,289.0,"298,1,0,,299,0,0,,"
290,290,I don't know.,290.0,"300,0,0,,"
291,291,Because coal and oil are now scarce and environmental pollution is high,291.0,"301,1,0,,"
292,292,"Oil and coal are resource-poor, but solar is forever available because it generates electricity using sunlight.",292.0,"302,0,0,,"
293,293,"Because it's infinite, and there's no need for resource worry.",293.0,"303,1,1,,"
294,294,Resources come out indefinitely and actually help the environment.,294.0,"304,1,1,,"
295,295,"Fossil energy has a lifespan, but the sun is too much to disappear",295.0,"305,0,0,,"
296,296,This is because energy can be made and used by solar heat without using coal or petroleum.This is because it can develop while preserving the natural environment more.,296.0,"306,0,1,,"
297,297,You can save resources,297.0,"307,0,0,,"
298,298,I was able to receive a lot of energy from the sun,298.0,"308,0,0,,"
299,299,to be able to use of energy,299.0,"309,1,0,,"
300,300,I don't know,300.0,"310,1,0,,"
301,301,This is because fetal heat is not depleted and is generated infinitely.,301.0,"311,1,0,,"
302,302,"Coal and oil are limited resources, but solar power is not limited.",302.0,"312,1,0,,"
303,303,It's because it makes energy from the sun,303.0,"313,0,1,,"
304,304,I have no idea.,304.0,"314,1,0,,"
305,305,"It's expensive to install, but you can live a very comfortable life after installing it",305.0,"315,0,0,,"
306,306,Because we're developing energy from the sun,306.0,"316,0,0,,"
307,307,"As it costs a lot to install, you can benefit more.",307.0,"317,1,1,,"
308,308,"Things like oil can run out of resources, but solar power is still available",308.0,"318,0,0,,"
309,309,"Coal and oil are limited in amount, but solar energy can be used for life as long as the sun does not stop orbiting.",309.0,"319,1,0,,"
310,310,This is because it is energy that can be obtained infinitely.,310.0,"320,1,0,,"
311,311,Because we can not waste resources.,311.0,"321,1,0,,"
312,312,"This is because fossil energy is limited, but solar energy can be generated infinitely.",312.0,"322,0,0,,"
313,313,We don't have coal and oil because we don't use oil and coal if we use renewable energy,313.0,"323,1,0,,"
314,314,"Because it creates electricity by nature, it can prevent destruction of nature",314.0,"324,1,0,,"
315,315,I'm using electricity,315.0,"325,1,1,,"
316,316,"Fossil resources are finite, but sunlight is infinite to produce by receiving energy from the sun's heat",316.0,"326,0,0,,"
317,317,Because less resources are needed.,317.0,"327,0,0,,"
318,318,This is because solar power is infinite energy unlike fossil energy such as Seokchan and petroleum.,318.0,"328,1,0,,329,0,0,,"
319,319,It can reduce the use of oil and coal.,319.0,"330,0,0,,"
320,320,"It costs about the same, but it's easier to get ingredients",320.0,"331,1,0,,"
321,321,Is it helpful for Yoon Mirae?,321.0,"332,0,1,,"
322,322,It has no adverse environmental impact and has unlimited resources,322.0,"333,1,0,,"
323,323,because of less environmental pollution,323.0,"334,0,1,,"
324,324,Environmental pollution,324.0,"335,0,0,,"
325,325,"Oil and fossil energy are depleted and destructive to the environment, but solar power is not",325.0,"336,0,0,,"
326,326,It's because I can use it continuously.,326.0,"337,1,0,,"
327,327,Because it's energy that doesn't run out,327.0,"338,1,0,,"
328,328,"The amount of fossil energy is limited, and environmental pollution increases when using fossil energy",328.0,"339,1,1,,"
329,329,It is because of its limitless resources and low environmental pollution,329.0,"340,0,0,,"
330,330,This is because solar power does not emit greenhouse gases.,330.0,"341,0,1,,"
331,331,It is eco-friendly and non-dry energy.,331.0,"342,0,1,,"
332,332,Because it is environmentally friendly,332.0,"343,1,1,,"
333,333,It's because it's environmentally friendly,333.0,"344,1,1,,"
334,334,It's eco-friendly and has unlimited energy,334.0,"345,1,0,,"
335,335,I don't know,335.0,"346,0,1,,"
336,336,"Coal and oil are not only prone to exhaustion but also cause environmental pollution. It is also non-renewable energy. However, solar power generation energy is not depleted, and it is an energy that can be recycled while reducing environmental pollution.",336.0,"347,1,1,,"
337,337,"Fossil energy decreases with continuous use, but renewable energy is still available with continuous use",337.0,"348,0,0,,"
338,338,"Fossil energy produces pollutants, but solar power comes from nature and no environmental pollutants",338.0,"349,0,0,,"
339,339,This is because there is no fear of depletion of sunlight.,339.0,"350,1,1,,"
340,340,This is because fossil energy decreases and causes environmental pollution while using it causes environmental pollution,340.0,"351,1,0,,"
341,341,"This is because solar power can be used longer, more, and more indefinitely than fossil energy such as coal and oil.",341.0,"352,1,0,,"
342,342,It saves money,342.0,"353,0,1,,"
343,343,It's energy that doesn't run out and it's eco-friendly,343.0,"354,0,1,,"
344,344,This is because it is not environmentally contaminated compared to fossil energy such as lithography and petroleum.,344.0,"355,1,1,,"
345,345,Global warming is not getting worse,345.0,"356,1,0,,"
346,346,"This is because coal and oil are feared to be depleted, but sunlight can be used continuously without worrying about being depleted.",346.0,"357,1,0,,"
347,347,This is because it is an energy material that does not run out.,347.0,"358,1,0,,359,1,0,,"
348,348,It is because the environment is less polluted,348.0,"360,0,1,,"
349,349,"The sun can provide energy for billions of years, because coal and oil will eventually run out",349.0,"361,1,0,,"
350,350,Use the sun to make electricity,350.0,"362,1,0,,"
351,351,"Because there is the sun, there is coal or oil",351.0,"363,1,0,,"
352,352,I don't know.,352.0,"364,0,1,,"
353,353,Oil is limited,353.0,"365,1,0,,"
354,354,It is caused by energy,354.0,"366,0,0,,"
355,355,Coal or oil will one day disappear because the sun will last and be infinite,355.0,"367,1,1,,"
356,356,I don't know,356.0,"368,0,0,,"
357,357,I don't know,357.0,"369,1,0,,"
358,358,"In the future, resources will be depleted",358.0,"370,1,1,,"
359,359,Coal and oil are disappearing,359.0,"371,0,0,,"
360,360,Haha;,360.0,"372,1,1,,"
361,361,"Coal and things like that are bad for the body, but sunlight is only good for power generation",361.0,"373,1,0,,"
362,362,"Coal and oil could soon disappear, but solar power could be used to a distant future",362.0,"374,1,0,,"
363,363,I've run out of nature,363.0,"375,1,1,,"
364,364,Because of the advancement of course,364.0,"376,0,0,,"
365,365,Coal and oil are good substances,365.0,"377,1,0,,"
366,366,I can do it without any resources,366.0,"378,0,0,,"
367,367,Solar power seems to be infinite,367.0,"379,0,0,,"
368,368,Petroleum fossil energy is overflowing,368.0,"380,1,0,,"
369,369,It's eco-friendly energy,369.0,"381,1,0,,"
370,370,Because I'm here,370.0,"382,0,1,,"
371,371,I don't know.,371.0,"383,1,1,,"
372,372,Because the sun has more time to use than coal or oil,372.0,"384,1,1,,"
373,373,solar energy,373.0,"385,0,1,,"
374,374,"Using electricity from solar power,",374.0,"386,1,0,,"
375,375,"The amount of coal and oil is limited, but solar power is infinite.",375.0,"387,0,0,,"
376,376,Because the sun is almost infinite.,376.0,"388,1,0,,389,1,0,,"
377,377,Fossil energy is limited,377.0,"390,1,1,,"
378,378,Because it is infinite energy until the sun dies.,378.0,"391,1,0,,"
379,379,I can save my resources.,379.0,"392,0,0,,"
380,380,Because the sunlight doesn't run out,380.0,"393,0,1,,"
381,381,Because they use the unrestricted sun to generate electricity,381.0,"394,1,0,,"
382,382,Don't know,382.0,"395,0,1,,"
383,383,Because the sun's light continues,383.0,"396,0,1,,"
384,384,I don't know.,384.0,"397,1,1,,"
385,385,This is because solar power generators use sunlight to generate electricity.,385.0,"398,1,0,,"
386,386,"The underground resources are limited, but the sun is infinite for the next five billion years",386.0,"399,0,0,,"
387,387,It doesn't pollute the environment,387.0,"400,0,1,,"
388,388,This is because sunlight does not run out as quickly as oil or fossil energy.,388.0,"401,0,0,,"
389,389,I don't know.,389.0,"402,0,0,,"
390,390,Because coal and oil are now scarce and environmental pollution is high,390.0,"403,0,0,,"
391,391,"Oil and coal are resource-poor, but solar is forever available because it generates electricity using sunlight.",391.0,"404,0,0,,"
392,392,"Because it's infinite, and there's no need for resource worry.",392.0,"405,0,0,,"
393,393,Resources come out indefinitely and actually help the environment.,393.0,"406,1,0,,"
394,394,"Fossil energy has a lifespan, but the sun is too much to disappear",394.0,"407,0,0,,"
395,395,This is because energy can be made and used by solar heat without using coal or petroleum.It's eco-friendly,395.0,"408,1,0,,"
396,396,"Fossil energy is limited, but solar energy can continue to be produced as long as there is a sun.",396.0,"409,0,0,,"
397,397,"Solar energy does not cause bad phenomena such as environmental pollution, but fossil energy is converted into energy.",397.0,"410,0,1,,"
398,398,This is because it does not pollute the environment.,398.0,"411,0,1,,"
399,399,"Fossil energy is depleted without destroying nature, but sunlight is constantly available",399.0,"412,0,1,,"
400,400,Coal and oil are not reusable and unsustainable to the distant future,400.0,"413,0,1,,"
401,401,It's renewable energy,401.0,"414,0,0,,"
402,402,It's eco-friendly,402.0,"415,0,1,,"
403,403,to help,403.0,"416,1,0,,"
404,404,Because you can save electricity.,404.0,"417,1,0,,"
405,405,h,405.0,"418,0,0,,419,1,1,,"
406,406,I don't know.,406.0,"420,1,1,,"
407,407,There's no calpingyo for oil and coal,407.0,"421,0,1,,"
408,408,It's sustainable energy,408.0,"422,1,1,,"
409,409,It saves electricity.,409.0,"423,1,0,,"
410,410,"Sunlight does not smoke, and it can be used continuously.",410.0,"424,1,0,,"
411,411,I gained a lot of energy,411.0,"425,0,1,,"
412,412,have a good environment,412.0,"426,1,1,,"
413,413,"Because there is no sun, we can use electricity, and the environment does not deteriorate",413.0,"427,0,1,,"
414,414,Reduce the destruction of nature.,414.0,"428,1,1,,"
415,415,Because it's eco-friendly energy,415.0,"429,0,1,,"
416,416,Because I get sunlight,416.0,"430,1,1,,"
417,417,There's no carbon dioxide coming out.,417.0,"431,1,0,,"
418,418,to be able to use continuously,418.0,"432,1,0,,"
419,419,It's because you can keep using it,419.0,"433,1,0,,"
420,420,ㅊ,420.0,"434,0,0,,"
421,421,This is because it is sustainable development without harming the environment.,421.0,"435,1,0,,"
422,422,"Fossil fuels disappear because they have a set amount of reserves, but solar energy can continue to obtain energy as long as the sun is floating without damaging the environment.",422.0,"436,1,0,,"
423,423,Because it is environmentally friendly.,423.0,"437,1,1,,"
424,424,"Because coal and oil are finite and destroy the environment, infinite and environmentally friendly solar power helps sustainable development for the future compared to fossil energy.",424.0,"438,1,0,,"
425,425,This is because solar power is an alternative long-term future energy,425.0,"439,0,1,,"
426,426,This is because fossil energy is limited.,426.0,"440,1,1,,"
427,427,"Unlike fossil fuels, they do not emit greenhouse gases.",427.0,"441,1,0,,"
428,428,This is because the amount of light is infinite and causes less environmental pollution than fossil energy.,428.0,"442,1,0,,"
429,429,This is because coal and oil can be depleted without causing environmental pollution.,429.0,"443,0,1,,"
430,430,This is because electricity can be generated infinitely as long as there is no environmental pollution and there is sunlight.,430.0,"444,0,0,,"
431,431,This is because the environment is less polluted.,431.0,"445,0,1,,"
432,432,"This is because solar power is cleaner than fossil fuels such as coal and oil, and there is no fear of depletion.",432.0,"446,1,0,,"
433,433,This is because renewable energy is infinite compared to fossil fuels,433.0,"447,0,1,,"
434,434,"Coal and oil are limited resources that will soon disappear from the earth, but the vast energy body of the sun requires a tremendous amount of time to disappear, so it uses the infinite energy of the sun",434.0,"448,0,0,,449,0,0,,"
435,435,"Coal and oil have limited resources. Solar power, on the other hand, is infinite and will help sustainable development.",435.0,"450,0,0,,"
436,436,I don't know.,436.0,"451,0,1,,"
437,437,"Fossil energy is a finite resource and contributes to global warming by emitting greenhouse gases as it is used, but solar power can continue to be used as long as the sun does not disappear.",437.0,"452,1,0,,"
438,438,"This is because the amount of fossil energy reserves is limited, while solar power is an infinite resource.",438.0,"453,0,0,,"
439,439,Solar power has less greenhouse gas emissions than coal and oil,439.0,"454,1,0,,"
440,440,"Resources are infinite, which helps sustainable development.""",440.0,"455,1,0,,"
441,441,"Coal and oil have limited reserves, but solar power can be used for about 5 billion years.",441.0,"456,0,0,,"
442,442,This is because it is clean energy that does not emit carbon dioxide.,442.0,"457,1,1,,"
443,443,"Solar power creates renewable energy. Fossil fuels such as coal oil quickly run out and cause a lot of environmental pollution. However, renewable energy has little chance of being depleted and little environmental pollution, which helps sustainable development.",443.0,"458,1,0,,"
444,444,"Coal and oil are used up because they have a limited amount, while sunlight can be continuously supplied as soon as the sun rises, which helps sustainable power generation.",444.0,"459,1,0,,"
445,445,Fossil energy will disappear someday,445.0,"460,0,0,,"
446,446,"Solar fuel is not burned and used, so carbon dioxide is not emitted",446.0,"461,1,0,,"
447,447,can save electricity,447.0,"462,0,0,,"
448,448,It's eco-friendly energy that doesn't pollute the environment,448.0,"463,0,1,,"
449,449,The sunlight is infinite,449.0,"464,1,0,,"
450,450,This is because it reduces environmental destruction than using fossil fuels.,450.0,"465,0,1,,"
451,451,Don't know,451.0,"466,1,0,,"
452,452,I don't know,452.0,"467,1,0,,"
453,453,He he,453.0,"468,1,0,,"
454,454,It doesn't emit much carbon,454.0,"469,0,1,,"
455,455,Because the sun is shining,455.0,"470,1,0,,"
456,456,I don't know.,456.0,"471,0,0,,"
457,457,Because the sun can live for another 5 billion years.,457.0,"472,1,0,,"
458,458,It's a semi-permanent organ,458.0,"473,0,0,,"
459,459,?,459.0,"474,0,1,,"
460,460,"This is because solar energy is hard to obtain at night compared to fossil energy, but it is infinite and harmless to the environment.",460.0,"475,1,0,,"
461,461,"Coal and oil are expendable and disappearing, while sunlight does not disappear",461.0,"476,1,0,,"
462,462,There's no fear of running out,462.0,"477,1,0,,"
463,463,.,463.0,"478,1,0,,479,1,0,,"
464,464,"Because solar power is literally a power generation through the sun's light, it can produce energy semi-permanently except at night when the sun goes down",464.0,"480,0,0,,"
465,465,It's cheap,465.0,"481,0,1,,"
466,466,"Combustion of fossil fuels promotes global warming, but solar power does not emit substances that promote environmental pollution.",466.0,"482,1,0,,"
467,467,This is because there is no risk of resource depletion.(Infinity of Resources),467.0,"483,0,1,,"
468,468,"Coal or oil is a resource that can be depleted by a limited amount, but solar power has no risk of running out of resources",468.0,"484,1,1,,"
469,469,This is because there is little risk of depletion.,469.0,"485,0,1,,"
470,470,This is because the light energy of the sun is almost infinite.,470.0,"486,1,1,,"
471,471,"Solar energy is sustainable power generation because the energy source is solar energy, so there is no risk of depletion and the resources are infinite",471.0,"487,0,0,,"
472,472,"If fossil fuels are used less, CO2 emissions will decrease, slowing the progression of global warming",472.0,"488,0,1,,"
473,473,Resources are not depleted and are helpful for future generations.,473.0,"489,1,1,,"
474,474,It's helpful for us,474.0,"490,1,1,,"
475,475,It's because there's no limit,475.0,"491,1,1,,"
476,476,a naughty boy,476.0,"492,0,0,,"
477,477,Because the environment is relatively less polluted,477.0,"493,1,1,,"
478,478,"Coal and oil are fossil fuels that are limited to infinite use, so renewable energy such as solar power helps sustainable power generation.",478.0,"494,1,1,,"
479,479,The life of the sun is long,479.0,"495,1,0,,"
480,480,"It uses solar energy, which is infinite energy without loss of resources",480.0,"496,1,1,,"
481,481,It's an infinite amount of energy with no loss of resources,481.0,"497,0,0,,"
482,482,Because it can continue to develop into the sun,482.0,"498,1,0,,"
483,483,.,483.0,"499,1,0,,"
484,484,It does not cause environmental pollution such as global warming.,484.0,"500,0,0,,"
485,485,"Coal or oil cannot be used again once it is used, but solar power generators can continue to be used at a high cost of installation.",485.0,"501,0,1,,"
486,486,There is little environmental pollution,486.0,"502,1,0,,"
487,487,This is because solar energy has an infinite amount of resources and low emissions of gases that are bad for the environment.,487.0,"503,0,1,,"
488,488,This is because greenhouse gases that cause global warming are not emitted.,488.0,"504,0,0,,"
489,489,"Because it is eco-friendly energy, it is infinite compared to fossil energy and can reduce environmental pollution.",489.0,"505,0,0,,"
490,490,"This is because solar power can save more limited resources while using the sun, unlike limited fossil fuels inside the Earth.",490.0,"506,0,0,,"
491,491,It is rich in underground resources and does not affect the environment,491.0,"507,0,0,,"
492,492,"Solar power generation can basically continue to generate electricity as long as the sun exists, and there is little environmental damage.",492.0,"508,0,0,,509,0,0,,"
493,493,"Fossil energy such as coal and oil is a limited resource and can lead to environmental destruction when used, but solar power is eco-friendly and resources are infinite.",493.0,"510,0,0,,"
494,494,This is because solar power has infinite resources and has less impact on environmental pollution than fossil fuels.Don't know,494.0,"511,0,0,,"
495,495,Solar power is helpful because it does not affect the environment and does not run out when used compared to coal or oil.,495.0,"512,0,0,,"
496,496,"Coal and oil are highly polluted and limited, but solar energy is less polluted and not limited, so it will help sustainable development",496.0,"513,0,0,,"
497,497,"""Fossil energy is limited in its amount of resources, so there is a risk that it will run out someday",497.0,"514,0,0,,"
498,498,"Solar power is an infinite amount of resources, so there is no fear of depletion.""",498.0,"515,0,0,,"
499,499,"Solar energy is non-consumable energy and does not affect the environment, but fossil energy is not only consumable energy but also adversely affects the environment such as air pollution and water pollution.",499.0,"516,0,1,,"
500,500,I don't know.,500.0,"517,1,0,,"
501,501,Renewable energy is sufficiently infinite to aid in development,501.0,"518,1,0,,"
502,502,Oil or fossil energy is limited to resources and requires alternative energy when it is depleted someday,502.0,"519,0,1,,"
503,503,I don't know.,503.0,"520,0,0,,"
504,504,It's an eco-friendly development,504.0,"521,0,0,,"
505,505,This is because sunlight is infinitely provided from sunlight.,505.0,"522,0,1,,"
506,506,"Natural, eco-friendly",506.0,"523,0,1,,"
507,507,electricity,507.0,"524,0,0,,"
508,508,I can make everything out of it,508.0,"525,0,0,,"
509,509,for the future,509.0,"526,1,0,,"
510,510,"We use coal and oil to make cars, plastics, and other things",510.0,"527,1,1,,"
511,511,for the future,511.0,"528,0,0,,"
512,512,I don't understand.,512.0,"529,0,1,,"
513,513,I don't know.,513.0,"530,0,0,,"
514,514,We have environmental resources,514.0,"531,0,0,,"
515,515,I don't know.,515.0,"532,0,0,,"
516,516,The sun and power are made from coal or oil,516.0,"533,0,0,,"
517,517,Don't know,517.0,"534,0,0,,"
518,518,I don't know,518.0,"535,1,0,,"
519,519,This is because the environment is saved.,519.0,"536,1,0,,"
520,520,"The amount of coal or oil is limited, but the sun is infinite",520.0,"537,0,1,,"
521,521,"Coal and oil are limited, but solar power can be used continuously",521.0,"538,1,0,,539,1,0,,"
522,522,"Due to low environmental pollution,",522.0,"540,0,0,,"
523,523,Don't know,523.0,"541,0,0,,"
524,524,Because it can be recycled.,524.0,"542,0,1,,"
525,525,This is because the degree of adversely affecting the environment is significantly small and the loss of resources is small in that sunlight is used.,525.0,"543,1,0,,"
526,526,Because the Earth doesn't give up,526.0,"544,1,0,,"
527,527,Because of low resource consumption,527.0,"545,0,0,,"
528,528,The electricity... I can put it in,528.0,"546,0,1,,"
529,529,It won't decrease because of that,529.0,"547,0,0,,"
530,530,"Coal or oil cannot be used if it disappears or disappears, but solar energy can be used continuously without environmental damage unless the sun disappears",530.0,"548,0,0,,"
531,531,I was able to make it again,531.0,"549,0,0,,"
532,532,It doesn't generate carbon dioxide,532.0,"550,1,1,,"
533,533,Don't know,533.0,"551,1,0,,"
534,534,......I don't know,534.0,"552,1,0,,"
535,535,Sunlight is a natural ingredient,535.0,"553,0,0,,"
536,536,What is it?,536.0,"554,1,0,,"
537,537,can save electricity,537.0,"555,0,1,,"
538,538,It's because it's not limited,538.0,"556,0,0,,"
539,539,Because there's no need to run out,539.0,"557,0,0,,"
540,540,Sunlight that emits less than fossil energy that emits carbon dioxide can prevent global warming,540.0,"558,0,0,,"
541,541,The solar energy is not limited,541.0,"559,1,1,,"
542,542,There is no running out of resources.,542.0,"560,1,0,,"
543,543,You can use it for free and get it easily,543.0,"561,0,0,,"
544,544,There are no restrictions,544.0,"562,1,1,,"
545,545,Because it doesn't pollute the environment,545.0,"563,0,0,,"
546,546,This is because coal generates more infinite energy.,546.0,"564,0,0,,"
547,547,It's because it's constantly possible to create,547.0,"565,0,0,,"
548,548,I'll study harder.,548.0,"566,0,0,,"
549,549,This is because carbon dioxide is not generated by using sunlight.,549.0,"567,0,0,,"
550,550,This is because fossil energy is not used much.,550.0,"568,1,1,,569,0,0,,"
551,551,Energy conservation,551.0,"570,1,1,,"
552,552,I'm trying to save electricity,552.0,"571,1,1,,"
553,553,"Fossil energy such as coal and oil is at risk of depletion, but future renewable energy is less resource depletion and less pollution.",553.0,"572,0,1,,"
554,554,Because it's infinite.,554.0,"573,1,0,,"
555,555,"Coal and oil have a certain amount, but the sun does not have a certain amount, which helps sustainable development for the future.",555.0,"574,0,0,,"
556,556,"Coal and oil are not used continuously, but solar power is likely to be more usable than coal and oil.",556.0,"575,1,0,,"
557,557,"Resources such as coal and oil may be cut off, but solar power generators can continue to be sustainable using solar power, which is considered to help sustainable power generation.",557.0,"576,0,1,,"
558,558,This is because there is less environmental pollution than fossil energy such as coal and oil.,558.0,"577,1,0,,"
559,559,It is helpful because the electricity is gradually disappearing.,559.0,"578,0,0,,"
560,560,It's because it makes energy from the sun,560.0,"579,0,0,,"
561,561,It's made with sunlight,561.0,"580,1,0,,"
562,562,"""The amount is not limited like coal or oil, and we get energy from sunlight, so we get a lot more energy",562.0,"581,0,0,,"
563,563,"It's good for the environment and it's easy to get energy.""",563.0,"582,1,0,,"
564,564,"Because it's renewable energy, you can use it until the sun's fire disappears, and there's no limit",564.0,"583,1,0,,"
565,565,I don't know,565.0,"584,1,1,,"
566,566,Because solar energy does not emit pollutants and its amount is almost infinite,566.0,"585,1,0,,"
567,567,"""The electricity is gradually disappearing because solar power generators make electricity",567.0,"586,0,0,,"
568,568,,568.0,"587,0,0,,"
569,569,,569.0,"588,1,0,,"
570,570,"""",570.0,"589,1,1,,"
571,571,you can save energy,571.0,"590,0,0,,"
572,572,The cost of using electricity becomes similar.,572.0,"591,1,0,,"
573,573,It is similar in cost to using electricity.,573.0,"592,1,0,,"
574,574,"If energy is lost, energy can be used as fossil energy instead.",574.0,"593,0,1,,"
575,575,"Oil and coal cannot be used indefinitely due to their limitations, but solar energy is close to infinity and can be used for a long time, and can preserve the environment and ecosystem compared to coal and oil.",575.0,"594,1,0,,"
576,576,I don't know.,576.0,"595,1,0,,"
577,577,Because it is eco-friendly and infinite.,577.0,"596,1,1,,"
578,578,"Using natural energy, using infinite and harmless energy to nature,",578.0,"597,1,1,,"
579,579,This is because it is natural energy that does not use methane gas similar to carbon dioxide.,579.0,"598,1,0,,599,0,1,,"
580,580,Because there's no fear of disappearing,580.0,"600,0,0,,"
581,581,We can save our country's resources because we can use electricity using solar energy without wasting fossil energy such as coal and oil.,581.0,"601,1,0,,"
582,582,Sunlight is infinite because solar power generators make electricity from sunlight.,582.0,"602,1,0,,"
583,583,I think it helps by using eco-friendly resources without using fossil energy such as coal and oil.,583.0,"603,0,0,,"
584,584,"This is because coal and oil have limited resources, but taiyan mines do not.",584.0,"604,1,1,,"
