,Unnamed: 0,1) Why is there wind on the beach?,Unnamed: 0,", q45_barometric pressure, q45_temperature, q45_specific heat, q45_barometric pressure 1, q45_temperature 1, q45_specific heat.1"
246,246,by atmospheric circulation,246.0,"254,0,0,0,,,"
247,247,Because the earth rotates,247.0,"255,0,0,0,,,"
248,248,I don't know,248.0,"256,0,0,0,,,"
249,249,It's open,249.0,"257,0,0,0,,,"
250,250,Because the sea water moves?,250.0,"258,0,0,0,,,"
251,251,"During the day, the sand wind blows from the beach, but at night, the wind blows from the sand to the beach",251.0,"259,0,0,0,,,"
252,252,I don't know,252.0,"260,0,0,0,,,"
253,253,Because of the climate?,253.0,"261,1,0,0,,,"
254,254,Winds that have traveled all over the world trying to die on the beach,254.0,"262,0,0,0,,,"
255,255,It's a natural phenomenon,255.0,"263,0,0,0,,,"
256,256,I don't know.,256.0,"264,0,0,0,,,"
257,257,in the circulation of air,257.0,"265,0,0,0,,,"
258,258,"Because the wind is blowing over the sea,",258.0,"266,0,0,0,,,"
259,259,I don't know.,259.0,"267,0,0,0,,,"
260,260,The wind is blowing from the sea,260.0,"268,0,0,0,,,269,0,0,0,,,"
261,261,The atmospheric pressure of the sea has risen,261.0,"270,0,0,0,,,"
262,262,The air is so mild,262.0,"271,1,1,0,,,"
263,263,on the waves,263.0,"272,0,0,0,,,"
264,264,I don't understand.,264.0,"273,0,0,0,,,"
265,265,The wind blows because the water is cold,265.0,"274,0,1,0,,,"
266,266,Nature circulates,266.0,"275,0,0,0,,,"
267,267,The air came flying in,267.0,"276,0,1,1,,,"
268,268,"Because air travels from land to sea,",268.0,"277,0,0,0,,,"
269,269,The water created the wind,269.0,"278,0,0,0,,,"
270,270,"""It's just the wind in the sky...""",270.0,"279,1,1,1,,,"
271,271,"""",271.0,"280,0,1,0,,,"
272,272,It's humid and low pressure,272.0,"281,0,0,0,,,"
273,273,The air is moving,273.0,"282,0,0,0,,,"
274,274,The wind blew from the sea,274.0,"283,0,0,0,,,"
275,275,Because the land temperature is higher during the day.,275.0,"284,0,0,0,,,"
276,276,It's because it's nature's principle,276.0,"285,0,0,0,,,"
277,277,"Winds go from lower to higher temperatures, so water with higher arsenals is colder during the day than soil, so wind blows on the beach.",277.0,"286,0,0,0,,,"
278,278,"The steam of the sea rises above the clouds, and the protons and negatives of the clouds meet to create wind.",278.0,"287,1,0,0,,,"
279,279,The seawater evaporates and becomes water vapor to create wind,279.0,"288,0,0,0,,,"
280,280,"The specific heat of the land is low and the specific heat of the sea is high, resulting in a difference in air temperature, resulting in a difference in air density according to Charles' law, and heavy air sinks and light air floats, resulting in a difference in air pressure and a flow of air to meet air pressure.",280.0,"289,0,0,0,,,"
281,281,"During the day, the sand heats up faster than the water, and the air on the sand moves to the sea, creating wind",281.0,"290,0,1,0,,,"
282,282,Because the waves are coming in,282.0,"291,0,0,0,,,"
283,283,in the wind,283.0,"292,0,1,0,,,"
284,284,I don't know.,284.0,"293,0,0,0,,,"
285,285,Because the wind blows at the beach.,285.0,"294,0,0,0,,,"
286,286,Because the air circulates during the day and night (I learned it in grade 5 but I can't remember it well),286.0,"295,1,0,0,,,"
287,287,in the wind,287.0,"296,0,1,0,,,"
288,288,This is because hot air goes up and cold air stays in the atmosphere.,288.0,"297,0,1,0,,,"
289,289,"In the evening, the wind went the other way",289.0,"298,0,1,0,,,299,1,0,0,,,"
290,290,The temperature of the sandy beach and the temperature of the sea water intersect,290.0,"300,1,0,0,,,"
291,291,This is because the temperature is different between day and night.,291.0,"301,0,0,0,,,"
292,292,It's because of the air car.,292.0,"302,0,0,0,,,"
293,293,"Because the wind moves to a hot place, wind is generated when the sand is hot or when the sea is hot (relatively).",293.0,"303,0,0,0,,,"
294,294,Because of the atmosphere difference that occurs when cold air enters the empty space,294.0,"304,0,0,0,,,"
295,295,I don't know.,295.0,"305,1,1,0,,,"
296,296,High pressure and low pressure are likely to circulate and create wind.Sand and water have different temperatures,296.0,"306,0,0,0,,,"
297,297,"As the water gets cold and warm, the water gets cold",297.0,"307,0,1,0,,,"
298,298,This is because the temperature of the air is different.,298.0,"308,0,0,0,,,"
299,299,"""",299.0,"309,1,0,0,,,"
300,300,Air moves cold air toward hot air.,300.0,"310,0,0,0,,,"
301,301,It's a cycle of low and high pressures,301.0,"311,1,1,0,,,"
302,302,This is because warm air and cold air circulate.,302.0,"312,0,1,0,,,"
303,303,The tide is rising,303.0,"313,1,0,0,,,"
304,304,"Because the air circulates,",304.0,"314,0,0,0,,,"
305,305,This is because cold air enters the empty space.,305.0,"315,0,1,0,,,"
306,306,"During the sunny day, the sandy beach was hotter than the sea water. As it became a sunless night, the sandy beach became cooler than the sea water. During the day, wind blew from the sea to the land, and at night, wind blew from the land to the sea. Use your knowledge of the relationship between air temperature, air pressure, and wind to explain your thoughts on the questions below.",306.0,"316,0,1,0,,,"
307,307,The water moves like a stir to create wind,307.0,"317,0,0,0,,,"
308,308,"Because of the temperature difference,",308.0,"318,0,0,0,,,"
309,309,on the waves,309.0,"319,0,0,0,,,"
310,310,The air pressure is different,310.0,"320,0,0,0,,,"
311,311,"Because the air is moving,",311.0,"321,1,1,0,,,"
312,312,There is a difference in temperature between the sea and the ground because air moves from a high atmospheric pressure to a low pressure.,312.0,"322,0,1,0,,,"
313,313,This is because the temperature difference between sand and seawater is severe.,313.0,"323,0,1,0,,,"
314,314,It's nourished by low pressure and high pressure,314.0,"324,0,0,0,,,"
315,315,I don't know.,315.0,"325,1,1,0,,,"
316,316,The temperature is different,316.0,"326,0,0,0,,,"
317,317,Because the sea is hotter than day at night.,317.0,"327,1,1,0,,,"
318,318,The waves are due to the tingling.,318.0,"328,1,1,0,,,329,0,0,0,,,"
319,319,I think it's because of the waves.,319.0,"330,0,0,0,,,"
320,320,I don't know.,320.0,"331,0,0,0,,,"
321,321,due to the current,321.0,"332,0,1,0,,,"
322,322,"During the day, when the air on the sandy beach heats up and goes up, the air on the sea side fills the remaining space, creating wind.",322.0,"333,0,1,0,,,"
323,323,"Because of the temperature difference,",323.0,"334,0,0,1,,,"
324,324,"During the day, sunlight is reflected in the sand, and the sand is hot, and during that time, the sea circulates to fill the remaining space, so the wind blows on the beach.",324.0,"335,1,0,0,,,"
325,325,"There is no mountain in the sea, so I think it will be windy.",325.0,"336,0,0,0,,,"
326,326,"The reason for the wind on the beach may be because of the air, temperature, and air pressure on the beach.",326.0,"337,1,0,1,,,"
327,327,Air becomes wind to cool off?,327.0,"338,0,0,1,,,"
328,328,"""Sand has a bigger temperature change than water, so during the day, cold water moves towards the hot wind.""",328.0,"339,1,0,0,,,"
329,329,"As we go, the wind blows to the land, and at night, the wind blows toward the sea.""",329.0,"340,0,0,0,,,"
330,330,"The temperature of the sea and the land is different, so the hot air on the land goes to the sea and the wind blows",330.0,"341,0,1,0,,,"
331,331,Because the wind blows everywhere.,331.0,"342,0,0,0,,,"
332,332,This is because the movement of the air has become stronger.,332.0,"343,0,0,0,,,"
333,333,It's because there's a wave.,333.0,"344,0,1,1,,,"
334,334,Because of the temperature,334.0,"345,0,0,0,,,"
335,335,The temperature of the sand and the sea is different,335.0,"346,0,0,1,,,"
336,336,It is small because the specific heat of the sea is larger.,336.0,"347,0,1,0,,,"
337,337,It's from a cool place to a hot place,337.0,"348,0,1,0,,,"
338,338,.,338.0,"349,0,0,0,,,"
339,339,"Water is a material that has a very high specific heat compared to sand. Therefore, when the temperature of the air is hot, there is a temperature difference between water and sand, and the wind blows from high to low pressure due to convection.",339.0,"350,0,0,0,,,"
340,340,Because the atmosphere is convectioned from high to low in the irreversible area,340.0,"351,0,0,0,,,"
341,341,The wind blows from low pressure to high pressure.,341.0,"352,0,1,0,,,"
342,342,.,342.0,"353,0,0,1,,,"
343,343,Because of the temperature difference,343.0,"354,0,0,1,,,"
344,344,"Water contains oxygen, exhales carbon dioxide, creating wind",344.0,"355,0,1,0,,,"
345,345,Because the temperature is high,345.0,"356,1,0,0,,,"
346,346,"Because the temperature of the beach is low due to the heat during the day, convection occurs due to the temperature difference, and wind occurs because it is opposite at night.",346.0,"357,0,1,0,,,"
347,347,"Land wind, sea wind. The air on the beach comes down and the air on the ocean goes up, so the wind goes from the beach to the ocean",347.0,"358,0,0,0,,,359,0,1,0,,,"
348,348,caused by the specific heat of the water,348.0,"360,0,0,0,,,"
349,349,by temperature,349.0,"361,0,1,0,,,"
350,350,Difference in temperature change,350.0,"362,0,0,1,,,"
351,351,Sea water evaporates into gas.,351.0,"363,0,1,1,,,"
352,352,.,352.0,"364,1,0,0,,,"
353,353,the movement of air,353.0,"365,1,0,0,,,"
354,354,"Since there's a temperature difference, of course there's wind. You don't know the wind, right? ㅉ",354.0,"366,0,0,0,,,"
355,355,"When the temperature difference between the sea and the land is large, it is mune",355.0,"367,0,1,0,,,"
356,356,a specific heat difference,356.0,"368,1,1,0,,,"
357,357,The difference in temperature between the land and the sea creates wind,357.0,"369,1,0,1,,,"
358,358,a barometric difference,358.0,"370,1,0,1,,,"
359,359,This is because rising and falling air currents are classified by the temperature difference of the beach.,359.0,"371,0,0,0,,,"
360,360,The sea is cold and the land is hot,360.0,"372,0,0,1,,,"
361,361,"Because of the temperature difference,",361.0,"373,1,0,0,,,"
362,362,a sea breeze,362.0,"374,0,0,0,,,"
363,363,It is because of the temperature difference between land and sea.,363.0,"375,1,1,1,,,"
364,364,The cause is the occurrence of sea and land winds caused by non-thermal differences.,364.0,"376,0,0,0,,,"
365,365,The temperature difference between the land and the sea creates a wind flow,365.0,"377,0,0,0,,,"
366,366,It is caused by the pressure difference.,366.0,"378,0,0,0,,,"
367,367,"Because of the difference between high and low pressure,",367.0,"379,1,0,0,,,"
368,368,It is windy to make up the energy difference.,368.0,"380,0,1,0,,,"
369,369,This is because the air moves because of the temperature difference between the sea and the land.,369.0,"381,0,1,0,,,"
370,370,The air pressure difference caused by the temperature difference between the land and the sea causes the wind to move from high pressure to low pressure,370.0,"382,1,0,1,,,"
371,371,Temperature difference due to the difference in specific heat between land and sea,371.0,"383,0,0,0,,,"
372,372,"This is because the specific heat of the ground and water is different, resulting in a temperature difference.",372.0,"384,0,1,0,,,"
373,373,Because it's the beach,373.0,"385,0,1,0,,,"
374,374,It is because of the difference in the heat between the sandy beach and the sea.,374.0,"386,0,0,0,,,"
375,375,"The wind blows from high pressure to low pressure, which is relative, not absolute.",375.0,"387,0,1,0,,,"
376,376,Because of the moon,376.0,"388,0,1,0,,,389,0,0,0,,,"
377,377,"On a sunny summer day, the sandy beach with a small specific heat becomes hot and the temperature of the air on the sandy beach increases. The high-temperature air tends to rise upward, so the air on the sandy beach rises, and the relatively low pressure on the sandy beach, and the wind blows from the sea with high specific heat toward the sandy beach.",377.0,"390,0,0,0,,,"
378,378,a land wind and a sea wind,378.0,"391,1,1,0,,,"
379,379,I don't know,379.0,"392,0,1,0,,,"
380,380,in the wind,380.0,"393,0,0,1,,,"
381,381,"Because sea waves, low pressure, high pressure, etc. make it",381.0,"394,1,0,0,,,"
382,382,The difference between the ocean and the land,382.0,"395,1,0,0,,,"
383,383,Temperature difference,383.0,"396,1,1,0,,,"
384,384,"""Difference in specific heat between land and sea water",384.0,"397,0,1,0,,,"
385,385,The air in the high places goes up,385.0,"398,0,0,0,,,"
386,386,"The air in the low places goes down.""",386.0,"399,0,1,0,,,"
387,387,Typhoon 'Sunset' Reappears,387.0,"400,0,0,0,,,"
388,388,"The temperature of the beach and the sea is different, so the land wind blows",388.0,"401,0,0,0,,,"
389,389,"Because the temperature of the sea and sand is different,",389.0,"402,0,0,0,,,"
390,390,the ebb and flow of the tide,390.0,"403,0,0,0,,,"
391,391,"The temperature is different between the sea and the land, so the gas circulates",391.0,"404,0,0,0,,,"
392,392,"Because of the difference in temperature, wind is generated on the beach.",392.0,"405,0,0,0,,,"
393,393,Because of the waves,393.0,"406,0,0,0,,,"
394,394,It's near the ocean,394.0,"407,0,0,0,,,"
395,395,"When the temperature rises, the air pressure decreases, which creates windThe difference between the temperature of the sea and the temperature of the land creates air movement.",395.0,"408,0,0,0,,,"
396,396,"This creates wind.""",396.0,"409,0,0,0,,,"
397,397,"Because of the heat difference between the land and the sea,",397.0,"410,0,0,0,,,"
398,398,This is because it occurs when moving from high pressure to low pressure.,398.0,"411,0,0,0,,,"
399,399,The hot air goes up. Wind is generated because the gas in the high temperature rises and the gas in the low temperature fills the space.,399.0,"412,0,0,0,,,"
400,400,"When the temperature rises, the air rises and becomes low pressure, and vice versa, it becomes high pressure and creates wind.",400.0,"413,0,0,0,,,"
401,401,Because of the temperature difference,401.0,"414,0,0,0,,,"
402,402,Because of the ebb and flow,402.0,"415,0,0,0,,,"
403,403,"The temperature of the land and the sea is different, so the wind blows from the cool sea to the land during the day and from the land to the sea at night",403.0,"416,0,0,0,,,"
404,404,Because of the waves,404.0,"417,0,0,0,,,"
405,405,The sea is strong,405.0,"418,0,0,0,,,419,1,1,0,,,"
406,406,"Because the sea is shaking from afar,",406.0,"420,0,0,0,,,"
407,407,The sea is strong,407.0,"421,0,0,0,,,"
408,408,Since it's the ocean,408.0,"422,0,0,0,,,"
409,409,I don't know.,409.0,"423,0,1,0,,,"
410,410,It's because of Hye-Byeon,410.0,"424,1,1,0,,,"
411,411,Because it's windy,411.0,"425,0,1,0,,,"
412,412,It's windy,412.0,"426,0,0,0,,,"
413,413,I don't know.,413.0,"427,1,0,0,,,"
414,414,The sun doesn't shine at night,414.0,"428,1,1,1,,,"
415,415,Because of the waves?,415.0,"429,0,0,0,,,"
416,416,The sun doesn't shine at night,416.0,"430,1,0,0,,,"
417,417,The wind is blowing from afar,417.0,"431,1,0,0,,,"
418,418,Because of the waves,418.0,"432,0,0,0,,,"
419,419,"As the earth rotates, the windmill rotates to form feet.",419.0,"433,1,0,0,,,"
420,420,It's because of the wind.,420.0,"434,0,0,0,,,"
421,421,I don't know.,421.0,"435,1,0,0,,,"
422,422,Because of the waves,422.0,"436,1,1,0,,,"
423,423,"High pressure and low pressure are created due to differences in temperature, so the wind direction is different at night and during the day.",423.0,"437,1,1,0,,,"
424,424,This is because the wind blows as the waves come.,424.0,"438,0,1,1,,,"
425,425,I don't know.,425.0,"439,1,1,0,,,"
426,426,I don't know.,426.0,"440,1,1,0,,,"
427,427,It is because of the convection phenomenon caused by the temperature difference between the beach and the sandy beach,427.0,"441,1,1,0,,,"
428,428,"This is because air rises as the temperature of the air on the sandy beach increases, and the sea water is lower than the sandy beach, so air moves toward the sandy beach where air is insufficient.",428.0,"442,0,0,0,,,"
429,429,Wind is generated by the temperature difference between seawater and sandy beaches.,429.0,"443,1,0,0,,,"
430,430,I don't understand.,430.0,"444,0,0,0,,,"
431,431,This is because the air pressure is different.,431.0,"445,1,0,0,,,"
432,432,"This is because the specific heat of seawater and sand is different, resulting in a difference in temperature between the two places.",432.0,"446,1,0,0,,,"
433,433,It is because of the temperature difference between land and sea.,433.0,"447,1,0,0,,,"
434,434,Because there's a big difference in air pressure on the beach,434.0,"448,0,0,0,,,449,0,0,0,,,"
435,435,This is because the wind blows from high pressure to low pressure.,435.0,"450,0,0,0,,,"
436,436,I don't know,436.0,"451,0,0,0,,,"
437,437,There will be wind at the beach because of the difference in air pressure.,437.0,"452,0,1,0,,,"
438,438,Because it's windy.,438.0,"453,0,1,0,,,"
439,439,Winds are created by differences in air pressure between the sea and the land.,439.0,"454,0,0,0,,,"
440,440,"During the day, the sandy beach is hotter than seawater, so the temperature of the gases above it also increases, which makes the density of the air lighter and rises. Since the place where the original air was located becomes low pressure, wind is generated as the air on the relatively cold seawater moves to fill the place.",440.0,"455,0,0,0,,,"
441,441,"During the day, when the temperature is higher on the land than on the sea and at night, when the temperature of the gas increases, the density of the gas becomes lighter and goes up, and wind is generated to fill this vacancy.",441.0,"456,0,0,0,,,"
442,442,"The specific heat in the sea is much larger than the specific heat in the sand, resulting in a temperature difference in the sea temperature during the day, which is smaller than the temperature in the sand, so the wind blows toward the sand at night.",442.0,"457,0,0,1,,,"
443,443,"Due to the difference in temperature and pressure in the air, the wind blows toward warmer seas.",443.0,"458,0,0,0,,,"
444,444,"The temperature of the seawater side and the sandy beach side is different, so the air on the higher side rises, and the air rises, and the air moves from the lower side to the higher side to fill the remaining empty space. This movement of air becomes wind.",444.0,"459,1,0,0,,,"
445,445,"Cold air goes down, hot air goes up, and air moves from high pressure to low pressure, and the sea has a temperature difference between the sandy beach and the sea, and when hot air goes up, it becomes low pressure, and when cold air goes down, it becomes high pressure, so wind blows.",445.0,"460,0,0,0,,,"
446,446,a sea breeze,446.0,"461,0,1,0,,,"
447,447,Because of the pressure difference between the sea and the beach,447.0,"462,0,0,0,,,"
448,448,due to the sea and land winds,448.0,"463,1,1,0,,,"
449,449,a drop in air pressure,449.0,"464,1,0,0,,,"
450,450,a barometric difference,450.0,"465,0,0,0,,,"
451,451,This is because air moves because the air pressure in the sea and the air pressure on the sand are different.,451.0,"466,0,1,0,,,"
452,452,I don't know,452.0,"467,1,1,0,,,"
453,453,I don't know,453.0,"468,0,1,0,,,"
454,454,(wink),454.0,"469,1,1,1,,,"
455,455,I don't know. I forgot.,455.0,"470,1,1,1,,,"
456,456,Because the temperature difference between sand and the sea is big,456.0,"471,0,0,0,,,"
457,457,Because of the temperature difference,457.0,"472,0,0,0,,,"
458,458,It is because the wind blows from high temperature to low temperature,458.0,"473,0,0,0,,,"
459,459,"Due to convection,",459.0,"474,0,0,0,,,"
460,460,...?,460.0,"475,0,0,1,,,"
461,461,Wind is created by the difference in specific heat between sand with small specific heat and water with large specific heat.,461.0,"476,1,1,0,,,"
462,462,the condition of being windy because of the waves,462.0,"477,1,0,0,,,"
463,463,The phenomenon of moving from cold air to hot air creates wind,463.0,"478,1,0,0,,,479,1,1,0,,,"
464,464,I don't know.,464.0,"480,1,0,0,,,"
465,465,There's a big difference in temperature,465.0,"481,1,0,0,,,"
466,466,I don't know.,466.0,"482,0,1,1,,,"
467,467,Air pressure changes due to temperature differences create wind,467.0,"483,0,1,0,,,"
468,468,"The land heats up faster than the sea, so the air rises and air comes from other places to fill the rising air, so that's the wind",468.0,"484,1,1,1,,,"
469,469,.,469.0,"485,1,1,0,,,"
470,470,It is caused by the temperature difference between the sea and the sandy beach.,470.0,"486,1,1,0,,,"
471,471,"The wind blows from relatively high pressure to low pressure, because there is a difference in air pressure due to the relative temperature on the beach.",471.0,"487,1,1,1,,,"
472,472,Convection Phenomenon Due to Temperature Difference Between Land,472.0,"488,0,0,0,,,"
473,473,"Because the specific heat of water is higher than the specific heat of sand, there is a temperature difference, and convection occurs, and there is a difference in air pressure and the wind blows",473.0,"489,1,0,1,,,"
474,474,"""The water is so hot that it heats up slowly and cools down, while sand on the beach heats up quickly and cools down quickly. During the day, the sand heats up faster and the sea water is relatively more",474.0,"490,1,0,0,,,"
475,475,"The temperature drops. The sea with low temperature becomes high pressure, and the sandy beach with high temperature becomes low pressure. The blast furnace wind blows from the sea toward the sandy beach.",475.0,"491,0,1,0,,,"
476,476,"At night, the sand cools down quickly, making the temperature lower than the sea, causing high pressure",476.0,"492,0,0,0,,,"
477,477,"The sea forms a low pressure. The blast furnace generates a land wind from land toward the sea.""",477.0,"493,0,1,0,,,"
478,478,be caused by sand and water,478.0,"494,0,0,0,,,"
479,479,Because the air is moving ^^,479.0,"495,0,0,0,,,"
480,480,Google,480.0,"496,0,0,0,,,"
481,481,"Wind goes up in the sky near the sun, and wind comes down from the sky far away from the sun, creating circulation and wind",481.0,"497,0,0,0,,,"
482,482,"Since the specific heat of the sandy beach is low, the degree of heat storage is small, but water has a large specific heat, so the degree of heat storage is large. The wind blows accordingly",482.0,"498,0,1,1,,,"
483,483,Air pressure difference occurred due to the temperature difference between land pressure difference and the sea,483.0,"499,0,1,0,,,"
484,484,"Warm air goes up and cold air moves to fill the empty space, creating wind.",484.0,"500,0,0,0,,,"
485,485,Warm air goes up and cold air seems to create wind to fill the empty space.,485.0,"501,0,0,0,,,"
486,486,The difference in temperature between sand and seawater creates wind as air circulates due to the difference in air pressure,486.0,"502,0,0,0,,,"
487,487,"Cold air is heavy, so warm air from the bottom is light and goes up, so warm sandy beaches and cold sea air circulate due to stomach properties, creating wind.",487.0,"503,0,0,0,,,"
488,488,"As the temperature of the earth rises due to solar heat, the warm air rises higher because it becomes lighter, and when the temperature decreases and becomes heavier, the air descends to the ground again, which is called convection",488.0,"504,0,0,0,,,"
489,489,"Earth's rotation, polar and equatorial temperature differences.the difference in specific heat between land and sea",489.0,"505,0,0,0,,,"
490,490,"During the day when the sun is shining, the sandy beach absorbs sunlight, so it is hot and the sea water is less hot. So the difference in temperature between the land and the sea creates wind",490.0,"506,0,0,0,,,"
491,491,This is because the temperature difference between the sea and the land is caused by the specific heat difference between water and sand.,491.0,"507,0,1,0,,,"
492,492,"Sand with a small specific heat is warmer during the day, and water with a large specific heat is warmer at night.",492.0,"508,0,0,0,,,509,0,1,0,,,"
493,493,"As the temperature warms, the volume of air expands, lowering the air pressure and rising upward.",493.0,"510,0,1,0,,,"
494,494,"Therefore, the area becomes low pressure. Winds blow from high-pressure areas to low-pressure areas, so winds blow into those areas.""During the day, the temperature of the seawater is higher than the temperature of the sandy beach, so the air on the sandy beach rises, and the air on the seawater descends, so the wind blows from sea to land.",494.0,"511,0,0,0,,,"
495,495,"At night, the temperature of the sandy beach and the sea water are low, so the air on the sandy beach decreases and the air of the sea rises, causing the wind to blow from land to sea.""",495.0,"512,0,1,0,,,"
496,496,the formation of low and high pressures due to changes in day and night temperatures in the sea and land,496.0,"513,0,0,0,,,"
497,497,"This is because the specific heat of seawater and sand is different, and the temperature difference between day and night, and the air on the seawater and sand is heated, and the degree of expansion and contraction is different, resulting in relatively low and high air pressure.",497.0,"514,1,1,0,,,"
498,498,"Because of the topography of our country,",498.0,"515,0,0,1,,,"
499,499,"Sand beaches and seawater have different specific heat, and accordingly, differences occur in cooling or heating each other. The atmosphere on the sandy beach or seawater increases the temperature in proportion to each, and the side where the temperature increases more becomes a relatively low pressure. The wind blows from high pressure to low pressure, so wind is generated by day and night on the beach.",499.0,"516,0,1,0,,,"
500,500,"The wind blows from high pressure to low pressure, and since the temperatures of the beach and the sandy beach are different, high pressure and low pressure occur, causing the wind to blow.",500.0,"517,1,1,0,,,"
501,501,It is caused by temperature differences between the sea and the land.,501.0,"518,1,0,0,,,"
502,502,Don't know,502.0,"519,0,0,0,,,"
503,503,The wind blows from a low temperature to a high temperature because the temperature difference between seawater and sand is severe every hour.,503.0,"520,0,0,0,,,"
504,504,.,504.0,"521,1,0,0,,,"
505,505,"""Wind is the flow of air.",505.0,"522,1,1,0,,,"
506,506,"The air on the sand and the air on the sea are different, so air flows.""",506.0,"523,0,0,0,,,"
507,507,"Air flows from high temperature to low temperature, because when land and sea are exposed to heat, the land is exposed to heat because there is no medium to resist heat, and the water and oxygen in it resist heat, resulting in a temperature difference relatively faster than the sea.",507.0,"524,0,1,0,,,"
508,508,It's because the wind moves in a direction full of waves,508.0,"525,0,0,0,,,"
509,509,The temperature difference caused by the specific heat of the water creates wind,509.0,"526,0,0,0,,,"
510,510,"During the day, air evaporates on the hot sandy beach, and cold air on the sea moves to the sandy beach to fill it.",510.0,"527,0,0,0,,,"
511,511,Because of the waves,511.0,"528,0,0,0,,,"
512,512,a tug-of-war between the moon and the earth,512.0,"529,1,0,0,,,"
513,513,This is because the temperature of the air is cold.,513.0,"530,0,0,0,,,"
514,514,The wind blew from the south,514.0,"531,0,0,0,,,"
515,515,The beach is cooler than other places and there are waves,515.0,"532,0,0,0,,,"
516,516,It's because the wind on the beach comes to the sea,516.0,"533,0,0,0,,,"
517,517,Because of the waves.,517.0,"534,0,0,0,,,"
518,518,"""The wind is cold because of the temperature of the sea",518.0,"535,0,0,0,,,"
519,519,"""It's turning to the side""",519.0,"536,1,0,0,,,"
520,520,Because of the waves.,520.0,"537,1,0,0,,,"
521,521,The wind is cooler on the sand than on the sea because of the temperature of the sea,521.0,"538,0,0,0,,,539,1,0,0,,,"
522,522,"If there's a temperature difference, it's windy",522.0,"540,1,0,0,,,"
523,523,Because of the waves,523.0,"541,1,0,0,,,"
524,524,The difference in temperature creates wind,524.0,"542,1,0,0,,,"
525,525,Water on the beach can cause wind,525.0,"543,1,0,0,,,"
526,526,Because of the air temperature and atmospheric pressure,526.0,"544,1,0,0,,,"
527,527,It is caused by the difference in air heat between the sea and the land,527.0,"545,0,1,0,,,"
528,528,This is because the wind blows whenever there is a temperature difference.,528.0,"546,0,1,0,,,"
529,529,"Because of the difference in temperature from the land, the air pressure is different and the wind blows",529.0,"547,0,0,0,,,"
530,530,Because of the atmospheric pressure,530.0,"548,0,0,0,,,"
531,531,Because of the waves,531.0,"549,0,0,0,,,"
532,532,Don't know,532.0,"550,1,0,0,,,"
533,533,The air pressure is different,533.0,"551,0,0,0,,,"
534,534,"The temperature changes on the beach are less, the temperature is lower, and the air pressure is high, so the wind blows toward the land.",534.0,"552,0,0,0,,,"
535,535,"During the day, there's a meat wind and in the evening, there's a sea wind",535.0,"553,0,0,0,,,"
536,536,The temperature of the ocean and the beach are different,536.0,"554,0,0,0,,,"
537,537,God blew the wind,537.0,"555,0,1,0,,,"
538,538,It's because there's a land wind during the day and a sea wind at night,538.0,"556,0,0,0,,,"
539,539,Because the air moves;;;;;;,539.0,"557,0,0,0,,,"
540,540,"Because the beach is wide,",540.0,"558,0,0,0,,,"
541,541,That happens because the air goes from cold to hot,541.0,"559,0,0,0,,,"
542,542,Because of the sea,542.0,"560,0,0,0,,,"
543,543,Because the earth rotates,543.0,"561,0,0,0,,,"
544,544,"During the day, there's a meat wind, and at night, there's",544.0,"562,0,1,0,,,"
545,545,sea smoldering,545.0,"563,0,0,0,,,"
546,546,"During the day, there is a land wind and at night, there is a sea wind",546.0,"564,0,0,0,,,"
547,547,the movement of air by the waves,547.0,"565,0,1,0,,,"
548,548,"Warm air goes up and cold air goes down, so air circulates and creates wind",548.0,"566,0,1,0,,,"
549,549,"The air in the high-pressure area rises, and the air moves to fill the air volume in the high-pressure area",549.0,"567,0,0,0,,,"
550,550,by the flow of air,550.0,"568,0,0,0,,,569,0,0,0,,,"
551,551,"Because the rate at which the temperature of the sandy beach and seawater changes is different, the air in the higher temperature rises and the air in the lower temperature moves to the higher temperature, creating wind.",551.0,"570,0,0,0,,,"
552,552,"""The wind moves from high pressure to low pressure, and then it creates wind, and when the warm wind goes up, it creates an empty space, which is created when cold air enters the empty space",552.0,"571,0,0,0,,,"
553,553,"""Things""",553.0,"572,0,1,0,,,"
554,554,It is windy at night because the hot air goes up and the cold air goes down,554.0,"573,0,0,0,,,"
555,555,Hot air goes up and cold air goes down,555.0,"574,0,0,0,,,"
556,556,"Warm air goes up and cold air goes down, creating wind.",556.0,"575,0,0,0,,,"
557,557,Because warm air goes up and cold air goes down,557.0,"576,0,0,0,,,"
558,558,"During the day, the wind blows from the sea to the land because it is warmer than the sea, and at night, the wind blows from the land to the sea because the land is warmer than the sea.",558.0,"577,1,0,0,,,"
559,559,It seems to be caused by air circulation due to the temperature difference.,559.0,"578,0,0,0,,,"
560,560,This is because the sea breeze blows.,560.0,"579,0,0,0,,,"
561,561,I don't know.,561.0,"580,0,0,0,,,"
562,562,Because the air in the sea keeps getting swollen?,562.0,"581,0,0,0,,,"
563,563,"""When the air from the sea comes to the land and the air from the land goes up to the sky, the air from the land becomes empty",563.0,"582,0,0,0,,,"
564,564,"""Because the air from the sea comes to the land.""",564.0,"583,1,1,0,,,"
565,565,Cold and hot air meet the gate.,565.0,"584,0,0,0,,,"
566,566,I don't know,566.0,"585,0,0,0,,,"
567,567,I don't know,567.0,"586,0,0,0,,,"
568,568,I don't know.,568.0,"587,0,0,0,,,"
569,569,This is because wind is generated by the temperature of the air.,569.0,"588,0,1,0,,,"
