,Unnamed: 0,2) Why is the wind direction different during the day and at night in the sea and on land?,Unnamed: 0,", q46_temperature difference, q46_barometric pressure, q46_temperature difference.1,q46_barometric pressure.1"
164,164,"During the day, the temperature is high, so the wind blows on land, and at night, the temperature decreases and the wind blows into the sea.",164.0,"169,1,0, the land is hot during the day and the sea is hotter at night, because the sea is low at night"
165,165,The walls have ears.,165.0,"170,1,0, land is hot during the day and the sea is hotter at night, because at night the sea is low"
166,166,The temperature difference between day and night is different,166.0,"171,0,0, the land is hot during the day and the sea is hotter at night, because at night the sea is at a low temperature"
167,167,"The specific heat is high in the sea, so the land easily heats up and cools down easily. In conclusion, the temperature difference occurs and the wind blows.",167.0,"At night, the sea is low"
168,168,"Due to the specific heat, the land temperature is high during the day and the sea temperature is high at night, so the sea blows from cold to warm, so the direction of the wind is different.",168.0,"At night, the land is more high pressure than the sea"
169,169,Because the sea has a large specific heat and the land is small,169.0,"174,0,0 because the land is more high pressure than the sea at night"
170,170,at night rather than day,170.0,"At night, the land is more high pressure than the sea"
171,171,The rate of temperature change is different between the ocean and the land,171.0,"176,0,0... Because the air pressure on the land is higher than the sea at night,"
172,172,Forgetting,172.0,"177,0,0 because the air pressure on the land is higher than the sea at night"
173,173,at will of the wind,173.0,"The air pressure on land is higher than the sea at nightAt night, the air pressure of the sea is low"
174,174,"The wind moves from cold to hot, but the sea is cold during the day and the sand is colder at night",174.0,"180,1,0...the air pressure of the sea is low at night"
175,175,The location of the sun is different,175.0,"At night, the air pressure of the sea is low"
176,176,This is because the earth rotates.,176.0,"182,0,1, because the air pressure in the sea is lower at night"
177,177,It's because of the temperature difference.,177.0,"At night, the air pressure of the sea is lower"
178,178,....,178.0,"184,0,0 because the air pressure of the sea is lower at night"
179,179,"It is because the sand is hot during the day because of the sunlight, and because the sand is cold at night.",179.0,"185,1,0 because the air pressure of the sea is lower at night"
180,180,"The temperature difference between day and night on land is high, but the sea has little difference between day and night, so wind blows from the low-temperature sea during the day and from the low-temperature land at night.",180.0,"186,0,0 because the air pressure of the sea is lower at night"
181,181,"During the day, the air pressure is low, and at night, the air pressure goes up",181.0,"187 ,1,0 ,the air pressure of the sea is lower at night"
182,182,"I learned it, but I forgot.",182.0,"At night, the air pressure of the sea is lower"
183,183,"Because of the direction of the waves,",183.0,"189,0,0...the air pressure in the sea is lower at night"
184,184,This is because the temperature on land is high during the day and the temperature of the sea is high at night.,184.0,"190, 0, 0 , the air pressure of the sea is lower at night"
185,185,Meat wind during the day and sea wind during the night,185.0,"191,1,0 because the land is high pressure at night"
186,186,"This is because the wind blows from the cold to the hot, so the temperature of the sea and land during the day and night are different.",186.0,"192,1,0... Because the land is high pressure at night,"
187,187,The land heats up quickly during the day and cools down quickly at night,187.0,"193,1,0 because the land is high pressure at night"
188,188,I don't know,188.0,"194,1,0 because the land is high pressure at night"
189,189,This is because the rate at which air cools and heats up varies.,189.0,"195, 1, 0... Because at night, land is high pressure"
190,190,The temperature difference is different,190.0,"196,00,0...the land is high pressure at night"
191,191,"During the day, the temperature of the land is higher than that of the sea, so hot air is generated, and the hot air is blown toward the sea, and at night, the land cools slower than the sea, causing cold wind to blow toward the land",191.0,"197,0,0... Because the sea is lower than the land at night,"
192,192,"Sand gets hot quickly and then gets cold quickly, so the sea is colder than sand during the day and sand is colder than sea at night.",192.0,"198, 1, 1, because the sea is lower than the land at night"
193,193,It's because the wind comes from the low temperature,193.0,"199,1,0... Because the air pressure of the sea is lower than that of the land at night,"
194,194,This is because the land gets hotter before the sea during the day and the wookji cools before the sea at night.,194.0,"200,1,0 because the air pressure of the sea is lower than that of the land at night"
195,195,I don't know.,195.0,"201, 10, 0... Because the air pressure on the land is high at night,"
196,196,The wind has changed,196.0,"202,1,0 because the air pressure on the land is high at night"
197,197,"The direction of the wind is different because the air temperature is high during the day, low at night, and the air pressure is differentBecause of the temperature difference,",197.0,"203,0,0 because the air pressure on the land is high at night"
198,198,This is because the sandy beach heats up faster than seawater during the day and cools faster than seawater at night.,198.0,"204,1,0...the air pressure on the land is high at night"
199,199,"During the day, the temperature of the sand is higher, so wind blows from the beach, but at night, the temperature of the beach is higher, so wind blows from the sandy beach.",199.0,"205,0,0...the air pressure on the land is high at night"
200,200,The temperatures of day and night are high,200.0,"206,1,0...the air pressure on the land is high at night"
201,201,I'm not sure.,201.0,"207,0,0 because the air pressure on the land is higher at night"
202,202,"Since the direction of the wind moves from cold to hot, the direction of day and night is different because the temperature difference between night and day is different.",202.0,"208,1,0... Because the air pressure on the land is higher at night,209,1,0 because the air pressure on the land is higher at night"
203,203,"Because of the influence of the wind,",203.0,"210,1,0 because the air pressure on the land is higher at night"
204,204,This is because the temperature difference between day and night is different.,204.0,"211,1,0 because the air pressure on the land is higher at night"
205,205,It is because the wind blows from the land during the day and from the sea at night,205.0,"212,1,0...the air pressure on land is higher at night"
206,206,"The reason why the direction of the wind blowing during the day and night on the beach is opposite is because the temperature of the air above the land and the sea is different, and during the day, the land gets hotter faster than the sea. The heated air on the land rises and fills the empty space created by the air moving from the sea. As the air moves like this, sea winds blow from the sea to the land.",206.0,"213,1,0...the air pressure on land is higher at night"
207,207,This is because the land is hot during the day and the sea is hot at night.,207.0,"214,1,0...the air pressure on land is higher at night"
208,208,This is because the temperature of the sea and land are different.,208.0,"215,1,0...the air pressure on land is higher at night"
209,209,"The sea cools less quickly and heats up less quickly than on land. Therefore, the land is hot during the day and the sea at night. Hot air is produced in hot places and hot air rises up because it is lighter than cold air.Cold winds enter to fill the area, and accordingly, sea winds blow during the day and land winds blow at night.",209.0,"216,0,0,,"
210,210,Because it is hot during the day and cold at night,210.0,"217,0,0,,"
211,211,The wind blows from cold place to warm place because the temperature of day and night on land and sea is different,211.0,"218,0,0,,"
212,212,The temperature of the sea and sand is different,212.0,"219,0,0,,"
213,213,I don't know.,213.0,"220,0,0,,"
214,214,Because the temperature of the sea and sand varies.,214.0,"221,0,0,,"
215,215,This is because the temperature of the sea is high during the day and the temperature is lower at night.,215.0,"222,0,0,,"
216,216,Because the sun's south middle and high altitude changes,216.0,"223,0,0,,"
217,217,"Since the sun's south middle and high altitude is different from day to night,",217.0,"224,0,0,,"
218,218,I know...,218.0,"225,0,0,,"
219,219,Because the force of the moon or the sun to attract objects changes,219.0,"226,0,0,,"
220,220,I don't know.,220.0,"227,0,0,,"
221,221,the great cycle of the earth's atmosphere,221.0,"228,0,0,,"
222,222,It's night and day,222.0,"229,1,0,,"
223,223,It's because of the sun.,223.0,"230,0,0,,"
224,224,The earth rotates,224.0,"231,1,0,,"
225,225,I don't know.,225.0,"232,1,0,,"
226,226,atmospheric circulation,226.0,"233,0,0,,"
227,227,Because the wind temperature of day and night is different.,227.0,"234,0,0,,"
228,228,This is because the earth rotates.,228.0,"235,0,0,,"
229,229,Because the temperature of the air and the temperature of the seawater are different,229.0,"236,0,0,,"
230,230,"Because the temperature of the ocean and land is different,",230.0,"237,0,0,,"
231,231,The earth rotates,231.0,"238,1,0,,239,1,0,,"
232,232,Because it is influenced by the waves,232.0,"240,0,0,,"
233,233,The Impact of the Tidal Flat,233.0,"241,1,0,,"
234,234,It's because of the ebb and flow,234.0,"242,1,0,,"
235,235,The location of the air escaping is different,235.0,"243,0,0,,"
236,236,It is because the temperature is different.,236.0,"244,0,0,,"
237,237,It is because the temperature of the land is higher than that of the sea during the day and the temperature of the sea is higher than that of the,237.0,"245,0,0,,"
238,238,It is because of the circulation of seawater.,238.0,"246,0,0,,"
239,239,The temperature of the air is different between day and night,239.0,"247,0,0,,"
240,240,"Because the sandy beach heats up relatively quickly, cools down quickly, and the sea water slowly cools down, the air on the sandy beach heated up quickly by solar heat rises during the day, and the sea breeze blows because of the relatively low temperature, but the wind direction is different.",240.0,"248,0,0,,"
241,241,This is because the earth rotates.,241.0,"249,0,0,,"
242,242,Because of the circulation of seawater,242.0,"250,0,0,,"
243,243,"During the day, the temperature of the land is high, while at night, the temperature of the land is lowered and the temperature of the sea is higher than that of the land due to seawater circulation, so the direction of the wind of the day and night is different.",243.0,"251,0,0,,"
244,244,by the sea and the sandstorm,244.0,"252,0,0,,"
245,245,Because the earth rotates,245.0,"253,0,0,,"
246,246,I don't know,246.0,"254,0,0,,"
247,247,I don't know about this...,247.0,"255,0,0,,"
248,248,The tide is going down,248.0,"256,0,0,,"
249,249,I don't know...,249.0,"257,1,0,,"
250,250,I don't know,250.0,"258,1,0,,"
251,251,"During the day, you look at the sun and the wind follows you?",251.0,"259,0,0,,"
252,252,This is because air has the property of moving to hot places.,252.0,"260,0,0,,"
253,253,Because the quests change,253.0,"261,0,1,,"
254,254,I don't know,254.0,"262,0,0,,"
255,255,"The temperature of the ground is high at night, and the sea temperature is high at night",255.0,"263,0,0,,"
256,256,"Because the temperature is different between the sea and the land,",256.0,"264,0,0,,"
257,257,The direction of the wind is different,257.0,"265,0,0,,"
258,258,I don't know.,258.0,"266,1,0,,"
259,259,Because there is a difference between day and night air pressure,259.0,"267,0,0,,"
260,260,I forgot,260.0,"268,1,0,,269,0,0,,"
261,261,The waves are moving differently,261.0,"270,0,0,,"
262,262,The wind is blowing,262.0,"271,0,0,,"
263,263,Yeah.,263.0,"272,0,0,,"
264,264,"""The hot air goes up and the cool air goes down, but the air from the sandy beach goes up.""",264.0,"273,0,0,,"
265,265,"When you come to the sea, it gets cold again and comes down to the bandero",265.0,"274,1,0,,"
266,266,"""The ball of the sea goes to scissors and the sand lion goes to the bottom. This is why.""",266.0,"275,1,0,,"
267,267,The wind is blowing,267.0,"276,1,0,,"
268,268,"During the day, the land temperature is higher and the sea is higher at night",268.0,"277,1,0,,"
269,269,It's because there's a lot of water in the sea,269.0,"278,1,0,,"
270,270,The wind blows on the land and the wind blows on the wind blows from the sea,270.0,"279,1,0,,"
271,271,It's a sea breeze during the day and a land breeze at night,271.0,"280,1,0,,"
272,272,The temperature is low at night,272.0,"281,0,0,,"
273,273,"Because hot air moves toward cold air,",273.0,"282,0,0,,"
274,274,Because the temperature of the sea is high at night.,274.0,"283,0,0,,"
275,275,Because the land is hot during the day and the sea is hot at night,275.0,"284,0,0,,"
276,276,"During the day, the temperature is the sea <land, at night the temperature is the sea> land, and the wind is crowded from low to high.",276.0,"285,0,0,,"
277,277,This is because the temperature of the land rises during the day and the temperature of the sea rises at night.,277.0,"286,0,0,,"
278,278,The temperature is different,278.0,"287,0,0,,"
279,279,"The specific heat of the land is low and the specific heat of the sea is high, so the temperature change of the land is greater than the sea, so the land is heated quickly during the day, and the sea is slowly heated during the day, and the temperature of the night is low and the sea is low.",279.0,"288,0,0,,"
280,280,It's because the time to heat and cool is different,280.0,"289,0,0,,"
281,281,Because there is a sea breeze and a land winds,281.0,"290,0,0,,"
282,282,The direction of the wind changed,282.0,"291,0,0,,"
283,283,I don't know.,283.0,"292,1,0,,"
284,284,Because the wind blowing during the day and night is different.,284.0,"293,1,0,,"
285,285,I can't remember,285.0,"294,1,0,,"
286,286,"During the day, the wind blows towards the beach, but at night, the wind blows towards the sandy beach",286.0,"295,0,0,,"
287,287,I don't know,287.0,"296,1,0,,"
288,288,the east wind and the west wind,288.0,"297,0,0,,"
289,289,"At night, the temperature of the sand decreases and the temperature of the sea water is similar",289.0,"298,1,0,,299,1,0,,"
290,290,This is because seawater comes in during the day and seawater goes out at night.,290.0,"300,1,0,,"
291,291,"During the day, the temperature of the sea is higher than that of sand, and at night, the temperature of the sea is lower than that of sand, so the land wind blows.",291.0,"301,1,0,,"
292,292,"Because the sand is higher than the sea during the day, and the sea is higher at night",292.0,"302,0,0,,"
293,293,Because the air temperature is different from each other,293.0,"303,0,0,,"
294,294,It is because of the temperature difference.,294.0,"304,1,0,,"
295,295,I don't know.,295.0,"305,0,0,,"
296,296,"Sand is hotter during the day, but water is hotter at nightIf the land is warm, it moves to a cold place, and if the land is cold, the sea moves to the land. It circulates like that.",296.0,"306,1,0,,"
297,297,The wind blowing during the day has a different temperature in the air blowing at night.,297.0,"307,1,0,,"
298,298,"During the day, the land is hot and the sea winds blow, but at night, the sea is hot and the land winds blow.",298.0,"308,1,0,,"
299,299,"""As the temperature of the sea and the beach changes day and night, when the sea is cold, it blows towards the beach.""",299.0,"309,1,0,,"
300,300,"When the sea is warmer than the beach, the wind blows toward the sea.""",300.0,"310,0,0,,"
301,301,The direction of the wind changes because the sandy beach is hotter during the day and the water is warmer at night.,301.0,"311,1,0,,"
302,302,Because the air between day and night is different(?),302.0,"312,1,0,,"
303,303,"Because the temperature of the ocean is lower,",303.0,"313,1,0,,"
304,304,"Because the sand side cools slower, there is a difference in temperature and the wind blows.",304.0,"314,0,0,,"
305,305,Why are the wind's directions different during the day and at night in the sea and on land?,305.0,"315,1,0,,"
306,306,"The temperature at night is low and the temperature is slightly high during the day, so the scent is different due to the temperature difference",306.0,"316,1,0,,"
307,307,"Due to the temperature difference between the sea and the land, when the sea is hotter than the land, the wind blows toward the sea, and when the land is hotter than the sea, the wind blows to the land",307.0,"317,0,0,,"
308,308,"Because the temperature of the sea and land are different,",308.0,"318,1,1,,"
309,309,The temperature is different during the day and at night,309.0,"319,0,0,,"
310,310,This is because the flow of air goes the other way at night.,310.0,"320,1,0,,"
311,311,This is because the temperature of the ground is higher during the day and the temperature of the sea is higher at night.,311.0,"321,1,0,,"
312,312,This is because the land is hotter during the day and the water is warmer at night.,312.0,"322,1,0,,"
313,313,"""The sea and the beach temperature are different day and night, so when the sea is cold, it blows towards the beach",313.0,"323,1,0,,"
314,314,"""Because when the sea is hot, it blows towards the sea.""",314.0,"324,0,1,,"
315,315,I don't know.,315.0,"325,0,0,,"
316,316,The temperature is different,316.0,"326,0,0,,"
317,317,The temperature is different.,317.0,"327,0,0,,"
318,318,This is because the earth rotates.,318.0,"328,1,0,,329,1,0,,"
319,319,"I think it's because of the relationship between air temperature, air pressure, and wind.",319.0,"330,1,0,,"
320,320,I don't know.,320.0,"331,1,0,,"
321,321,"During the day, the sand is hot and the air is warm.",321.0,"332,1,0,,"
322,322,"This is because the air on the sea side is hotter as the sand cools at night, so the air on the land fills the empty space as it goes up.",322.0,"333,1,0,,"
323,323,"Due to the difference in temperature, it is hot during the day, so the wind comes to the land, and it is cool at night, so the wind blows to the sea",323.0,"334,1,0,,"
324,324,"During the day, the temperature of the sand is hotter than the temperature of the sea, so the sunlight is reflected toward the sand, and the wind blows in the sand because the temperature of the sea becomes hotter than the temperature of the sand at night. This is called the Six Winds.",324.0,"335,0,0,,"
325,325,It's because of high and low pressure.,325.0,"336,0,0,,"
326,326,This is because the direction of the wind varies depending on the day and night.,326.0,"337,1,0,,"
327,327,"""Because the sea is colder, wind blows from the sea to the land, and from the land to the sea.",327.0,"338,1,0,,"
328,328,"(Order)""",328.0,"339,1,0,,"
329,329,(Answer above),329.0,"340,1,0,,"
330,330,There's a big difference in temperature on the land temperature,330.0,"341,1,0,,"
331,331,The wind from the sea and the wind from the land are different,331.0,"342,1,0,,"
332,332,This is because the temperature is different between day and night.,332.0,"343,1,0,,"
333,333,This is because the temperatures of the sea and land are different.,333.0,"344,1,0,,"
334,334,Because the temperature of the sea is low during the day and the temperature of the sand is low at night,334.0,"345,1,0,,"
335,335,"Warm air has the property of going up. During the day, the temperature of the sand is higher than that of the sea, so the warm air in the sand rises and blows toward the sand to fill the empty sand. At night, the temperature of the sea is higher than that of sand, so the warm air of the sea goes up and blows from land to sea to fill the empty air of the sea.",335.0,"346,1,0,,"
336,336,It blows from a cold place to a hot place,336.0,"347,1,0,,"
337,337,"Because the ocean and land are hot and cool, it's the opposite day and night",337.0,"348,1,0,,"
338,338,.,338.0,"349,1,0,,"
339,339,This is because sand drops faster than water.,339.0,"350,0,0,,"
340,340,The temperature of the beach is high during the day and the temperature of the sea is high at night,340.0,"351,1,0,,"
341,341,It's because of the temperature difference.,341.0,"352,1,0,,"
342,342,The temperature is different,342.0,"353,1,0,,"
343,343,"Because of the large heat of the sea, the land is warm during the day and the sea is warm at night",343.0,"354,1,0,,"
344,344,The temperature rises during the day and falls at night,344.0,"355,1,0,,"
345,345,The temperature is different,345.0,"356,1,0,,"
346,346,"At night, the convection direction is reversed because water with a large specific heat with little temperature change has a high temperature and land with a large temperature change during the day has a large temperature.",346.0,"357,0,1,,"
347,347,"At night, the land cools, the wind blows, and during the day, the temperature is lower, so the sea breeze is booming",347.0,"358,1,0,,359,1,0,,"
348,348,This is because the specific heat of the water is large.,348.0,"360,0,0,,"
349,349,Because of the temperature difference,349.0,"361,1,0,,"
350,350,Temperature change time difference,350.0,"362,1,0,,"
351,351,a specific heat,351.0,"363,1,0,,"
352,352,The wind's temperature is...,352.0,"364,1,0,,"
353,353,"Because the specific heat of the water is bigger than the sand,",353.0,"365,1,0,,"
354,354,"I'll tell you that there's a difference in specific heat, but if you don't know CALTY specific heat, believe it. Please, the land is smaller than the sea, so the heat growth rate is much higher",354.0,"366,1,0,,"
355,355,This is because the land is relatively hot during the day and vice versa at night.,355.0,"367,1,0,,"
356,356,a specific heat difference,356.0,"368,1,0,,"
357,357,"During the day, the land heats up quickly in the sun, so the temperature of the land is high and the temperature of the sea is high at night.",357.0,"369,1,0,,"
358,358,The temperature changed,358.0,"370,1,0,,"
359,359,a barometric difference,359.0,"371,0,0,,"
360,360,"Because the sea is low and it's night. (It's cold during the day, but hot at night)",360.0,"372,0,0,,"
361,361,"Because of the temperature difference,",361.0,"373,1,0,,"
362,362,a sea breeze,362.0,"374,1,0,,"
363,363,This is because the temperature of the land is higher during the day and the sea with large specific heat is higher at night.,363.0,"375,1,1,,"
364,364,The cause is the occurrence of sea and land winds caused by non-thermal differences.,364.0,"376,0,0,,"
365,365,"Because the specific heat of the sea is high, the temperature changes small, so the temperature changes during the day and night",365.0,"377,1,1,,"
366,366,"Because the heat capacity of the land is small and the heat capacity of the sea is large due to C=ct, wind is generated due to the difference in temperature.",366.0,"378,0,0,,"
367,367,"Because the temperature of the land and the sea is different during the day and night,",367.0,"379,0,0,,"
368,368,"During the day, the temperature of the land and at night the sea is higher, so the energy blows from high to low.",368.0,"380,1,0,,"
369,369,This is because the land is warmer during the day and the sea is warmer at night.,369.0,"381,1,0,,"
370,370,"Because water has a high specific heat, the temperature of the sea during the day is lower than that of the land, and the wind changes direction because it cools faster at night",370.0,"382,1,0,,"
371,371,"Due to the low specific heat on the land, the temperature is relatively high during the day and relatively low at night",371.0,"383,0,0,,"
372,372,"This is because the temperature of the sea is low during the day and the temperature of the land is high, so the sea is high at night, and the temperature of the land is low, causing the land wind to blow.",372.0,"384,1,1,,"
373,373,God told me to,373.0,"385,1,0,,"
374,374,This is because the sea is warmer during the day than the sandy beach and the sandy beach is higher at night.,374.0,"386,1,0,,"
375,375,Because the sea and land are different,375.0,"387,1,0,,"
376,376,Because of the temperature difference,376.0,"388,0,0,,389,0,0,,"
377,377,"At night, the temperature on the sandy beach side is lower than that of the sea, so that the air on the sea side rises upward, becomes relatively low pressure, and winds blow toward the sea. Therefore, the direction of the wind at night and day is different.",377.0,"390,1,0,,"
378,378,a land wind and a sea wind,378.0,"391,1,0,,"
379,379,Heat increases temperature and affects barometric pressure,379.0,"392,1,0,,"
380,380,the ebb and flow of the tide,380.0,"393,0,1,,"
381,381,Is that so?,381.0,"394,1,0,,"
382,382,"Because the specific heat of water and sand is different,",382.0,"395,1,0,,"
383,383,Temperature difference,383.0,"396,1,1,,"
384,384,"""In the daytime, the land is hotter than the sea",384.0,"397,1,0,,"
385,385,"""At night, the land temperature is lower than the sea.""",385.0,"398,0,0,,"
386,386,Because the earth revolves around,386.0,"399,0,0,,"
387,387,The temperature difference creates a different pressure,387.0,"400,0,0,,"
388,388,It is because the temperature of the land is higher during the day and the temperature of the sea is higher at night,388.0,"401,1,0,,"
389,389,This is because the sand temperature is different between day and night.,389.0,"402,0,0,,"
390,390,"During the day, the land is hot and at night the sea is hot",390.0,"403,0,0,,"
391,391,because of the presence of a land/sea wind,391.0,"404,0,0,,"
392,392,I don't know,392.0,"405,0,0,,"
393,393,It's windy in places with high temperatures,393.0,"406,0,0,,"
394,394,This is because the temperature of the land is higher during the day and the temperature of the land is lower at night,394.0,"407,1,0,,"
395,395,"Because the air on land is hotter during the day, but the air on the sea is hotter in the eveningThe wind direction is different because of the wide temperature difference between day and night",395.0,"408,1,0,,"
396,396,"This is because the land is heated first during the day, and on the contrary, it is easily cooled at night.",396.0,"409,0,0,,"
397,397,"Water has high specific heat, so the temperature does not change rapidly, but sand can change rapidly with temperature. Therefore, the sand heats up faster than water due to sunlight during the day, and the heated sand cools down quickly at night, but the water does not cool down quickly.",397.0,"410,1,0,,"
398,398,The direction of the wind during the day and at night is different because the high and low pressures change depending on the temperature.,398.0,"411,0,0,,"
399,399,Because the temperature is different,399.0,"412,1,0,,"
400,400,"During the day, the tide goes down and at night,",400.0,"413,1,0,,"
401,401,The temperature of the land and the sea is inversely proportional during the day and night,401.0,"414,1,0,,"
402,402,ㅈ,402.0,"415,0,0,,"
403,403,It's hot in the morning and cold at night,403.0,"416,1,0,,"
404,404,It's because the wind's room is different.,404.0,"417,0,0,,"
405,405,The earth turns and the wind moves at its feet,405.0,"418,0,0,,419,1,1,,"
406,406,I don't know.,406.0,"420,0,0,,"
407,407,I don't know.,407.0,"421,0,0,,"
408,408,Because of the difference between the ebb and flow,408.0,"422,1,0,,"
409,409,"During the day the sun rises and turns hot, and at night the sun sets and the moon rises and the wind cools.",409.0,"423,1,0,,"
410,410,"The night is cool and low, so hot wind blows during the day, and cool wind blows at night.",410.0,"424,1,0,,"
411,411,The wind moves,411.0,"425,1,0,,"
412,412,The temperature is different during the day and night,412.0,"426,0,1,,"
413,413,Because of the bicycle,413.0,"427,0,1,,"
414,414,The temperature is different between day and night,414.0,"428,1,1,,"
415,415,Because of the temperature,415.0,"429,1,0,,"
416,416,Because of the temperature,416.0,"430,1,0,,"
417,417,Because it's blowing from where the sun. It's different from where it doesn't shine.,417.0,"431,1,0,,"
418,418,It's because the temperature is different during the day and at night.,418.0,"432,0,0,,"
419,419,I don't know.,419.0,"433,1,0,,"
420,420,Water and land are different,420.0,"434,1,0,,"
421,421,It is because of the air pressure difference caused by the temperature difference.,421.0,"435,1,1,,"
422,422,I don't understand.,422.0,"436,1,0,,"
423,423,I don't know.,423.0,"437,1,0,,"
424,424,It is because the wind flows with temperature.,424.0,"438,0,0,,"
425,425,"This is because water has a high specific heat, so there is not much variation in temperature",425.0,"439,1,0,,"
426,426,"The temperature of the sandy beach rises rapidly during the day, but falls quickly at night, and the temperature of the sandy beach rises slowly during the day, but falls slowly at night, so the direction of the wind is different because the sea is higher at night.",426.0,"440,1,0,,"
427,427,"The sea has a large specific heat, so the temperature change is small, but the land has a small specific heat, so the temperature change is large, causing the temperature difference between day and night, so the wind direction is different.",427.0,"441,1,0,,"
428,428,This is because air pressure differences between land and sea occur.,428.0,"442,0,0,,"
429,429,This is because the place where the air pressure of day and night is high becomes the opposite.,429.0,"443,0,0,,"
430,430,"This is because the specific heat of sand is lower than the specific heat of each fire, making it easier to avoid the temperature of sand during the day, but the temperature of sand is lower than that of seawater at night, so the air pressure is reversed.",430.0,"444,1,0,,"
431,431,This is because the temperature of the land is high during the day and the temperature of the sea is relatively high at night,431.0,"445,1,1,,"
432,432,This is because the temperature is different between day and night.,432.0,"446,1,0,,"
433,433,"During the day, the land is warmer than the sea, so the wind blows from the sea to the land, and at night, the sea is warmer than the land, so the wind blows from the land to the sea.",433.0,"447,1,1,,"
434,434,I don't know this either,434.0,"448,0,0,,449,0,0,,"
435,435,"This is because the temperature of the sea rises slowly, while the temperature rises slowly on land.",435.0,"450,0,0,,"
436,436,This is because wind goes from high temperature to low temperature.,436.0,"451,1,0,,"
437,437,"Water has a higher specific heat than the ground, so during the day, the temperature of the sea is lower and the air pressure is higher than that of the land. On the contrary, at night, the temperature of the sea is higher and the air pressure is lower than that of the land, so the direction of the wind at night and day",437.0,"452,1,0,,"
438,438,"Because the specific heat of seawater is higher than that of land, the temperature of seawater does not rise much during the day, while the temperature of seawater increases relatively much on the land, and the temperature of seawater decreases relatively much at night. Therefore, the flow of air is also reversed.",438.0,"453,1,0,,"
439,439,This is because the temperature on the land is higher than on the sea during the day and the temperature is higher in the sea than on the land because the temperature is maintained longer by vaporization heat at night.,439.0,"454,1,0,,"
440,440,I answered above.,440.0,"455,1,0,,"
441,441,This is because the temperature difference between day and night is different.,441.0,"456,0,0,,"
442,442,"The temperature is relative, but the direction of the wind is different because the land is relatively hotter during the day and the sea is relatively hotter at night.",442.0,"457,1,0,,"
443,443,"Since the sea is hotter than the land, the temperature is higher during the day because the land heats up faster than the sea, and the heat received during the day cools faster than the sea, so the wind blows toward the land during the day when the temperature is higher.",443.0,"458,1,0,,"
444,444,The place where the wind is blowing is different,444.0,"459,1,0,,"
445,445,"Because of Oh Sehun's superpower,",445.0,"460,0,0,,"
446,446,a difference in temperature difference,446.0,"461,1,0,,"
447,447,the difference between day and night temperature and air pressure,447.0,"462,0,0,,"
448,448,The land is hot during the day and the sea is hot at night,448.0,"463,1,0,,"
449,449,"During the day, the land is high and the sea is relatively low, so the air moves from high pressure to low pressure, so wind blows from the sea. At night, the sea is relatively high and the land is low, so wind blows from the land side.",449.0,"464,1,0,,"
450,450,I don't know,450.0,"465,1,0,,"
451,451,I don't know,451.0,"466,1,0,,"
452,452,The wind is doing whatever it wants,452.0,"467,1,0,,"
453,453,Because of the temperature difference,453.0,"468,1,0,,"
454,454,Because sand cools and brushes faster,454.0,"469,1,0,,"
455,455,"During the day, the temperature of the ground is high and at night, the temperature of the sea is high",455.0,"470,1,0,,"
456,456,Because the difference in specific heat between the sea and the land is different,456.0,"471,0,0,,"
457,457,"During the day and night, the temperature is different from each other",457.0,"472,1,0,,"
458,458,?,458.0,"473,0,0,,"
459,459,This is because the land temperature is higher than the sea during the day and the land temperature is lower than the sea at night.,459.0,"474,1,0,,"
460,460,Wind blows from low temperature to high temperature,460.0,"475,1,0,,"
461,461,The direction of the wind is also different because the temperature of the sea and land is opposite during the day and night,461.0,"476,1,0,,"
462,462,I don't know.,462.0,"477,1,0,,"
463,463,The temperature difference between the land and the sea,463.0,"478,1,0,,479,1,0,,"
464,464,Because of nature,464.0,"480,1,0,,"
465,465,The temperature of the day and night on land and sea is different,465.0,"481,1,0,,"
466,466,"Because the land heats up quickly during the day and cools down quickly at night, the above 1) According to the answer, the sea breeze blows during the day and at night",466.0,"482,1,1,,"
467,467,This is because of the difference in specific heat between land and sea.,467.0,"483,0,0,,"
468,468,This is because the sandy beach is hotter during the day and the sea is hotter at night.,468.0,"484,1,0,,"
469,469,It is because of the temperature difference between land and sea.,469.0,"485,1,0,,"
470,470,"During the day, the land temperature is higher and the sea temperature is higher at night",470.0,"486,1,0,,"
471,471,"During the day, the water heats up later and the land heats up faster, while at night, the temperature is opposite because the water cools later and the land cools faster",471.0,"487,1,0,,"
472,472,It's because of the heat of the water.,472.0,"488,0,0,,"
473,473,I don't know,473.0,"489,1,1,,"
474,474,"During the day, there is a sea breeze towards the sea and at night, but because of the temperature difference,",474.0,"490,0,0,,"
475,475,Yahoo,475.0,"491,1,0,,"
476,476,This is because the land heats up faster by sunlight than the sea,476.0,"492,0,0,,"
477,477,The wind is in the opposite direction because the land cools quickly at night and heats up quickly during the day,477.0,"493,1,0,,"
478,478,"This is because the specific heat of the sea is large, so the temperature of day and night is different.",478.0,"494,0,0,,"
479,479,"Due to the temperature difference between day and night, the land temperature changes are large",479.0,"495,0,0,,"
480,480,"Because the temperature of the ocean and land is different,",480.0,"496,1,0,,"
481,481,"There is not much difference in temperature between day and night in seawater, but the difference in temperature on the sandy beach is severe, resulting in a difference in wind.",481.0,"497,0,0,,"
