,Unnamed: 0,1) Let's imagine what happens when you collect sunlight with convex lenses,Unnamed: 0,", q49_temperature, q49_refractive, q49_light energy, q49_temperature1, q49_refractive.1,q49_light energy.1"
267,267,Fire can be started when heat is needed to make fire.,267.0,"276,0,1,0,,,"
268,268,The light gathers in the middle and heats up,268.0,"277,1,1,0,,,"
269,269,Heat is generated,269.0,"278,0,0,0,,,"
270,270,You can light a piece of paper.,270.0,"279,1,1,0,,,"
271,271,?,271.0,"280,1,1,0,,,"
272,272,"If you collect sunlight on paper, it burns",272.0,"281,1,1,0,,,"
273,273,"Sunlight gathers, the temperature rises and smoke starts to burn.",273.0,"282,1,0,0,,,"
274,274,It can collect light.,274.0,"283,0,0,0,,,"
275,275,Only one place gets hot because of the concentration of sunlight,275.0,"284,0,0,0,,,"
276,276,I don't know.,276.0,"285,1,0,0,,,"
277,277,"The temperature at the gathering point increases, so if you hold the paper for a long time, the paper burns.",277.0,"286,1,0,0,,,"
278,278,Objects at the point where sunlight is collected can be burned by strong heat.,278.0,"287,0,0,0,,,"
279,279,Heat also gathers and the burning fibers catch fire.,279.0,"288,0,0,0,,,"
280,280,It's burning,280.0,"289,1,1,0,,,"
281,281,The prizes look different in size,281.0,"290,0,1,0,,,"
282,282,the spread of light,282.0,"291,1,0,0,,,"
283,283,A fire breaks out.,283.0,"292,0,0,0,,,"
284,284,It's on fire,284.0,"293,1,0,0,,,"
285,285,Sorry,285.0,"294,0,1,0,,,"
286,286,It's upside down,286.0,"295,1,0,0,,,"
287,287,Collected part is coveted,287.0,"296,0,1,0,,,"
288,288,Light gathers in one spot,288.0,"297,0,0,0,,,"
289,289,That part gets really hot,289.0,"298,1,0,0,,,299,1,0,0,,,"
290,290,Light travels in a straight line like a laser,290.0,"300,0,1,0,,,"
291,291,It gets hot and burns.,291.0,"301,1,1,0,,,"
292,292,Light gathers in one spot,292.0,"302,1,1,0,,,"
293,293,"If there's a material that catches fire, it catches fire",293.0,"303,1,1,0,,,"
294,294,"""The light gathers to one side",294.0,"304,1,1,0,,,"
295,295,"""",295.0,"305,1,0,0,,,"
296,296,I don't know.There's a fire,296.0,"306,1,0,0,,,"
297,297,"For example, if you collect sunlight on paper, it catches fire.",297.0,"307,0,1,0,,,"
298,298,"Because sunlight gathers at once, you can gather very powerful energyㅓ",298.0,"308,1,1,0,,,"
299,299,The sun's light is concentrated at a point and the temperature becomes very high.,299.0,"309,0,0,0,,,"
300,300,The part where the sunlight is collected and fired becomes hot.,300.0,"310,1,0,0,,,"
301,301,It's hot when you collect sunlight.,301.0,"311,1,0,0,,,"
302,302,The heat gathers in one place and the heat rises.,302.0,"312,1,0,0,,,"
303,303,to be able to light a piece of paper,303.0,"313,1,1,0,,,"
304,304,"First, keep it out of contact with the skin, and if you put it on the paper, it catch on fire.",304.0,"314,1,0,0,,,"
305,305,Sunlight gathers in the middle.,305.0,"315,1,0,0,,,"
306,306,"If you gather sunlight and put it on paper, the paper burns",306.0,"316,1,0,0,,,"
307,307,I don't know.,307.0,"317,0,1,1,,,"
308,308,Fire,308.0,"318,1,0,0,,,"
309,309,It's getting hotter.,309.0,"319,1,1,0,,,"
310,310,It's on fire,310.0,"320,1,0,0,,,"
311,311,Heat is generated in the area where sunlight is collected.,311.0,"321,0,1,0,,,"
312,312,"Closer to the paper, the paper burns.",312.0,"322,1,0,0,,,"
313,313,It's burning,313.0,"323,0,0,0,,,"
314,314,"If you put a piece of paper underneath it, smoke will come out and the paper will burn",314.0,"324,0,0,0,,,"
315,315,Collecting light and shooting it in the human eye can cause blindness.,315.0,"325,1,0,1,,,"
316,316,"If you're all together and keep shining, you burn something",316.0,"326,0,1,1,,,"
317,317,The gathering is hot,317.0,"327,1,1,0,,,"
318,318,High heat is generated.,318.0,"328,1,1,0,,,329,1,1,0,,,"
319,319,Come to the center,319.0,"330,1,1,0,,,"
320,320,"If there is paper underneath, it will catch fire.",320.0,"331,1,1,0,,,"
321,321,Sunlight spreads as it passes through the convex lens.,321.0,"332,1,1,0,,,"
322,322,h,322.0,"333,1,0,0,,,"
323,323,Light energy becomes stronger and paper can be burned.,323.0,"334,0,0,0,,,"
324,324,Light gathers to create powerful light,324.0,"335,0,0,0,,,"
325,325,The light is gathered and it gets hot,325.0,"336,1,0,0,,,"
326,326,Sunlight gathers in one place and has a temperature enough to burn a substance.,326.0,"337,0,0,0,,,"
327,327,"Because convex lenses have the property of collecting light, when light is collected, a straight line of light is emitted to the convex part of the convex lens, which can cause paper to burn.",327.0,"338,0,0,0,,,"
328,328,Bring the light collected from sunlight to the paper and it will burn.,328.0,"339,0,0,0,,,"
329,329,The light gathers and the temperature rises,329.0,"340,1,0,0,,,"
330,330,Heat is generated where the light is gathered,330.0,"341,0,0,0,,,"
331,331,It's on fire,331.0,"342,0,0,0,,,"
332,332,I don't know.,332.0,"343,0,1,0,,,"
333,333,I think it's going to get weird,333.0,"344,0,0,0,,,"
334,334,a fire boy,334.0,"345,1,1,0,,,"
335,335,I don't know,335.0,"346,0,1,0,,,"
336,336,I don't know,336.0,"347,0,0,0,,,"
337,337,I don't know,337.0,"348,0,1,0,,,"
338,338,It's getting hot. There's a fire,338.0,"349,0,0,0,,,"
339,339,Aha.,339.0,"350,1,0,0,,,"
340,340,I don't know,340.0,"351,0,0,0,,,"
341,341,paraphrased,341.0,"352,0,0,0,,,"
342,342,Light is coming out of the water,342.0,"353,0,0,0,,,"
343,343,A fire breaks out and gathers in the middle.,343.0,"354,0,0,0,,,"
344,344,The sunlight gathered on the convex lens is likely to refract and shine like a flash,344.0,"355,1,0,0,,,"
345,345,I don't know,345.0,"356,0,0,0,,,"
346,346,It refracts light.,346.0,"357,1,0,0,,,"
347,347,I don't know,347.0,"358,0,0,0,,,359,1,1,0,,,"
348,348,I think the convex lens will get very hot.,348.0,"360,1,0,0,,,"
349,349,I don't know,349.0,"361,0,1,0,,,"
350,350,I don't know,350.0,"362,1,0,0,,,"
351,351,I don't know,351.0,"363,0,0,0,,,"
352,352,"It's sticking out, so it's likely to reflect sunlight.",352.0,"364,1,0,0,,,"
353,353,A fire could break out,353.0,"365,1,0,0,,,"
354,354,The object looks big.,354.0,"366,0,0,0,,,"
355,355,A substance that burns like Joy burns,355.0,"367,1,0,0,,,"
356,356,The light spreads.,356.0,"368,1,0,0,,,"
357,357,The temperature of the sun's point rises.,357.0,"369,0,0,0,,,"
358,358,There's a fire,358.0,"370,0,0,0,,,"
359,359,Light gathers in one place,359.0,"371,1,1,0,,,"
360,360,The surroundings are getting hot,360.0,"372,1,1,0,,,"
361,361,ㅌ차ㅛㅕㅡㅗㅊㅇ셔7ㅏㅇ셔,361.0,"373,1,0,1,,,"
362,362,The paper burns,362.0,"374,1,0,0,,,"
363,363,The paper burns,363.0,"375,0,0,0,,,"
364,364,C and D. 235 33,364.0,"376,1,1,0,,,"
365,365,It's on fire,365.0,"377,1,1,0,,,"
366,366,The object is getting hot,366.0,"378,1,1,0,,,"
367,367,h,367.0,"379,1,0,1,,,"
368,368,h,368.0,"380,1,0,0,,,"
369,369,The place where the sunlight gathers catches fire.,369.0,"381,1,0,1,,,"
370,370,Light can gather in one place and cause a fire,370.0,"382,0,0,1,,,"
371,371,The light intensifies and the temperature rises,371.0,"383,1,1,0,,,"
372,372,It's burning,372.0,"384,0,1,0,,,"
373,373,h,373.0,"385,1,1,0,,,"
374,374,The heat of sunlight may gather in the middle of the convex lens and cause a fire,374.0,"386,1,0,0,,,"
375,375,Sunlight gathers and a fire breaks out,375.0,"387,1,0,0,,,"
376,376,It gets hot in one place,376.0,"388,0,1,0,,,389,0,1,0,,,"
377,377,The spot shines more and the temperature rises.,377.0,"390,1,0,0,,,"
378,378,"If you grind paper, it burns",378.0,"391,0,1,0,,,"
379,379,One place gets brighter and hotter,379.0,"392,1,0,0,,,"
380,380,The light is so bright!,380.0,"393,1,0,0,,,"
381,381,"If light is collected at a point by a convex lens, it can burn something with the collected light.",381.0,"394,0,1,0,,,"
382,382,Light will gather in one place.,382.0,"395,0,1,1,,,"
383,383,Light refracts.,383.0,"396,0,1,0,,,"
384,384,"The longer the time, the higher the temperature.",384.0,"397,1,0,0,,,"
385,385,"When sunlight is collected, non-burning things such as soil will heat up and catch fire with watery substances such as in front of trees",385.0,"398,1,1,0,,,"
386,386,Light gathers in one place.,386.0,"399,1,1,0,,,"
387,387,Sunlight refracts.,387.0,"400,1,1,0,,,"
388,388,The black paper burns.,388.0,"401,1,0,0,,,"
389,389,Light gathers.,389.0,"402,0,0,0,,,"
390,390,The bottom part is slightly burnt,390.0,"403,0,0,0,,,"
391,391,It's going to get hot,391.0,"404,0,0,0,,,"
392,392,"When sunlight is collected with a convex lens, light is refracted in the middle of the thick sunlight, and when you put something like paper in front of the convex lens, sunlight gathers in the middle.",392.0,"405,0,0,0,,,"
393,393,Sunlight gathers in the middle and brightens up the area.,393.0,"406,1,1,1,,,"
394,394,Light gathers in one place,394.0,"407,0,1,0,,,"
395,395,There's a fire.The light gathers in the middle and the temperature rises,395.0,"408,0,1,0,,,"
396,396,"Sunlight gathers in the middle, raising the temperature in that part. That is, if you put paper on it, you will ride it.",396.0,"409,0,1,1,,,"
397,397,Collecting sunlight heats up and burns if there is paper underneath.,397.0,"410,1,0,0,,,"
398,398,It's about to catch fire.,398.0,"411,0,0,0,,,"
399,399,I think the light will reflect,399.0,"412,0,1,0,,,"
400,400,h,400.0,"413,1,0,0,,,"
401,401,I can see it better,401.0,"414,1,0,0,,,"
402,402,The convex lens is round in the middle and then becomes smaller.,402.0,"415,1,0,0,,,"
403,403,The place where the light gathers gets hot and bright.,403.0,"416,1,1,0,,,"
404,404,The light gathers in the middle.,404.0,"417,0,1,0,,,"
405,405,Light is refracted and gathered in the thick middle.,405.0,"418,1,0,0,,,419,0,1,0,,,"
406,406,"Sunlight gathers in one place, and the place is strongly illuminated.",406.0,"420,1,0,0,,,"
407,407,There's a fire,407.0,"421,1,0,0,,,"
408,408,There's light,408.0,"422,1,1,0,,,"
409,409,The sunlight will gather at a small point.,409.0,"423,1,0,0,,,"
410,410,There's a fire.,410.0,"424,0,1,0,,,"
411,411,"You can burn paper, etc.",411.0,"425,0,1,0,,,"
412,412,"If the sun is hot, there will be a fire.",412.0,"426,0,1,0,,,"
413,413,"If the sunlight is in the middle and there is an object in front of it, the object burns.",413.0,"427,0,1,0,,,"
414,414,It is likely to be bigger than the amount of sunlight collected.,414.0,"428,0,1,0,,,"
415,415,I think there's going to be a fire,415.0,"429,0,0,0,,,"
416,416,Light gathers in the middle.,416.0,"430,1,1,0,,,"
417,417,Paper burns,417.0,"431,1,0,0,,,"
418,418,One part burns.,418.0,"432,0,0,0,,,"
419,419,The place where the sunlight gathers gets hot.,419.0,"433,0,0,0,,,"
420,420,Something burns.,420.0,"434,0,0,0,,,"
421,421,Sunlight gathers into small dots.,421.0,"435,0,1,0,,,"
422,422,Light will gather in one place.,422.0,"436,0,1,0,,,"
423,423,"The properties of convex lenses are convex in the middle, so I think light will pass through the middle",423.0,"437,1,0,0,,,"
424,424,"When you collect sunlight with a convex lens, the light comes into one place.",424.0,"438,0,1,0,,,"
425,425,Light will gather in one place.,425.0,"439,0,0,0,,,"
426,426,I think it's going to stretch out,426.0,"440,0,1,0,,,"
427,427,Heat gathers to create a fire,427.0,"441,1,1,0,,,"
428,428,A fire breaks out.,428.0,"442,0,1,0,,,"
429,429,The light is spreading,429.0,"443,0,0,0,,,"
430,430,The light spreads.,430.0,"444,1,0,0,,,"
431,431,Sunlight gathers to form a dot.,431.0,"445,0,0,0,,,"
432,432,The sunlight is likely to gather in the middle.,432.0,"446,0,1,0,,,"
433,433,The light is refracted,433.0,"447,0,1,0,,,"
434,434,A fire breaks out,434.0,"448,1,1,0,,,449,1,1,0,,,"
435,435,The light is gathering,435.0,"450,0,0,0,,,"
436,436,The light is reflected off,436.0,"451,1,1,0,,,"
437,437,It's refracting,437.0,"452,1,0,0,,,"
438,438,Sunlight gathers and burns underneath,438.0,"453,1,1,0,,,"
439,439,Light will refract like the surface of the water.So the light will spread.,439.0,"454,1,0,0,,,"
440,440,Sunlight is reflected,440.0,"455,1,1,0,,,"
441,441,It's burning,441.0,"456,0,0,0,,,"
442,442,I don't understand.,442.0,"457,1,0,0,,,"
443,443,Collecting light,443.0,"458,0,1,0,,,"
444,444,"A convex lens is something that refracts light so that it can be seen, and when the light is collected, the light will be seen larger.",444.0,"459,1,0,0,,,"
445,445,Light gathers and fires.,445.0,"460,0,1,0,,,"
446,446,"If you collect sunlight on black paper, you can start a fire.",446.0,"461,1,0,0,,,"
447,447,I don't understand.,447.0,"462,1,0,0,,,"
448,448,The direction in which the sunlight gathers gets hot.,448.0,"463,0,1,0,,,"
449,449,It's getting hot,449.0,"464,1,1,0,,,"
450,450,Sunlight will be collected to generate heat,450.0,"465,0,1,0,,,"
451,451,It's going to get hot.,451.0,"466,0,1,0,,,"
452,452,There will be heat at the point where the light gathers,452.0,"467,1,1,0,,,"
453,453,Sunlight is reflected,453.0,"468,1,0,0,,,"
454,454,"The reflected sunlight is hot, so it can get hot if you bring Joy",454.0,"469,0,0,0,,,"
455,455,It's refracting,455.0,"470,1,1,0,,,"
456,456,Fire,456.0,"471,1,1,0,,,"
457,457,Reflection,457.0,"472,1,0,0,,,"
458,458,a topic comes up,458.0,"473,1,0,0,,,"
459,459,"If there is anything that can be burned, it will catch fire.",459.0,"474,0,1,1,,,"
460,460,The light is gathering,460.0,"475,1,1,0,,,"
461,461,The place with the most light is burning,461.0,"476,0,0,1,,,"
462,462,The light is gathering,462.0,"477,0,1,0,,,"
463,463,Sunlight gathers and spreads,463.0,"478,0,1,0,,,479,0,0,0,,,"
464,464,The light gathers and heats up,464.0,"480,0,0,0,,,"
465,465,The thing in front of the convex lens is going to burn.,465.0,"481,0,0,0,,,"
466,466,It looks big.,466.0,"482,0,0,0,,,"
467,467,The place where the sun is gathered will catch fire.,467.0,"483,1,0,0,,,"
468,468,the sun's rays set in the middle,468.0,"484,0,0,1,,,"
469,469,It's burning,469.0,"485,1,0,0,,,"
470,470,It's about to be a fire,470.0,"486,1,0,0,,,"
471,471,The light is brought together and the light becomes stronger.,471.0,"487,0,0,0,,,"
472,472,"If you collect sunlight with block lenses, the point where sunlight is collected is likely to burn.",472.0,"488,0,0,0,,,"
473,473,The light gets stronger.,473.0,"489,0,0,0,,,"
474,474,We gather in one place,474.0,"490,0,0,0,,,"
475,475,"As the light gathers in the middle of the convex land, the light becomes smaller and larger again",475.0,"491,0,0,0,,,"
476,476,The light looks round,476.0,"492,0,0,0,,,"
477,477,I expect all the light to burst,477.0,"493,0,0,0,,,"
478,478,The light keeps getting bigger,478.0,"494,0,0,0,,,"
479,479,The light is getting smaller and bigger.,479.0,"495,0,0,0,,,"
480,480,"If you do it for a long time, it will burn.",480.0,"496,1,0,0,,,"
481,481,The light becomes stronger.,481.0,"497,0,0,0,,,"
482,482,I think there's going to be a fire,482.0,"498,1,0,0,,,"
483,483,It burns over time.,483.0,"499,0,0,0,,,"
484,484,I don't know,484.0,"500,1,0,0,,,"
485,485,I don't know,485.0,"501,0,0,0,,,"
486,486,I don't know,486.0,"502,0,0,0,,,"
487,487,I don't know,487.0,"503,1,0,0,,,"
488,488,I don't know,488.0,"504,0,1,0,,,"
489,489,I don't know,489.0,"505,0,0,0,,,"
490,490,I don't know,490.0,"506,0,0,0,,,"
491,491,I don't know,491.0,"507,1,0,0,,,"
492,492,I don't understand.,492.0,"508,0,1,0,,,509,0,0,0,,,"
493,493,There's a fire.,493.0,"510,0,0,0,,,"
494,494,It reflects light.The edges are burning,494.0,"511,0,0,0,,,"
495,495,I don't know.,495.0,"512,0,1,0,,,"
496,496,The place where the light touches will get hot.,496.0,"513,0,1,0,,,"
497,497,Reflects the light,497.0,"514,1,0,0,,,"
498,498,I don't know,498.0,"515,1,1,0,,,"
499,499,"""There is smoke coming out of an object or picking it up",499.0,"516,1,1,0,,,"
500,500,"""",500.0,"517,1,0,0,,,"
501,501,The light is gathering in the middle...,501.0,"518,0,1,0,,,"
502,502,I don't know.,502.0,"519,0,0,0,,,"
503,503,The light is bending,503.0,"520,1,0,0,,,"
504,504,There's a fire,504.0,"521,0,1,0,,,"
505,505,I don't think the light will come to my eyes because it's refracted,505.0,"522,1,0,0,,,"
506,506,I think my eyesight will get worse.,506.0,"523,1,0,0,,,"
507,507,I don't know.,507.0,"524,0,1,0,,,"
508,508,I don't know.,508.0,"525,0,0,0,,,"
509,509,gather in one place,509.0,"526,0,1,0,,,"
510,510,It refracts upward when the sunlight of the block lens touches it.,510.0,"527,0,0,0,,,"
511,511,It's burning,511.0,"528,1,0,0,,,"
512,512,The sun gathers and heats up the spot,512.0,"529,1,0,0,,,"
513,513,The spot where the sunlight is gathered turns black.,513.0,"530,0,0,0,,,"
514,514,I think the block lens will be hot,514.0,"531,1,1,0,,,"
515,515,The convex lens gathers light in the middle.,515.0,"532,1,1,0,,,"
516,516,I don't know.,516.0,"533,1,1,0,,,"
517,517,There's smoke,517.0,"534,1,1,0,,,"
518,518,"As the sunlight gathers, the light turns white",518.0,"535,1,1,0,,,"
519,519,"If you leave the paper under the convex lens, the paper can burn.",519.0,"536,1,1,0,,,"
520,520,It gets hot in the sun.,520.0,"537,1,1,0,,,"
521,521,The sun shines in one place,521.0,"538,1,1,1,,,539,1,1,0,,,"
522,522,It's bending to the side by side,522.0,"540,1,1,0,,,"
523,523,It refracts light.,523.0,"541,1,1,1,,,"
524,524,Blow out the sunlight.,524.0,"542,0,1,0,,,"
525,525,"If you put paper under the convex lens, it will burn.",525.0,"543,1,1,0,,,"
526,526,There's a fire.,526.0,"544,0,1,0,,,"
527,527,Light,527.0,"545,0,0,0,,,"
528,528,Collecting sunlight with convex lenses will heat up the light collection.,528.0,"546,1,1,0,,,"
529,529,The heat is concentrated in the hot pot and the temperature rises.,529.0,"547,0,1,0,,,"
530,530,A lot of sunlight gathers in the thick middle and generates enough energy to burn paper.,530.0,"548,1,1,0,,,"
531,531,"When the sunlight of the convex lens passes, it gathers at the focal point, which is a virtual point.  Therefore, if paper is close to the place where light gathers, a large amount of heat can be generated and a fire can occur.",531.0,"549,1,1,1,,,"
532,532,"Sunlight refracts toward one focus and gathers in focus. Therefore, the thermal energy of the focus increases. If there is any combustible material, such as paper, at that point, the sun catches fire. It would be very bad for eye health if there were eyes in that part of the focus.",532.0,"550,1,1,1,,,"
533,533,"As sunlight is refracted and collected through the convex lens, the area where the light is collected and coming in will become hot",533.0,"551,1,1,0,,,"
534,534,Sunlight gathers in one spot. It can burn paper or fallen leaves.,534.0,"552,1,1,0,,,"
535,535,"Because the middle part is thicker than the edge part, it has the property of refracting light, so light can be collected in the middle.  When light is collected, the part that receives the collected light receives a large amount of light energy, so it can be heated and even lit.",535.0,"553,1,1,0,,,"
536,536,"Because the center is thicker than the edge, if the direction of the light is gathered to one side to collect sunlight, the temperature of the collected sunlight will be hotter",536.0,"554,0,1,1,,,"
537,537,"Sunlight is a very strong light. If you collect the amount of energy that can heat the entire Earth even when it is spread through a convex lens, you will be able to do things that require a lot of heat energy, such as making a fire with a strong concentration of energy or heating food.",537.0,"555,1,1,0,,,"
538,538,"Light energy is collected at the focal point of the lens, converted into thermal energy, and the temperature of the focal point where light gathers increases.",538.0,"556,1,0,0,,,"
539,539,"When sunlight passes through a convex lens, light will be able to converge into the focus and gather more solar energy in a narrow space.",539.0,"557,0,1,0,,,"
540,540,"It refracts light and brings it together into a single point, and when you focus on black paper under the sun, it's used to burn something and raise the temperature, as an example of the paper burning around that part",540.0,"558,1,0,0,,,"
541,541,"Since solar energy is concentrated in focus, higher energy can be transferred to a narrow space.",541.0,"559,1,1,0,,,"
542,542,I don't remember the knowledge of convex lenses,542.0,"560,1,1,0,,,"
543,543,"Solar radiation energy gathers in one place due to the refraction of the convex lens, and it heats up as it gathers in one place. If paper, which is a material for burning, is placed in a place where sunlight is collected with a convex lens, energy gathers and reaches the firing temperature, causing a fire.",543.0,"561,1,0,0,,,"
544,544,The sunlight refracts and gathers in one spot.,544.0,"562,1,0,0,,,"
545,545,"When you collect sunlight with convex lenses, the lenses on the receiving side refract the light and change the path outward, and the lenses on the opposite side change the path back in, eventually converging the sunlight into a single point, which can help create fire or look closely at matter.",545.0,"563,1,1,0,,,"
546,546,"Light passing through the edge of the convex lens is refracted sideways, and light passing through the center is incident in a straight line.  Therefore, it serves to collect light incident from various directions into one point. The energy of light is the same, but the energy of light per unit area is very high because the range in which it acts is reduced to one point. It can also burn other objects.",546.0,"564,0,1,0,,,"
547,547,"Light refracts to the slower side, and when light from the air enters the lens, it slows down in the middle, which is relatively thicker than at the edge, so the light refracts to the middle. Therefore, sunlight can concentrate light energy and thermal energy into one part by gathering into the middle part.",547.0,"565,0,1,0,,,"
548,548,"Convex lenses have the property of collecting light into one place. Therefore, when light is collected using a convex lens, light gathers in one place and generates heat. As heat is generated, the part where light is collected may catch fire or cause soot.",548.0,"566,0,1,0,,,"
549,549,"When sunlight is collected with convex lenses, sunlight gathers at one point.  The light passing through the top of the convex lens is refracted in a downward direction, the center is refracted in a straight line, and the bottom is refracted in an upward direction, so that light gathers at one point.",549.0,"567,1,0,0,,,"
550,550,"When sunlight is collected through a convex lens, light is collected in one focus. If you continue to shine sunlight on the convex lens, a large amount of heat will be collected in one focus. If this heat gathers more than a certain level, a fire is expected.",550.0,"568,1,0,0,,,569,1,1,0,,,"
551,551,"A convex lens refracts light and passes through a point, and this property can collect sunlight. Because of this, it is possible to collect brighter light than the surroundings.",551.0,"570,1,0,0,,,"
552,552,"""If you reflect light elsewhere, it heats up where it is reflected.",552.0,"571,1,0,0,,,"
553,553,"It's on fire.""",553.0,"572,1,1,0,,,"
554,554,It's hot,554.0,"573,0,0,1,,,"
555,555,The sunlight gathers in the middle,555.0,"574,1,0,0,,,"
556,556,It's getting hot,556.0,"575,0,0,0,,,"
557,557,The temperature rises at the point where the sunlight gathers,557.0,"576,1,0,0,,,"
558,558,Light and heat will come together.,558.0,"577,0,0,0,,,"
559,559,Heat generation,559.0,"578,1,0,0,,,"
560,560,It's very hot when you collect sunlight,560.0,"579,0,1,0,,,"
561,561,Gather more heat,561.0,"580,1,0,0,,,"
562,562,The sunlight is gathering,562.0,"581,0,0,1,,,"
563,563,Gather up,563.0,"582,1,0,0,,,"
564,564,Light gathers in the middle.,564.0,"583,0,1,0,,,"
565,565,Black paper catches fire,565.0,"584,1,0,0,,,"
566,566,There's a fire,566.0,"585,1,0,0,,,"
567,567,The temperature of the sunlight collection increases.,567.0,"586,1,0,0,,,"
568,568,It's burning,568.0,"587,0,1,0,,,"
569,569,"If you put it on the paper, it catches fire",569.0,"588,1,1,0,,,"
570,570,"Sunlight gathers in the middle, heat concentrates, and the temperature of the heat-burning material will rise",570.0,"589,1,0,0,,,"
571,571,The light is getting stronger,571.0,"590,1,0,0,,,"
572,572,There's a fire,572.0,"591,1,1,0,,,"
573,573,I don't know.,573.0,"592,1,0,0,,,"
574,574,There's a fire,574.0,"593,0,1,0,,,"
575,575,The sunlight is not gathering.,575.0,"594,0,1,0,,,"
576,576,It's on fire,576.0,"595,1,0,0,,,"
577,577,Light gathers in one place.,577.0,"596,0,1,0,,,"
578,578,It can burn black objects.,578.0,"597,0,0,0,,,"
579,579,The light is shining,579.0,"598,1,0,0,,,599,0,0,0,,,"
580,580,It's burning,580.0,"600,0,0,0,,,"
581,581,"Rather than collecting evenly as a whole, light will concentrate on the thick part in the middle.",581.0,"601,1,0,0,,,"
582,582,The temperature of the heat will rise and catch fire.,582.0,"602,1,0,0,,,"
583,583,There's a fire,583.0,"603,0,0,0,,,"
584,584,There is a danger of fire.,584.0,"604,1,1,0,,,"
585,585,The focus could be centered.,585.0,"605,0,0,0,,,"
586,586,Light gathers in one place and heats up,586.0,"606,1,0,0,,,"
587,587,It's getting hot,587.0,"607,1,0,0,,,"
588,588,There's a fire,588.0,"608,1,1,0,,,"
589,589,"Solar energy is concentrated at one point, and the temperature of the concentrated point rises.",589.0,"609,1,1,0,,,"
590,590,One part is getting hot. Burn ants with magnifying glass,590.0,"610,1,1,0,,,"
591,591,The light energy of sunlight gathers at a point and is higher than in normal conditions.,591.0,"611,1,0,0,,,"
592,592,Sunlight is gathering,592.0,"612,1,1,0,,,"
593,593,There's a fireThe light is gathering,593.0,"613,1,1,0,,,"
594,594,I don't know.,594.0,"614,1,1,0,,,"
595,595,It's getting hot,595.0,"615,0,0,0,,,"
596,596,I'm going to fart,596.0,"616,0,1,0,,,"
597,597,I don't know,597.0,"617,0,1,1,,,"
598,598,The paper burns,598.0,"618,0,1,0,,,"
599,599,fire,599.0,"619,0,1,0,,,"
600,600,I do not remember.,600.0,"620,1,1,0,,,"
601,601,Light gathers to generate heat,601.0,"621,1,1,0,,,"
602,602,to spread further,602.0,"622,1,1,0,,,"
603,603,to be able to burn many things,603.0,"623,1,1,0,,,"
604,604,be lit by the sun,604.0,"624,1,1,0,,,"
605,605,High energy is collected and paper can be burned.,605.0,"625,1,0,0,,,"
606,606,"The heat is collected and smoke is produced, creating a fire",606.0,"626,0,0,0,,,"
607,607,"""Large area heat concentrates on narrow areas or spreads to larger areas",607.0,"627,0,0,0,,,"
608,608,"When concentrated, the heat is high enough to burn paper that didn't burn",608.0,"628,1,0,0,,,629,1,0,0,,,"
609,609,"If it spreads to a larger area, the heat in the area where the light touches is likely to be lower than the first""",609.0,"630,1,0,0,,,"
610,610,to be able to burn matter,610.0,"631,1,1,0,,,"
611,611,"Radiation heat from sunlight is concentrated in one place, and the temperature there rises.",611.0,"632,1,0,0,,,"
612,612,Light gathers at a certain point.,612.0,"633,1,0,0,,,"
613,613,The temperature of the collection increases.,613.0,"634,1,0,0,,,"
614,614,I don't know.,614.0,"635,1,1,0,,,"
615,615,The amount of energy collected is concentrated in one point.,615.0,"636,1,0,0,,,"
616,616,Sunlight gathers and strengthens.,616.0,"637,1,0,0,,,"
617,617,I don't know,617.0,"638,1,0,0,,,"
618,618,the gathering of sunlight,618.0,"639,0,1,0,,,"
619,619,The light gathers and the place where the light gathers gets hot.,619.0,"640,1,0,0,,,"
620,620,The temperature of something in focus rises,620.0,"641,1,0,0,,,"
621,621,"If you collect sunlight with convex lenses, energy is concentrated, so you can ride black paper or ants.",621.0,"642,1,0,0,,,"
622,622,"When you put an object in focus, it catches fire.",622.0,"643,0,1,0,,,"
623,623,"A point where light gathers at a point is created, which increases the temperature.",623.0,"644,0,1,0,,,"
624,624,a fire could break out,624.0,"645,0,0,0,,,"
625,625,Let's see. Sexy,625.0,"646,1,1,0,,,"
626,626,Things look different.,626.0,"647,0,1,0,,,"
627,627,There's smoke.,627.0,"648,1,1,0,,,"
628,628,It heats up with smokeAnd there's a fire,628.0,"649,1,0,0,,,"
629,629,There will be a fire.,629.0,"650,1,0,0,,,"
630,630,Sunlight gathers well to generate heat.,630.0,"651,1,1,0,,,"
631,631,The temperature rises,631.0,"652,0,0,0,,,"
632,632,The embers are growing.,632.0,"653,1,1,0,,,"
633,633,The seat burns,633.0,"654,1,0,0,,,"
634,634,"Because light gathers at one point and heat energy gathers, it can light up.",634.0,"655,1,1,0,,,"
635,635,Paper can burn if you put it on paper.,635.0,"656,1,0,0,,,"
636,636,I think the light will be really hot.,636.0,"657,1,0,0,,,"
637,637,There's a fire,637.0,"658,1,0,0,,,659,1,0,0,,,"
638,638,Energy gathers in one place.,638.0,"660,1,0,0,,,"
639,639,It's about to be a fire,639.0,"661,0,1,0,,,"
640,640,It's on fire,640.0,"662,0,1,0,,,"
641,641,There's a fire,641.0,"663,1,1,0,,,"
642,642,Sunlight gathers in one place.,642.0,"664,1,1,0,,,"
643,643,"At one point, all the light that reaches the area of the convex lens is collected.",643.0,"665,1,0,0,,,"
