,Unnamed: 0,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",Unnamed: 0,", q16_Diffusion, q16_Atmosphere, q16_Heat conduction, q16_State change, q16_Diffusion1, q16_Atmospheric pressure1, q16_Heat conduction1, q16_State change.1"
295,295,"If you put air in the balloon and leave it, the size of the balloon is reduced.",295.0,"305,0,0,0,0,,,,"
296,296,ㅜThe particles are moving,296.0,"306,0,0,0,0,,,,"
297,297,Well.,297.0,"307,0,0,0,0,,,,"
298,298,I don't know.,298.0,"308,0,0,0,0,,,,"
299,299,That's why the material is alive,299.0,"309,0,0,0,0,,,,"
300,300,Things that are very scary things,300.0,"310,0,0,0,0,,,,"
301,301,""".?",301.0,"311,1,0,0,1,,,,"
302,302,"""",302.0,"312,1,0,0,0,,,,"
303,303,I don't know.,303.0,"313,1,0,0,0,,,,"
304,304,I don't know what the particles are,304.0,"314,0,0,0,0,,,,"
305,305,"Thanks to particle motion, we can play with balloons",305.0,"315,1,0,0,0,,,,"
306,306,Keep exercising to keep the substance from cooling down,306.0,"316,1,0,0,0,,,,"
307,307,Unknowingness,307.0,"317,0,0,1,1,,,,"
308,308,Various,308.0,"318,1,0,0,0,,,,"
309,309,I don't know,309.0,"319,1,0,0,0,,,,"
310,310,to have air,310.0,"320,1,0,0,0,,,,"
311,311,"The water between the cracks in the stones is frozen by the low temperature, and the stone cracks",311.0,"321,1,0,0,0,,,,"
312,312,I've never heard of a particle called exercise,312.0,"322,0,0,0,0,,,,"
313,313,There's a typhoon,313.0,"323,1,0,0,0,,,,"
314,314,"Oh, my",314.0,"324,0,0,0,0,,,,"
315,315,It becomes smaller than the original particle size.,315.0,"325,0,0,0,0,,,,"
316,316,"The more air is put into the balloon, the bigger the volume, so the particles are moving actively",316.0,"326,0,0,0,0,,,,"
317,317,Brownian motion is the movement of pollen particles here and there as they collide with water molecules in the air,317.0,"327,0,0,0,0,,,,"
318,318,Heat is generated as the particles move,318.0,"328,0,0,0,0,,,,329,0,0,0,0,,,,"
319,319,Unknowingness,319.0,"330,0,0,0,0,,,,"
320,320,I don't know.,320.0,"331,0,0,0,0,,,,"
321,321,The natural phenomenon caused by particle motion is liquid.,321.0,"332,0,0,0,0,,,,"
322,322,It makes the food delicious,322.0,"333,1,0,0,0,,,,"
323,323,I don't know.,323.0,"334,0,0,0,0,,,,"
324,324,There are phenomena such as diffusion and evaporation.,324.0,"335,0,0,0,0,,,,"
325,325,Spreading,325.0,"336,0,0,0,0,,,,"
326,326,Spreading,326.0,"337,0,1,0,0,,,,"
327,327,"Particle motion can be divided into solid, liquid, and gas motion. Goje vibrates in place by very strong attraction between molecules. Liquids have weaker bonds than solids.It diffuses. Gases have very weak intermolecular attractions, so they have active particle movements.",327.0,"338,1,0,0,0,,,,"
328,328,Spreading,328.0,"339,0,0,0,0,,,,"
329,329,Diffusion by concentration difference,329.0,"340,0,0,0,0,,,,"
330,330,"Temperature of matter, change of state, transfer of matter",330.0,"341,0,0,0,0,,,,"
331,331,Spreading,331.0,"342,0,0,0,0,,,,"
332,332,Spreading,332.0,"343,0,0,0,0,,,,"
333,333,"Brownian motion, diffusion of gas",333.0,"344,0,0,0,0,,,,"
334,334,Spreading,334.0,"345,0,0,0,0,,,,"
335,335,"When radiation is applied to an atom, electrons pop out, and the protruding electrons move with kinetic energy.",335.0,"346,0,0,0,0,,,,"
336,336,It's diffusion. It's spread around by the motion of molecules.,336.0,"347,0,0,0,0,,,,"
337,337,the shape is maintained,337.0,"348,0,0,0,0,,,,"
338,338,"For example, when water is boiled, the particles move",338.0,"349,0,0,0,0,,,,"
339,339,Air,339.0,"350,0,0,0,0,,,,"
340,340,Air,340.0,"351,0,0,0,0,,,,"
341,341,I don't know.,341.0,"352,0,0,0,0,,,,"
342,342,"If there's warm heat, the particle movement becomes active, but even just a little heat does particle movement",342.0,"353,1,0,0,0,,,,"
343,343,Air,343.0,"354,0,0,0,0,,,,"
344,344,"Dew on leaves or grass. a phenomenon in which saturated water vapor in a gas attaches to a leaf or grass, resulting in droplets",344.0,"355,0,0,0,0,,,,"
345,345,"The air, the air, moves around the world non-stop",345.0,"356,0,1,0,0,,,,"
346,346,The scent spreads,346.0,"357,0,0,0,0,,,,"
347,347,Air,347.0,"358,0,1,0,0,,,,359,0,0,0,0,,,,"
348,348,I'm sorry. I don't know,348.0,"360,0,1,0,0,,,,"
349,349,I don't know.,349.0,"361,0,0,0,0,,,,"
350,350,Balloon,350.0,"362,0,0,0,0,,,,"
351,351,"When you get on a plane, the sunblock explodes, and things like sunblock, when you go up high, the particles spread",351.0,"363,0,0,0,0,,,,"
352,352,Unknowingness,352.0,"364,0,0,1,0,,,,"
353,353,the movement of air,353.0,"365,0,0,0,0,,,,"
354,354,I don't know.,354.0,"366,0,0,0,0,,,,"
355,355,"""San-San-San-San-San-Sea""",355.0,"367,0,0,0,0,,,,"
356,356,Degree,356.0,"368,0,0,0,0,,,,"
357,357,one's work,357.0,"369,0,0,0,0,,,,"
358,358,"The same""",358.0,"370,1,0,0,0,,,,"
359,359,Thunder,359.0,"371,0,0,0,0,,,,"
360,360,Hail,360.0,"372,0,0,0,0,,,,"
361,361,Unknowingness,361.0,"373,0,0,1,0,,,,"
362,362,I don't know.,362.0,"374,0,0,1,0,,,,"
363,363,"When fart mushrooms spew out spores, they blow away particles",363.0,"375,0,0,0,0,,,,"
364,364,rain or snow,364.0,"376,0,0,0,0,,,,"
365,365,I don't know.,365.0,"377,0,0,0,1,,,,"
366,366,I have no idea.,366.0,"378,0,0,0,0,,,,"
367,367,Many electrons collide with each other.,367.0,"379,0,0,0,0,,,,"
368,368,I learned it but I can't remember,368.0,"380,0,0,0,0,,,,"
369,369,The odor particles are spreading and smelling.Move in the direction of the wind,369.0,"381,0,0,0,0,,,,"
370,370,I don't know,370.0,"382,0,0,0,0,,,,"
371,371,Vibration,371.0,"383,0,0,0,0,,,,"
372,372,Wind... This is because the air moves according to the difference in temperature even if the wind stays still.,372.0,"384,0,0,0,0,,,,"
373,373,I don't know,373.0,"385,0,1,0,0,,,,"
374,374,Wind,374.0,"386,0,0,0,0,,,,"
375,375,I don't know,375.0,"387,0,0,0,0,,,,"
376,376,"When the heat is heated in summer, the train tracks expand.",376.0,"388,0,0,0,1,,,,389,0,0,0,0,,,,"
377,377,The waves spread.,377.0,"390,0,0,0,0,,,,"
378,378,The water is flowing.,378.0,"391,0,0,0,0,,,,"
379,379,Muscle exercise,379.0,"392,0,0,0,0,,,,"
380,380,"When the frying pan is heated, the handle is also heated by the movement of the particles.",380.0,"393,0,0,0,0,,,,"
381,381,I don't know,381.0,"394,0,0,0,0,,,,"
382,382,I don't understand.,382.0,"395,0,0,0,0,,,,"
383,383,I'm sorry,383.0,"396,0,0,0,0,,,,"
384,384,fine dust,384.0,"397,1,0,0,0,,,,"
385,385,I don't know.,385.0,"398,0,1,0,0,,,,"
386,386,Spreading,386.0,"399,0,0,0,0,,,,"
387,387,electric power,387.0,"400,1,0,0,0,,,,"
388,388,photosynthesis of plants,388.0,"401,1,0,0,1,,,,"
389,389,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",389.0,"402,1,0,0,0,,,,"
390,390,"When the pan of the frying pan is heated, the handle is also heated by the movement of the particles.",390.0,"403,0,0,0,1,,,,"
391,391,Heat is generated as the particles move.,391.0,"404,0,0,0,0,,,,"
392,392,I don't know.,392.0,"405,1,0,0,0,,,,"
393,393,"Water evaporates when left at room temperature.This is because water molecules on the surface move constantly, breaking the bonds between water molecules and moving into the air.",393.0,"406,1,0,0,0,,,,"
394,394,Unknowingness,394.0,"407,0,0,0,0,,,,"
395,395,I don't knowUnknowingness,395.0,"408,0,0,0,0,,,,"
396,396,I don't know,396.0,"409,1,0,0,0,,,,"
397,397,I don't know,397.0,"410,0,0,0,0,,,,"
398,398,I love you ^^,398.0,"411,0,0,0,0,,,,"
399,399,ㄱ and ㅈ,399.0,"412,0,0,0,0,,,,"
400,400,Balloon,400.0,"413,0,0,0,0,,,,"
401,401,photoelectric effect,401.0,"414,0,0,0,0,,,,"
402,402,Front door sensor,402.0,"415,0,0,0,0,,,,"
403,403,"The natural phenomenon caused by the movement of particles is the heat radiated to water by solar heat, and water evaporates and condenses into the sky to form clouds.",403.0,"416,0,0,0,0,,,,"
404,404,the phenomenon of water flowing,404.0,"417,0,0,0,0,,,,"
405,405,It can be seen that it is alive because of the movement of the particles.,405.0,"418,0,0,0,0,,,,419,0,0,0,0,,,,"
406,406,"Lightning: On rainy days, in clouds containing a lot of electrons, an electric current is generated as electrons flow down the ground in rainwater.",406.0,"420,0,0,0,0,,,,"
407,407,"There are microphones, speakers, and so on. The microphone vibrates the sound, so the sound diffuses.",407.0,"421,0,0,0,0,,,,"
408,408,"Lightning, thunder",408.0,"422,0,0,0,0,,,,"
409,409,Photosynthesis,409.0,"423,0,0,0,0,,,,"
410,410,"There are various kinds of particle motion, such as diffusion, osmotic pressure, and photoelectric effects.",410.0,"424,1,0,0,0,,,,"
411,411,"Photosynthesis, in particular, is the effect of the particulate nature of light. In addition, various weather phenomena caused by convection can be seen as well.""",411.0,"425,1,0,0,1,,,,"
412,412,"When water is boiled, the particle movement of the water becomes active, and the temperature of the water rises.",412.0,"426,0,0,0,0,,,,"
413,413,"If you look at the smell moving far away rather than in one space, you can see that the particles are moving without stopping.",413.0,"427,0,0,0,0,,,,"
414,414,The particles in the air move and wind blows.,414.0,"428,0,0,0,0,,,,"
415,415,"When water is in a solid state (ice), the movement of particles is reduced, and as the movement of particles increases, the distance between the particles increases to become a liquid, and later becomes a gas.",415.0,"429,0,0,0,0,,,,"
416,416,Gas molecules diffuse around as they move constantly in the air.,416.0,"430,1,0,0,0,,,,"
417,417,"Because the particles move, when water is boiled, it evaporates and flies into the atmosphere.",417.0,"431,0,0,0,0,,,,"
418,418,There is a phenomenon that spreads when pigment is dropped on the water. This phenomenon is that pigment molecules move in the water and appear to spread because they move constantly without staying still.,418.0,"432,0,0,0,0,,,,"
419,419,Water molecules move constantly and evaporation occurs on the surface of the water.,419.0,"433,0,0,0,0,,,,"
420,420,"All phenomena in which the shape of an object varies, such as waves, cloud movements, etc., involve particle motion.",420.0,"434,0,0,0,0,,,,"
421,421,"The particles that make up the material are not stationary and move constantly, and a representative example of a natural phenomenon caused by this is smell. Smell is what is felt as the molecules, which are particles that make up a substance, are spread around by diffusion and stimulate our olfactory cells. Therefore, this can be said to be a phenomenon caused by the movement of particles.",421.0,"435,0,0,0,0,,,,"
422,422,"Even if you don't get close to the flower, it smells because of diffusion",422.0,"436,0,0,0,1,,,,"
423,423,"As the water molecules that make up water constantly move, pollen floating on the water moves around accordingly.",423.0,"437,0,0,0,0,,,,"
424,424,"When pollen is floated on the water, it moves irregularly.",424.0,"438,0,1,0,0,,,,"
425,425,There is diffusion in natural phenomena caused by particle motion.,425.0,"439,0,1,0,0,,,,"
426,426,"Typhoon, rainy season, drought, low birth rate and aging population",426.0,"440,0,1,0,0,,,,"
427,427,Ankimchi. (Ankimchi in Korean),427.0,"441,0,0,0,0,,,,"
428,428,"""",428.0,"442,0,0,0,0,,,,"
429,429,"Lightning, caused by collisions between particles",429.0,"443,0,0,0,1,,,,"
430,430,fine dust,430.0,"444,0,0,0,0,,,,"
431,431,fitness center.,431.0,"445,0,0,0,0,,,,"
432,432,fitness center.,432.0,"446,1,0,0,0,,,,"
433,433,I sweat when I work out,433.0,"447,1,0,0,0,,,,"
434,434,The air gets warm.,434.0,"448,0,0,0,0,,,,449,1,0,0,0,,,,"
435,435,I think there will be fine dust.,435.0,"450,0,0,0,0,,,,"
436,436,"Fine dust, etc",436.0,"451,0,0,1,0,,,,"
437,437,fitness center,437.0,"452,0,0,1,0,,,,"
438,438,fitness center,438.0,"453,0,0,0,0,,,,"
439,439,My body gets hot when I exercise,439.0,"454,0,0,0,0,,,,"
440,440,The temperature changes according to the particle's momentum,440.0,"455,0,0,0,0,,,,"
441,441,"Particle motion has diffusion and when deodorant is sprayed in a space, the scent spreads under the influence of wind or other influences",441.0,"456,0,0,0,0,,,,"
442,442,There are diffusion and evaporation lights,442.0,"457,0,0,0,0,,,,"
443,443,There are typhoons and rainy seasons.,443.0,"458,0,0,0,0,,,,"
444,444,Falls,444.0,"459,0,0,0,0,,,,"
445,445,I don't know.,445.0,"460,0,0,0,0,,,,"
446,446,I don't know.,446.0,"461,0,0,0,0,,,,"
447,447,"Smelling molecules are constantly moving and bumping into each other, spreading into the air",447.0,"462,0,0,0,0,,,,"
448,448,A phenomenon in which chalk does not mix with water and ethanol,448.0,"463,0,0,0,0,,,,"
449,449,"As the particle passes through the metal tube at a constant speed, the step shape, the kinetic energy received as the particle accelerates is constant, and the kinetic energy is proportional to the square of the speed, so the increase in speed is gradually reduced",449.0,"464,1,0,0,0,,,,"
450,450,I don't know,450.0,"465,0,0,0,0,,,,"
451,451,Fire and flood and so on,451.0,"466,0,0,0,0,,,,"
452,452,It's raining.,452.0,"467,0,0,0,1,,,,"
453,453,Evaporation,453.0,"468,0,0,0,0,,,,"
454,454,I don't understand.,454.0,"469,0,0,0,0,,,,"
455,455,Blowing air into the balloon increases the balloon.,455.0,"470,0,0,0,0,,,,"
456,456,It is the movement of particles because the balloon is blowing.,456.0,"471,0,0,0,0,,,,"
457,457,There is a typhoon.,457.0,"472,0,0,0,0,,,,"
458,458,I don't understand.,458.0,"473,0,1,0,0,,,,"
459,459,Fire Generation,459.0,"474,0,0,0,0,,,,"
460,460,evaporation of water,460.0,"475,0,0,0,0,,,,"
461,461,Particle movement is carried out by heat transfer,461.0,"476,0,0,0,0,,,,"
462,462,"Of course, all natural phenomena",462.0,"477,0,0,0,0,,,,"
463,463,Spreading,463.0,"478,0,0,0,0,,,,479,0,0,0,0,,,,"
464,464,the spread of fart smell,464.0,"480,0,0,0,0,,,,"
465,465,I don't know.,465.0,"481,0,0,0,0,,,,"
466,466,Junho's smell is spreading.,466.0,"482,0,0,0,0,,,,"
467,467,Mr,467.0,"483,0,0,0,0,,,,"
468,468,the conduction of heat,468.0,"484,0,0,0,0,,,,"
469,469,heat conduction,469.0,"485,0,0,0,0,,,,"
470,470,Electromagnetic waves are generated by the vibrational motion of electrons.,470.0,"486,0,0,0,0,,,,"
471,471,The movement of the particles allows living things to live.,471.0,"487,0,0,0,0,,,,"
472,472,surface tension,472.0,"488,0,0,0,0,,,,"
473,473,It's an adhd.,473.0,"489,0,0,0,0,,,,"
474,474,I don't know,474.0,"490,0,0,0,0,,,,"
475,475,the destruction of the ozone layer,475.0,"491,0,0,0,0,,,,"
476,476,"Particle movement occurs, such as the movement of electrons, such as lightning.",476.0,"492,0,0,0,0,,,,"
477,477,the effect of a magnet,477.0,"493,0,0,0,0,,,,"
478,478,I don't know,478.0,"494,0,0,0,0,,,,"
479,479,The water is cut off.,479.0,"495,0,0,0,0,,,,"
480,480,Air circulation is typical,480.0,"496,0,0,0,0,,,,"
481,481,Spreading,481.0,"497,0,0,0,0,,,,"
482,482,all phenomena,482.0,"498,0,0,0,0,,,,"
483,483,Lightning,483.0,"499,0,0,0,0,,,,"
484,484,The water keeps evaporating.,484.0,"500,0,0,0,0,,,,"
485,485,It's all exercise.,485.0,"501,0,0,0,0,,,,"
486,486,Increasing entropy,486.0,"502,0,0,0,0,,,,"
487,487,circulation of air,487.0,"503,0,0,1,0,,,,"
488,488,the law of increasing entropy,488.0,"504,0,0,0,0,,,,"
489,489,"An example is the process by which nuclear fission occurs. When nuclear fission occurs, neutrons constantly move and generate energy by amplifying or decreasing it.",489.0,"505,0,0,0,0,,,,"
490,490,"""The Waves""",490.0,"506,0,0,0,0,,,,"
491,491,"Wave is a natural phenomenon caused by wind, but the movement of the owner varies depending on the natural sea wave and the deep sea wave, so the particles of the deep sea wave circle, but the natural sea wave ellipses.""",491.0,"507,0,0,0,0,,,,"
492,492,"There's an aurora. Aurora occurs when charged particles emitted from the sun collide with the Earth's magnetic field, where they glow.",492.0,"508,0,0,0,0,,,,509,0,0,0,0,,,,"
493,493,Earthquake,493.0,"510,0,0,0,0,,,,"
494,494,ㄴㅇㄹㄴㅁㄱ윺ㄴㄷ쇼ㅠㄴㄷI didn't learn it!,494.0,"511,0,0,0,0,,,,"
495,495,Unknowingness,495.0,"512,0,0,0,0,,,,"
496,496,66서ㅛㅕㅓㅅㅕ,496.0,"513,0,0,0,0,,,,"
497,497,Plant growth changes the land,497.0,"514,0,1,0,0,,,,"
498,498,particle motion,498.0,"515,0,0,0,0,,,,"
499,499,molecular cooking,499.0,"516,0,1,0,0,,,,"
500,500,Person?,500.0,"517,0,0,0,1,,,,"
501,501,Ha ha ha ha.,501.0,"518,0,1,0,0,,,,"
502,502,Particles work out. I have a question Is particle exercise aerobic or anaerobic exercise?,502.0,"519,0,0,0,0,,,,"
503,503,the growth of plants,503.0,"520,0,0,0,0,,,,"
504,504,Moreugesseum,504.0,"521,0,0,0,0,,,,"
505,505,"the rotation of the earth, seasonal changes due to revolution, etc",505.0,"522,0,0,0,0,,,,"
506,506,The particles are active,506.0,"523,0,0,0,0,,,,"
507,507,There's a fire,507.0,"524,0,0,0,0,,,,"
508,508,Particles move.,508.0,"525,0,0,0,0,,,,"
509,509,It's going to grow,509.0,"526,0,0,0,0,,,,"
510,510,This natural phenomenon is the act of living things.,510.0,"527,0,0,0,0,,,,"
511,511,Particles exercise more than I do.,511.0,"528,0,0,0,0,,,,"
512,512,I don't know.,512.0,"529,0,1,0,0,,,,"
513,513,Don't know,513.0,"530,0,0,0,0,,,,"
514,514,I don't know,514.0,"531,0,0,0,0,,,,"
515,515,A typhoon?,515.0,"532,0,0,0,0,,,,"
516,516,I don't know.crying,516.0,"533,0,0,0,0,,,,"
517,517,I don't know. I hate science. Geukyeom,517.0,"534,0,1,0,0,,,,"
518,518,Yes.,518.0,"535,0,0,0,0,,,,"
519,519,Do.,519.0,"536,0,0,0,0,,,,"
520,520,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",520.0,"537,0,0,0,0,,,,"
521,521,,521.0,"538,0,0,0,0,,,,539,0,0,0,0,,,,"
522,522,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",522.0,"540,0,0,0,0,,,,"
523,523,,523.0,"541,0,0,0,0,,,,"
524,524,"""In the case of heating a solid, if the heated molecule vibrates more, the neighboring molecules vibrate together, explaining the conduction of heat. If the solid particles become too large to break the spring, the regular arrangement collapses and melts into a liquid.""",524.0,"542,0,0,0,0,,,,"
525,525,"The atoms or molecules that make up a solid are attracting each other with strong attractions, and because atoms or molecules are regularly arranged, they cannot move freely, so they are only vibrating in place. Continuous lowering of the temperature is expected to stop the vibration of these solid molecules, which is about -273°C, and this temperature is called absolute zero (0 K). On the contrary, if the temperature of the solid is increased, the vibration of molecules or atoms is accelerated and the regular molecular arrangement of the solid collapses and turns into a liquid when it reaches the melting point.",525.0,"543,0,0,0,0,,,,"
526,526,,526.0,"544,0,0,0,0,,,,"
527,527,"As a way of describing the motion of solid molecules, the set of atoms or molecules that make up a solid can be likened to a set of heavy particles connected by very light springs with little mass, and intermolecular bonds can be thought of as each spring binds adjacent particles. When an external force is applied, the entire set of particles is compressed, expanded, or distorted, just like the properties of solids we know.",527.0,"545,0,0,0,0,,,,"
528,528,,528.0,"546,0,0,0,0,,,,"
529,529,"In the case of heating a solid, a large vibration of a heated molecule can explain the conduction of heat because neighboring molecules vibrate together under the vibration, and if a solid particle is too large to break the spring, its regular arrangement collapses and melts into a liquid.""",529.0,"547,0,0,0,0,,,,"
530,530,Mushrooms,530.0,"548,0,0,0,0,,,,"
531,531,.,531.0,"549,0,0,0,0,,,,"
532,532,People let them move,532.0,"550,0,0,0,0,,,,"
533,533,.,533.0,"551,1,0,0,0,,,,"
534,534,Don't know,534.0,"552,1,0,0,1,,,,"
535,535,I think it makes my body sweat.,535.0,"553,1,0,0,1,,,,"
536,536,I've never heard of it before,536.0,"554,0,0,0,0,,,,"
537,537,I don't understand.,537.0,"555,0,0,0,0,,,,"
538,538,I don't know.,538.0,"556,1,0,0,1,,,,"
539,539,"The movement of the particles becomes more active when the temperature is higher, so the volume increases.",539.0,"557,0,1,0,0,,,,"
540,540,I don't know.,540.0,"558,1,0,0,1,,,,"
541,541,"For example, balloons are inflated because particles are moving in them.",541.0,"559,0,0,0,1,,,,"
542,542,Melt: Melt iron over fire. Sublimation: Sex occurs in winter.,542.0,"560,0,0,0,0,,,,"
543,543,"Just as tiny particles of air move and create wind, liquid or dough changes shape when touched. Therefore, I think wind, tsunami, and earthquake are the same principles.",543.0,"561,1,0,0,1,,,,"
544,544,Don't know,544.0,"562,0,0,0,0,,,,"
545,545,Don't know,545.0,"563,0,0,0,0,,,,"
546,546,?,546.0,"564,1,0,0,0,,,,"
547,547,You're losing weight. You're getting healthier,547.0,"565,1,0,0,1,,,,"
548,548,The particles must be working out hard,548.0,"566,0,1,0,0,,,,"
549,549,I have no idea.,549.0,"567,1,0,0,1,,,,"
550,550,The active movement of particles is what keeps our bodies moving and healthy,550.0,"568,1,0,0,1,,,,569,0,0,1,0,,,,"
551,551,Don't know,551.0,"570,0,0,0,0,,,,"
552,552,I don't know.,552.0,"571,0,0,0,0,,,,"
553,553,Unknowingness,553.0,"572,1,0,0,1,,,,"
554,554,The wind is blowing.,554.0,"573,0,0,0,0,,,,"
555,555,Unknowingness,555.0,"574,0,0,0,0,,,,"
556,556,Unknowingness,556.0,"575,0,0,0,0,,,,"
557,557,I don't know.,557.0,"576,0,1,0,0,,,,"
558,558,Don't know,558.0,"577,0,0,0,0,,,,"
559,559,to be able to blow a balloon(?),559.0,"578,0,0,0,0,,,,"
560,560,It is said that 100 million particles move when a worm moves a meter,560.0,"579,0,1,0,0,,,,"
561,561,I don't know.,561.0,"580,0,0,0,0,,,,"
562,562,"If you change the water into another cup, the amount is the same, but the shape is different",562.0,"581,0,0,0,0,,,,"
563,563,I don't know I only know that it' water,563.0,"582,0,0,0,0,,,,"
564,564,The particles move to maintain balance with all life.,564.0,"583,0,0,0,0,,,,"
565,565,I don't know.,565.0,"584,0,0,0,0,,,,"
566,566,I don't know,566.0,"585,0,0,0,0,,,,"
567,567,I don't know.,567.0,"586,0,0,0,0,,,,"
568,568,I don't know,568.0,"587,0,0,0,0,,,,"
569,569,I don't understand.,569.0,"588,0,0,0,0,,,,"
570,570,Temperature change,570.0,"589,0,0,0,0,,,,"
571,571,I don't know,571.0,"590,0,0,0,0,,,,"
572,572,It transmits heat or electricity.,572.0,"591,0,0,0,0,,,,"
573,573,Diffusion occurs when the scent spreads.,573.0,"592,0,0,0,0,,,,"
574,574,"As the particles move, the temperature of the particles increases. As the temperature of the particles rises, various changes occur, such as changes in the state of the material.",574.0,"593,0,0,0,0,,,,"
575,575,The time of the flies,575.0,"594,0,0,0,0,,,,"
576,576,Diffusion occurs.,576.0,"595,0,0,0,0,,,,"
577,577,"""",577.0,"596,0,0,0,0,,,,"
578,578,"Evaporation, diffusion""",578.0,"597,0,1,0,0,,,,"
579,579,There are evaporation and diffusion lights.,579.0,"598,0,0,0,0,,,,599,0,0,0,0,,,,"
580,580,I don't know...................................................,580.0,"600,0,0,0,1,,,,"
581,581,a plant grows fast,581.0,"601,0,0,0,0,,,,"
582,582,"Examples of particle motion are evaporation and diffusion, and as the particle moves, it changes into a gas and spreads into the air.",582.0,"602,1,0,0,0,,,,"
583,583,The balloon swells.,583.0,"603,0,0,0,0,,,,"
584,584,"There is evaporation and diffusion, evaporation rises by heat, and diffusion is driven by air",584.0,"604,0,0,0,0,,,,"
585,585,"""It turns into a gas as you exercise, and the gas evaporates and spreads into the air",585.0,"605,0,0,0,0,,,,"
586,586,,586.0,"606,0,0,0,0,,,,"
587,587,"""",587.0,"607,0,0,0,0,,,,"
588,588,"We don't really feel it because we move particles in every material, but we will always move according to the movement of particles",588.0,"608,1,0,0,0,,,,"
589,589,"There are phenomena in which particles become gases as they move and evaporate, and then diffuse into the air.",589.0,"609,0,0,0,0,,,,"
590,590,Because particles do many things,590.0,"610,0,0,0,0,,,,"
591,591,"Well, this, too------ㅡㅡㅡㅡㅡㅡ",591.0,"611,0,0,0,0,,,,"
592,592,"As the particles move, they become gases and diffuse from gases to air.",592.0,"612,0,0,0,0,,,,"
593,593,"Diffusion and evaporation are the biggest examplesThe wind blows, the dust flies, and the ball window breeds germs.",593.0,"613,0,0,0,1,,,,"
594,594,There's evaporation and diffusion.,594.0,"614,0,0,0,0,,,,"
595,595,There is evaporation and diffusion.,595.0,"615,0,0,0,0,,,,"
596,596,"Particle motion is common in the phenomenon of heat energy transfer around us. The movement of natural particles can be found in the ""conducting"" phenomenon in which the vibrations of particles of an object with more heat energy are transferred between attached solids to transfer heat energy, and the ""convection"" phenomenon in which relatively free particles move directly from fluids.",596.0,"616,0,0,0,0,,,,"
597,597,I don't know.,597.0,"617,0,0,0,0,,,,"
598,598,f,598.0,"618,0,1,0,0,,,,"
599,599,"Evaporation and diffusion exist. As the particles move, they become gases, evaporate, and diffuse into the air.",599.0,"619,0,0,0,0,,,,"
600,600,Substances are produced as particles bond to each other to achieve a stable state. Electrons move and current is generated.,600.0,"620,0,0,0,0,,,,"
601,601,Lightning strikes.,601.0,"621,0,0,0,0,,,,"
602,602,Unknowingness,602.0,"622,0,0,0,0,,,,"
603,603,the wind blowing,603.0,"623,0,0,0,0,,,,"
604,604,I don't know...,604.0,"624,0,0,0,0,,,,"
605,605,I don't know,605.0,"625,0,0,0,0,,,,"
606,606,Balloons?,606.0,"626,1,0,0,1,,,,"
607,607,Marathon,607.0,"627,1,0,0,1,,,,"
608,608,"""I don't know",608.0,"628,1,0,0,1,,,,629,0,0,0,1,,,,"
609,609,"""",609.0,"630,1,0,0,0,,,,"
610,610,I have no idea.,610.0,"631,0,0,0,1,,,,"
611,611,"The fusion of the sun, particles moving and fusing with other particles, creates energy.",611.0,"632,0,0,0,1,,,,"
612,612,Unknowingness,612.0,"633,0,0,0,0,,,,"
613,613,Do.,613.0,"634,0,0,0,1,,,,"
614,614,The particles of water move and the water flows,614.0,"635,1,0,0,1,,,,"
615,615,It's a small particles move,615.0,"636,0,0,0,1,,,,"
616,616,Plants grow.,616.0,"637,0,0,0,1,,,,"
617,617,I don't know.,617.0,"638,1,1,0,0,,,,"
618,618,I don't understand.,618.0,"639,0,0,0,1,,,,"
619,619,Unknowingness,619.0,"640,0,0,0,1,,,,"
620,620,I have no idea.,620.0,"641,1,0,0,1,,,,"
621,621,I don't know.,621.0,"642,0,0,0,0,,,,"
622,622,Unknowingness,622.0,"643,0,0,0,0,,,,"
623,623,Unknowingness,623.0,"644,0,0,0,0,,,,"
624,624,Unknowingness,624.0,"645,0,0,0,0,,,,"
625,625,the movement of pollen through the wind,625.0,"646,0,0,0,0,,,,"
626,626,I really don't know.,626.0,"647,0,0,0,0,,,,"
627,627,Tornado,627.0,"648,0,0,0,0,,,,"
628,628,evaporation of water,628.0,"649,0,0,0,0,,,,"
629,629,Entropy always increases.,629.0,"650,0,0,0,0,,,,"
630,630,There is a diffusion phenomenon where the smell spreads.,630.0,"651,0,0,0,0,,,,"
631,631,I think it's going to be lightning,631.0,"652,0,0,0,0,,,,"
