,Unnamed: 0,"5. If you observe conch, the shape of conch shell is slightly different. A conch that lives in a place with strong currents has developed horns on its shell, so it is not easily washed away by water, but a conch that lives in a place where the current is not strong has no horns on its shell. What is the reason?",Unnamed: 0,", q60_current, by q60_environment, by q60_environment"
308,308,I don't need horns,308.0,"318,1,0,0"
309,309,"Horns were developed in order not to drift away in places with strong currents.However, where the current is weak, there is no need to drift away, so the horns do not have to be developed",309.0,"319,1,0,0"
310,310,The reason why the shell is different is because of the water rice,310.0,"320,0,0,1"
311,311,"If the current is strong, the horn is shaved. If the current is weak, it's hard to peel",311.0,"321,0,0,1"
312,312,"Because of the current, the conch has a horn where the current is strong, and if the current is weak, the shape is smooth",312.0,"322,0,1,0"
313,313,"This is because when horns develop, they are not easily floated due to friction with the ground.",313.0,"323,0,1,0"
314,314,"This is because when horns develop, they are not easily pushed by currents due to friction with the floor.",314.0,"324,1,0,0"
315,315,in order to survive,315.0,"325,1,0,0"
316,316,The shell of a conch in a strong current breaks and becomes sharpIndians visted,316.0,"326,1,0,0"
317,317,This is because the place where the water rice has risen needs to be connected a little stronger,317.0,"327,0,0,1"
318,318,"""I don't need a horn",318.0,"328,1,0,0329,0,0,1"
319,319,"""",319.0,"330,1,0,0"
320,320,This is because the appearance varies depending on the environment.,320.0,"331,0,1,0"
321,321,The sweltering swells have horns to drag the floor to prevent it from being swept away,321.0,"332,1,0,0"
322,322,"Just as people wear different clothes and appearances depending on where they live, the shape and appearance of conch also appear differently depending on where they live, that is, where the current is strong and where the water is not strong.",322.0,"333,1,0,0"
323,323,"In order to fix it well on the floor without being swept away by the current, conch has horns where the current is strong, and conversely, conch does not have to be fixed.",323.0,"334,0,0,1"
324,324,"If you want to live in a place with a strong current, you should have horns. If the current is weak, you don't need horns. This is because the appearance changes depending on the environment in which you live.",324.0,"335,0,0,1"
325,325,in order not to be swept away by the current,325.0,"336,1,0,0"
326,326,"The horn of a conch living in a place with a strong current has changed so that it does not drift away from the current, and the conch living in a place with a weak current has no change in the horn because it does not drift away from the current. a variation of the characteristics of the horn in the living environment",326.0,"337,0,0,1"
327,327,"Where the water rice is strong, it continues to collide with the waves. Therefore, the current makes the conch rough by cutting and cutting it.",327.0,"338,0,1,0"
328,328,"In places where the current is strong, conch has horns to prevent it from being easily washed away by the current, and in places where the current is weak, conch does not easily descend on the current even if it does not have horns.",328.0,"339,1,0,0"
329,329,"This is because the neighborhood where the water is strong has a horn means not to be washed away by rough water rice, and the place where the water is weak is rarely washed away.",329.0,"340,1,0,0"
330,330,"I thought that there are horns in places with strong currents so that they don't drift away easily, and there is no need to make horns in places with weak currents",330.0,"341,1,0,0"
331,331,prepared to survive in the natural environment,331.0,"342,0,0,0"
332,332,This is because conch has changed to suit the environment in which he lives.,332.0,"343,0,0,1"
333,333,The shape doesn't change because of the water,333.0,"344,0,0,0"
334,334,This is because the shell of a conch is peeled off by the current.,334.0,"345,0,0,0"
335,335,"A conch in a place with a strong current prevents it from being washed away by its horns to avoid being washed away, but a conch in a place where the current is not strong does not have to be washed away",335.0,"346,1,0,0"
336,336,"This is because the current is weak, so even if the horn is not sharp, it does not float away",336.0,"347,0,1,0"
337,337,"If the current is strong, it will be easier to fly away because of the current, so the blade stands like that",337.0,"348,0,0,0"
338,338,This is because it changes according to the environment in which living things live.,338.0,"349,0,0,0"
339,339,"""If the current is weak, it doesn't float away, so you don't need horns.""",339.0,"350,0,0,0"
340,340,"There are no horns.""",340.0,"351,0,1,0"
341,341,It depends on its natural environment.,341.0,"352,1,0,0"
342,342,There is a horn called a cow that lives in a place with a strong current to prevent it from being washed away by the water because the current is strong.,342.0,"353,0,0,0"
343,343,"If the current is strong, the conch shell can be weathered and shaved, so there is no horn, and if the current is weak, the conch shell is old for weathering, so there is a horn.",343.0,"354,1,0,0"
344,344,"Sora in places with strong currents developed horns to avoid drifting away, and conch in places with weak currents did not develop horns because they did not drift well.",344.0,"355,0,0,0"
345,345,"The reason why conchs with strong currents have horns is to prevent them from being pushed out by strong currents, but if the current is weak, the conch is rarely pushed out, so it has no horns.",345.0,"356,0,0,0"
346,346,It evolves into the right shape to live according to the environment,346.0,"357,0,0,1"
347,347,This is because living things evolve more easily with the environment,347.0,"358,0,0,0359,1,0,0"
348,348,It is changed by environmental influences to prevent the current from being pushed from a strong cape.,348.0,"360,1,0,0"
349,349,The conch was created according to the characteristics of the environment,349.0,"361,0,0,1"
350,350,"If the current is weak, the shape is maintained as it is, but if the current is strong, the shape changes due to the pressure of the water.",350.0,"362,1,0,0"
351,351,To support you not to be swept away by a strong current,351.0,"363,1,0,0"
352,352,"Because the horn developed to stay in one place because the conch is constantly moving around by the current, and the conch in the place where the current is weak does not move around and float easily, so the horn does not seem to develop.",352.0,"364,0,0,0"
353,353,It is to support with horns so as not to be swept away by strong currents.,353.0,"365,0,0,0"
354,354,Because the waves are stronger,354.0,"366,1,0,0"
355,355,"Because we live in different places, how we developed is different",355.0,"367,0,0,1"
356,356,It is because it is stuck in the ground and does not move.,356.0,"368,1,0,0"
357,357,It's because I've become resistant.,357.0,"369,0,0,0"
358,358,There's no reason to drift away where the current is weak,358.0,"370,0,1,0"
359,359,Strong water seems to have become spiky because of the conch,359.0,"371,0,1,0"
360,360,I don't know.,360.0,"372,1,0,0"
361,361,"Since the current intensity is different, the shape is bound to be different",361.0,"373,0,0,0"
362,362,"When you protect yourself, you create horns. When you're safe, you don't create horns",362.0,"374,1,0,1"
363,363,"The place where the current is strong is cut by the current, and the place where the current is weak is not cut because the current is weak.",363.0,"375,0,0,0"
364,364,"""Sora, who lives in a place with strong currents,",364.0,"376,0,0,0"
365,365,I'll stick my horns in the ground,365.0,"377,0,0,1"
366,366,"Sora, who live in places where the current is weak, has no horns because the current is strong.""",366.0,"378,1,0,0"
367,367,That's how he adapted to protect his body where the current is strong,367.0,"379,1,0,0"
368,368,To be fixed to the floor,368.0,"380,1,0,1"
369,369,There is no horn because strong water is not dangerous because there is a horn and weak water is weak,369.0,"381,1,0,1"
370,370,The horn divides the water and disperses the power,370.0,"382,1,0,0"
371,371,"Because the environment in which the sound lives is different, the adaptation is different.",371.0,"383,1,0,1"
372,372,"Because if the current is strong, the conch can break down",372.0,"384,0,0,1"
373,373,This is because the current is weak and does not float easily.,373.0,"385,1,0,0"
374,374,"""To protect yourself",374.0,"386,1,0,0"
375,375,"I'm going to support you on the ocean.""",375.0,"387,1,0,0"
376,376,I adapt to the environment,376.0,"388,1,0,0389,1,0,1"
377,377,It was changed to withstand the rapid current with its horns,377.0,"390,1,0,0"
378,378,Don't drift away,378.0,"391,1,0,0"
379,379,I don't know,379.0,"392,0,0,1"
380,380,The conch in the place where the current is strong cuts through the current,380.0,"393,1,0,0"
381,381,It is because the environment of living is different and the conch that lives in a place where the current is weak is not swept away by the current even if it does not have horns,381.0,"394,1,0,1"
382,382,"""Depending on where you grew up,",382.0,"395,1,0,0"
383,383,"It evolves, and the shape, the food, or the living environment",383.0,"396,1,0,0"
384,384,"It's different.""",384.0,"397,1,0,0"
385,385,"In order to avoid drifting easily, conchs in places with strong currents need to develop horns, but conch shells in places with weak currents are slightly different in shape when they do not drift easily without horns.",385.0,"398,1,0,0"
386,386,"Sora live by sticking to rocks, but in places with strong currents, there are more other life forms than in places with weaker currents, so they are not swept away by them.",386.0,"399,1,1,0"
387,387,"Sora, which is located in a place where the current is strong, develops horns because the current cuts the conch and weathering occurs. Therefore, it does not float easily in the water, but if the current is weak, the weathering effect occurs weakly, so it is round.",387.0,"400,0,0,0"
388,388,"The horned conch has many sides that touch it, so it becomes resistant. The area of conch in the place where the current is weak is smaller than that of conch in the place where the current is strong. Therefore, the shell of a conch has horns to suit the environment because of its more frictional force.",388.0,"401,1,0,0"
389,389,"Sora, which lives in a place with strong currents, must have developed horns to put them on the floor or around it and not drift away by strong currents. Sora in places with weak currents have not developed horns because there is little danger of being washed away. Depending on the difference in the environment, they are adapting to different shapes and living.",389.0,"402,0,0,0"
390,390,The place where the current is weak seems to have no horns because the conch flows comfortably without much interference from the water,390.0,"403,1,0,0"
391,391,"Just as people live by adapting to a new environment, Sora also changed her body to adapt to her environment. The shape of each other is different because strong currents are easy to float away in water, so that horns are developed and resistant to water so that they do not drift well, and weak currents do not have to develop horns because they are not strong.",391.0,"404,1,0,0"
392,392,"If the current is not strong, it is less resistant, so the conch does not need to have a horn, so it will degenerate even if it does not have or has. However, the conch in the place where the current is strong is resistant to the current a lot, so it is to settle in one place (stop) as much as possible with horns on the shell of the conch.",392.0,"405,0,1,0"
393,393,Sora's survival instinct?,393.0,"406,0,0,1"
394,394,It is to adapt to where each person lives and live better.,394.0,"407,1,0,0"
395,395,"Sora living in high-flow areas should be prevented from being pushed away by increasing their resistance to water, but Sora living in uncounted areas do not have to, so they exist in a form suitable for the environment.It's because it's transformed to suit your environment",395.0,"408,0,0,0"
396,396,"Since the mass is pushed out as the waves hit, horns are developed to prevent them from being pushed out by putting conch in the sand.",396.0,"409,1,0,0"
397,397,"Because they live by adapting to the environment, conch shells that do not need horns have no horns.",397.0,"410,1,0,0"
398,398,"If the current is not strong, there is no reason to drift away, so there is no need for horns.",398.0,"411,0,0,1"
399,399,We adjusted to each other's environment,399.0,"412,1,0,0"
400,400,under the current,400.0,"413,0,0,1"
401,401,"This is because if the web is strong, it should be fixed so that it will not be pushed.",401.0,"414,0,1,0"
402,402,This is because life changes depending on the environment.,402.0,"415,1,0,0"
403,403,"There are horns so that the current does not drift away in places where the current is not strong and does not drift away in places where the current is strong, so that it is attached to the rock well.",403.0,"416,0,1,0"
404,404,"The strong current hits a lot, so it cuts off. The weak current is calm, so there is not much deformation",404.0,"417,0,0,0"
405,405,This is because weathering erosion acts on conch where the current is strong.,405.0,"418,0,0,1419,0,0,1"
406,406,"""",406.0,"420,0,0,1"
407,407,I don't need horns,407.0,"421,0,0,1"
408,408,"Horns were developed in order not to drift away in places with strong currents.However, where the current is weak, there is no need to drift away, so the horns do not have to be developed",408.0,"422,0,0,0"
409,409,The reason why the shell is different is because of the water rice,409.0,"423,0,1,0"
410,410,"If the current is strong, the horn is shaved. If the current is weak, it's hard to peel",410.0,"424,1,0,0"
411,411,"Because of the current, the conch has a horn where the current is strong, and if the current is weak, the shape is smooth",411.0,"425,1,0,0"
412,412,"This is because when horns develop, they are not easily floated due to friction with the ground.",412.0,"426,1,0,0"
413,413,"This is because when horns develop, they are not easily pushed by currents due to friction with the floor.",413.0,"427,0,0,0"
414,414,in order to survive,414.0,"428,1,0,0"
415,415,The shell of a conch in a strong current breaks and becomes sharpIndians visted,415.0,"429,1,0,0"
416,416,This is because the place where the water rice has risen needs to be connected a little stronger,416.0,"430,1,0,0"
417,417,"""I don't need a horn",417.0,"431,1,0,0"
418,418,"""",418.0,"432,1,0,1"
419,419,This is because the appearance varies depending on the environment.,419.0,"433,1,0,0"
420,420,The sweltering swells have horns to drag the floor to prevent it from being swept away,420.0,"434,1,0,0"
421,421,"Just as people wear different clothes and appearances depending on where they live, the shape and appearance of conch also appear differently depending on where they live, that is, where the current is strong and where the water is not strong.",421.0,"435,1,0,0"
422,422,"In order to fix it well on the floor without being swept away by the current, conch has horns where the current is strong, and conversely, conch does not have to be fixed.",422.0,"436,1,0,0"
423,423,"If you want to live in a place with a strong current, you should have horns. If the current is weak, you don't need horns. This is because the appearance changes depending on the environment in which you live.",423.0,"437,1,0,0"
424,424,in order not to be swept away by the current,424.0,"438,1,0,1"
425,425,"The horn of a conch living in a place with a strong current has changed so that it does not drift away from the current, and the conch living in a place with a weak current has no change in the horn because it does not drift away from the current. a variation of the characteristics of the horn in the living environment",425.0,"439,1,0,0"
426,426,"Where the water rice is strong, it continues to collide with the waves. Therefore, the current makes the conch rough by cutting and cutting it.",426.0,"440,0,1,0"
427,427,"In places where the current is strong, conch has horns to prevent it from being easily washed away by the current, and in places where the current is weak, conch does not easily descend on the current even if it does not have horns.",427.0,"441,0,0,0"
428,428,"This is because the neighborhood where the water is strong has a horn means not to be washed away by rough water rice, and the place where the water is weak is rarely washed away.",428.0,"442,0,0,0"
429,429,"I thought that there are horns in places with strong currents so that they don't drift away easily, and there is no need to make horns in places with weak currents",429.0,"443,1,0,1"
430,430,prepared to survive in the natural environment,430.0,"444,1,0,0"
431,431,This is because conch has changed to suit the environment in which he lives.,431.0,"445,1,0,0"
432,432,The shape doesn't change because of the water,432.0,"446,1,0,0"
433,433,This is because the shell of a conch is peeled off by the current.,433.0,"447,1,0,0"
434,434,"A conch in a place with a strong current prevents it from being washed away by its horns to avoid being washed away, but a conch in a place where the current is not strong does not have to be washed away",434.0,"448,1,0,0449,1,0,0"
435,435,"This is because the current is weak, so even if the horn is not sharp, it does not float away",435.0,"450,0,1,0"
436,436,"If the current is strong, it will be easier to fly away because of the current, so the blade stands like that",436.0,"451,0,0,0"
437,437,This is because it changes according to the environment in which living things live.,437.0,"452,0,0,0"
438,438,"""If the current is weak, it doesn't float away, so you don't need horns.""",438.0,"453,0,0,1"
439,439,"There are no horns.""",439.0,"454,0,0,0"
440,440,It depends on its natural environment.,440.0,"455,1,0,0"
441,441,There is a horn called a cow that lives in a place with a strong current to prevent it from being washed away by the water because the current is strong.,441.0,"456,0,0,1"
442,442,"If the current is strong, the conch shell can be weathered and shaved, so there is no horn, and if the current is weak, the conch shell is old for weathering, so there is a horn.",442.0,"457,1,0,0"
443,443,"Sora in places with strong currents developed horns to avoid drifting away, and conch in places with weak currents did not develop horns because they did not drift well.",443.0,"458,0,0,1"
444,444,"The reason why conchs with strong currents have horns is to prevent them from being pushed out by strong currents, but if the current is weak, the conch is rarely pushed out, so it has no horns.",444.0,"459,0,0,0"
445,445,It evolves into the right shape to live according to the environment,445.0,"460,0,1,0"
446,446,This is because living things evolve more easily with the environment,446.0,"461,1,0,0"
447,447,It is changed by environmental influences to prevent the current from being pushed from a strong cape.,447.0,"462,1,0,0"
448,448,The conch was created according to the characteristics of the environment,448.0,"463,1,0,0"
449,449,"If the current is weak, the shape is maintained as it is, but if the current is strong, the shape changes due to the pressure of the water.",449.0,"464,0,0,0"
450,450,To support you not to be swept away by a strong current,450.0,"465,1,0,1"
451,451,"Because the horn developed to stay in one place because the conch is constantly moving around by the current, and the conch in the place where the current is weak does not move around and float easily, so the horn does not seem to develop.",451.0,"466,1,0,0"
452,452,It is to support with horns so as not to be swept away by strong currents.,452.0,"467,0,0,1"
453,453,Because the waves are stronger,453.0,"468,1,0,0"
454,454,"Because we live in different places, how we developed is different",454.0,"469,1,0,0"
455,455,It is because it is stuck in the ground and does not move.,455.0,"470,1,0,0"
456,456,It's because I've become resistant.,456.0,"471,1,0,0"
457,457,There's no reason to drift away where the current is weak,457.0,"472,0,0,1"
458,458,Strong water seems to have become spiky because of the conch,458.0,"473,1,0,0"
459,459,I don't know.,459.0,"474,1,0,0"
460,460,"Since the current intensity is different, the shape is bound to be different",460.0,"475,1,0,0"
461,461,"When you protect yourself, you create horns. When you're safe, you don't create horns",461.0,"476,1,0,0"
462,462,"The place where the current is strong is cut by the current, and the place where the current is weak is not cut because the current is weak.",462.0,"477,0,0,0"
463,463,"""Sora, who lives in a place with strong currents,",463.0,"478,1,0,1479,1,0,0"
464,464,I'll stick my horns in the ground,464.0,"480,1,0,0"
465,465,"Sora, who live in places where the current is weak, has no horns because the current is strong.""",465.0,"481,1,0,0"
466,466,That's how he adapted to protect his body where the current is strong,466.0,"482,0,0,1"
467,467,To be fixed to the floor,467.0,"483,1,0,0"
468,468,There is no horn because strong water is not dangerous because there is a horn and weak water is weak,468.0,"484,1,0,0"
469,469,The horn divides the water and disperses the power,469.0,"485,0,0,0"
470,470,"Because the environment in which the sound lives is different, the adaptation is different.",470.0,"486,0,0,0"
471,471,"Because if the current is strong, the conch can break down",471.0,"487,1,0,0"
472,472,This is because the current is weak and does not float easily.,472.0,"488,0,1,0"
473,473,"""To protect yourself",473.0,"489,1,0,0"
474,474,"I'm going to support you on the ocean.""",474.0,"490,0,0,0"
475,475,I adapt to the environment,475.0,"491,0,0,0"
476,476,It was changed to withstand the rapid current with its horns,476.0,"492,0,0,1"
477,477,Don't drift away,477.0,"493,0,0,0"
478,478,I don't know,478.0,"494,0,1,0"
479,479,The conch in the place where the current is strong cuts through the current,479.0,"495,0,0,0"
480,480,It is because the environment of living is different and the conch that lives in a place where the current is weak is not swept away by the current even if it does not have horns,480.0,"496,0,0,0"
481,481,"""Depending on where you grew up,",481.0,"497,0,0,0"
482,482,"It evolves, and the shape, the food, or the living environment",482.0,"498,0,0,0"
483,483,"It's different.""",483.0,"499,0,0,0"
484,484,"In order to avoid drifting easily, conchs in places with strong currents need to develop horns, but conch shells in places with weak currents are slightly different in shape when they do not drift easily without horns.",484.0,"500,1,0,0"
485,485,"Sora live by sticking to rocks, but in places with strong currents, there are more other life forms than in places with weaker currents, so they are not swept away by them.",485.0,"501,1,0,0"
486,486,"Sora, which is located in a place where the current is strong, develops horns because the current cuts the conch and weathering occurs. Therefore, it does not float easily in the water, but if the current is weak, the weathering effect occurs weakly, so it is round.",486.0,"502,1,0,0"
487,487,"The horned conch has many sides that touch it, so it becomes resistant. The area of conch in the place where the current is weak is smaller than that of conch in the place where the current is strong. Therefore, the shell of a conch has horns to suit the environment because of its more frictional force.",487.0,"503,1,0,0"
488,488,"Sora, which lives in a place with strong currents, must have developed horns to put them on the floor or around it and not drift away by strong currents. Sora in places with weak currents have not developed horns because there is little danger of being washed away. Depending on the difference in the environment, they are adapting to different shapes and living.",488.0,"504,0,0,0"
489,489,The place where the current is weak seems to have no horns because the conch flows comfortably without much interference from the water,489.0,"505,0,0,0"
490,490,"Just as people live by adapting to a new environment, Sora also changed her body to adapt to her environment. The shape of each other is different because strong currents are easy to float away in water, so that horns are developed and resistant to water so that they do not drift well, and weak currents do not have to develop horns because they are not strong.",490.0,"506,1,0,0"
491,491,"If the current is not strong, it is less resistant, so the conch does not need to have a horn, so it will degenerate even if it does not have or has. However, the conch in the place where the current is strong is resistant to the current a lot, so it is to settle in one place (stop) as much as possible with horns on the shell of the conch.",491.0,"507,1,0,0"
492,492,Sora's survival instinct?,492.0,"508,0,0,0509,0,1,0"
493,493,It is to adapt to where each person lives and live better.,493.0,"510,0,0,0"
494,494,"Sora living in high-flow areas should be prevented from being pushed away by increasing their resistance to water, but Sora living in uncounted areas do not have to, so they exist in a form suitable for the environment.It's because it's transformed to suit your environment",494.0,"511,1,0,0"
495,495,"Since the mass is pushed out as the waves hit, horns are developed to prevent them from being pushed out by putting conch in the sand.",495.0,"512,1,0,0"
496,496,"Because they live by adapting to the environment, conch shells that do not need horns have no horns.",496.0,"513,0,0,0"
497,497,"If the current is not strong, there is no reason to drift away, so there is no need for horns.",497.0,"514,0,0,0"
498,498,We adjusted to each other's environment,498.0,"515,0,0,1"
499,499,under the current,499.0,"516,1,0,0"
500,500,"This is because if the web is strong, it should be fixed so that it will not be pushed.",500.0,"517,0,0,1"
501,501,This is because life changes depending on the environment.,501.0,"518,1,0,0"
502,502,"There are horns so that the current does not drift away in places where the current is not strong and does not drift away in places where the current is strong, so that it is attached to the rock well.",502.0,"519,1,0,0"
503,503,"The strong current hits a lot, so it cuts off. The weak current is calm, so there is not much deformation",503.0,"520,1,0,0"
504,504,This is because weathering erosion acts on conch where the current is strong.,504.0,"521,0,0,0"
505,505,"""",505.0,"522,1,0,0"
506,506,I don't need horns,506.0,"523,1,0,0"
507,507,"Horns were developed in order not to drift away in places with strong currents.However, where the current is weak, there is no need to drift away, so the horns do not have to be developed",507.0,"524,0,0,0"
508,508,The reason why the shell is different is because of the water rice,508.0,"525,0,0,1"
509,509,"If the current is strong, the horn is shaved. If the current is weak, it's hard to peel",509.0,"526,1,0,0"
510,510,"Because of the current, the conch has a horn where the current is strong, and if the current is weak, the shape is smooth",510.0,"527,1,0,0"
511,511,"This is because when horns develop, they are not easily floated due to friction with the ground.",511.0,"528,0,0,1"
512,512,"This is because when horns develop, they are not easily pushed by currents due to friction with the floor.",512.0,"529,1,0,0"
513,513,in order to survive,513.0,"530,1,0,0"
514,514,The shell of a conch in a strong current breaks and becomes sharpIndians visted,514.0,"531,0,0,0"
515,515,This is because the place where the water rice has risen needs to be connected a little stronger,515.0,"532,0,0,0"
516,516,"""I don't need a horn",516.0,"533,1,0,0"
517,517,"""",517.0,"534,0,1,0"
518,518,This is because the appearance varies depending on the environment.,518.0,"535,1,0,0"
519,519,The sweltering swells have horns to drag the floor to prevent it from being swept away,519.0,"536,0,0,0"
520,520,"Just as people wear different clothes and appearances depending on where they live, the shape and appearance of conch also appear differently depending on where they live, that is, where the current is strong and where the water is not strong.",520.0,"537,0,0,1"
521,521,"In order to fix it well on the floor without being swept away by the current, conch has horns where the current is strong, and conversely, conch does not have to be fixed.",521.0,"538,1,0,0539,1,0,0"
522,522,"If you want to live in a place with a strong current, you should have horns. If the current is weak, you don't need horns. This is because the appearance changes depending on the environment in which you live.",522.0,"540,0,0,0"
523,523,in order not to be swept away by the current,523.0,"541,1,0,0"
524,524,"The horn of a conch living in a place with a strong current has changed so that it does not drift away from the current, and the conch living in a place with a weak current has no change in the horn because it does not drift away from the current. a variation of the characteristics of the horn in the living environment",524.0,"542,0,0,0"
525,525,"Where the water rice is strong, it continues to collide with the waves. Therefore, the current makes the conch rough by cutting and cutting it.",525.0,"543,0,0,0"
526,526,"In places where the current is strong, conch has horns to prevent it from being easily washed away by the current, and in places where the current is weak, conch does not easily descend on the current even if it does not have horns.",526.0,"544,1,0,0"
527,527,"This is because the neighborhood where the water is strong has a horn means not to be washed away by rough water rice, and the place where the water is weak is rarely washed away.",527.0,"545,1,0,0"
528,528,"I thought that there are horns in places with strong currents so that they don't drift away easily, and there is no need to make horns in places with weak currents",528.0,"546,1,0,0"
529,529,prepared to survive in the natural environment,529.0,"547,0,0,0"
530,530,This is because conch has changed to suit the environment in which he lives.,530.0,"548,1,0,0"
531,531,The shape doesn't change because of the water,531.0,"549,1,0,0"
532,532,This is because the shell of a conch is peeled off by the current.,532.0,"550,1,0,0"
533,533,"A conch in a place with a strong current prevents it from being washed away by its horns to avoid being washed away, but a conch in a place where the current is not strong does not have to be washed away",533.0,"551,1,0,0"
534,534,"This is because the current is weak, so even if the horn is not sharp, it does not float away",534.0,"552,1,0,0"
535,535,"If the current is strong, it will be easier to fly away because of the current, so the blade stands like that",535.0,"553,1,0,0"
536,536,This is because it changes according to the environment in which living things live.,536.0,"554,0,0,1"
537,537,"""If the current is weak, it doesn't float away, so you don't need horns.""",537.0,"555,1,0,0"
538,538,"There are no horns.""",538.0,"556,0,1,0"
539,539,It depends on its natural environment.,539.0,"557,1,0,0"
540,540,There is a horn called a cow that lives in a place with a strong current to prevent it from being washed away by the water because the current is strong.,540.0,"558,1,0,0"
541,541,"If the current is strong, the conch shell can be weathered and shaved, so there is no horn, and if the current is weak, the conch shell is old for weathering, so there is a horn.",541.0,"559,0,0,1"
542,542,"Sora in places with strong currents developed horns to avoid drifting away, and conch in places with weak currents did not develop horns because they did not drift well.",542.0,"560,1,0,0"
543,543,"The reason why conchs with strong currents have horns is to prevent them from being pushed out by strong currents, but if the current is weak, the conch is rarely pushed out, so it has no horns.",543.0,"561,1,0,0"
544,544,It evolves into the right shape to live according to the environment,544.0,"562,1,0,0"
545,545,This is because living things evolve more easily with the environment,545.0,"563,1,0,0"
546,546,It is changed by environmental influences to prevent the current from being pushed from a strong cape.,546.0,"564,0,1,0"
547,547,The conch was created according to the characteristics of the environment,547.0,"565,1,0,0"
548,548,"If the current is weak, the shape is maintained as it is, but if the current is strong, the shape changes due to the pressure of the water.",548.0,"566,1,0,1"
549,549,To support you not to be swept away by a strong current,549.0,"567,1,0,0"
550,550,"Because the horn developed to stay in one place because the conch is constantly moving around by the current, and the conch in the place where the current is weak does not move around and float easily, so the horn does not seem to develop.",550.0,"568,1,0,0569,1,0,0"
551,551,It is to support with horns so as not to be swept away by strong currents.,551.0,"570,1,0,0"
552,552,Because the waves are stronger,552.0,"571,1,0,0"
553,553,"Because we live in different places, how we developed is different",553.0,"572,0,0,1"
554,554,It is because it is stuck in the ground and does not move.,554.0,"573,0,0,1"
555,555,It's because I've become resistant.,555.0,"574,1,0,0"
556,556,There's no reason to drift away where the current is weak,556.0,"575,0,0,0"
557,557,Strong water seems to have become spiky because of the conch,557.0,"576,1,0,0"
558,558,I don't know.,558.0,"577,1,0,1"
559,559,"Since the current intensity is different, the shape is bound to be different",559.0,"578,1,0,0"
560,560,"When you protect yourself, you create horns. When you're safe, you don't create horns",560.0,"579,0,0,0"
561,561,"The place where the current is strong is cut by the current, and the place where the current is weak is not cut because the current is weak.",561.0,"580,0,1,0"
562,562,"""Sora, who lives in a place with strong currents,",562.0,"581,0,1,0"
563,563,I'll stick my horns in the ground,563.0,"582,0,0,1"
564,564,"Sora, who live in places where the current is weak, has no horns because the current is strong.""",564.0,"583,1,0,0"
565,565,That's how he adapted to protect his body where the current is strong,565.0,"584,1,0,0"
566,566,To be fixed to the floor,566.0,"585,0,0,1"
567,567,There is no horn because strong water is not dangerous because there is a horn and weak water is weak,567.0,"586,1,0,0"
568,568,The horn divides the water and disperses the power,568.0,"587,1,0,0"
569,569,"Because the environment in which the sound lives is different, the adaptation is different.",569.0,"588,0,0,1"
570,570,"Because if the current is strong, the conch can break down",570.0,"589,1,0,0"
571,571,This is because the current is weak and does not float easily.,571.0,"590,0,0,0"
572,572,"""To protect yourself",572.0,"591,1,0,0"
573,573,"I'm going to support you on the ocean.""",573.0,"592,0,1,0"
574,574,I adapt to the environment,574.0,"593,0,0,1"
575,575,It was changed to withstand the rapid current with its horns,575.0,"594,0,0,0"
576,576,Don't drift away,576.0,"595,1,0,0"
577,577,I don't know,577.0,"596,0,0,0"
578,578,The conch in the place where the current is strong cuts through the current,578.0,"597,0,1,0"
579,579,It is because the environment of living is different and the conch that lives in a place where the current is weak is not swept away by the current even if it does not have horns,579.0,"598,0,1,0599,1,0,0"
580,580,"""Depending on where you grew up,",580.0,"600,1,0,0"
581,581,"It evolves, and the shape, the food, or the living environment",581.0,"601,1,0,0"
582,582,"It's different.""",582.0,"602,0,0,1"
583,583,"In order to avoid drifting easily, conchs in places with strong currents need to develop horns, but conch shells in places with weak currents are slightly different in shape when they do not drift easily without horns.",583.0,"603,1,0,0"
584,584,"Sora live by sticking to rocks, but in places with strong currents, there are more other life forms than in places with weaker currents, so they are not swept away by them.",584.0,"604,0,0,1"
585,585,"Sora, which is located in a place where the current is strong, develops horns because the current cuts the conch and weathering occurs. Therefore, it does not float easily in the water, but if the current is weak, the weathering effect occurs weakly, so it is round.",585.0,"605,1,0,0"
586,586,"The horned conch has many sides that touch it, so it becomes resistant. The area of conch in the place where the current is weak is smaller than that of conch in the place where the current is strong. Therefore, the shell of a conch has horns to suit the environment because of its more frictional force.",586.0,"606,0,0,0"
587,587,"Sora, which lives in a place with strong currents, must have developed horns to put them on the floor or around it and not drift away by strong currents. Sora in places with weak currents have not developed horns because there is little danger of being washed away. Depending on the difference in the environment, they are adapting to different shapes and living.",587.0,"607,1,0,0"
588,588,The place where the current is weak seems to have no horns because the conch flows comfortably without much interference from the water,588.0,"608,1,0,0"
589,589,"Just as people live by adapting to a new environment, Sora also changed her body to adapt to her environment. The shape of each other is different because strong currents are easy to float away in water, so that horns are developed and resistant to water so that they do not drift well, and weak currents do not have to develop horns because they are not strong.",589.0,"609,1,0,0"
590,590,"If the current is not strong, it is less resistant, so the conch does not need to have a horn, so it will degenerate even if it does not have or has. However, the conch in the place where the current is strong is resistant to the current a lot, so it is to settle in one place (stop) as much as possible with horns on the shell of the conch.",590.0,"610,1,0,0"
591,591,Sora's survival instinct?,591.0,"611,0,0,0"
592,592,It is to adapt to where each person lives and live better.,592.0,"612,1,0,0"
