,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
180,180,,180.0,"186,1,0, energy is lost, the sky becomes cloudy with substances released in the process of burning fossil fuels"
181,181,I don't know.,181.0,"187,0,0, finite energy, substances released in the process of burning fossil fuels make the environment dirty"
182,182,,182.0,"The environment is polluted with substances released in the process of burning 188,0,0, non-renewable, fossil fuels"
183,183,,183.0,"189,1,0, the amount present is finite and depleted, the environment is threatened with substances released in the process of burning fossil fuels"
184,184,"""",184.0,"190,1,0, the amount present is finite and can be depleted, so the price rises, and burning fossil fuels makes the air dirty with the material released"
185,185,There are no resources left.,185.0,"191,0,0, the amount present is finite and can be depleted, so prices rise, and burning fossil fuels pollutes the air with substances released"
186,186,..;.,186.0,"192,1,0, the amount present is finite and can be depleted, and when fossil fuels are burned, the air becomes murky as a substance released"
187,187,Resources run out.,187.0,"193,1,0, the amount present can be finite and therefore insufficient, so the price rises, and burning fossil fuels makes the air quality dirty with materials released"
188,188,"It will quickly run out and become difficult to use again, and it will have a fatal effect on environmental pollution.",188.0,"194,1,0, the amount present may be finite and therefore insufficient, causing prices to rise, and the air quality is contaminated with substances released when fossil fuels are burned"
189,189,I don't know,189.0,"195,0,1, the amount present may be finite and insufficient, the air quality becomes murky as a substance released when fossil fuels are burned"
190,190,sugar contaminated with the environment,190.0,"196,1,0, the amount present is finite and may be insufficient, causing prices to rise, and burning fossil fuels makes the atmosphere dirty with substances released"
191,191,Chemical energy is gone,191.0,"197,1,0, the amount present is finite and may be insufficient, causing prices to rise, and the atmosphere to be polluted with substances released when fossil fuels are burned"
192,192,Global warming may make people unable to live on Earth.,192.0,"198, 1, 0, the amount present may be finite and insufficient, the atmosphere becomes murky as a substance released when fossil fuels are burned"
193,193,Coal and oil are all gone,193.0,"199, 0, 0, the amount present is finite and can become scarce, so the price goes up, and burning fossil fuels makes the air quality dirty"
194,194,The earth is destroyed.,194.0,"200,1,0, the amount present is finite and can become scarce, so the price rises, and the air quality is contaminated with substances released when fossil fuels are burned"
195,195,Resources are wasted.,195.0,"201,1,0, the amount present may be finite and insufficient, and the air quality becomes murky as a substance released when fossil fuels are burned"
196,196,Coal and oil disappear and resources disappear,196.0,"202,1,0, the amount present is finite, so the available energy is depleted, and the sky becomes cloudy with the material released when fossil fuels are burned"
197,197,We don't use coal or oil any moreThe resources are likely to be abundant,197.0,"203,0,0, the amount present is finite and there is not enough energy available, and the sky becomes cloudy with the material released when fossil fuels are burned"
198,198,We're running out of fuel for future generations,198.0,"204,0,0, the amount present is finite and the available energy becomes scarce, and the sky becomes cloudy with the material released when fossil fuels are burned"
199,199,It will cause inconvenience to your life by using up coal or oil.,199.0,"205,0,0, the amount present is finite, so the available energy disappears, and when fossil fuels are burned, the sky becomes cloudy with substances released"
200,200,It is inconvenient to live because we are out of resources,200.0,"206,0,1, the amount present is finite, so there is no available energy, and burning fossil fuels makes the environment dirty with substances released"
201,201,"You can save money, but the natural environment will be greatly affected.",201.0,"207,1,0, the amount present is finite, so the available energy is depleted, and burning fossil fuels pollutes the environment with substances released"
202,202,It will be a resource-poor country.,202.0,"208,1,0, there is a finite amount of energy available, and the environment is threatened with substances released when fossil fuels are burned209,1,1,1 The amount present is finite, so there is not enough energy available, and the air becomes dirty with substances released in the process of burning fossil fuels"
203,203,There will be a shortage of resources,203.0,"210,1,0, the amount present is finite, so the available energy disappears, and the air is polluted by substances released in the process of burning fossil fuels"
204,204,No more fossil energy is available,204.0,"211,1,0, the amount present is finite, so there is no energy available, and the air becomes murky with substances released in the process of burning fossil fuels"
205,205,I don't know,205.0,"212,1,0, the amount present is finite, so energy is depleted, the air quality becomes dirty with substances released in the process of burning fossil fuels"
206,206,Fossil energy will disappear in the future,206.0,"213,0,1, the amount present is finite and energy is insufficient, and air quality is contaminated with substances released in the process of burning fossil fuels"
207,207,"If you continue to use coal or oil, one day coal and oil will no longer be available, and fossil energy will no longer be available.",207.0,"214,0,1, the amount present is finite, resulting in a lack of energy, and the air quality becomes murky as a substance released in the process of burning fossil fuels"
208,208,It becomes difficult to live because of lack of resources,208.0,"215,1,0, the amount present is finite, so energy disappears, and the atmosphere becomes dirty with substances released in the process of burning fossil fuels"
209,209,I have no idea.,209.0,"216,1,0, the amount present is finite, so energy is lost, and the atmosphere is polluted with substances released in the process of burning fossil fuels"
210,210,This is because it is easy to buy using fossil energy without using a heating lamp.,210.0,"217,1,1, the amount present is finite and cannot be obtained even if necessary, so the price rises, and the atmosphere becomes cloudy with substances released in the process of burning fossil fuels"
211,211,It's hard to live because of the lack of resources,211.0,"218,1,0, the amount present is finite and cannot be obtained even if necessary, so the price rises, and the air quality becomes dirty with substances released in the process of burning fossil fuels"
212,212,The air gets bad. (Air Pollution),212.0,"219,0,0, the amount present is finite and cannot be obtained even if necessary, the air quality is contaminated with substances released in the process of burning fossil fuels"
213,213,"Resources are depleted, and resources for future generations to use are lost",213.0,"220, 0, 0, the amount present is finite, so it cannot be used even if necessary, so the price rises, and the air quality becomes murky with substances released in the process of burning fossil fuels"
214,214,"In the future, fossil energy, such as coal and oil, will be depleted and everything that operates on fossil energy will not be available.",214.0,"221,1,1,1 The amount present is finite and cannot be used even if necessary, so the price rises, and the sky becomes cloudy with substances released in the process of burning fossil fuels"
215,215,There is a shortage of resources and environmental pollution.,215.0,"222,1,0, the amount present is finite and can not be used even if necessary, and the sky becomes cloudy with substances released in the process of burning fossil fuels"
216,216,There is a shortage of resources.,216.0,"223,0,1, the amount that exists is limited and can be depleted, so the price rises, and the sky becomes cloudy with substances released in the process of burning fossil fuels"
217,217,Resources for future use will be lost,217.0,"224,0,1, the amount that exists is limited and can be depleted, so the price rises, and the sky becomes cloudy with substances released in the process of burning fossil fuels"
218,218,Oil and coal are gone,218.0,"225,1,0, the amount present is limited and can be depleted, and the environment becomes dirty with substances released in the process of burning fossil fuels"
219,219,There will be many destruction of nature and warming on Earth,219.0,"226,0,1, the amount present may be limited and thus may be insufficient, resulting in a rise in prices, and the environment is polluted with substances released in the process of burning fossil fuels"
220,220,The environment is likely to be polluted.,220.0,"227,0,1, the amount present may be limited and may be insufficient, resulting in a rise in prices, and the environment is threatened by substances released during the burning of fossil fuels"
221,221,Resources are depleted and disappearing.,221.0,"228,0,1, the amount present may be limited and insufficient, and the air becomes dirty with substances released from burning fossil fuels"
222,222,"""",222.0,"229,0,1, the amount present may be limited and may be insufficient, so the price rises, and the air is contaminated with substances released from burning fossil fuels"
223,223,Lack of resources.,223.0,"230,1,0, the amount present may be limited and may be insufficient, so the price rises, and the air becomes cloudy with substances released when fossil fuels are burned"
224,224,"Coal or oil is finite, but it is no longer available.  So energy is scarce, and the global environment is polluted",224.0,"231,0,1, the amount present may be limited and insufficient, and the air quality becomes dirty with substances released when fossil fuels are burned"
225,225,There is a problem of coal and oil shortages,225.0,"232,0,1, the amount present is limited and may become insufficient, so the price rises, and the air quality is contaminated with substances released when fossil fuels are burned"
226,226,It is difficult for the future to be sustainable development.,226.0,"233,0,1, the amount present may be limited and may become insufficient, resulting in a rise in price, and the air quality becomes murky with substances released when fossil fuels are burned"
227,227,The future is going to hurt! Don't do it!,227.0,"234,0,1, the amount present may be limited and insufficient, and the atmosphere becomes dirty with substances released when fossil fuels are burned"
228,228,"Later on, resources eventually run out and affect the environment",228.0,"235,1,0, the amount present is limited, so it cannot be obtained even if necessary, so the price rises, and the atmosphere is polluted with substances released when fossil fuels are burned"
229,229,It's hard because there's no energy to replace it when it's depleted,229.0,"236,1,1, the amount present is limited, so even if necessary, the price rises, and the atmosphere becomes cloudy with substances released when fossil fuels are burned"
230,230,Develop new and renewable energy to prevent environmental pollution,230.0,"237,0,1, the amount present is limited, so you can't get it even if you need it, and the air quality becomes dirty with substances released when fossil fuels are burned"
231,231,Global warming,231.0,"238,0,1, the amount present is limited, so it cannot be used even if necessary, so the price increases, and the air quality is contaminated with substances released when fossil fuels are burned239,0,1, the amount present is limited, so it can't be used even if necessary, so the price rises, and the air quality becomes cloudy with substances released when fossil fuels are burned"
232,232,natural exhaustion,232.0,"240,1,0, the amount present is limited, so you can't use it even if you need it, and the sky becomes cloudy with substances released when fossil fuels are burned"
233,233,It causes environmental pollution,233.0,"241,0,1, the amount present is limited and depleted, and the sky becomes cloudy with substances released from burning fossil fuels"
234,234,environmental destruction,234.0,"242,1,1,1 The amount present can be limited and depleted, so the price rises, and the sky becomes cloudy with substances released when fossil fuels are burned"
235,235,More carbon dioxide emissions and faster global warming,235.0,"243,1,1,1 The amount present can be limited and depleted, so the price rises, and the sky becomes cloudy with substances released when fossil fuels are burned"
236,236,"Climate abnormalities, ozone depletion, air pollution, and land pollution occur due to global warming.",236.0,"244,0,0, the amount present can be limited and depleted, and the environment becomes dirty with substances released from burning fossil fuels"
237,237,The exhaustion of energy creates difficulties.,237.0,"245,1,0, the amount present may be limited and thus the price increases, and the environment is polluted with substances released from burning fossil fuels"
238,238,Environmental pollution is getting worse and global warming occurs,238.0,"246,1,0, the amount present may be limited and thus the price rises, and the environment is threatened by substances released from burning fossil fuels"
239,239,The environmental pollution is getting worse and the earth is destroyed.,239.0,"247,0,1, the amount present may be limited and insufficient, environmental pollution"
240,240,The environment becomes polluted and difficult for humans to live in.,240.0,"248,1,0, the amount present may be limited and the price may rise, accelerating environmental pollution"
241,241,Environmental pollution problems and global warming intensifies.,241.0,"249,1,1, the amount present may be limited and may be insufficient, so the price increases, and environmental pollution accelerates"
242,242,"Later, it will be depleted and no longer be able to use energy, and the ecosystem will be destroyed.",242.0,"250,0,0, the amount present may be limited and may be insufficient, accelerating environmental pollution"
243,243,Fossil energy will be added and global warming will intensify,243.0,"251,0,0, the amount that exists is limited and can become scarce, so the price rises, and environmental pollution accelerates"
244,244,The future will be a natural environment where air pollution and land pollution are severe,244.0,"252,0,0, the amount that exists is limited and can become scarce, so prices rise, environmental pollution accelerates"
245,245,The environment is polluted.,245.0,"253,0,0, the amount present may become limited and insufficient, environmental pollution becomes serious"
246,246,Environmental pollution becomes more serious,246.0,"254,1,0, the amount of energy available is limited, and environmental pollution becomes serious"
247,247,"Over a long period of time, it will use up all of its energy generations.",247.0,"255,0,0, there is a limited amount of available energy, destroying the environment"
248,248,The earth is likely to become environmental pollution.,248.0,"256,0,0, there's a limited amount of energy available, destroying the environment"
249,249,Alternative energy will be needed due to environmental pollution caused by greenhouse gas generation as well as exhaustion of fossil fuels.,249.0,"257,0,0, the amount of available energy is limited, and the environment is ruined."
250,250,Fossil energy will one day be depleted and environmental pollution will intensify.,250.0,"258,1,0, the amount of available energy is limited, and the rate of environmental pollution increases"
251,251,The sea level rises,251.0,"259,0,0, the amount of energy available is limited, and the rate of environmental pollution increases"
252,252,Fossil energy is depleted and becomes unusable.,252.0,"260,0,0, there is a limited amount of energy available, and the rate of environmental pollution increases"
253,253,Oil and coal for later use are gone.,253.0,"261,0,1, the amount of energy available is limited, and the rate of environmental pollution increases"
254,254,Environmental pollution will get worse,254.0,"262,0,0, the amount of energy that exists is limited and available will disappear, and the environment will be polluted and difficult for people to live in"
255,255,"In the future, there will be a shortage of coal or oil, and the things that work with it cannot work.",255.0,"263,0,0, the amount of energy available is limited, and the environment will be polluted and difficult for people to live in"
256,256,It's air pollution and squandering resources,256.0,"264,0,0, the amount that exists is limited and energy is depleted, and the environment will be polluted and difficult for humans to live in"
257,257,"In the future, coal and oil will be needed",257.0,"265,1,0, the amount of energy that exists is limited, and the environment will be polluted, making it difficult for humans to live in"
258,258,I don't know,258.0,"266,0,1, the amount of energy present is limited, and the environment is polluted"
259,259,I don't know,259.0,"267,0,1, the amount of energy present is limited, and the environment is polluted"
260,260,I think it would have changed,260.0,"268,1,0, the amount of energy present is limited, and the rate at which the environment is destroyed increases269,0,0, the amount that exists is limited, so you can't get it even if you need it, so the price rises, and the environment is destroyed faster"
261,261,Coal and oil will be exhausted and the land will be devastated,261.0,"270,0,0,1, the amount existing is limited and cannot be obtained even if necessary, so the price increases, and the rate of environmental destruction increases"
262,262,I don't know,262.0,"271,1,0, the amount present is limited, so you can't get it even if you need it, and the speed at which the environment is destroyed increases"
263,263,I don't know,263.0,"272,0,0, the amount present is limited and cannot be used even if necessary, raising prices, destroying the environment and ruining nature."
264,264,The natural environment is not destroyed and there is no need to worry about volunteering,264.0,"273,1,0, the amount that exists is limited and cannot be used even if necessary, resulting in higher prices, environmental destruction"
265,265,There is no oil left,265.0,"274,1,0, the amount present is limited, so you can't use it even if you need it"
266,266,can protect the environment,266.0,"275,0,1, the amount that exists on Earth is finite and can be depleted, so the price rises"
267,267,I think the future is going to get worse And we're going to use more fossil energy,267.0,"276,1,0, the amount that exists on Earth is finite and can be depleted, so the price rises"
268,268,The environment gets worse,268.0,"277,1,1, the amount present on Earth is finite and can be depleted,"
269,269,be undestroyed,269.0,"278,0,0, the amount that exists on Earth is finite and can be insufficient, so the price rises"
270,270,It's ruined,270.0,"279,0,1, the quantity present on Earth is finite and can be insufficient, so the price rises"
271,271,The future develops,271.0,"280,1,0, the amount present on Earth is finite and may be insufficient"
272,272,Fossils will disappear,272.0,"281,0,0, the amount present on Earth is finite and may be insufficient, so the price rises"
273,273,global pollution,273.0,"282,0,0, the amount present on Earth is finite and may be insufficient, so the price rises"
274,274,The air polluter could die,274.0,"283,0,0, the amount present on Earth is finite and may be insufficient"
275,275,Oil lamps are limited and cannot be used for a long time,275.0,"284,0,0, the amount that exists on Earth is finite so that it can become scarce, so the price rises"
276,276,The earth will perish,276.0,"285,1,0, the amount present on Earth is finite, so it can become scarce, so the price rises in price"
277,277,environmental pollution,277.0,"286,0,1, the amount present on Earth is finite and may become insufficient"
278,278,Fossil energy is gone.,278.0,"287,1,0, the amount present on Earth is finite and cannot be obtained even if necessary, so the price increases"
279,279,A great deal.,279.0,"288,0,0, the amount present on Earth is finite and cannot be obtained even if necessary, so the price rises"
280,280,"We have no resources, and the country will be ruined",280.0,"289,0,1, the amount present on Earth is finite and cannot be obtained even if necessary"
281,281,It's all dried up and you won't be able to lose later.,281.0,"290,0,1, the amount present on Earth is finite and cannot be used even if necessary, resulting in an increase in price"
282,282,Global warming will melt the North and South Poles and cause natural disasters.,282.0,"291,1,1, the amount present on Earth is finite and cannot be used even if necessary, resulting in an increase in price"
283,283,an energy depletion phenomenon of energy depletion,283.0,"292,1,1, the amount present on Earth is finite and cannot be used even if necessary"
284,284,Global warming will intensify and fossil fuels will run out.,284.0,"293,1,0, the amount present on Earth is limited and can be depleted, so the price rises"
285,285,It will be difficult to live.,285.0,"294,1,1, the amount existing on Earth is limited and can be depleted, so the price rises"
286,286,Global warming is progressing due to increased CO2 and other bad smoke is bad for your health.,286.0,"295,1,1, the amount present on Earth is limited and can be depleted"
287,287,"There is a lot of coal and oil, and the environment becomes dirty, making it difficult for humans to live",287.0,"296,1,0, the amount that exists on Earth is limited and may be insufficient, so the price rises"
288,288,to be able to protect resources,288.0,"297,0,0, the amount that exists on Earth is limited and can be insufficient, so the price rises"
289,289,We'll all die out of coal and oil,289.0,"298,0,1, the amount that exists on Earth is limited and may be insufficient299,0,0, the amount that exists on Earth is limited and may be insufficient, so the price rises"
290,290,I don't know.,290.0,"300, 1, 0, the amount existing on Earth is limited and may be insufficient, so the price rises"
291,291,The earth is coming to an end.,291.0,"301,1,0, the amount present on Earth is limited and may be insufficient"
292,292,Someday I'll run out,292.0,"302,1,0, the amount existing on Earth is limited and may become insufficient, so the price increases"
293,293,The environment is polluted,293.0,"303,1,1, the amount existing on Earth is limited and may become insufficient, resulting in an increase in price"
294,294,It's disappearing,294.0,"304,0,1, the amount present on Earth is limited and may become insufficient"
295,295,a good change,295.0,"305,0,0, there is a limit to the amount that exists on Earth, so it cannot be obtained even if necessary, so the price increases"
296,296,"The air will get worse and suffer from energy problemsThe air in the city becomes quaint because of the fumes, so people have to buy air and drink it.",296.0,"306,0,1, there is a limit to the amount that exists on Earth, so it cannot be obtained even if necessary, so the price increases"
297,297,Life will be difficult because the environment is polluted and resources are depleted.,297.0,"307,0,0, there is a limit to the amount that exists on Earth, so you can't get it even if you need it"
298,298,Resources are depleted and environmental pollution occurs.,298.0,"308,0,0, there is a limit to the amount existing on Earth, so it cannot be used even if necessary, so the price increases"
299,299,You can't use coal or oil when you need it,299.0,"309,1,0, there is a limit to the amount existing on Earth, so it cannot be used even if necessary, so the price increases"
300,300,"If resources are lost in the future and air pollution becomes severe, global warming will heat up the earth and destroy it",300.0,"310,1,0, there is a limit to the amount existing on Earth, so you can't use it even if you need it"
301,301,"In the future, there will be air pollution and a bit of lack of energy",301.0,"311,1,0, the amount present on Earth is limited and depleted"
302,302,It's all gone and it's all gone,302.0,"312,1,0, the amount present on Earth is limited and can be depleted, so the price rises"
303,303,I don't know.,303.0,"313,0,1, the amount present on Earth is limited and can be depleted, so the price rises"
304,304,The air will deteriorate and it will be hard to breathe.There will be greenhouse gases.,304.0,"314,1,0, the amount present on Earth is limited and can be depleted"
305,305,Don't know,305.0,"315,1,0, the amount that exists on Earth is limited and can be insufficient, so the price rises"
306,306,One day no more oil or coal will be lost,306.0,"316,1,0, the amount that exists on Earth is limited and can be insufficient, so the price rises"
307,307,Fossil energy will run out.,307.0,"317,0,1, the amount present on Earth is limited and may be insufficient"
308,308,A lot of energy is gone.,308.0,"318,1,0, the amount present on Earth is limited and may be insufficient, so the price rises"
309,309,The environment will be polluted and coal or oil will be lost,309.0,"319,1,0, the amount present on Earth is limited and may be insufficient, so the price rises"
310,310,global warming due to pollution,310.0,"320,0,1, the amount present on Earth is limited and may be insufficient"
311,311,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil? *",311.0,"321,1,0, the amount present on Earth is limited and may become insufficient, so the price increases"
312,312,Environmental pollution will destroy the world,312.0,"322,1,1, the amount present on Earth is limited and may become insufficient, resulting in an increase in price"
313,313,I don't know.,313.0,"323,1,0, the amount present on Earth is limited and may become insufficient"
314,314,L.,314.0,"324,0,0, the amount of energy available on Earth is limited and exhausted"
315,315,We're running out of fossil energy,315.0,"325,0,0, the amount of energy present on Earth is limited and there is not enough energy available"
316,316,We run out of fuel.,316.0,"326,1,0, the amount of energy present on Earth is limited and there is a shortage of available energy"
317,317,"Most of the resources are consumed, resulting in energy shortages.",317.0,"327,0,1, the amount of energy available on Earth is limited and disappears"
318,318,All the energy is depleted.,318.0,"328,1,1, the amount of energy present on Earth is limited and usable is eliminated329,0,0, the amount of energy available on Earth is limited and exhausted"
319,319,environmental pollution,319.0,"330,0,0, the amount of energy present on Earth is limited, so there is not enough energy to use"
320,320,Fossil energy such as coal and oil is lost in the future,320.0,"331,1,0, the amount of energy available on Earth is limited,"
321,321,lack of fuel,321.0,"332,0,1, the amount of energy available on Earth is limited, and the energy available energy disappears"
322,322,Fossil energy will be lost and you won't be able to live.,322.0,"333,1,0, the amount of energy present on Earth is limited, so there is no energy available"
323,323,The future environment will be polluted.,323.0,"334,1,1, the amount present on Earth is limited and energy is depleted"
324,324,"Later, such things disappear and cannot be used.",324.0,"335,1,0, the amount present on Earth is limited and energy is insufficient"
325,325,Fossil energy such as coal and oil is depleted.,325.0,"336,0,0, the amount present on Earth is limited and energy is scarce"
326,326,The environment is polluted.,326.0,"337,0,1, the amount of energy present on Earth is limited and energy is lost"
327,327,"Due to lack of fossil energy, people will not be able to use electricity.",327.0,"338,0,0, the amount on Earth is limited and energy is lost"
328,328,"Environmental pollution will worsen, and if fossil energy drops while using only fossil energy, the ecosystem may be destroyed.",328.0,"339,0,1, the amount present on Earth is limited and cannot be obtained even if necessary, so the price increases"
329,329,Resources are reduced,329.0,"340,0,0, the amount present on Earth is limited and cannot be obtained even if necessary, so the price increases"
330,330,Cars or electronics using fossil energy are likely to come out.,330.0,"341,0,0, the amount present on Earth is limited and cannot be obtained even if necessary"
331,331,It will be an earth that has been irreversibly destroyed by coal and oil pollutants.,331.0,"342,0,1, the amount present on Earth is limited and cannot be used even if necessary, so the price increases"
332,332,There will be more inconveniences in life due to the lack of coal or oil.,332.0,"343,0,0, the amount present on Earth is limited and cannot be used even if necessary, so the price increases"
333,333,environmental pollution,333.0,"344,0,1, the amount present on Earth is limited and may not be used even if necessary"
334,334,"In the future, energy will be depleted and the environment will deteriorate",334.0,"345,0,1, it is inconvenient to use continuously.,"
335,335,"In the future, it becomes a clean earth.",335.0,"346,0,1,cannot be used continuously"
336,336,Technology will develop,336.0,"Because there is a limit of 347,0,1.,"
337,337,"Coal, oil, and fossil energy will be exhausted and gone.",337.0,"348,0, with limits,"
338,338,Global Warming Wors,338.0,"It has a limit of 349, 0, 0.,"
339,339,We've used it up and our descendants won't be able to use it.,339.0,"350,0,1,,"
340,340,Fossil energy will be depleted and the environment will be further weakened.,340.0,"351,0,1,,"
341,341,I think there will be a day when I get sick and use up coal oil.,341.0,"352,0,0,,"
342,342,.,342.0,"353,1,1,,"
343,343,More carbon dioxide will increase global warming and change the climate.,343.0,"354,0,1,,"
344,344,The end is coming,344.0,"355,1,1,,"
345,345,Global warming,345.0,"356,0,0,,"
346,346,.,346.0,"357,0,1,,"
347,347,the disappearance of the future,347.0,"358,1,0,,359,1,0,,"
348,348,Global Warming Happens,348.0,"360,0,1,,"
349,349,"Land will be devastated and lost, as it has been in the past and present, and competition between countries will also grow",349.0,"361,0,1,,"
350,350,The atmosphere is polluted and causes damage to mankind.,350.0,"362,0,1,,"
351,351,"Global warming will accelerate by emitting carbon dioxide and destroying smog and ozone, and the pace of future development will slow down.",351.0,"363,0,1,,"
352,352,Global warming will raise the temperature of the earth very high.,352.0,"364,1,0,,"
353,353,Global warming is getting worse,353.0,"365,1,0,,"
354,354,The earth searches.,354.0,"366,1,1,,"
355,355,.,355.0,"367,0,1,,"
356,356,The environment is polluted.,356.0,"368,0,1,,"
357,357,the intensification of global warming,357.0,"369,0,1,,"
358,358,망Network,358.0,"370,1,1,,"
359,359,Fuel depletion and global warming will intensify,359.0,"371,0,0,,"
360,360,The greenhouse effect increases.,360.0,"372,0,1,,"
361,361,"If depleted, great things can happen and the environment will be destroyed if we fail to prepare",361.0,"373,1,1,,"
362,362,The future becomes dark.,362.0,"374,1,0,,"
363,363,"Global warming will continue, eventually reaching the ice age.",363.0,"375,1,1,,"
364,364,"Oh, I'm running out of it's hard to use.",364.0,"376,0,0,,"
365,365,I'm running out,365.0,"377,1,0,,"
366,366,environmental destruction,366.0,"378,0,0,,"
367,367,Global warming is accelerated by the generation of greenhouse gases such as carbon dioxide.,367.0,"379,0,0,,"
368,368,The earth is sick.,368.0,"380,0,0,,"
369,369,The air gets worse and global warming gets worse,369.0,"381,0,0,,"
370,370,"Later, resources become scarce.",370.0,"382,1,1,,"
371,371,Lack of resources,371.0,"383,0,0,,"
372,372,"Increased carbon content in the air, global warming, fossil energy depletion",372.0,"384,1,1,,"
373,373,"There will be a lot of carbon dioxide, which will accelerate global warming.",373.0,"385,0,1,,"
374,374,"Greenhouse gas emissions destroy the environment, including global warming",374.0,"386,0,0,,"
375,375,"Global warming, environmental pollution, industrial development, etc",375.0,"387,0,0,,"
376,376,"In the future, fossil energy such as coal and oil to be used will be depleted, and global warming will intensify due to increased greenhouse gases in the atmosphere.",376.0,"388,0,0,,389,0,0,,"
377,377,a bad thing,377.0,"390,1,1,,"
378,378,The greenhouse effect will increase.,378.0,"391,1,0,,"
379,379,Resources are depleted and environmental pollution such as global warming worsens,379.0,"392,1,0,,"
380,380,run out of energy,380.0,"393,0,1,,"
381,381,"The increase in greenhouse gas emissions speeds up the progress of global warming, and because it is a finite energy resource, it will cause serious economic problems if it is depleted without developing alternative energy.",381.0,"394,0,0,,"
382,382,The earth is going to perish,382.0,"395,1,0,,"
383,383,natural exhaustion,383.0,"396,0,1,,"
384,384,.,384.0,"397,0,1,,"
385,385,.,385.0,"398,1,0,,"
386,386,I'm doomed.,386.0,"399,0,0,,"
387,387,Die.,387.0,"400,1,0,,"
388,388,Environmental pollution becomes severe and problems of resource depletion arise.,388.0,"401,1,0,,"
389,389,Fossil prices go up.,389.0,"402,1,0,,"
390,390,The coal is gone Global warming is severe,390.0,"403,0,0,,"
391,391,The amount of carbon dioxide will increase,391.0,"404,0,0,,"
392,392,"The demand for fossil energy will increase, and the supply will decrease, making it difficult to develop.",392.0,"405,0,1,,"
393,393,The earth is going to perish,393.0,"406,1,0,,"
394,394,The earth will perish one day.,394.0,"407,0,0,,"
395,395,Fossil Energy ExpensiveEnvironmental pollution becomes severe and fossils are depleted,395.0,"408,0,0,,"
396,396,run out of energy,396.0,"409,0,0,,"
397,397,resource depletion,397.0,"410,0,1,,"
398,398,Global warming,398.0,"411,1,0,,"
399,399,"It becomes more dependent on renewable energy, that is, nuclear power.",399.0,"412,0,1,,"
400,400,The energy runs out.,400.0,"413,1,1,,"
401,401,The environment will be destroyed and all life on Earth will die.,401.0,"414,0,0,,"
402,402,"""I can't use electricity such as cars, TVs, etc",402.0,"415,0,1,,"
403,403,"Destroy nature.""",403.0,"416,0,0,,"
404,404,"If we use the future, we don't have the resources to pass on to our descendants",404.0,"417,1,0,,"
405,405,lose one's footing,405.0,"418,0,0,,419,0,0,,"
406,406,run out of resources,406.0,"420,0,1,,"
407,407,Oil is gone,407.0,"421,0,1,,"
408,408,"In the future, coal and oil will not be used.",408.0,"422,1,1,,"
409,409,h,409.0,"423,0,0,,"
410,410,I don't know.,410.0,"424,1,0,,"
411,411,"There will be a lot of smoke, air will be polluted, and animals will die",411.0,"425,0,1,,"
412,412,It's disappearing.,412.0,"426,0,1,,"
413,413,There are times when fire can't be used.,413.0,"427,0,1,,"
414,414,It's getting dark.,414.0,"428,1,1,,"
415,415,"""Life becomes uncomfortable",415.0,"429,0,1,,"
416,416,"Because there's no such thing as a car.""",416.0,"430,0,1,,"
417,417,bad environment,417.0,"431,0,1,,"
418,418,Oil or coal will go to waste,418.0,"432,1,1,,"
419,419,Nature is destroyed.,419.0,"433,0,1,,"
420,420,environmental pollution and the disappearance of coal and oil,420.0,"434,0,0,,"
421,421,You have to walk around,421.0,"435,1,0,,"
422,422,There's a lot of carbon dioxide.,422.0,"436,0,1,,"
423,423,I don't know.,423.0,"437,0,1,,"
424,424,There is no coal or oil in the future,424.0,"438,0,1,,"
425,425,ㅊ,425.0,"439,0,0,,"
426,426,The earth is coming to an end.,426.0,"440,0,1,,"
427,427,"Global warming will accelerate and glaciers will melt, making the entire planet an ocean.",427.0,"441,1,1,,"
428,428,Global warming is coming.,428.0,"442,0,1,,"
429,429,"Later, fossil energy will eventually run out and the environment will be destroyed.",429.0,"443,0,1,,"
430,430,Bad things happen,430.0,"444,1,0,,"
431,431,It will run out,431.0,"445,0,0,,"
432,432,Abnormal weather such as global warming occurs.,432.0,"446,0,1,,"
433,433,The earth is in pain.,433.0,"447,0,1,,"
434,434,Environmental pollution becomes serious.,434.0,"448,0,0,,449,0,0,,"
435,435,The environment will be destroyed and fossil energy will be insufficient to exhaust energy.,435.0,"450,0,0,,"
436,436,Global warming gets worse.,436.0,"451,0,1,,"
437,437,"The concentration of carbon dioxide in the air increases, accelerating global warming",437.0,"452,0,1,,"
438,438,Global warming accelerates.,438.0,"453,0,1,,"
439,439,"The climate will be very polluted in the future. And if it's all depleted, this will eventually lead to a resource war or all countries will invest a fortune in renewable energy projects.",439.0,"454,0,1,,"
440,440,"Coal oil is made up of carbon hydrogen, which is the main culprit of global warming. Therefore, using a lot of fossil energy will intensify global warming.",440.0,"455,0,1,,"
441,441,I don't know.,441.0,"456,0,0,,"
442,442,Coal and oil will no longer be used.,442.0,"457,0,1,,"
443,443,"The use of fossil energy increases greenhouse gas emissions, accelerating global warming. This makes it impossible to live on Earth.",443.0,"458,1,1,,"
