,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
203,203,"This is because if you pour water on the fire, the fire is suppressed by the water and disappears.",203.0,"204, I know that kidneys do important things for the body, 0, 0, 0, 0, 0, 0 ... to filter out the waste in the blood to maintain clean blood"
204,204,The fire was weak against water,204.0,"205, I don't know.,0,0,0,0,0 ,,,, filter out the waste in the blood to maintain clean blood,"
205,205,The temperature of the iron plate went down,205.0,"206, The kidneys do not filter waste from the body, they filter waste from the blood and maintain clean blood"
206,206,The water cools down the hot iron,206.0,"207, The kidney filters out the blood's waste, but if it does not perform its role properly, it accumulates waste in the blood and causes various diseases. 0,0,0,1,0,,, It filters out the waste in the blood to maintain clean blood"
207,207,It evaporates,207.0,"208, I don't know what the kidneys are doing... 0, 0, 0, 0, 0, 0, 0... they filter out the waste from the blood and keep it clean"
208,208,Fire can be suppressed with water because it is the opposite of water.,208.0,"209,Strainer waste,0,0,1,0...Strainer waste from blood to keep blood clean"
209,209,"It might be a strange answer, but it's because the particles in the fire, the particles in the liquid called water, get rid of the particles that burn the object",209.0,"210, If there is an abnormality in the kidney by releasing waste from the body, the waste can not be released and can be caused by death.,0,0,1,0 ,,,, filter out the waste in the blood to keep it clean,"
210,210,"Water can extinguish fire, and fire has the property that the size of fire decreases or disappears when it touches water.",210.0,"211, The kidneys are responsible for filtering out waste.,0,0,1,0 ,, filter out the waste from the blood and keep it clean"
211,211,"The temperature goes down because of the water, and the temperature is less than 100 degrees.",211.0,"212 ""The kidneys collect waste from the body and send it to the bladder to discharge it, and if there is an abnormality in the function of the kidneys, it is fatal because the waste remains in the body,""0,0,1,0,,, it filters out the waste in the blood to keep the blood clean"
212,212,"Water is the opposite of fire, so if firefighters pour water like spraying it on fire, the water will soon disappear. In other words, hot fire and cool water meet and extinguish.",212.0,"213, Strain the toxins out of the urine, filter out the wastes in the blood, and keep the blood clean"
213,213,"This fire can be extinguished relatively easily because it is not a fire caused by electricity or gas. The cloth was already burning, but the firing point of the cloth was greatly lowered by spraying water, and at the same time, heat conduction slowed down and the medium through which the fire could burn disappeared. That way we can see the lights go out. Another inference might be that the fabric was already burned and immediately extinguished when the water was sprayed.",213.0,"214, Hormones and discharged wastes, 0, 1, 0, 1, 0... filter out the wastes in the blood to keep the blood clean"
214,214,Water is the nature of fire,214.0,"215,""Pure water in the body, residue, and so on, comes out in the form of urine, which absorbs the energy from the bean pod."",0,0,0,1,0..."", filter out the waste from the blood and keep the blood clean"
215,215,"The fire is extinguished when oxygen is lost, because oxygen disappeared at that moment as water was sprayed.",215.0,"216, The kidneys filter out the wastes in our bodies, 0, 0, 0, 1, 0, ... to keep the blood clean"
216,216,It's cold,216.0,"217, There are no secretions coming out of the body, and they pile up in layers, and they filter out the waste from the blood and keep it clean"
217,217,This is basic common sense,217.0,"218, the role of filtering out the body's waste, 0, 0, 1, 0... the blood's waste is filtered out to keep the blood clean"
218,218,Water blocks oxygen and lowers the temperature,218.0,"219, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste in the blood and keep the blood clean"
219,219,This is because it blocked the heat under the conditions that caught fire.,219.0,"220, the kidneys filter out waste from our bodies and release it into urine. In case of kidney failure, waste is not filtered well, so waste can continue to flow through the blood, causing vascular disease, 0, 0, 0, 1, 0... It filters out the waste in the blood and keeps the blood clean"
220,220,The water seems to have been turned off by lowering the temperature of the fire because the temperature of the water is cold.,220.0,"221, because the kidneys are needed to filter out nutrients, we can't excrete if the kidneys are in trouble, 0, 0, 0, 1, 0... to filter out the waste from the blood to maintain clean blood"
221,221,This is because oxygen or burning substances were removed or oxygen was removed with water to lower the heat.,221.0,"222, because it is the kidney that releases the urine that must be released from the body, it filters out the waste in the blood and maintains clean blood"
222,222,Because the fire goes out when you put it in the water,222.0,"223, The kidneys support the role of the heart in our body, 0, 0, 0, 0, 0, 0 ... to filter out the waste from the blood and maintain clean blood"
223,223,"The fire went out because the cloth got cold, and the air was blocked while spraying water, so the fire went out.",223.0,"224, It purifies the food that comes into our body and urinates the nope water.,0,0,1,0 ,,,, it filters out the waste in the blood to maintain clean blood"
224,224,It lowers the temperature and blocks oxygen.,224.0,"225, filter the nope water, 0, 0, 1, 0... the blood becomes dirty because it cannot filter out the waste in the blood"
225,225,I don't know,225.0,"226, This is because separating properly from the kidneys prevents the body from excreting necessary nutrients or excreting unnecessary nutrients.It is dirty because blood waste is not filtered out.,"
226,226,The fire is weaker than water,226.0,"227, the role of filtering out the noppe water in our bodies, 0, 0, 0, 1, 0"
227,227,The water overcomes the fire,227.0,"228, The kidneys filter out bad things, but if the kidneys do not function, the bad things enter the body and cause disease, 0, 0, 0, 1, 0,,,,,,,"
228,228,It's because water blocks oxygen,228.0,"229,The kidneys release the right amount of waste, such as our urine and feces, to facilitate excretion However, if there is an abnormality in the kidneys, the various nutrients that our body needs are excreted along with urine and feces, so 0, 0, 0, 1, 0"
229,229,"Water and fire have opposite properties, so water put out the fire",229.0,"230,""The kidney is responsible for metabolizing waste matter and maintaining body balance along with surrounding ureter, bladder and urethra. These kidneys control blood pressure by maintaining the acid base balance as well as the main function of excreting waste, and also by maintaining the proper fluid volume with the balance of water and electrolytes."",0,1,1,0,,,,,,,,,"
230,230,It's because the temperature dropped dramatically,230.0,"231,""The kidney is responsible for high waste mass and maintenance of body balance along with surrounding ureter, bladder and urethra,""0,1,0,,,,,"
231,231,You can put out the fire with water,231.0,"232, doing important things, 0, 0, 0, 0, 0233,""This is because if the kidneys are abnormal in filtering out bad diseases, they cannot filter out bad diseases."
232,232,Because water lowers the temperature,232.0,""",0,0,0,1,0,,,,,"
233,233,It's because the fever has cooled down,233.0,"234,""The kidney is responsible for metabolizing waste matter and maintaining body balance along with surrounding ureter, bladder and urethra. These kidneys control blood pressure by maintaining the acid base balance as well as the main function of excreting waste, and also by maintaining the proper fluid volume with the balance of water and electrolytes."",0,1,1,0,,,,,,,,,"
234,234,The water is stronger than the fire,234.0,"235,""The kidney is an organ that has a very important function that allows each part of the body to function properly. In other words, since all organs are always beholden to the kidneys, other organs are also affected if the kidneys develop diseases."",0,0,0,0,0,,,,,"
235,235,Because of digestion.,235.0,"236,""The kidney is an organ that has a very important function that allows each part of the body to be properly written. In other words, since all organs are always beholden to the kidneys, other organs are also affected in the event of kidney disease."",0,0,0,0,0,,,,,"
236,236,The water is cold,236.0,"237,""Because every kidney is important."
237,237,"If you pour cold water on the hot iron, the cold water purifies the hot fire",237.0,""",0,0,0,0,0,,,,,"
238,238,Pour low-temperature water over high-temperature heat,238.0,"238 ""In addition to the main function of excreting waste, the kidneys maintain the form of acid bases, help with moisture and hematopoietic action and activate vitamin D, and if there is an abnormality in this function, the disease appears.""0,1,0,,,"
239,239,"The water was cold, so I made a blanket",239.0,"239,""The kidney not only has a major function of excreting waste, but also has various functions such as maintaining the balance of acid bases, helping with moisture and hematopoietic action, and activating vitamin D."""",0,0,1,1,0,,,,,"
240,240,I don't know.,240.0,"240,""The kidney not only has a major function of excreting nope water, but also has various functions such as maintaining acid base balance, helping with moisture and hematopoietic action, and activating vitamin D If these functions become abnormal, our bodies will no longer be able to survive. "",0,0,1,1,0,,,,,"
241,241,It seems that they sprayed water because the fire is weak in water and the fire goes out.,241.0,"241, Excretion function bladder function is not good, 0,0,0,1,,,,"
242,242,The water is liquid,242.0,"242 ""If these activities are not carried out normally, such as the excretion function to filter out waste, the amount of water in the collection, electrolyte, and acidity maintenance function that are kept constant within a narrow range, kidney disease may occur. "",0,0,1,1,0,,,,,"
243,243,"Because water has moisture,",243.0,"243 ""It functions to excrete waste and maintain homeostasis in the body"
244,244,The heat in the fire cooled off because of the water and the fire was vaporized out.,244.0,"If kidney abnormalities occur, the body's homeostasis decreases and dies.""0,0,1,1,0,,,,,"
245,245,I don't know),245.0,"244, air enters the kidney, 0, 0, 0, 0, 0"
246,246,Water cools down,246.0,"245, The element is not removed.,0,0,0,1,0,,,,,"
247,247,"The warm heat of the fire is transferred to the water, and when the heat of the fire disappears, the fire disappears.",247.0,"246,edwedwedwed,0,0,0,0,0,,,,,"
248,248,Because the fire goes out well in the water?,248.0,"247, I don't know, 0, 0, 0, 0, 0,"
249,249,I don't know.,249.0,"248, M,ㄹ, 0, 0, 0, 0, 0"
250,250,The heat went out of the water,250.0,"249,I don't know,0,0,0,0,0"
251,251,It's not oil,251.0,"250, I don't know, 0, 0, 0, 0, 0"
252,252,That's because one of the conditions under which the fire occurs disappears when water is sprayed,252.0,"251, I don't know, 0, 0, 0, 0, 0"
253,253,The heat cools down and the fire goes out,253.0,"252, I don't know.,0,0,0,0,0,,,,,"
254,254,"A fire can only be ignited at a certain temperature, but it is because the temperature drops below that temperature by spraying water with high specific heat",254.0,"253, I don't know, 0, 0, 0, 0, 0"
255,255,Because the hot temperature goes down,255.0,"254, I don't know.,0,0,0,0,0,,,,,"
256,256,The water seeps into the fabric and the air is blocked,256.0,"255, I don't know, 0, 0, 0, 0, 0"
257,257,Because water lowers the temperature,257.0,"256,I don't know,0,0,0,0,0"
258,258,The temperature rises to the fire temperature and then decreases as the water rises,258.0,"257,I don't know,0,0,0,0,0"
259,259,Because of the water,259.0,"258, I don't know, 0, 0, 0, 0, 0"
260,260,Because I lowered the temperature of the iron plate by spraying water,260.0,"259,mall,0,0,0,0,0,,,260, I don't know, 0, 0, 0, 0, 0,"
261,261,I don't know,261.0,"261, I don't know, 0, 0, 0, 0, 0,"
262,262,It's because oxygen is blocked,262.0,"262, I know, 0, 0, 0, 0, 0,"
263,263,It blocks oxygen for a second,263.0,"263, I don't know, 0, 0, 0, 0, 0"
264,264,It is because fire is weak in water.,264.0,"264,I don't know,0,0,0,0,0"
265,265,Fire and water have different properties,265.0,"265, I don't know, 0, 0, 0, 0, 0"
266,266,"It was a temperature that could cause a fire, but it was because the temperature went down after spraying water",266.0,"266,I don't know,0,0,0,0,0"
267,267,My temperature has cooled down,267.0,"267, I don't know.,0,0,0,0,0,,,,,"
268,268,This is because oxygen is blocked.,268.0,"268, I don't know, 0, 0, 0, 0, 0"
269,269,This is because the temperature was not above the ignition point.,269.0,"269,creating and emitting urine,1,0,0,1,,,,"
270,270,The fire was extinguished because it turned to a temperature below the ignition point by spraying water among the three conditions on fire.,270.0,"270, I don't know, 0, 0, 0, 0, 0,"
271,271,Because the water extinguished the fire.,271.0,"271, Kidney is the organ that filters out waste from our bodies Without the kidneys, our bodies would accumulate waste and eventually die.,0,0,0,1,0,,,,,"
272,272,I don't know.,272.0,"272, I don't know, 0, 0, 0, 0, 0"
273,273,It's because it cooled the heat that exceeded the ignition point,273.0,"273, Filtration, 0, 0, 0, 1, 0"
274,274,It's because the fire changes the state of the water with water vapor,274.0,"274,I don't know,0,0,0,0,0"
275,275,Because I sprayed water,275.0,"275,I don't know,0,0,0,0,0"
276,276,The water is cold,276.0,"276,?,0,0,0,0,0,,,,,"
277,277,It's because water meets fire and instantly meets water vapor to control the fire,277.0,"277, ㄹ,, 0, 0, 0, 0, 0"
278,278,It is because water overcomes fire.,278.0,"278,........,0,0,0,0,0,,,,,"
279,279,It lowers the temperature of the iron plate by spraying water,279.0,"279, there are organs in the kidney, 0, 0, 0, 0, 0"
280,280,Because it blocks oxygen,280.0,"280, because the kidneys filter the blood.,0,0,0,0,0,,,,,"
281,281,The fire is extinguished because water absorbs the heat energy of the fire and lowers the temperature below the ignition point.,281.0,"281, O, 0, 0, 0, 0, 0,"
282,282,Because water blocks oxygen,282.0,"282, the kidneys play a role in filtering out the body's waste, because they cannot filter out the waste, which causes diseases when the waste accumulates. ,0,0,0,1,0,,,,,"
283,283,Because they shut off the oxygen,283.0,"283, ,ㅑ, 0, 0, 0, 0,"
284,284,It's cold,284.0,"284, filter out the contaminants, 0, 0, 0, 1,,,,"
285,285,Water lowers the temperatureWest,285.0,"285, I don't know, 0, 0, 0, 0, 0"
286,286,The temperature drops below the ignition point,286.0,"Strain foreign substances into the blood, 0, 0, 0, 1, 0"
287,287,"Among the firing conditions, the firing point is lowered and burned as it is.",287.0,"287, radioactivity k, 0, 0, 0, 0, 0"
288,288,This is because the temperature has gone down.,288.0,"288, infecting human nails, 0, 0, 0, 0, 0"
289,289,The temperature drops below the ignition point,289.0,"289, uh... I don't know, 0, 0, 0, 0, 0, 0290, the kidneys have the same function to make urine, 1,0,0,0"
290,290,The fire is extinguished when water is sprayed^^,290.0,"291, I don't know, 0, 0, 0, 0, 0"
291,291,?,291.0,"292, the disease occurs because it does not function normally, 0, 0, 0, 0, 0"
292,292,I'll do a good job of suppressing the initials,292.0,"293, filter out the waste, 0, 0, 0, 1, 0"
293,293,I don't know.,293.0,"294, I'm dying, 0, 0, 0, 0, 0"
294,294,I don't understand.,294.0,"295, Kidney helps us live. Can't be without, 0, 0, 0,0,0,0,0"
295,295,"This is because the temperature, dryness, and dryness of heat above the ignition point, which are the conditions under which the fire burns, disappear.",295.0,"296, It plays a role in filtering bacteria, 0, 0, 0, 1,,,,"
296,296,Water blocks oxygen,296.0,"297, you have cancer, 0, 0, 0, 0, 0"
297,297,Lower the heat with waterWest,297.0,"298, The kidneys filter out waste from our bodies, 0, 0, 0, 1, 0"
298,298,I lowered the ignition point,298.0,"299, it's dangerous without it, 0, 0, 0, 0,"
299,299,Water cools you down,299.0,"300, filter out the waste to make urine, 1,0,1,0"
300,300,Water and fire are the opposite ingredients,300.0,"301,ㄹ휴ㅕ라ㅗㅛㅓㅕㅣ곧ㄹ셔ㅗㄱ두쇼호ㅕ,0,0,0,0,0,,,,,"
301,301,Because the temperature is right back to normal.,301.0,"302 Any disease will catch.,0,0,0,0,0,,,,,"
302,302,Because the water's image wins the fire's image,302.0,"303, Because if the kidneys have problems dealing with the scraps from our bodies, the scraps accumulate in our bodies, 0, 0, 0, 1, 0"
303,303,The temperature went down,303.0,"304,""The kidney filters out the body's waste and keeps the body clean"
304,304,Water lowers the temperature to extinguish the fire.,304.0,"If this function is broken, it must be artificially dialysis,""0,0,1,0,,,,,"
305,305,I poured water,305.0,"305, the kidneys allow urine to come out, 0, 0, 0, 1, 0"
306,306,This is because water is a property that can extinguish a fire.,306.0,"306, if you don't have it, you'll have a heart attack, 0, 0, 0, 0, 0"
307,307,Water lowers the temperature of the fire,307.0,"307, what do kidneys do, 0, 0, 0, 0, 0"
308,308,This is because the temperature was lowered again by spraying water.,308.0,"308,The kidneys play an important role in our body.,0,0,0,0,0,,,,,"
309,309,This is because water absorbed heat from the iron plate and evaporated after contacting it.,309.0,"309,Because it functions to eliminate bacteria,0,0,1,0,,,,,"
310,310,It blocks oxygen,310.0,"310, The kidneys play an important role in our body, so it is dangerous to lose any one"
311,311,It lowers the temperature,311.0,"311 The kidney suffers from a disease in which this role cannot be played in treating body wastes.,0,0,0,1,0,,,,,"
312,312,I don't know,312.0,"312 It is difficult to play a role in causing waste.,0,0,0,1,0,,,,,"
313,313,This is because the oxygen needed for the fire to burn is blocked.,313.0,"313, Excretion to filter waste, 0, 0, 0, 1, 0"
314,314,"Oxygen is needed for a fire to burn, but if water is sprayed, oxygen supply is blocked.",314.0,"314 ""Maintaining waste metabolism and body balance, balancing acid bases, controlling body fluid volume, maintaining homeostasis, and helping hematopoietic action"", 0,0,1,1,0,,,"
315,315,This is because spraying water lowers the temperature.,315.0,"315, Excretion (filtering waste), 0,0,0,1,,,,"
316,316,This is because the water blocked oxygen.,316.0,"316, Strain waste and pee. 1,0,0,1,0"
317,317,This is because firefighters put out the fire with water.,317.0,"317, Remove any waste from the blood.,0,0,0,1,0,,,,,"
318,318,Because water has the power to extinguish a fire,318.0,"318, reabsorption, 0, 0, 0, 0, 1,,,,319, excretion-related action, 0,0,0,1,,,,"
319,319,Because the oxygen needed to keep the fire burning was blocked,319.0,"320,If you can't work to discharge waste from the kidney, it won't discharge well, so 0,0,1,0,,,,,"
320,320,The water is cold and shuts off the air to extinguish the fire,320.0,"321, Filter out the waste.,0,0,0,1,0,,,,,"
321,321,below the point of ignition point,321.0,"322,""It allows you to filter out impurities and release them out of the body."",0,0,0,1,0,,,,,"
322,322,This is because the ignition point has been lowered.,322.0,"323, There is a diabetes in which glucose is released into urine due to impaired glucose absorption.,0,0,0,0,1,,,,,"
323,323,Water has a high specific heat and can extinguish a fire,323.0,"324, Environmental pollution, 0, 0, 0, 0,,,,"
324,324,"""",324.0,"325, you have to dialysis, 0, 0, 0, 0,"
325,325,"Covering hot temperatures with cold temperatures?""",325.0,"326, Filter out the waste. Kidney disease, 0, 0, 1, 0"
326,326,The fire can be extinguished because the temperature was lowered by spraying water while it was raised to a certain temperature.,326.0,"327, because it filters out the noppe water, 0, 0, 1, 0"
327,327,The temperature dropped sharply by spraying water to extinguish the fire.,327.0,"328, The kidneys play a role in separating waste and nutrients from the body, and diseases appear because they are not properly separated"
328,328,This is because the temperature of the iron plate fell below the ignition point.,328.0,"329 ""The kidneys filter out the ingredients that our body needs and the ingredients that we don't need, and we send them back to the body, and we filter out the things that we don't need, and if there's something wrong with this kidney,"
329,329,Turn off the fire by cutting off contact with the air and lowering the temperature,329.0,"the energy needed for the bodyThis is because the ingredients are gone."",0,0,0,1,0,,,,,"
330,330,This is because the temperature was lowered by blocking contact with the air,330.0,"330, it hangs waste, 0, 0, 0, 1, 0"
331,331,This is because the temperature drops by spraying water and carbon dioxide is generated instead of oxygen.,331.0,"331 ""The kidneys help with excretion, and the kidneys filter, reabsorb, and release various minerals from our capillaries into our bodies, and throw away harmful things such as waste into our bodies. Therefore, if the kidneys fail to function, the wastes can continue in our bodies,""0,0,1,,,,,,,,,,,,,,"
332,332,"By placing water on the fire, oxygen is blocked and the temperature on the clothes drops rapidly.",332.0,"332, Since the kidney is an organ that removes waste, if there is a problem, waste cannot be removed from the body, causing illness or even death in severe cases. 0,0,0,1,0,,,,,,,"
333,333,This is because the fire has disappeared among the three causes that can burn.,333.0,"333, Filter out the waste.,0,0,0,1,0,,,,,"
334,334,This is because water instantly blocks the oxygen supply of fire and takes away the temperature of fire as water evaporates.,334.0,"334, Filter out the waste. Kidney disease, 0, 0, 1, 0"
335,335,This is because the fire is in contact with the air while meeting water.,335.0,"335, I don't know, 0, 0, 0, 0, 0"
336,336,Because the temperature is lowered ^-^,336.0,"336,I don't know,0,0,0,0,0"
337,337,The temperature went down,337.0,"337,.,0,0,0,0,0,,,,,"
338,338,Fire is weak with water,338.0,"338, beans and red beans are nutritious Haha, 0, 0, 0, 0, 0,"
339,339,The water gets rid of the fire,339.0,"339, the ability to collect debris and release it into urine, 0, 0, 0, 1, 0"
340,340,I don't know,340.0,"340, the residue is removed from the urine and the residue is transferred to the bladder, 0, 0, 0, 1,,,,,,"
341,341,Because the hot fire cooled the hot heat by water,341.0,"341, I don't know.,0,0,0,0,0,,,,,"
342,342,"If you spray water on hot heat, it could turn off",342.0,"342,""Yes"
343,343,The water-heated iron lowers the temperature,343.0,I don't know
344,344,"Because of the water, the air is not working",344.0,Yes
345,345,Because it cools down the temperature.,345.0,"ㅅ g"",0,0,0,0,0,,,,,"
346,346,ㅈ,346.0,"343, This is because blood becomes strange when a kidney abnormality occurs.,0,0,0,0,0,,,,,"
347,347,"""The heat has cooled down",347.0,"344 ""The role of removing substances that are not good for the kidneys and absorbing nutrients that are good for the body to distinguish themIf the kidney's function is not good, toxins can accumulate in the body and cause various diseases."",0,0,0,1,1,,,,,"
348,348,"""",348.0,"345, Can't drain the pee.,0,0,0,1,0,,,,,"
349,349,Fire is weak against water,349.0,"346, does not discharge the urine.,0,0,0,1,0,,,,,"
350,350,Water can digest fire,350.0,"347, because it filters out the waste accumulated in the body, 0, 0, 1, 0"
351,351,"Since the temperature of the fire is high and the water temperature is low, if you spray water on the fire, the temperature of the fire is also low",351.0,"348, because we can't poo and we have intestinal problems, 0, 0, 0, 0, 0"
352,352,"Water is also heavy, so it goes out when the fire is pressed.",352.0,"349, Since the place in charge of urine is the kidney, urine does not come out well or there is a problem with urine, 1,0,1,0,,,"
353,353,"When the fire and water meet each other, the fire and water are immediately extinguished, leaving only water Therefore, the water gets a little hot.",353.0,"350, I don't know, 0, 0, 0, 0, 0,"
354,354,with a cold temper,354.0,"351, you can't decipher the poison, 0, 0, 0, 1, 0"
355,355,I don't know,355.0,"352 ""The organ that produces and releases the urine,"" 1,0,1,0,,,,,"
356,356,"If you spray water on a hot fire, the fire will be deprived of mislead, and if you cover it with water, the fire will come alive.",356.0,"353, the kidneys remove waste, 0, 0, 1, 0"
357,357,Because the heat went down when I sprayed water,357.0,"354, I don't know, 0, 0, 0, 0, 0,"
358,358,The fire seems to have cooled off because of the heat,358.0,"355,The kidneys filter out blood waste.,0,0,0,1,0,,,,,"
359,359,The fire goes out when the temperature is low,359.0,"356,The kidneys play a role in filtering out waste from our bodies, because if we can't, this waste will move around the body.,0,0,0,1,0,,,,,"
360,360,The fire went out in the water.,360.0,"357, I have bladder inflammation. Strain away waste.,0,0,0,1,0,,,,,"
361,361,The temperature is below the ignition point,361.0,"358, It purifies toxins in the body.,0,0,0,1,0,,,,,"
362,362,Because the fever is gone.,362.0,"359, Filter the waste.,0,0,0,1,0,,,,,"
363,363,The temperature drops below the ignition point,363.0,"360,The kidney plays a role in filtering waste, but if a disease occurs, it cannot play its role properly, causing waste to accumulate in the body, which can lead to death.,0,0,0,1,0,,,,,"
364,364,Because one of the three factors is missing,364.0,"361, Kidney has its own role. Nothing degenerates and disappears.,0,0,0,0,0,,,,,"
365,365,One of the three elements needed to catch fire is missing,365.0,"362. It allows blood to flow through.,0,0,0,0,0,,,,,"
366,366,The heat goes down below the ignition point,366.0,"363, pee, 1,0,0,0"
367,367,The water is stronger than the fire,367.0,"364, waste builds up in the body and dies, 0, 0, 0, 1, 0"
368,368,Fire and water are the opposite,368.0,"365, I don't know, 0, 0, 0, 0,"
369,369,It's because the temperature drops,369.0,"366,The kidneys filter out the nope when we urinate At this time, if the kidneys do not function properly, the waste cannot be filtered straight, causing problems. 0,0,0,1,0,,,,,"
370,370,It went below the ignition point,370.0,"367, You can't filter out the waste that flows through your body, 0, 0, 0, 1, 0"
371,371,The water is on fire,371.0,"368, you need a height to live. 0,0,0,0,0"
372,372,Because I met the conditions for digestion,372.0,"369,The kidneys release body waste and have a direct effect on the heart.,0,0,0,1,0,,,,,"
373,373,This is because the cold air in the water holds the heat in the rim.,373.0,"370, we pee waste into the blood, 0, 0, 0, 1, 0"
374,374,Because it's not above the ignition point.,374.0,"371, filter out the waste, 0, 0, 0, 0,"
375,375,"The conditions for combustion are de-materials, temperatures above the ignition point, and oxygen, which decreases the temperature at the moment of spraying water.",375.0,"372, the kidneys are all connected, so if you have even one disease, you have an abnormality"
376,376,"The temperature of the fire is lowered by the temperature of the water, which is why the fire is extinguished",376.0,"373, It plays a role in filtering waste.,0,0,0,1,0,,,,,374, It plays a role in filtering waste.,0,0,0,1,0,,,,,"
377,377,The temperature of the iron plate drops below the ignition point,377.0,"375,The kidneys play a role in filtering the body's waste, but when the kidneys fail, the body becomes ill. 0,0,0,1,0,,,,,"
378,378,"If you spray water, the fire will turn off",378.0,"376,The kidneys filter out bad substances.0,0,0,1,0,,,,,"
379,379,It is because hot heat is controlled by water.,379.0,"377, the kidneys activate our metabolism of matter, 0, 0, 0, 0,"
380,380,"The fire starts at a temperature above the ignition point, but when sprayed, the fire goes out because the temperature of the iron plate drops below the ignition point",380.0,"378, I don't know, 0, 0, 0, 0, 0,"
381,381,This is because cold water lowered the temperature of the hot fire.,381.0,"379,In the kidney, it plays a role in filtering waste, but if the kidneys do not function properly, it is not good because they cannot filter out bad substances, 0, 0, 1, 0"
382,382,It's cold,382.0,"380, M,, 0, 0, 0, 0, 0"
383,383,This is because water is lower than the temperature of fire.,383.0,"381, I don't know, 0, 0, 0, 0, 0,"
384,384,De-materials and cold substances met and the fire went out,384.0,"382, urination, 1,0,0,0"
385,385,Lower the ignition point,385.0,"383, which class is it?,0,0,0,0,0,,,,,"
386,386,by lowering the temperature,386.0,"384, ㄱ,, 0, 0, 0, 0, 0"
387,387,Make it lower than the ignition point,387.0,"385, I don't know.,0,0,0,0,0,,,,,"
388,388,The fire goes out when it hits the water,388.0,"386,The kidneys filter out the waste from our body's blood and make urine. 1,0,0,1,0"
389,389,at a temperature below the ignition point,389.0,"387, because the blood vessels are connected.,0,0,0,0,0,,,,,"
390,390,I don't know,390.0,"388, The kidney plays a role in filtering blood, because if there is an abnormality in the kidney, waste accumulates in blood and causes disease in the body.,0,0,0,1,0,,,,,"
391,391,Water lowers the temperature of the iron plateWest,391.0,"389,Heat is responsible for the kidneys. In other words, if there is a kidney problem, our body cannot control heat on its own, which can lead to death.,0,0,0,0,0,,,,,"
392,392,"Cut off oxygen supply, lower temperature",392.0,"390, The kidneys filter the good and bad before absorbing nutrients into our bodies. That is why it is one of the most important heights.,0,0,0,1,0,,,,,"
393,393,It's because the water turns off the fire,393.0,"391, It functions to filter waste, 0, 0, 0, 1,,,,"
394,394,Fire is weak with water,394.0,"392, the kidneys are important because they play a role in the digestive system in our body"
395,395,Since it's off,395.0,"393, It filters out the waste from the blood and produces urine. 1,0,0,1,0,,,"
396,396,Water is weaker than fire,396.0,"394,The kidneys play a role in filtering out waste from our bodies.,0,0,0,1,0,,,,,"
397,397,The fire got low,397.0,"395,""The kidney functions as a dialysis function, which is easily said to clear the blood. If the kidneys fail to function, the body can easily get tired and die if not dialysis. "",0,0,0,0,0,,,,,"
398,398,The fire went out because the water is cold when you pour it in,398.0,"396, It accumulates in the body because it cannot remove waste. 0,0,0,1,0,,,"
399,399,The heat of the iron got cold,399.0,"397, The kidneys interact with other intestines to make urine, so if there is a kidney problem, waste accumulates in the body. 1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
400,400,The water is cold,400.0,"398, Since waste from the body is filtered and excreted as urine, if there is a kidney problem, the disease appears. 1,0,0,1,0,,,,,,,,,,,,,,,,"
401,401,Because water is cold.,401.0,"399,The kidneys circulate throughout the body and filter the whole blood. So the waste generated there is sent to the bladder, and when the waste remains in the blood or nutrients are discharged with the waste, the body has a problem"
402,402,The temperature went down,402.0,"400,The kidneys play a role in filtering waste from the body, so if there is an abnormality in the kidneys, the possibility of getting a disease increases because the waste cannot be filtered properly.,0,0,0,1,0,,,,,"
403,403,"It needs burning substances, oxygen, and firing temperature to catch fire, but when water is sprayed, the firing temperature decreases and the fire is extinguished.",403.0,"401, This is because the kidneys remove and excrete unnecessary waste from the body, maintain moisture and acidity in the body, and work related to various hormones.,0,1,1,1,0,,,,,"
404,404,The water is cold and the fire is hot. The fire is cold,404.0,"402, kidneys are kidneys, and I honestly don't know what functions, 0, 0, 0, 0, 0,"
405,405,Fire and water are at odds,405.0,"403,""The kidneys selectively filter out impurities such as ammonia mixed with necessary substances such as proteins and minerals in the blood and send them to the bladder. If a kidney problem occurs, impurities cannot be effectively filtered, which causes various diseases due to abnormalities in the body."",0,0,0,1,1,,,,,404,""The kidney filters out the waste. However, if there is a problem with kidney function, waste cannot be filtered. Therefore, the remaining wastes in the body cause the disease."",0,0,0,1,0,,,,,"
406,406,Cold water and hot fire would meet and extinguish,406.0,"405,""The kidney plays a role in filtering the waste in the blood from our body, and if there is an abnormality in the function of the kidney, the waste in the blood cannot be filtered and adversely affects the body."""",0,0,0,1,0,,,,,"
