,Unnamed: 0,"23. After the long winter, the warm spring came and it became a hot summer. It's cool autumn again, and it's already cold winter. How does the seasonal change that repeats every year come about? Let's explain the process in detail using our knowledge of Earth and seasonal changes. ",Unnamed: 0,", q23_rotation, q23_altitude variation, q23_magnitude axis, q23_distance difference, q23_rotation, q23_altitude variation.1, q23_altitude variation.1,q23_Motor axis 1.q23_Distance difference.1,q23_Biograph.1"
211,211,"The Earth rotates on its axis of rotation, and the seasons change because the Earth revolves around the sun.",211.0,"218,0,0,0,0,0,,,,,"
212,212,Because the earth is spinning,212.0,"219,0,0,0,0,0,,,,,"
213,213,"As the rotating earth revolves around the sun, the amount of sunlight it receives changes, resulting in a season",213.0,"220,0,1,1,0,0,,,,,"
214,214,I don't know.,214.0,"221,1,0,0,0,0,,,,,"
215,215,"""N""",215.0,"222,0,0,1,0,1,,,,,"
216,216,"Change in Earth's Rotation Temperature The average temperature of Earth rises Seasonal fluctuations""",216.0,"223,0,0,0,1,0,,,,,"
217,217,"The Earth revolves around the Sun for a year, because the Earth's axis of rotation is tilted 23.4°, so the amount of sunlight that it shines on the Earth is different",217.0,"224,1,0,0,0,0,,,,,"
218,218,I don't know,218.0,"225,1,0,0,0,0,,,,,"
219,219,"""The seasons appear based on the axis of rotation",219.0,"226,1,0,1,0,0,,,,,"
220,220,"The Earth rotates and the seasons change.""",220.0,"227,0,0,0,0,0,,,,,"
221,221,I don't know,221.0,"228,0,0,0,0,0,,,,,"
222,222,ㅇ and ㅃ,222.0,"229,1,0,0,0,0,,,,,"
223,223,"The Earth's axis of rotation is tilted by 23.5 degrees (? The axis of rotation changed the slope of sunlight, creating four seasons",223.0,"230,1,0,0,0,0,,,,,"
224,224,Because the earth revolves,224.0,"231,1,0,0,0,0,,,,,"
225,225,"The Earth's axis of rotation is slightly tilted and the Earth rotates with respect to that axis of rotation, which causes a change",225.0,"232,1,1,1,0,0,,,,,"
226,226,Because the sun is getting closer every month,226.0,"233,0,0,0,0,0,,,,,"
227,227,This is because the earth revolves around the sun.,227.0,"234,1,0,0,0,0,,,,,"
228,228,Because the earth revolves,228.0,"235,1,0,0,0,0,,,,,"
229,229,"The Earth revolves around the sun, but the Earth's rotation axis is slightly distorted, so the season changes.",229.0,"236,1,0,0,0,0,,,,,"
230,230,I don't know,230.0,"237,1,0,0,0,0,,,,,"
231,231,I don't know.,231.0,"238,0,0,0,0,1,,,,,239,1,0,0,0,1,,,,,"
232,232,Seasonal changes in the Earth occur because of the revolution,232.0,"240,1,0,0,0,1,,,,,"
233,233,This is because the earth revolves around the sun.,233.0,"241,1,0,0,0,0,,,,,"
234,234,This is because the earth revolves around the sun,234.0,"242,1,0,0,0,0,,,,,"
235,235,"When the Earth orbits, the angle of sunlight varies If the angle is close to 90 degrees, it becomes summer because it receives a lot of sunlight (the earth is a little tilted, so the seasons vary from country to country)",235.0,"243,1,0,1,0,1,,,,,"
236,236,There are times when the seasons change,236.0,"244,0,0,0,0,1,,,,,"
237,237,Because the earth revolves,237.0,"245,0,0,0,0,0,,,,,"
238,238,on the revolving gates of the earth,238.0,"246,0,0,0,0,0,,,,,"
239,239,Seasonal change is caused by the revolution of the earth.,239.0,"247,0,0,0,0,0,,,,,"
240,240,This is because the earth is orbiting.,240.0,"248,0,0,0,0,0,,,,,"
241,241,Because the earth rotates,241.0,"249,0,0,0,0,0,,,,,"
242,242,This is because the earth revolves and rotates.,242.0,"250,0,0,0,0,0,,,,,"
243,243,It's because the Earth rotates And the revolution.,243.0,"251,0,0,0,0,0,,,,,"
244,244,The earth revolves around,244.0,"252,0,0,0,0,0,,,,,"
245,245,The earth revolves.,245.0,"253,0,0,0,0,0,,,,,"
246,246,The earth is tilted and revolves around,246.0,"254,0,0,0,0,0,,,,,"
247,247,Because the earth rotates,247.0,"255,0,0,0,0,0,,,,,"
248,248,It is caused by a change in the weather.,248.0,"256,0,0,0,0,0,,,,,"
249,249,dwedwedwedwedwed,249.0,"257,0,0,0,0,0,,,,,"
250,250,I don't know.,250.0,"258,0,0,0,0,0,,,,,"
251,251,M and D,251.0,"259,0,0,0,0,0,,,,,"
252,252,I don't know,252.0,"260,0,0,0,0,0,,,,,"
253,253,I don't understand.,253.0,"261,1,0,0,0,0,,,,,"
254,254,I don't know,254.0,"262,1,0,0,0,0,,,,,"
255,255,The earth is spinning,255.0,"263,0,0,0,0,0,,,,,"
256,256,I don't know.,256.0,"264,1,0,0,0,0,,,,,"
257,257,I don't understand.,257.0,"265,0,0,0,0,0,,,,,"
258,258,I don't know,258.0,"266,0,0,0,0,0,,,,,"
259,259,I don't understand.,259.0,"267,0,0,0,0,0,,,,,"
260,260,I don't understand.,260.0,"268,0,0,0,0,0,,,,,269,1,0,0,0,0,,,,,"
261,261,I don't know,261.0,"270,0,0,0,0,0,,,,,"
262,262,Mall,262.0,"271,0,0,0,1,1,,,,,"
263,263,I don't know.,263.0,"272,0,0,0,0,0,,,,,"
264,264,the revolution of the earth,264.0,"273,1,0,0,0,0,,,,,"
265,265,Because the earth revolves around the sun,265.0,"274,1,0,0,1,0,,,,,"
266,266,I don't know,266.0,"275,0,0,0,0,0,,,,,"
267,267,the revolution of the earth,267.0,"276,0,0,0,0,0,,,,,"
268,268,I don't know,268.0,"277,0,0,0,0,0,,,,,"
269,269,I don't understand.,269.0,"278,0,0,0,0,0,,,,,"
270,270,M and D,270.0,"279,0,0,0,0,0,,,,,"
271,271,I don't understand.,271.0,"280,1,1,0,1,0,,,,,"
272,272,in a whirl,272.0,"281,0,0,0,0,0,,,,,"
273,273,I don't know,273.0,"282,1,0,0,0,0,,,,,"
274,274,"Because the Earth rotates, it is related to the distance from the sun.",274.0,"283,0,0,0,0,0,,,,,"
275,275,I don't know.,275.0,"284,0,0,0,0,1,,,,,"
276,276,the revolution of the earth,276.0,"285,0,0,0,0,0,,,,,"
277,277,"The Earth revolves around the sun, but its orbit is not constant, and there are times when it gets close to the sun, and there are times when it gets farther away, which causes the season",277.0,"286,1,0,0,0,0,,,,,"
278,278,I don't know.,278.0,"287,1,0,0,0,0,,,,,"
279,279,the spinning of the earth,279.0,"288,0,0,0,0,0,,,,,"
280,280,M and D,280.0,"289,1,0,0,0,0,,,,,"
281,281,The words go round and round,281.0,"290,0,0,0,0,0,,,,,"
282,282,Because of the sun,282.0,"291,0,0,0,0,0,,,,,"
283,283,"I don't know... because of the revolution of the earth. As the earth revolves, our country's position changes little by little, so it receives more or less sunlight",283.0,"292,1,0,0,0,0,,,,,"
284,284,yes,284.0,"293,1,0,0,0,0,,,,,"
285,285,Seasonal changes occur because the earth revolves.,285.0,"294,1,0,0,0,0,,,,,"
286,286,ㅓ,286.0,"295,1,0,0,0,1,,,,,"
287,287,the rotation of the earth,287.0,"296,0,0,0,0,0,,,,,"
288,288,Yeah.,288.0,"297,0,0,0,0,0,,,,,"
289,289,It occurs when the earth orbits the sun,289.0,"298,1,1,0,0,0,,,,,299,0,0,0,0,1,,,,,"
290,290,the revolution of the earth,290.0,"300,1,0,0,0,0,,,,,"
291,291,Because the trees change,291.0,"301,0,0,0,0,0,,,,,"
292,292,The earth revolves around the sun,292.0,"302,0,0,0,0,1,,,,,"
293,293,Because of the four seasons,293.0,"303,1,0,0,1,1,,,,,"
294,294,the earth goes around the world,294.0,"304,1,1,0,0,0,,,,,"
295,295,"Because the earth revolves around the sun,",295.0,"305,1,0,0,0,0,,,,,"
296,296,Because the earth revolvesBecause the earth revolves,296.0,"306,0,0,0,0,1,,,,,"
297,297,The earth revolves(?,297.0,"307,0,0,0,0,0,,,,,"
298,298,Because the Earth spins,298.0,"308,1,0,0,0,1,,,,,"
299,299,"Because the sun and the moon continue to circle around the earth,",299.0,"309,1,0,0,0,0,,,,,"
300,300,It's because the earth revolves around and the degree of sunlight changes,300.0,"310,0,0,0,0,0,,,,,"
301,301,Because the earth rotates,301.0,"311,1,1,1,0,0,,,,,"
302,302,due to the revolution of the earth,302.0,"312,1,0,1,0,0,,,,,"
303,303,(Laughing) (Laughing)ㅍㅍㅇㄴㅁㅋㅋㅋㅋㅊLOL,303.0,"313,0,0,0,0,0,,,,,"
304,304,the rotation of the earth,304.0,"314,1,1,0,0,0,,,,,"
305,305,This is because the earth is far from the sun because of its orbit and rotation,305.0,"315,1,0,0,0,0,,,,,"
306,306,"Due to the revolution of the earth, the part where the sun shines is changed, and the seasons change",306.0,"316,1,0,0,0,0,,,,,"
307,307,"The earth goes around once a year, and the seasons change every time",307.0,"317,1,0,1,0,0,,,,,"
308,308,due to the rotation of the earth,308.0,"318,1,0,0,0,0,,,,,"
309,309,I don't know,309.0,"319,0,0,0,0,0,,,,,"
310,310,It is a process that occurs when the Earth rotates and revolves.,310.0,"320,1,1,0,0,0,,,,,"
311,311,This is because the earth goes around once every 365 days Climate changes occur,311.0,"321,1,0,1,0,0,,,,,"
312,312,I don't know.,312.0,"322,1,1,0,0,0,,,,,"
313,313,This is because the degree of solar energy that the Earth orbits with an inclination varies from season to season.,313.0,"323,1,1,1,0,0,,,,,"
314,314,This is because the Earth's axis of rotation and rotation is tilted 23.5 degrees.,314.0,"324,0,0,0,0,0,,,,,"
315,315,under the influence of four squadrons,315.0,"325,1,0,0,0,0,,,,,"
316,316,Seasonal changes depending on the degree of exposure to the sun every year due to idle energy,316.0,"326,1,0,0,0,0,,,,,"
317,317,the revolution of the earth,317.0,"327,1,0,0,0,0,,,,,"
318,318,The earth orbits the sun once a year.,318.0,"328,1,0,0,1,1,,,,,329,0,0,0,0,0,,,,,"
319,319,The Earth's axis of rotation orbits the Sun at an inclination of 27.5 degrees.,319.0,"330,1,0,0,0,0,,,,,"
320,320,the revolution of the earth,320.0,"331,1,0,1,0,0,,,,,"
321,321,the movement of a fleet,321.0,"332,1,0,0,1,0,,,,,"
322,322,"There's the Earth and it orbits around the sun, but the amount of solar radiation changes",322.0,"333,1,0,0,0,0,,,,,"
323,323,This is because the Earth orbits with its axis tilted.,323.0,"334,1,0,0,0,0,,,,,"
324,324,The amount of sunlight changes due to the revolution of the earth.,324.0,"335,0,0,0,0,0,,,,,"
325,325,Seasonal changes occur as the amount of sunlight received through rotation while the axis of rotation is tilted.,325.0,"336,0,0,0,0,0,,,,,"
326,326,Moleung,326.0,"337,0,0,0,0,0,,,,,"
327,327,Because the earth revolves,327.0,"338,0,0,0,0,0,,,,,"
328,328,Because the earth revolves,328.0,"339,1,0,0,0,0,,,,,"
329,329,"Because the earth is revolving,",329.0,"340,1,0,0,1,0,,,,,"
330,330,"The Earth rotates and orbits, changing seasons for being close or far away from the sun.",330.0,"341,0,0,0,0,1,,,,,"
331,331,"Yes, Mongla!",331.0,"342,0,0,0,0,1,,,,,"
332,332,Because the earth revolves,332.0,"343,1,0,0,0,0,,,,,"
333,333,"Due to the Earth's orbital phenomenon, the Earth's axis of rotation is tilted and revolved, so there is a difference in seasons.",333.0,"344,0,0,0,0,1,,,,,"
334,334,The Earth's revolution causes four seasons as the distance between the Earth and the Sun changes.,334.0,"345,1,0,0,0,1,,,,,"
335,335,the revolution of the earth,335.0,"346,1,0,0,0,1,,,,,"
336,336,Because the earth revolves,336.0,"347,1,0,0,1,0,,,,,"
337,337,I don't know,337.0,"348,0,0,0,0,0,,,,,"
338,338,It's because the Earth,338.0,"349,1,0,0,0,1,,,,,"
339,339,.,339.0,"350,1,0,0,0,0,,,,,"
340,340,There's a reason,340.0,"351,1,0,0,0,0,,,,,"
341,341,Because the earth revolves,341.0,"352,0,0,0,0,0,,,,,"
342,342,"Winter comes when the sun is far away because of the revolution of the earth, and summer comes when it is near",342.0,"353,1,0,0,0,0,,,,,"
343,343,Because the earth rotates,343.0,"354,0,0,0,0,0,,,,,"
344,344,"It is caused by the Earth's rotation, and sometimes the Earth rotates on its own and receives sunlight, and sometimes it does not. It is summer when you get sunlight, winter when you don't, and spring and autumn in between",344.0,"355,1,0,0,0,0,,,,,"
345,345,"The difference between the time the earth revolves around, the sun meets, and not meeting each other",345.0,"356,1,0,0,0,0,,,,,"
346,346,This is because the earth rotates.,346.0,"357,0,0,0,0,0,,,,,"
347,347,Because the earth is spinning. a revolving wheel,347.0,"358,0,0,0,0,1,,,,,359,1,0,0,0,0,,,,,"
348,348,"This is because the earth rotates. (Bicycle, revolution)",348.0,"360,1,0,1,0,0,,,,,"
349,349,"Because of the Earth's orbit, there are countries that go around the equator and get closer to the sun, and there are countries that fall from the sun, so it gets cold and hot",349.0,"361,0,0,0,0,1,,,,,"
350,350,I don't know,350.0,"362,0,0,0,0,0,,,,,"
351,351,The weather changes as the Earth rotates and revolves.,351.0,"363,0,0,0,1,0,,,,,"
352,352,This is because the earth revolves.,352.0,"364,1,0,0,0,0,,,,,"
353,353,the revolution of the earth,353.0,"365,0,0,0,0,0,,,,,"
354,354,I do not remember.,354.0,"366,1,0,0,0,0,,,,,"
355,355,"Since the earth revolves around the sun,",355.0,"367,1,0,0,0,1,,,,,"
356,356,I don't know,356.0,"368,0,0,0,0,1,,,,,"
357,357,It occurs when the earth orbits.,357.0,"369,1,1,0,0,0,,,,,"
358,358,The seasons change as the earth revolves.,358.0,"370,1,0,0,0,0,,,,,"
359,359,I don't know,359.0,"371,1,0,0,0,0,,,,,"
360,360,The Earth's rotation changes the side of the sun,360.0,"372,0,0,0,0,1,,,,,"
361,361,This is because the Earth orbits.,361.0,"373,1,0,0,0,0,,,,,"
362,362,Because the earth revolves in a crooked state,362.0,"374,1,0,0,0,0,,,,,"
363,363,"Due to the rotation of the earth, the four seasons appear in Korea, located near the mid-degree.",363.0,"375,1,1,0,0,0,,,,,"
364,364,This is because of the wind from Siberia and the warm wind from the bottom.,364.0,"376,0,1,0,0,0,,,,,"
365,365,the sun's getting closer and farther away,365.0,"377,1,1,1,0,1,,,,,"
366,366,"""As the earth revolves around, the sun's heat doesn't transfer well",366.0,"378,1,0,0,0,0,,,,,"
367,367,"""",367.0,"379,1,0,0,0,1,,,,,"
368,368,I don't know,368.0,"380,0,0,0,0,0,,,,,"
369,369,"Once a year, the earth revolves around the sun, and there are four seasons",369.0,"381,0,0,0,0,0,,,,,"
370,370,Because the earth rotates around the sun,370.0,"382,1,0,0,0,0,,,,,"
371,371,This is because the Earth rotates around the sun.,371.0,"383,0,0,0,0,0,,,,,"
372,372,"Due to the Earth's orbit, differences in sunlight, temperatures decrease, or increase. And by repeating this phenomenon, the seasons keep changing",372.0,"384,0,0,0,0,0,,,,,"
373,373,the revolution with the sun,373.0,"385,1,0,0,0,0,,,,,"
374,374,Because the earth revolves,374.0,"386,1,0,0,0,0,,,,,"
375,375,due to the rotation of the earth,375.0,"387,1,0,0,0,0,,,,,"
376,376,It is a phenomenon caused by the revolution of the earth.,376.0,"388,1,1,1,0,0,,,,,389,0,0,0,0,1,,,,,"
377,377,It is a phenomenon caused by the revolution of the earth.,377.0,"390,1,0,0,0,1,,,,,"
378,378,This is due to changes in the amount of sunlight due to the revolution of the earth.,378.0,"391,1,0,0,0,0,,,,,"
379,379,Seasons are divided according to how much solar heat is received.,379.0,"392,1,0,0,1,0,,,,,"
380,380,"It is caused by the difference in solar radiation energy by latitude, as well as the Earth's rotation with a slight inclination.",380.0,"393,1,0,1,0,0,,,,,"
381,381,Because the earth revolves,381.0,"394,1,1,1,0,1,,,,,"
382,382,Seasons change due to the rotation and revolution of the earth.,382.0,"395,1,1,0,1,0,,,,,"
383,383,M and D,383.0,"396,1,1,0,0,1,,,,,"
384,384,I don't know,384.0,"397,1,0,0,0,0,,,,,"
385,385,the revolution,385.0,"398,1,1,1,0,0,,,,,"
386,386,It's Ahn. ^^,386.0,"399,1,1,1,0,0,,,,,"
387,387,sorry,387.0,"400,1,0,0,0,0,,,,,"
388,388,Seasonal changes occur due to the revolution of the earth.,388.0,"401,1,0,1,0,0,,,,,"
389,389,This is because the earth revolves around the sun.,389.0,"402,1,1,1,0,0,,,,,"
390,390,This is because the earth revolves.,390.0,"403,1,1,1,0,0,,,,,"
391,391,"This is a phenomenon that occurs as the Earth orbits with its axis tilted around the sun, changing the amount of solar radiation received in the southern and northern hemispheres.",391.0,"404,1,0,0,0,0,,,,,"
392,392,"As the earth rotates, the atmosphere rotates, and we feel the change of seasons due to his influence.",392.0,"405,1,1,1,0,0,,,,,"
393,393,"The earth is round and revolves around it, resulting in four seasons. However, few countries have distinct four seasons.",393.0,"406,0,0,1,0,1,,,,,"
394,394,the revolution of the earth,394.0,"407,1,1,1,0,0,,,,,"
395,395,"As the earth revolves, the seasons change when a point is closer or farther away from the sun.This is because the Earth's axis of rotation orbits the Sun at an inclination of 23.5 degrees.",395.0,"408,1,0,1,0,0,,,,,"
396,396,"Because the Earth rotates and rotates with its axis tilted, the area of solar radiation received from the sun varies, resulting in a season",396.0,"409,0,0,0,0,0,,,,,"
397,397,"The seasonal changes of the earth are caused by the revolution of the earth. Regardless of the distance of the sun, seasonal changes appear depending on the angle at which the sun's light enters. The closest time to the distance of the sun is called the near point, and in the northern hemisphere, it is winter at the near point and summer at the far point. The opposite is true in the Southern Hemisphere. When sunlight enters a narrow area, the solar energy per unit area is large, so it becomes summer, and vice versa, it becomes winter.",397.0,"410,1,0,0,0,0,,,,,"
398,398,"The Earth orbits the sun and rotates on its own, and accordingly, the season changes as the amount of light varies depending on the angle of the sun and Korea.",398.0,"411,0,0,0,0,0,,,,,"
399,399,"The Earth revolves around, so the seasons change.",399.0,"412,1,1,1,0,0,,,,,"
400,400,The seasons change due to the difference in time the Earth receives solar heat as it orbits with its axis tilted.,400.0,"413,1,0,0,0,0,,,,,"
401,401,"As the Earth orbits around the sun with an inclination, an altitude difference occurs, which leads to seasonal changes.",401.0,"414,1,1,1,0,0,,,,,"
402,402,Seasons arise because the earth revolves.,402.0,"415,1,0,1,0,0,,,,,"
403,403,This is because the earth rotates around the sun with a slight inclination.,403.0,"416,1,0,0,0,1,,,,,"
404,404,"The earth rotates and revolves at the same time. The rotation causes day and night, and the Earth rotates around the sun with its axis tilted 23.5 degrees, so the amount of solar energy received by an area varies from season to season, resulting in seasonal changes.",404.0,"417,1,0,1,0,0,,,,,"
405,405,This is because the amount of solar radiation energy received per unit area varies because the Earth orbits at an inclination.,405.0,"418,1,0,1,0,0,,,,,419,1,0,0,0,0,,,,,"
406,406,It happens in the revolution of the earth.,406.0,"420,0,0,0,0,0,,,,,"
407,407,"The seasonal changes that occur every year occur because the Earth orbits the Sun with its axis tilted. Specifically, because the Earth's axis of rotation is inclined, the amount of sunlight incident varies from season to season.",407.0,"421,0,0,0,0,0,,,,,"
408,408,The earth is tilted and rotating,408.0,"422,1,0,0,0,0,,,,,"
409,409,"The Earth orbits the Sun with its axis tilted about 66.5 degrees to the orbiting surface, which changes the Sun's height, day, and night length, and changes the amount of solar radiation energy entering the Earth. This is why the seasons change.",409.0,"423,0,0,0,1,1,,,,,"
410,410,Seasons occur because the Earth is tilted 23.5 degrees and revolves around the sun.,410.0,"424,1,0,0,0,0,,,,,"
411,411,",",411.0,"425,1,0,0,1,0,,,,,"
412,412,The seasons change due to the revolution of the earth,412.0,"426,0,0,0,0,0,,,,,"
413,413,Ankimchi. (Ankimchi in Korean),413.0,"427,1,0,0,0,0,,,,,"
414,414,"Because the earth of the season tilts and revolves, the amount of sunlight received varies from month to month",414.0,"428,1,0,0,0,0,,,,,"
415,415,The revolution of the earth causes seasonal changes.,415.0,"429,1,0,0,0,0,,,,,"
416,416,"""There's something called the axis of rotation on Earth",416.0,"430,1,1,1,0,1,,,,,"
417,417,The axis of the earth is tilted 23.5 degrees relative to the orbital plane.,417.0,"431,1,0,1,0,0,,,,,"
418,418,"So when you orbit the sun, the angle of sunlight changes",418.0,"432,0,0,0,0,0,,,,,"
419,419,"When sunlight is reflected vertically on the ground, the most energy comes in, and as the angle decreases, the amount of energy comes in decreases, which results in seasons.""",419.0,"433,1,0,0,1,0,,,,,"
420,420,"Because the Earth's axis of rotation is tilted 23.5 degrees,",420.0,"434,1,0,0,0,0,,,,,"
421,421,It is due to the rotation and revolution of the earth,421.0,"435,1,0,0,0,0,,,,,"
422,422,This is because the Earth orbits at an inclination of 23.5 degrees.,422.0,"436,1,0,0,0,0,,,,,"
423,423,This is because the earth tilts and revolves around the sun.,423.0,"437,1,0,0,0,0,,,,,"
424,424,Because the earth revolves,424.0,"438,1,0,0,0,0,,,,,"
425,425,Seasons change with emotions on Earth,425.0,"439,1,0,0,1,0,,,,,"
426,426,Seasons change according to the river on Earth,426.0,"440,0,0,0,0,1,,,,,"
427,427,Seasonal changes occur when the earth revolves.,427.0,"441,1,0,0,0,0,,,,,"
428,428,Such a phenomenon occurs because of the change in distance from the tayal due to the rotation of the earth,428.0,"442,1,0,0,0,0,,,,,"
429,429,"Because the earth orbits the sun, the surface facing the sun becomes summer and vice versa, winter",429.0,"443,1,0,0,0,0,,,,,"
430,430,"Because the Earth orbits, the seasons change because the distance from the sun varies from position to position",430.0,"444,1,0,0,0,0,,,,,"
431,431,"Because the earth spins, the seasons keep changing.",431.0,"445,0,0,0,0,0,,,,,"
432,432,This is because the earth revolves.,432.0,"446,1,0,0,0,0,,,,,"
433,433,Seasonal changes occur because of the revolution of the earth.,433.0,"447,1,0,1,0,0,,,,,"
434,434,Because the earth revolves,434.0,"448,1,0,0,0,0,,,,,449,1,0,0,0,0,,,,,"
435,435,"The Earth's axis of rotation rotates and rotates in that state, and the amount of heat received by the sun varies from region to region, resulting in seasonal changes",435.0,"450,0,0,0,0,1,,,,,"
436,436,It is because the earth leans around the sun,436.0,"451,0,0,1,0,0,,,,,"
437,437,The nutrition of the universe changes every month. That's why,437.0,"452,1,0,0,0,0,,,,,"
438,438,"When the earth revolves and moves away from the sun, it becomes summer when winter approaches.",438.0,"453,0,0,0,0,0,,,,,"
439,439,"Because the earth revolves around the sun once a year, if you go around the sunless place, it becomes winter because the sun doesn't fall",439.0,"454,1,0,0,0,1,,,,,"
440,440,The Earth's seasons change due to the revolution of the Earth,440.0,"455,1,0,0,0,0,,,,,"
441,441,the revolution of the earth,441.0,"456,0,0,0,0,0,,,,,"
442,442,It is caused by the earth's orbit.,442.0,"457,1,0,1,0,0,,,,,"
443,443,result from idling,443.0,"458,1,0,0,0,0,,,,,"
444,444,"Due to the revolution of the earth, the distance between the sun and the earth is getting closer and farther, resulting in spring, winter, autumn, and winter.",444.0,"459,0,0,0,0,0,,,,,"
445,445,the rotation of the earth,445.0,"460,1,0,0,0,0,,,,,"
446,446,in a whirl,446.0,"461,1,0,0,0,0,,,,,"
447,447,in the revolution of the earth,447.0,"462,1,0,1,0,0,,,,,"
448,448,It is caused by the revolution of the earth.,448.0,"463,1,0,1,0,1,,,,,"
449,449,Because the earth revolves,449.0,"464,1,0,1,0,0,,,,,"
450,450,Earth's Ice Dome,450.0,"465,1,0,1,0,0,,,,,"
451,451,the revolution of the earth,451.0,"466,1,0,1,0,0,,,,,"
452,452,This is because the Earth orbits with its axis tilted 23.5 degrees.,452.0,"467,0,1,1,1,0,,,,,"
453,453,the revolution of the earth,453.0,"468,1,0,1,0,0,,,,,"
454,454,The earth revolves.,454.0,"469,0,0,1,0,0,,,,,"
455,455,It is because the earth rotates,455.0,"470,1,0,0,0,0,,,,,"
456,456,The Earth's axis of rotation is tilted,456.0,"471,1,1,1,0,0,,,,,"
457,457,the revolution,457.0,"472,0,0,0,1,0,,,,,"
458,458,I knew that spring had passed after the flowers fell.,458.0,"473,0,1,1,0,0,,,,,"
459,459,"The earth rotates and revolves, so it has four seasons.",459.0,"474,0,1,1,0,0,,,,,"
460,460,The earth revolves around,460.0,"475,1,0,0,0,0,,,,,"
461,461,Holy Soot,461.0,"476,0,0,0,0,0,,,,,"
462,462,"Isn't the axis of rotation tilted? And as we go around, there's a season. That's what I'm",462.0,"477,1,0,0,0,0,,,,,"
463,463,The seasons change as the earth revolves,463.0,"478,0,0,0,0,1,,,,,479,0,0,0,0,0,,,,,"
464,464,The season changes as the force of the fleet acting on our country changes.,464.0,"480,1,0,0,0,0,,,,,"
465,465,the revolution of the earth,465.0,"481,1,0,0,0,1,,,,,"
466,466,the revolution of the earth,466.0,"482,0,0,0,0,1,,,,,"
467,467,This is because the Earth orbits around the sun at an inclination of 23.5 degrees.,467.0,"483,0,0,0,0,0,,,,,"
468,468,The Earth's axis of rotation is inclined by 4.5 degrees and orbits and orbits at almost constant speeds on the surface of the Sun.,468.0,"484,0,0,0,0,0,,,,,"
469,469,Seasonal change occurs because the Earth's axis of rotation rotates around the sun at an inclination of about 23.5 degrees.,469.0,"485,0,0,0,0,0,,,,,"
470,470,This is because the Earth orbits the sun at an inclination of 23.5 degrees.,470.0,"486,1,0,0,0,0,,,,,"
471,471,"Because the Earth tilts 23.5 degrees and orbits around the sun, seasonal changes occur depending on the latitude",471.0,"487,0,0,0,0,1,,,,,"
472,472,"As the Earth's axis of rotation is tilted and the relative position of the Earth and the Sun varies, the amount of solar radiation energy received by certain parts of the Earth varies.",472.0,"488,1,0,0,0,0,,,,,"
473,473,This is because the Earth's axis of rotation is tilted and revolving.,473.0,"489,1,0,0,0,0,,,,,"
474,474,This is because the Earth's axis of rotation is tilted 23.5 degrees.,474.0,"490,0,0,0,0,0,,,,,"
475,475,the revolution of the earth,475.0,"491,0,0,0,0,0,,,,,"
476,476,"The Earth's axis of rotation is inclined, so when the Earth orbits around the sun, the amount of light incident per unit area varies, resulting in seasonal changes.",476.0,"492,0,0,0,0,0,,,,,"
477,477,"Seasonal changes result from the sun, the largest source of energy in the solar system. Therefore, seasonal changes in the Earth are caused by the relative distance difference between the Earth and the Sun.",477.0,"493,0,0,0,0,0,,,,,"
478,478,"Since the Earth's rotation axis is inclined at 23.5 degrees, differences in energy distribution by latitude of the Earth occurred, resulting in winter and summer.",478.0,"494,0,1,0,0,0,,,,,"
479,479,"This is because the Earth's axis of rotation is tilted 23.5 degrees, so the amount of solar energy reached by latitude varies throughout the year.",479.0,"495,1,0,0,0,1,,,,,"
480,480,Because the earth revolves,480.0,"496,1,0,0,0,0,,,,,"
481,481,I don't know,481.0,"497,0,0,0,0,0,,,,,"
482,482,Because the earth revolves around the sun,482.0,"498,1,0,0,0,0,,,,,"
483,483,Because it rotates,483.0,"499,1,1,0,0,0,,,,,"
484,484,I don't know,484.0,"500,0,0,0,0,0,,,,,"
485,485,due to the revolution of the earth,485.0,"501,0,0,0,0,1,,,,,"
486,486,It is caused by the rotation and revolution of the earth,486.0,"502,1,0,0,0,0,,,,,"
487,487,"Because of the Earth's rotation,",487.0,"503,1,0,0,0,0,,,,,"
488,488,It's a place where Korea is located,488.0,"504,1,0,0,0,0,,,,,"
489,489,Time,489.0,"505,0,0,0,0,0,,,,,"
490,490,The earth is spinning. No one can stop it.,490.0,"506,0,0,0,0,0,,,,,"
491,491,by the revolution of the earth,491.0,"507,1,0,0,1,0,,,,,"
492,492,the rotation of the earth,492.0,"508,0,0,0,0,0,,,,,509,1,1,0,0,0,,,,,"
493,493,the revolution of the earth around the sun,493.0,"510,0,1,0,0,0,,,,,"
494,494,It's a seasonal change due to the revolution of the earthSince it's our country,494.0,"511,0,1,0,0,0,,,,,"
495,495,as the earth rotates,495.0,"512,1,0,0,0,0,,,,,"
496,496,I think it would have been cool and warm,496.0,"513,1,0,0,0,0,,,,,"
497,497,"Repeated spring, summer, fall, and winter over time.",497.0,"514,1,1,0,0,0,,,,,"
498,498,"It depends on whether you see the sun's light well. In other words, the earth rotates.",498.0,"515,1,0,0,1,1,,,,,"
499,499,This is because the Earth rotates around the sun and is influenced by the sun.,499.0,"516,1,0,0,0,0,,,,,"
500,500,This is because the earth revolves around the sun.,500.0,"517,1,0,0,0,0,,,,,"
501,501,I don't know,501.0,"518,1,0,0,1,1,,,,,"
502,502,Because the earth revolves around the sun.,502.0,"519,1,0,0,0,1,,,,,"
